Author,who,the,of,he,him,her,unto,me,to,will,ye,that,be,in,which,shall,lord,have,thou,hast,and,according,as,them,there,is,no,whither,we,also,for,not,it,therefore,my,said,must,by,now,do,with,thy,because,his,thee,are,our,upon,from,may,god,their,whom,out,if,yea,all,then,shalt,thus,hath,yet,what,these,say,your,been,ought,they,should,neither,but,wherewith,again,much,had,would,forth,cometh,when,more,moreover,were,himself,make,notwithstanding,was,did,could,man,ever,or,among,being,one,many,into,seest,thereof,thereby,whoso,whereon,lest,those,once,wherein,upward,thyself,whereby,whereof,each,whence,without,let,whatsoever,wheresoever,thine,inasmuch,therein,every,other,throughout,anything,thence,like,thereon,abundance,henceforth,whose,therewith,till,becometh,shouldst,than,such,outward,wherefore,how,seemeth,wherewithal,oft,whosoever,soever,didst,some,hence,became,where,doeth,upwards,an,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,w_percentage_use,o_percentage_use,c_percentage_use,a_percentage_use,n_percentage_use,s_percentage_use,d_percentage_use,b_percentage_use,f_percentage_use,m_percentage_use,y_percentage_use,i_percentage_use,z_percentage_use,l_percentage_use,p_percentage_use,g_percentage_use,v_percentage_use,u_percentage_use,k_percentage_use,j_percentage_use,â_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,1.0,10.0,4.0,1.0,1.0,1.0,3.0,6.0,2.0,2.0,2.0,7.0,3.0,7.0,3.0,5.0,7.0,5.0,7.0,5.0,8.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,10.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1504950495049505,0.0891089108910891,0.09207920792079208,0.061386138613861385,0.028712871287128714,0.07524752475247524,0.020792079207920793,0.0702970297029703,0.048514851485148516,0.055445544554455446,0.04257425742574258,0.019801980198019802,0.020792079207920793,0.027722772277227723,0.011881188118811881,0.047524752475247525,0.0009900990099009901,0.04554455445544554,0.009900990099009901,0.009900990099009901,0.01485148514851485,0.024752475247524754,0.0039603960396039604,0.0,0.0,0.0,0.0,249,4.056224899598393,35.42857142857143,147.9722772277228
mormon,1.0,79.0,47.0,10.0,3.0,0.0,17.0,15.0,34.0,4.0,38.0,38.0,13.0,8.0,7.0,14.0,12.0,22.0,11.0,1.0,61.0,0.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,1.0,14.0,25.0,10.0,6.0,3.0,6.0,2.0,5.0,6.0,7.0,5.0,3.0,7.0,5.0,1.0,6.0,1.0,4.0,2.0,0.0,23.0,4.0,1.0,2.0,11.0,14.0,8.0,2.0,1.0,7.0,2.0,2.0,5.0,7.0,12.0,9.0,1.0,1.0,13.0,10.0,1.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12191633893457275,0.09385055416517697,0.07972828030032178,0.03897032534858777,0.01769753307114766,0.0831247765462996,0.016803718269574545,0.08062209510189489,0.05595280657847694,0.05970682874508402,0.044333214158026456,0.011619592420450483,0.02163031819806936,0.033964962459778335,0.02878083661065427,0.05702538434036468,0.0001787629603146228,0.03485877726135145,0.016446192348945298,0.015373614587057561,0.011798355380765105,0.02609939220593493,0.00446907400786557,0.0007150518412584912,0.0007150518412584912,0.0012513407222023596,0.0007150518412584912,1360,4.113235294117647,28.333333333333332,760.9583482302463
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,0.0,28.0,15.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,3.0,2.0,4.0,1.0,1.0,5.0,3.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1280241935483871,0.08770161290322581,0.07862903225806452,0.03528225806451613,0.016129032258064516,0.09173387096774194,0.010080645161290322,0.055443548387096774,0.0625,0.04939516129032258,0.03528225806451613,0.018145161290322582,0.029233870967741934,0.014112903225806451,0.016129032258064516,0.038306451612903226,0.0,0.05443548387096774,0.009072580645161291,0.016129032258064516,0.006048387096774193,0.023185483870967742,0.011088709677419355,0.0020161290322580645,0.0,0.0010080645161290322,0.0,248,4.0,15.5,113.8891129032258
amaleki,1.0,8.0,7.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1076388888888889,0.0625,0.08333333333333333,0.034722222222222224,0.027777777777777776,0.1111111111111111,0.010416666666666666,0.08680555555555555,0.06944444444444445,0.041666666666666664,0.059027777777777776,0.017361111111111112,0.03125,0.034722222222222224,0.006944444444444444,0.05555555555555555,0.003472222222222222,0.0625,0.010416666666666666,0.010416666666666666,0.006944444444444444,0.027777777777777776,0.013888888888888888,0.0,0.003472222222222222,0.0,0.0,70,4.114285714285714,70.0,40.97916666666666
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,8.0,5.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12406947890818859,0.08436724565756824,0.06699751861042183,0.04218362282878412,0.019851116625310174,0.07692307692307693,0.01488833746898263,0.07196029776674938,0.0794044665012407,0.06451612903225806,0.04466501240694789,0.017369727047146403,0.03225806451612903,0.02729528535980149,0.017369727047146403,0.06451612903225806,0.0,0.03225806451612903,0.007444168734491315,0.017369727047146403,0.0024813895781637717,0.019851116625310174,0.007444168734491315,0.004962779156327543,0.007444168734491315,0.0,0.0,103,3.912621359223301,34.333333333333336,47.94789081885857
jacob,1.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12643678160919541,0.08620689655172414,0.10919540229885058,0.07471264367816093,0.028735632183908046,0.1206896551724138,0.04597701149425287,0.034482758620689655,0.06896551724137931,0.040229885057471264,0.022988505747126436,0.022988505747126436,0.040229885057471264,0.005747126436781609,0.005747126436781609,0.05172413793103448,0.0,0.005747126436781609,0.028735632183908046,0.011494252873563218,0.005747126436781609,0.011494252873563218,0.005747126436781609,0.011494252873563218,0.0,0.0,0.0,39,4.461538461538462,19.5,17.965517241379306
jarom,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10891089108910891,0.07920792079207921,0.039603960396039604,0.06930693069306931,0.039603960396039604,0.1188118811881188,0.0297029702970297,0.0891089108910891,0.0594059405940594,0.019801980198019802,0.039603960396039604,0.019801980198019802,0.0297029702970297,0.06930693069306931,0.0297029702970297,0.0297029702970297,0.0,0.019801980198019802,0.009900990099009901,0.0297029702970297,0.0,0.009900990099009901,0.009900990099009901,0.019801980198019802,0.0,0.0,0.0,24,4.208333333333333,24.0,10.97029702970296
