Author,and,now,unto,my,it,is,by,the,of,god,our,lord,his,will,because,me,that,to,wherefore,would,are,have,which,ye,into,from,henceforth,shall,with,him,in,these,your,for,their,them,if,be,then,they,also,hath,said,man,being,not,do,he,or,doeth,as,had,yea,who,no,than,therefore,did,out,there,upon,thus,some,was,may,according,been,again,all,those,we,what,say,but,whom,once,let,forth,other,cometh,much,every,an,thy,thee,should,were,one,when,whosoever,therein,more,without,till,whence,lest,became,could,himself,how,thereof,her,neither,thereby,whoso,whereon,wherein,ought,ever,upward,many,whither,notwithstanding,thyself,whereby,thou,whereof,each,must,whatsoever,yet,wheresoever,thine,inasmuch,make,throughout,anything,thence,wherewith,like,thereon,abundance,whose,therewith,hast,becometh,shouldst,such,outward,seemeth,seest,wherewithal,oft,soever,didst,hence,upwards,where,moreover,shalt,among,verily,m_percentage_use,o_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,i_percentage_use,s_percentage_use,p_percentage_use,e_percentage_use,k_percentage_use,u_percentage_use,t_percentage_use,y_percentage_use,b_percentage_use,l_percentage_use,v_percentage_use,h_percentage_use,g_percentage_use,c_percentage_use,f_percentage_use,j_percentage_use,x_percentage_use,â_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,6.0,2.0,7.0,2.0,6.0,5.0,3.0,11.0,10.0,5.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,7.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029288702928870293,0.10146443514644352,0.06380753138075314,0.056485355648535567,0.05230125523012552,0.03765690376569038,0.0198744769874477,0.07217573221757322,0.038702928870292884,0.010460251046025104,0.11820083682008369,0.007322175732217573,0.027196652719665274,0.09205020920502092,0.01778242677824268,0.0198744769874477,0.032426778242677826,0.007322175732217573,0.08263598326359832,0.02510460251046025,0.02301255230125523,0.0397489539748954,0.0020920502092050207,0.0010460251046025104,0.0,0.0,0.0,242,3.950413223140496,34.42857142857143,139.9780334728033
mormon,80.0,24.0,18.0,12.0,25.0,25.0,5.0,148.0,115.0,26.0,2.0,7.0,12.0,5.0,4.0,0.0,45.0,62.0,0.0,7.0,19.0,18.0,22.0,13.0,3.0,15.0,0.0,22.0,3.0,1.0,20.0,5.0,4.0,27.0,20.0,5.0,10.0,39.0,3.0,26.0,7.0,2.0,0.0,12.0,2.0,19.0,13.0,15.0,17.0,0.0,18.0,5.0,13.0,5.0,6.0,1.0,10.0,1.0,5.0,13.0,5.0,5.0,2.0,13.0,2.0,9.0,12.0,7.0,12.0,6.0,5.0,1.0,10.0,10.0,1.0,1.0,1.0,6.0,4.0,4.0,1.0,4.0,3.0,1.0,3.0,17.0,13.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,9.0,2.0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021965070181077895,0.08571734704810886,0.062145076609878926,0.07778849244615879,0.06128790313939784,0.04264438015643416,0.01800064288010286,0.05839494267652416,0.05893067609557484,0.01671488267438123,0.12279009964641595,0.005143040822886531,0.026893817636344155,0.09557484195864138,0.015964855887710277,0.01532197578484946,0.037072752598307085,0.007285974499089253,0.06664523732990464,0.015107682417229186,0.02207221686488803,0.027858137790635378,0.002678667095253402,0.0011786135219114969,0.0016072002571520412,0.0006428801028608164,0.0,2198,4.246132848043676,45.770833333333336,1252.967427408122
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,39.0,0.0,3.0,4.0,7.0,2.0,4.0,37.0,23.0,1.0,0.0,6.0,3.0,2.0,1.0,0.0,9.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,0.0,12.0,4.0,0.0,8.0,0.0,0.0,6.0,7.0,4.0,0.0,9.0,2.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023232323232323233,0.06565656565656566,0.051515151515151514,0.07676767676767676,0.07575757575757576,0.05101010101010101,0.014646464646464647,0.05505050505050505,0.04242424242424243,0.015151515151515152,0.1191919191919192,0.0030303030303030303,0.024242424242424242,0.08888888888888889,0.016666666666666666,0.016666666666666666,0.047979797979797977,0.007070707070707071,0.07424242424242425,0.01717171717171717,0.012121212121212121,0.02878787878787879,0.0035353535353535356,0.000505050505050505,0.0,0.000505050505050505,0.0015151515151515152,485,4.082474226804123,30.3125,253.93333333333325
amaleki,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037383177570093455,0.06542056074766354,0.018691588785046728,0.102803738317757,0.09345794392523364,0.06542056074766354,0.009345794392523364,0.12149532710280374,0.08411214953271028,0.0,0.11214953271028037,0.009345794392523364,0.0,0.04672897196261682,0.009345794392523364,0.028037383177570093,0.028037383177570093,0.018691588785046728,0.08411214953271028,0.009345794392523364,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,28,3.8214285714285716,28.0,12.962616822429904
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,3.0,1.0,1.0,3.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03626943005181347,0.08808290155440414,0.04922279792746114,0.05958549222797927,0.06217616580310881,0.04404145077720207,0.023316062176165803,0.09067357512953368,0.038860103626943004,0.007772020725388601,0.10880829015544041,0.0025906735751295338,0.025906735751295335,0.08808290155440414,0.03367875647668394,0.025906735751295335,0.025906735751295335,0.010362694300518135,0.06735751295336788,0.025906735751295335,0.031088082901554404,0.02849740932642487,0.007772020725388601,0.0025906735751295338,0.0,0.0,0.0,94,4.1063829787234045,47.0,43.9844559585492
jarom,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03067484662576687,0.0736196319018405,0.06748466257668712,0.06134969325153374,0.06748466257668712,0.049079754601226995,0.012269938650306749,0.06134969325153374,0.03680981595092025,0.03680981595092025,0.11042944785276074,0.012269938650306749,0.024539877300613498,0.12269938650306748,0.03067484662576687,0.012269938650306749,0.018404907975460124,0.0,0.06748466257668712,0.018404907975460124,0.03067484662576687,0.024539877300613498,0.006134969325153374,0.0,0.0,0.0,0.0,38,4.2894736842105265,38.0,21.97546012269938
