Author,and,now,my,unto,that,which,me,for,it,there,should,among,if,have,the,been,of,your,ye,be,from,had,these,lord,to,by,did,god,wherefore,is,say,shall,those,who,are,yea,they,must,as,their,all,with,no,neither,will,do,an,not,but,let,upon,thereof,without,may,because,in,them,thou,whom,forth,his,would,he,thee,more,thy,also,we,our,him,than,therefore,much,hast,many,when,or,out,into,according,thus,till,were,was,one,other,every,make,could,lest,hath,yet,like,thereby,whoso,whereon,once,wherein,ought,himself,ever,then,upward,whither,notwithstanding,thyself,whereby,whereof,her,each,whence,whatsoever,wheresoever,thine,inasmuch,therein,throughout,anything,thence,said,thereon,wherewith,abundance,henceforth,again,whose,therewith,man,becometh,shouldst,cometh,such,outward,seemeth,how,seest,wherewithal,oft,whosoever,soever,didst,some,hence,became,where,moreover,shalt,being,doeth,upwards,what,verily,m_percentage_use,o_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,y_percentage_use,s_percentage_use,i_percentage_use,p_percentage_use,e_percentage_use,k_percentage_use,u_percentage_use,t_percentage_use,c_percentage_use,g_percentage_use,h_percentage_use,v_percentage_use,x_percentage_use,l_percentage_use,f_percentage_use,b_percentage_use,q_percentage_use,z_percentage_use,â_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,10.0,2.0,3.0,6.0,8.0,1.0,4.0,5.0,2.0,2.0,4.0,3.0,1.0,3.0,13.0,1.0,8.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03759398496240601,0.08458646616541353,0.05827067669172932,0.05921052631578947,0.06954887218045112,0.042293233082706765,0.010338345864661654,0.023496240601503758,0.047932330827067667,0.06954887218045112,0.015037593984962405,0.1174812030075188,0.002819548872180451,0.023496240601503758,0.10056390977443609,0.022556390977443608,0.018796992481203006,0.06672932330827068,0.008458646616541353,0.0009398496240601503,0.045112781954887216,0.020676691729323307,0.017857142857142856,0.0009398496240601503,0.0018796992481203006,0.0009398496240601503,0.0,232,4.586206896551724,33.142857142857146,115.96710526315788
mormon,87.0,13.0,10.0,12.0,32.0,17.0,3.0,20.0,7.0,4.0,12.0,1.0,9.0,16.0,98.0,4.0,71.0,3.0,16.0,12.0,5.0,14.0,7.0,7.0,43.0,12.0,4.0,3.0,0.0,3.0,0.0,9.0,6.0,3.0,15.0,6.0,50.0,1.0,5.0,29.0,8.0,12.0,1.0,3.0,18.0,9.0,6.0,24.0,9.0,4.0,6.0,1.0,1.0,7.0,4.0,29.0,15.0,7.0,5.0,3.0,5.0,7.0,5.0,3.0,2.0,4.0,5.0,34.0,27.0,1.0,1.0,7.0,2.0,4.0,4.0,5.0,6.0,3.0,4.0,1.0,9.0,1.0,19.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027196118488253318,0.07852400408580183,0.05247701736465781,0.07992849846782431,0.06460674157303371,0.04405005107252298,0.026813074565883555,0.02425944841675179,0.055030643513789584,0.059244126659857,0.016726251276813073,0.11759448416751787,0.005107252298263534,0.029111338100102146,0.09627170582226761,0.018769152196118487,0.013023493360572012,0.07494892747701737,0.008810010214504596,0.0008937691521961185,0.03881511746680286,0.02259959141981614,0.012640449438202247,0.0002553626149131767,0.0005107252298263534,0.00038304392236976505,0.0010214504596527069,1865,4.19946380697051,38.875,1010.9696118488254
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,27.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,54.0,0.0,30.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,4.0,1.0,0.0,0.0,0.0,5.0,0.0,25.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,10.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01643192488262911,0.06572769953051644,0.04342723004694836,0.08098591549295775,0.05868544600938967,0.04460093896713615,0.014084507042253521,0.007629107981220657,0.05868544600938967,0.0539906103286385,0.011737089201877934,0.11971830985915492,0.007629107981220657,0.020539906103286387,0.08568075117370892,0.012910798122065728,0.022300469483568074,0.09917840375586855,0.004694835680751174,0.0005868544600938967,0.06279342723004695,0.029342723004694836,0.011737089201877934,0.0011737089201877935,0.0005868544600938967,0.0005868544600938967,0.002347417840375587,437,3.8993135011441646,27.3125,216.93779342723008
amaleki,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050314465408805034,0.06918238993710692,0.031446540880503145,0.11949685534591195,0.11949685534591195,0.050314465408805034,0.031446540880503145,0.012578616352201259,0.031446540880503145,0.07547169811320754,0.012578616352201259,0.1069182389937107,0.025157232704402517,0.012578616352201259,0.06289308176100629,0.018867924528301886,0.018867924528301886,0.050314465408805034,0.012578616352201259,0.0,0.03773584905660377,0.012578616352201259,0.012578616352201259,0.0,0.0,0.0,0.0,44,3.6136363636363638,44.0,22.974842767295595
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022556390977443608,0.10150375939849623,0.06015037593984962,0.07142857142857142,0.06390977443609022,0.045112781954887216,0.018796992481203006,0.045112781954887216,0.04887218045112782,0.07142857142857142,0.0037593984962406013,0.07518796992481203,0.011278195488721804,0.05639097744360902,0.09398496240601503,0.018796992481203006,0.0,0.05639097744360902,0.0037593984962406013,0.0,0.041353383458646614,0.022556390977443608,0.02631578947368421,0.0037593984962406013,0.0,0.0,0.007518796992481203,63,4.222222222222222,31.5,36.96992481203005
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
