Author,lord,thou,hast,because,of,our,and,forth,for,these,many,we,have,been,in,the,unto,upon,me,thine,from,thy,not,that,they,shall,but,which,out,all,do,whatsoever,man,therefore,with,them,may,to,lest,he,should,had,thyself,yea,god,let,what,will,among,be,as,said,being,thus,make,into,himself,their,now,say,who,his,when,an,ye,whosoever,those,would,are,or,whose,whom,every,one,ever,how,were,again,henceforth,is,him,it,hath,was,must,there,cometh,by,also,ought,such,no,neither,then,did,if,could,more,according,yet,your,my,wherefore,thereof,other,than,thereby,whoso,whereon,much,once,wherein,upward,whither,thee,notwithstanding,whereby,whereof,her,each,whence,without,wheresoever,anything,inasmuch,therein,throughout,thence,wherewith,like,thereon,abundance,therewith,till,becometh,shouldst,outward,seemeth,seest,wherewithal,oft,soever,didst,some,hence,became,where,moreover,shalt,doeth,upwards,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,b_percentage_use,o_percentage_use,l_percentage_use,d_percentage_use,u_percentage_use,a_percentage_use,s_percentage_use,m_percentage_use,i_percentage_use,n_percentage_use,c_percentage_use,f_percentage_use,q_percentage_use,y_percentage_use,v_percentage_use,w_percentage_use,k_percentage_use,p_percentage_use,g_percentage_use,j_percentage_use,â_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,9.0,8.0,4.0,1.0,8.0,3.0,11.0,5.0,4.0,3.0,1.0,8.0,4.0,2.0,5.0,10.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,9.0,4.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12488083889418494,0.10867492850333652,0.09246901811248809,0.06387035271687322,0.011439466158245948,0.08579599618684461,0.04194470924690181,0.03813155386081983,0.03336510962821735,0.0667302192564347,0.05910390848427073,0.019065776930409915,0.04003813155386082,0.05910390848427073,0.011439466158245948,0.027645376549094377,0.0009532888465204957,0.017159199237368923,0.008579599618684462,0.028598665395614873,0.010486177311725452,0.01334604385128694,0.014299332697807437,0.0,0.0,0.0,0.0,263,3.988593155893536,37.57142857142857,148.9771210676835
mormon,18.0,0.0,0.0,3.0,60.0,2.0,90.0,2.0,21.0,8.0,2.0,0.0,31.0,5.0,17.0,113.0,18.0,7.0,2.0,0.0,7.0,2.0,22.0,45.0,31.0,37.0,4.0,8.0,1.0,17.0,1.0,0.0,0.0,7.0,4.0,13.0,1.0,30.0,0.0,14.0,2.0,3.0,0.0,16.0,17.0,0.0,1.0,7.0,1.0,22.0,8.0,2.0,6.0,5.0,1.0,5.0,2.0,19.0,7.0,11.0,17.0,19.0,5.0,3.0,16.0,1.0,10.0,7.0,22.0,5.0,1.0,1.0,4.0,1.0,2.0,4.0,8.0,3.0,1.0,13.0,5.0,7.0,9.0,4.0,1.0,6.0,3.0,5.0,5.0,3.0,4.0,8.0,1.0,2.0,1.0,6.0,2.0,1.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13232612659546758,0.08648085438916385,0.08400625162802813,0.05248762698619432,0.014196405313883824,0.07710341234696536,0.04245897369106538,0.045845272206303724,0.021620213597290962,0.08101067986454806,0.05991143526960146,0.024615785360771036,0.058088043761396195,0.06368846053659807,0.018364157332638707,0.022922636103151862,0.00039072675175827037,0.01914561083615525,0.013805678562125553,0.016150039072675176,0.003907267517582704,0.012373013805678562,0.014456889815056004,0.0015629070070330815,0.0007814535035165407,0.0005209690023443605,0.00026048450117218026,1773,4.330513254371122,36.895833333333336,1004.9684813753581
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,0.0,3.0,0.0,2.0,32.0,0.0,30.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,45.0,1.0,0.0,0.0,0.0,2.0,9.0,0.0,1.0,4.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14452896430661205,0.09069631363370392,0.09479227618490345,0.04622586307782329,0.022820362785254535,0.06729081334113517,0.042129900526623756,0.05090696313633704,0.013458162668227034,0.06436512580456408,0.049151550614394385,0.022235225277940317,0.0526623756582797,0.05968402574605032,0.015213575190169689,0.02984201287302516,0.0,0.014628437682855471,0.009362200117027502,0.017554125219426564,0.0052662375658279695,0.006436512580456407,0.013458162668227034,0.0023405500292568754,0.0,0.0,0.0,407,4.199017199017199,25.4375,203.93504973668811
amaleki,2.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11931818181818182,0.07670454545454546,0.08238636363636363,0.048295454545454544,0.008522727272727272,0.07102272727272728,0.045454545454545456,0.08522727272727272,0.017045454545454544,0.08806818181818182,0.04261363636363636,0.03125,0.05113636363636364,0.07670454545454546,0.028409090909090908,0.014204545454545454,0.0,0.03409090909090909,0.002840909090909091,0.028409090909090908,0.002840909090909091,0.017045454545454544,0.014204545454545454,0.0,0.0,0.0,0.002840909090909091,84,4.190476190476191,84.0,56.98863636363636
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12140575079872204,0.06070287539936102,0.054313099041533544,0.04153354632587859,0.003194888178913738,0.0670926517571885,0.038338658146964855,0.06389776357827476,0.02875399361022364,0.08306709265175719,0.04153354632587859,0.038338658146964855,0.07987220447284345,0.0926517571884984,0.02875399361022364,0.009584664536741214,0.0,0.03514376996805112,0.009584664536741214,0.025559105431309903,0.009584664536741214,0.012779552715654952,0.025559105431309903,0.0,0.0,0.0,0.0,82,3.817073170731707,27.333333333333332,37.97124600638977
jacob,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13283208020050125,0.08771929824561403,0.08020050125313283,0.040100250626566414,0.015037593984962405,0.07268170426065163,0.040100250626566414,0.03007518796992481,0.017543859649122806,0.08270676691729323,0.05263157894736842,0.03508771929824561,0.06015037593984962,0.05513784461152882,0.045112781954887216,0.02756892230576441,0.0,0.012531328320802004,0.012531328320802004,0.020050125313283207,0.0,0.03258145363408521,0.020050125313283207,0.012531328320802004,0.0,0.0,0.0,90,4.433333333333334,45.0,39.98496240601504
jarom,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13622291021671826,0.1238390092879257,0.06811145510835913,0.06811145510835913,0.01238390092879257,0.06501547987616099,0.04024767801857585,0.018575851393188854,0.021671826625386997,0.08359133126934984,0.058823529411764705,0.02786377708978328,0.06501547987616099,0.06811145510835913,0.006191950464396285,0.04024767801857585,0.0,0.02476780185758514,0.015479876160990712,0.021671826625386997,0.0,0.01238390092879257,0.009287925696594427,0.0030959752321981426,0.0,0.0,0.0,78,4.141025641025641,78.0,46.99071207430339
