Author,for,have,to,it,be,him,of,god,that,shall,with,an,his,or,the,and,lord,he,out,unto,according,yea,forth,by,if,there,they,man,but,we,no,all,therefore,let,lest,in,me,ye,which,is,again,what,who,are,say,will,not,hath,into,cometh,when,my,them,then,their,one,verily,these,as,may,from,among,should,your,because,thus,thy,had,been,those,yet,than,whosoever,said,upon,whom,also,many,whereby,now,ought,must,other,would,were,was,how,did,wherefore,our,more,do,much,like,thereby,whoso,whereon,once,wherein,himself,ever,upward,whither,thee,notwithstanding,thyself,thou,whereof,her,each,whence,without,whatsoever,wheresoever,thine,inasmuch,therein,throughout,every,make,anything,thence,wherewith,thereon,neither,abundance,could,henceforth,whose,therewith,hast,till,becometh,shouldst,such,outward,seemeth,seest,wherewithal,oft,soever,didst,some,hence,became,where,moreover,shalt,being,doeth,upwards,thereof,m_percentage_use,o_percentage_use,r_percentage_use,f_percentage_use,n_percentage_use,e_percentage_use,c_percentage_use,a_percentage_use,h_percentage_use,v_percentage_use,p_percentage_use,w_percentage_use,t_percentage_use,b_percentage_use,i_percentage_use,g_percentage_use,l_percentage_use,s_percentage_use,d_percentage_use,y_percentage_use,u_percentage_use,k_percentage_use,â_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,5.0,1.0,7.0,7.0,15.0,3.0,18.0,5.0,8.0,13.0,1.0,1.0,4.0,2.0,23.0,13.0,7.0,8.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026204564666103127,0.08622147083685545,0.055790363482671176,0.029585798816568046,0.0566356720202874,0.11834319526627218,0.013524936601859678,0.07269653423499578,0.08706677937447169,0.005917159763313609,0.0084530853761623,0.02282333051563821,0.09382924767540152,0.024513947590870666,0.047337278106508875,0.0253592561284869,0.058326289095519866,0.05409974640743871,0.04311073541842773,0.009298393913778529,0.016060862214708368,0.006762468300929839,0.00253592561284869,0.0016906170752324597,0.0,0.0,0.0,293,4.037542662116041,41.857142857142854,187.96618765849541
mormon,16.0,7.0,17.0,15.0,39.0,5.0,56.0,1.0,48.0,65.0,7.0,0.0,7.0,0.0,110.0,58.0,0.0,12.0,1.0,49.0,2.0,6.0,10.0,3.0,3.0,3.0,26.0,1.0,2.0,0.0,0.0,10.0,5.0,0.0,0.0,21.0,5.0,10.0,23.0,7.0,3.0,1.0,10.0,8.0,8.0,14.0,11.0,9.0,1.0,1.0,8.0,28.0,21.0,11.0,13.0,1.0,10.0,12.0,8.0,12.0,7.0,16.0,11.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029551370387383247,0.06446179758076864,0.04134129536058796,0.02388608176389527,0.0649211453069974,0.12968917470525188,0.018680140866636042,0.07732353391517378,0.09462563160312357,0.008727606798346348,0.015005359056806002,0.0191394885928648,0.09784106568672485,0.013014852243148063,0.050528249885163065,0.015770938600520593,0.04884397488899097,0.05068136579390599,0.028020211299954065,0.024957893125095696,0.023426734037666513,0.004440361353544633,0.000765579543714592,0.0021436227224008574,0.00045934772622875517,0.0001531159087429184,0.0001531159087429184,1620,4.031481481481482,33.770833333333336,921.9485530546622
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,5.0,6.0,7.0,2.0,9.0,2.0,29.0,10.0,10.0,7.0,0.0,1.0,1.0,1.0,42.0,23.0,4.0,1.0,1.0,10.0,1.0,0.0,2.0,6.0,0.0,1.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,0.0,7.0,1.0,5.0,5.0,3.0,0.0,0.0,2.0,8.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029252925292529253,0.06975697569756975,0.05850585058505851,0.0297029702970297,0.06345634563456345,0.1467146714671467,0.016201620162016202,0.063006300630063,0.07200720072007201,0.010351035103510351,0.010801080108010801,0.01755175517551755,0.08370837083708371,0.022952295229522954,0.050855085508550855,0.01935193519351935,0.043204320432043204,0.04770477047704771,0.037803780378037805,0.018001800180018002,0.024302430243024302,0.0027002700270027003,0.0013501350135013501,0.0009000900090009,0.0,0.0,0.00045004500450045,540,4.114814814814815,33.75,294.9405940594059
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011019283746556474,0.08264462809917356,0.08264462809917356,0.03305785123966942,0.05509641873278237,0.12672176308539945,0.027548209366391185,0.07713498622589532,0.05234159779614325,0.013774104683195593,0.01928374655647383,0.013774104683195593,0.08264462809917356,0.011019283746556474,0.05234159779614325,0.013774104683195593,0.03581267217630854,0.05234159779614325,0.03581267217630854,0.03856749311294766,0.05234159779614325,0.005509641873278237,0.0,0.005509641873278237,0.0,0.0,0.0027548209366391185,90,4.033333333333333,45.0,46.98347107438016
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
