Author,yea,it,shall,in,when,there,be,of,and,also,upon,the,all,many,who,will,say,do,or,that,not,for,lord,such,but,unto,they,are,me,your,ye,have,to,god,cometh,these,must,hath,which,forth,among,is,we,thee,thy,if,thou,hast,with,him,my,our,he,his,by,been,those,from,now,could,as,were,them,was,would,then,let,no,more,should,again,had,because,therefore,how,much,may,thereby,their,like,according,make,throughout,out,whom,moreover,into,an,than,man,yet,neither,one,said,ought,ever,what,whereof,lest,wherefore,other,thereon,whose,thus,whoso,whereon,once,wherein,himself,upward,whither,notwithstanding,thyself,whereby,her,each,whence,without,whatsoever,wheresoever,thine,inasmuch,every,therein,anything,thence,wherewith,abundance,henceforth,therewith,till,becometh,shouldst,outward,seemeth,seest,wherewithal,oft,whosoever,soever,didst,some,did,hence,where,became,shalt,being,doeth,upwards,thereof,verily,m_percentage_use,o_percentage_use,r_percentage_use,y_percentage_use,e_percentage_use,a_percentage_use,i_percentage_use,t_percentage_use,s_percentage_use,h_percentage_use,l_percentage_use,c_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,b_percentage_use,f_percentage_use,p_percentage_use,v_percentage_use,k_percentage_use,g_percentage_use,u_percentage_use,q_percentage_use,â_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,3.0,4.0,12.0,7.0,6.0,6.0,8.0,11.0,15.0,1.0,2.0,10.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,1.0,4.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038204393505253106,0.0830945558739255,0.05730659025787966,0.029608404966571154,0.10506208213944604,0.08022922636103152,0.044890162368672396,0.07640878701050621,0.05826170009551098,0.07449856733524356,0.05730659025787966,0.02005730659025788,0.06494746895893028,0.04297994269340974,0.018147086914995225,0.019102196752626553,0.02387774594078319,0.011461318051575931,0.009551098376313277,0.004775549188156638,0.019102196752626553,0.03247373447946514,0.0019102196752626551,0.0,0.0,0.0,0.0,252,4.154761904761905,36.0,143.97325692454626
mormon,5.0,9.0,15.0,28.0,4.0,2.0,25.0,71.0,108.0,9.0,2.0,89.0,16.0,5.0,6.0,12.0,13.0,14.0,8.0,95.0,19.0,16.0,12.0,0.0,6.0,41.0,13.0,14.0,9.0,24.0,58.0,44.0,50.0,31.0,0.0,20.0,2.0,14.0,24.0,0.0,2.0,5.0,31.0,1.0,1.0,17.0,3.0,1.0,11.0,8.0,33.0,42.0,27.0,16.0,11.0,13.0,1.0,10.0,9.0,6.0,18.0,6.0,17.0,4.0,10.0,2.0,3.0,6.0,4.0,33.0,1.0,4.0,6.0,6.0,2.0,2.0,14.0,7.0,6.0,3.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,1.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03469567774184063,0.08448495540527295,0.052337547780064685,0.030677251788689602,0.12143487209644223,0.07938841517200823,0.05194550622365971,0.08811133980201902,0.058316181515240616,0.07772223855728708,0.037145937469371754,0.017445849260021563,0.06066843085367049,0.045770851710281286,0.01822993237283152,0.01656375575811036,0.017739880427325296,0.013133392139566795,0.013427423306870528,0.006272664902479663,0.016857786925414092,0.03508771929824561,0.00029403116730373417,0.0004900519455062237,0.0007840831128099579,0.0004900519455062237,9.801038910124473e-05,2501,4.079568172730908,52.104166666666664,1377.979613839067
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,1.0,3.0,14.0,2.0,0.0,1.0,9.0,20.0,17.0,0.0,0.0,36.0,3.0,0.0,4.0,8.0,0.0,3.0,0.0,10.0,4.0,10.0,10.0,0.0,0.0,10.0,7.0,6.0,12.0,1.0,6.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,2.0,7.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02678093197643278,0.07070166041778254,0.047670058918050345,0.01981788966256026,0.1387252276379218,0.06695232994108195,0.05356186395286556,0.08784145688269952,0.04659882163899304,0.08998393144081414,0.059989287627209426,0.010176754151044456,0.06052490626673808,0.03481521156936261,0.022495982860203535,0.01713979646491698,0.03427959292983396,0.0096411355115158,0.007498660953401178,0.0048205677557579,0.01339046598821639,0.016604177825388325,0.0,0.0010712372790573112,0.0005356186395286556,0.0,0.0010712372790573112,482,3.8734439834024896,30.125,272.9426888055704
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024444444444444446,0.07111111111111111,0.06444444444444444,0.02,0.14444444444444443,0.06,0.06444444444444444,0.08444444444444445,0.05333333333333334,0.07777777777777778,0.035555555555555556,0.02666666666666667,0.057777777777777775,0.04666666666666667,0.022222222222222223,0.035555555555555556,0.02,0.008888888888888889,0.017777777777777778,0.0044444444444444444,0.008888888888888889,0.03111111111111111,0.0022222222222222222,0.0,0.0044444444444444444,0.0,0.0,95,4.7368421052631575,47.5,53.98666666666668
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
