Author,god,the,we,thee,in,of,thy,to,and,all,those,who,it,that,they,may,unto,are,upon,them,him,his,which,he,hath,have,be,with,do,was,for,lord,will,or,not,if,our,again,from,their,out,whither,shall,but,forth,into,is,let,now,my,how,ye,your,what,these,yea,also,such,an,one,whose,say,make,would,could,were,been,must,there,among,should,when,as,no,notwithstanding,by,whosoever,whatsoever,cometh,therefore,man,becometh,doeth,being,me,according,whereof,many,moreover,thus,every,than,wherewith,had,much,more,said,thou,hast,wherefore,himself,then,whoso,because,thereby,whereon,lest,once,wherein,ought,ever,upward,thyself,whereby,her,each,whence,without,whom,yet,wheresoever,thine,inasmuch,therein,other,throughout,anything,thence,like,thereon,neither,abundance,henceforth,therewith,till,shouldst,outward,seemeth,seest,wherewithal,oft,soever,didst,some,did,hence,where,became,shalt,upwards,thereof,verily,m_percentage_use,o_percentage_use,r_percentage_use,g_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,n_percentage_use,a_percentage_use,l_percentage_use,f_percentage_use,w_percentage_use,s_percentage_use,k_percentage_use,i_percentage_use,y_percentage_use,j_percentage_use,u_percentage_use,c_percentage_use,b_percentage_use,p_percentage_use,v_percentage_use,q_percentage_use,x_percentage_use,â_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,5.0,24.0,5.0,4.0,6.0,16.0,5.0,7.0,10.0,3.0,2.0,4.0,8.0,16.0,8.0,9.0,6.0,2.0,1.0,7.0,3.0,4.0,3.0,6.0,1.0,3.0,7.0,2.0,2.0,1.0,2.0,7.0,7.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03228285933897002,0.07455803228285934,0.054573405073020755,0.011529592621060722,0.033820138355111454,0.12144504227517294,0.09684857801691008,0.12144504227517294,0.05841660261337433,0.07763259031514219,0.03920061491160646,0.02997694081475788,0.026902382782475018,0.04611837048424289,0.006917755572636433,0.056110684089162186,0.02536510376633359,0.0015372790161414297,0.02382782475019216,0.015372790161414296,0.013835511145272867,0.003843197540353574,0.006917755572636433,0.0007686395080707148,0.0,0.0,0.0,345,3.7710144927536233,49.285714285714285,219.97924673328208
mormon,19.0,117.0,0.0,0.0,28.0,78.0,0.0,37.0,86.0,11.0,1.0,8.0,7.0,78.0,12.0,3.0,55.0,29.0,5.0,6.0,8.0,21.0,19.0,22.0,11.0,26.0,16.0,6.0,17.0,0.0,22.0,4.0,15.0,4.0,39.0,12.0,4.0,4.0,7.0,4.0,4.0,0.0,9.0,7.0,3.0,3.0,33.0,0.0,15.0,16.0,2.0,58.0,15.0,4.0,7.0,26.0,7.0,6.0,7.0,11.0,1.0,28.0,2.0,3.0,3.0,6.0,10.0,5.0,5.0,7.0,8.0,1.0,4.0,2.0,1.0,12.0,3.0,3.0,5.0,3.0,2.0,1.0,1.0,1.0,13.0,5.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027621776504297993,0.08515759312320917,0.04653295128939828,0.017421203438395417,0.041031518624641834,0.09191977077363897,0.07782234957020057,0.11587392550143266,0.06441260744985673,0.08332378223495703,0.03908309455587392,0.0233810888252149,0.018911174785100286,0.0504297994269341,0.0071060171919770775,0.05833810888252149,0.03358166189111748,0.0010315186246418338,0.02991404011461318,0.02017191977077364,0.015358166189111748,0.015587392550143266,0.011346704871060173,0.00045845272206303727,0.0005730659025787965,0.00022922636103151864,0.0003438395415472779,2193,3.9785681714546284,45.625,1234.9769627507158
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,8.0,61.0,0.0,0.0,7.0,29.0,2.0,5.0,27.0,5.0,1.0,1.0,5.0,11.0,8.0,0.0,14.0,1.0,2.0,3.0,2.0,0.0,6.0,4.0,1.0,1.0,15.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,19.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,1.0,4.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025986078886310906,0.07517401392111368,0.03480278422273782,0.014385150812064965,0.03665893271461717,0.10255220417633411,0.08955916473317865,0.12575406032482597,0.06867749419953596,0.07795823665893271,0.05568445475638051,0.025986078886310906,0.01577726218097448,0.06264501160092807,0.0064965197215777265,0.04593967517401392,0.008352668213457077,0.0018561484918793504,0.01948955916473318,0.016241299303944315,0.023665893271461718,0.008816705336426913,0.0069605568445475635,0.0,0.0,0.0009280742459396752,0.0,527,4.089184060721062,32.875,313.95034802784227
amaleki,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05194805194805195,0.07792207792207792,0.03896103896103896,0.006493506493506494,0.03896103896103896,0.09740259740259741,0.06493506493506493,0.11038961038961038,0.025974025974025976,0.12987012987012986,0.032467532467532464,0.01948051948051948,0.012987012987012988,0.03896103896103896,0.012987012987012988,0.06493506493506493,0.012987012987012988,0.012987012987012988,0.01948051948051948,0.032467532467532464,0.01948051948051948,0.025974025974025976,0.012987012987012988,0.0,0.0,0.0,0.012987012987012988,33,4.666666666666667,33.0,13.974025974025974
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,6.0,0.0,0.0,2.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031746031746031744,0.06031746031746032,0.050793650793650794,0.03492063492063492,0.06031746031746032,0.08253968253968254,0.06349206349206349,0.10158730158730159,0.08571428571428572,0.09206349206349207,0.04126984126984127,0.015873015873015872,0.015873015873015872,0.05714285714285714,0.0031746031746031746,0.07936507936507936,0.022222222222222223,0.0,0.01904761904761905,0.012698412698412698,0.015873015873015872,0.012698412698412698,0.0031746031746031746,0.0,0.0,0.0,0.0,78,4.038461538461538,26.0,42.961904761904805
jacob,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030042918454935622,0.0815450643776824,0.04721030042918455,0.017167381974248927,0.04291845493562232,0.06437768240343347,0.07296137339055794,0.10300429184549356,0.07725321888412018,0.0815450643776824,0.02575107296137339,0.030042918454935622,0.02575107296137339,0.04721030042918455,0.008583690987124463,0.055793991416309016,0.017167381974248927,0.008583690987124463,0.03862660944206009,0.04291845493562232,0.017167381974248927,0.030042918454935622,0.004291845493562232,0.0,0.004291845493562232,0.0,0.0,51,4.568627450980392,25.5,29.974248927038627
jarom,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04784688995215311,0.06698564593301436,0.05263157894736842,0.009569377990430622,0.03349282296650718,0.0861244019138756,0.08133971291866028,0.10526315789473684,0.09090909090909091,0.11004784688995216,0.023923444976076555,0.0430622009569378,0.014354066985645933,0.03827751196172249,0.014354066985645933,0.06698564593301436,0.023923444976076555,0.004784688995215311,0.014354066985645933,0.03349282296650718,0.0,0.004784688995215311,0.019138755980861243,0.0,0.0,0.0,0.0,46,4.543478260869565,46.0,31.985645933014357
