Author,and,it,to,that,the,of,did,unto,lord,had,upon,their,also,they,were,not,again,his,according,which,been,by,him,said,into,was,being,with,every,in,them,is,thus,all,therefore,as,notwithstanding,there,many,one,yea,god,for,now,whosoever,or,out,could,he,what,neither,because,would,be,ever,but,among,became,more,who,those,should,abundance,such,do,when,these,have,without,throughout,no,an,let,man,himself,much,from,we,my,wherefore,will,our,hath,must,if,may,shall,how,thereby,whoso,whereon,lest,once,ye,wherein,ought,then,upward,whither,thee,thyself,whereby,thou,whereof,her,each,whence,whatsoever,whom,say,yet,wheresoever,thine,inasmuch,therein,other,me,your,make,anything,thence,wherewith,like,thereon,henceforth,forth,whose,therewith,hast,till,becometh,shouldst,than,cometh,outward,seemeth,seest,wherewithal,thy,oft,soever,didst,are,some,hence,doeth,where,moreover,shalt,upwards,thereof,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,c_percentage_use,m_percentage_use,o_percentage_use,p_percentage_use,s_percentage_use,b_percentage_use,f_percentage_use,j_percentage_use,y_percentage_use,u_percentage_use,l_percentage_use,w_percentage_use,k_percentage_use,g_percentage_use,v_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,â_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,22.0,5.0,6.0,8.0,18.0,13.0,8.0,4.0,4.0,4.0,3.0,5.0,5.0,7.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11735205616850551,0.09929789368104312,0.09027081243731194,0.06720160481444333,0.09729187562688064,0.05917753259779338,0.06920762286860582,0.05917753259779338,0.026078234704112337,0.023069207622868605,0.06018054162487462,0.015045135406218655,0.05015045135406219,0.012036108324974924,0.025075225677031094,0.007021063189568706,0.022066198595787363,0.011033099297893681,0.02708124373119358,0.020060180541624874,0.0050150451354062184,0.007021063189568706,0.0050150451354062184,0.0,0.0,0.0,0.0,243,4.102880658436214,34.857142857142854,149.97492477432297
mormon,110.0,24.0,57.0,46.0,131.0,70.0,20.0,12.0,11.0,12.0,5.0,29.0,4.0,35.0,30.0,16.0,6.0,19.0,4.0,8.0,2.0,9.0,5.0,6.0,0.0,17.0,8.0,11.0,4.0,26.0,22.0,0.0,1.0,17.0,5.0,10.0,1.0,12.0,10.0,3.0,5.0,28.0,14.0,15.0,2.0,4.0,3.0,5.0,38.0,3.0,2.0,2.0,6.0,10.0,1.0,3.0,8.0,8.0,1.0,8.0,10.0,12.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12415974693554764,0.09305390800052722,0.0867272966917095,0.04969025965467247,0.08475023065770397,0.06405693950177936,0.05087649927507579,0.05786213259522868,0.026888098062475288,0.030578621325952286,0.07486490048767629,0.018057203110583894,0.054435218136285754,0.014498484249373928,0.01818900751285093,0.0007908264136022143,0.01265322261763543,0.023592988005799394,0.029128772901014895,0.019243442730987215,0.004217740872545143,0.022670357189930143,0.006590220113351786,0.0005272176090681429,0.00039541320680110717,0.00092263081586925,0.00026360880453407144,1752,4.330479452054795,36.5,1038.969684987478
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,33.0,11.0,14.0,19.0,37.0,26.0,4.0,15.0,4.0,3.0,3.0,0.0,2.0,2.0,3.0,2.0,1.0,4.0,0.0,8.0,3.0,2.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,10.0,3.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,2.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,15.0,6.0,4.0,1.0,13.0,3.0,2.0,1.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12941677309493402,0.09237973605789698,0.07705406555981269,0.04980842911877394,0.07535121328224777,0.07449978714346531,0.05151128139633887,0.04342273307790549,0.019157088122605363,0.022562792677735206,0.07237122179650915,0.016602809706257982,0.05065985525755641,0.016177096636866752,0.024265644955300127,0.001277139208173691,0.008939974457215836,0.035334184759472115,0.03959131545338442,0.02596849723286505,0.002554278416347382,0.017028522775649212,0.008088548318433376,0.0008514261387824606,0.0,0.0,0.0008514261387824606,589,3.9881154499151106,36.8125,334.95572584078343
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,3.0,3.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12075471698113208,0.1018867924528302,0.07169811320754717,0.045283018867924525,0.07169811320754717,0.06415094339622641,0.045283018867924525,0.05660377358490566,0.045283018867924525,0.01509433962264151,0.07924528301886792,0.01509433962264151,0.04905660377358491,0.03773584905660377,0.01509433962264151,0.01509433962264151,0.011320754716981131,0.03773584905660377,0.033962264150943396,0.01509433962264151,0.0,0.011320754716981131,0.011320754716981131,0.0,0.0,0.0,0.0,60,4.416666666666667,30.0,31.96981132075471
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
