Author,will,her,unto,if,ye,me,the,of,my,into,all,and,to,every,he,that,is,shall,be,but,not,these,them,they,out,with,it,whosoever,in,him,thee,thy,their,thou,shalt,more,for,man,wherefore,are,from,lord,upon,which,your,other,have,hath,said,much,now,god,according,his,say,must,again,therefore,may,who,yea,forth,by,doeth,do,because,as,had,were,like,been,neither,or,one,anything,would,should,being,whatsoever,then,ever,no,thus,an,throughout,among,was,hast,many,also,could,such,did,how,our,we,inasmuch,than,there,some,when,ought,whoso,seest,cometh,whose,make,yet,where,lest,thereby,whereon,those,once,wherein,himself,upward,whither,notwithstanding,thyself,whereby,whereof,each,whence,without,let,whom,wheresoever,thine,therein,thence,wherewith,thereon,abundance,henceforth,therewith,till,becometh,shouldst,outward,seemeth,wherewithal,oft,soever,didst,hence,became,moreover,upwards,thereof,what,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,i_percentage_use,w_percentage_use,l_percentage_use,g_percentage_use,v_percentage_use,u_percentage_use,n_percentage_use,o_percentage_use,y_percentage_use,f_percentage_use,b_percentage_use,m_percentage_use,a_percentage_use,d_percentage_use,k_percentage_use,p_percentage_use,c_percentage_use,s_percentage_use,z_percentage_use,â_percentage_use,j_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,6.0,1.0,4.0,3.0,7.0,1.0,11.0,5.0,6.0,1.0,3.0,10.0,2.0,1.0,2.0,4.0,1.0,14.0,4.0,2.0,4.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0876068376068376,0.08333333333333333,0.05555555555555555,0.05982905982905983,0.019230769230769232,0.07264957264957266,0.016025641025641024,0.017094017094017096,0.024572649572649572,0.05982905982905983,0.05982905982905983,0.03205128205128205,0.022435897435897436,0.0202991452991453,0.029914529914529916,0.06944444444444445,0.030982905982905984,0.00641025641025641,0.010683760683760684,0.013888888888888888,0.04700854700854701,0.0010683760683760685,0.0010683760683760685,0.0,0.0,0.0,230,4.069565217391304,32.857142857142854,131.96581196581198
mormon,13.0,0.0,37.0,11.0,47.0,11.0,116.0,82.0,10.0,5.0,12.0,111.0,45.0,3.0,18.0,61.0,18.0,12.0,24.0,7.0,26.0,3.0,16.0,25.0,7.0,7.0,11.0,1.0,35.0,8.0,0.0,0.0,14.0,2.0,0.0,4.0,26.0,0.0,0.0,15.0,18.0,14.0,5.0,22.0,19.0,1.0,26.0,3.0,8.0,4.0,20.0,24.0,8.0,19.0,11.0,2.0,6.0,4.0,8.0,8.0,16.0,6.0,9.0,1.0,7.0,4.0,4.0,5.0,5.0,1.0,24.0,3.0,5.0,1.0,1.0,5.0,8.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,7.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12035358114233907,0.0905485040797824,0.07105621033544877,0.049184043517679056,0.060970081595648234,0.017112420670897553,0.03864460562103354,0.021645512239347235,0.012352674524025385,0.022892112420670897,0.07048957388939256,0.07898912058023572,0.028445149592021757,0.026178603807796918,0.017112420670897553,0.030031731640979147,0.08386219401631913,0.043631006346328195,0.006346328195829556,0.01473254759746147,0.018359020852221214,0.05020398912058024,0.00011332728921124207,0.00022665457842248413,0.0006799637352674524,0.0010199456029011786,0.00022665457842248413,2124,4.154425612052731,44.208333333333336,1227.9754079782408
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,2.0,0.0,2.0,0.0,1.0,0.0,69.0,45.0,0.0,0.0,7.0,30.0,7.0,0.0,9.0,4.0,12.0,6.0,0.0,2.0,4.0,4.0,6.0,7.0,6.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,6.0,3.0,0.0,2.0,0.0,2.0,8.0,0.0,7.0,4.0,12.0,0.0,1.0,5.0,6.0,0.0,2.0,0.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,6.0,4.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1350104821802935,0.09475890985324947,0.10943396226415095,0.04905660377358491,0.0440251572327044,0.025576519916142557,0.044444444444444446,0.014255765199161425,0.006289308176100629,0.025157232704402517,0.05660377358490566,0.07966457023060797,0.012159329140461216,0.028092243186582808,0.014255765199161425,0.021383647798742137,0.06666666666666667,0.04025157232704402,0.0025157232704402514,0.009643605870020965,0.020545073375262055,0.050314465408805034,0.0,0.0004192872117400419,0.0025157232704402514,0.0,0.0,597,3.9949748743718594,37.3125,356.95303983228507
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14634146341463414,0.10975609756097561,0.0975609756097561,0.07926829268292683,0.042682926829268296,0.03048780487804878,0.024390243902439025,0.012195121951219513,0.006097560975609756,0.012195121951219513,0.06097560975609756,0.06707317073170732,0.024390243902439025,0.018292682926829267,0.012195121951219513,0.03048780487804878,0.06707317073170732,0.07317073170731707,0.0,0.0,0.012195121951219513,0.042682926829268296,0.0,0.0,0.006097560975609756,0.0,0.0,37,4.4324324324324325,37.0,23.975609756097562
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,4.0,3.0,0.0,1.0,11.0,4.0,2.0,1.0,1.0,6.0,2.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12012012012012012,0.1021021021021021,0.07057057057057058,0.07057057057057058,0.06006006006006006,0.01951951951951952,0.036036036036036036,0.018018018018018018,0.0075075075075075074,0.03153153153153153,0.05555555555555555,0.08708708708708708,0.021021021021021023,0.02252252252252252,0.01951951951951952,0.01951951951951952,0.06156156156156156,0.04804804804804805,0.0015015015015015015,0.01951951951951952,0.009009009009009009,0.06606606606606606,0.0,0.003003003003003003,0.0,0.0,0.0,156,4.269230769230769,52.0,91.96996996996998
jacob,0.0,0.0,1.0,0.0,0.0,1.0,8.0,6.0,1.0,1.0,2.0,4.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13320825515947468,0.09568480300187618,0.06941838649155722,0.0600375234521576,0.058161350844277676,0.0300187617260788,0.043151969981238276,0.01876172607879925,0.0075046904315197,0.024390243902439025,0.06191369606003752,0.0900562851782364,0.013133208255159476,0.024390243902439025,0.01876172607879925,0.0300187617260788,0.0675422138836773,0.043151969981238276,0.005628517823639775,0.01876172607879925,0.020637898686679174,0.04878048780487805,0.0,0.0,0.005628517823639775,0.0,0.0,126,4.23015873015873,63.0,75.9887429643527
jarom,0.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14163090128755365,0.0815450643776824,0.0815450643776824,0.04291845493562232,0.02575107296137339,0.030042918454935622,0.04291845493562232,0.008583690987124463,0.004291845493562232,0.008583690987124463,0.07296137339055794,0.07296137339055794,0.034334763948497854,0.017167381974248927,0.02145922746781116,0.012875536480686695,0.0944206008583691,0.09012875536480687,0.004291845493562232,0.030042918454935622,0.008583690987124463,0.04721030042918455,0.0,0.0,0.004291845493562232,0.008583690987124463,0.0,55,4.236363636363636,55.0,29.987124463519308
