Author,thou,shalt,make,in,the,and,also,when,for,if,it,be,that,upon,thee,ye,shall,may,not,what,will,should,do,have,your,they,neither,with,by,of,as,again,out,forth,my,these,which,therefore,are,hast,because,thy,me,man,such,were,could,more,than,now,to,had,said,unto,them,their,into,but,lord,did,been,god,he,all,seest,his,we,was,thine,hath,would,say,him,according,is,many,then,being,from,our,yea,must,every,cometh,whosoever,whose,ever,an,there,no,thus,became,whereof,who,wherefore,or,thereof,let,those,thereby,other,without,whom,one,notwithstanding,like,yet,much,whoso,whereon,lest,once,wherein,ought,himself,upward,whither,thyself,whereby,her,each,whence,whatsoever,wheresoever,anything,inasmuch,therein,throughout,thence,wherewith,thereon,abundance,henceforth,therewith,till,becometh,shouldst,outward,seemeth,how,wherewithal,oft,soever,didst,some,hence,doeth,where,moreover,upwards,among,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,b_percentage_use,o_percentage_use,l_percentage_use,d_percentage_use,u_percentage_use,s_percentage_use,a_percentage_use,m_percentage_use,k_percentage_use,i_percentage_use,n_percentage_use,p_percentage_use,w_percentage_use,f_percentage_use,c_percentage_use,v_percentage_use,y_percentage_use,g_percentage_use,x_percentage_use,z_percentage_use,â_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,8.0,3.0,1.0,8.0,22.0,11.0,2.0,2.0,10.0,1.0,2.0,3.0,7.0,3.0,1.0,13.0,8.0,3.0,6.0,2.0,4.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,8.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13385826771653545,0.09536307961504811,0.10236220472440945,0.04461942257217848,0.013123359580052493,0.07961504811898512,0.048993875765529306,0.03237095363079615,0.02712160979877515,0.06299212598425197,0.0804899387576553,0.014873140857392825,0.003499562554680665,0.05074365704286964,0.049868766404199474,0.017497812773403325,0.023622047244094488,0.031496062992125984,0.013123359580052493,0.013123359580052493,0.02537182852143482,0.012248468941382326,0.0008748906386701663,0.0,0.0,0.0,0.0,297,3.8484848484848486,42.142857142857146,173.97725284339452
mormon,6.0,0.0,0.0,26.0,117.0,96.0,7.0,3.0,19.0,8.0,18.0,11.0,58.0,8.0,2.0,6.0,11.0,1.0,20.0,3.0,10.0,7.0,3.0,15.0,4.0,37.0,0.0,12.0,10.0,88.0,18.0,1.0,0.0,5.0,4.0,7.0,27.0,9.0,6.0,3.0,2.0,4.0,6.0,4.0,3.0,20.0,6.0,1.0,1.0,18.0,73.0,11.0,4.0,35.0,14.0,19.0,9.0,8.0,7.0,3.0,18.0,27.0,25.0,13.0,2.0,40.0,14.0,20.0,1.0,2.0,12.0,7.0,8.0,17.0,23.0,4.0,10.0,16.0,10.0,13.0,9.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,6.0,7.0,3.0,1.0,8.0,1.0,10.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11708542713567839,0.09597989949748743,0.07597989949748744,0.05507537688442211,0.012964824120603015,0.08080402010050251,0.03778894472361809,0.046834170854271356,0.022814070351758794,0.050452261306532666,0.08060301507537689,0.026532663316582914,0.006030150753768844,0.06050251256281407,0.07045226130653266,0.01698492462311558,0.023115577889447236,0.02291457286432161,0.021708542713567838,0.008040201005025126,0.015678391959798994,0.021105527638190954,0.0009045226130653266,0.0005025125628140704,0.0009045226130653266,0.001206030150753769,0.00030150753768844223,2326,4.277730008598453,48.416666666666664,1290.973266331659
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,0.0,0.0,0.0,6.0,34.0,23.0,2.0,0.0,5.0,0.0,0.0,7.0,4.0,1.0,0.0,8.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,20.0,0.0,1.0,3.0,2.0,11.0,3.0,0.0,0.0,6.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,3.0,9.0,3.0,0.0,8.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1298472385428907,0.08343125734430082,0.0881316098707403,0.05464159811985899,0.01410105757931845,0.07931844888366628,0.041128084606345476,0.046415981198589897,0.015863689776733254,0.055229142185663924,0.07403055229142186,0.033490011750881316,0.005875440658049354,0.045828437132784956,0.05992949471210341,0.00881316098707403,0.011750881316098707,0.029964747356051705,0.0099882491186839,0.00763807285546416,0.01880141010575793,0.012338425381903642,0.0,0.0,0.0011750881316098707,0.0023501762632197414,0.0005875440658049354,449,3.7906458797327396,28.0625,252.930669800235
amaleki,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13694267515923567,0.08917197452229299,0.08280254777070063,0.05732484076433121,0.01592356687898089,0.07643312101910828,0.022292993630573247,0.07643312101910828,0.025477707006369428,0.044585987261146494,0.07961783439490445,0.04777070063694268,0.0,0.050955414012738856,0.0732484076433121,0.009554140127388535,0.009554140127388535,0.012738853503184714,0.028662420382165606,0.006369426751592357,0.022292993630573247,0.01592356687898089,0.0031847133757961785,0.0,0.0,0.0,0.0,66,4.757575757575758,66.0,37.98726114649681
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12403100775193798,0.08527131782945736,0.07751937984496124,0.046511627906976744,0.007751937984496124,0.08139534883720931,0.023255813953488372,0.08527131782945736,0.031007751937984496,0.04263565891472868,0.06589147286821706,0.027131782945736434,0.003875968992248062,0.06201550387596899,0.08527131782945736,0.003875968992248062,0.031007751937984496,0.011627906976744186,0.027131782945736434,0.011627906976744186,0.007751937984496124,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,67,3.8507462686567164,22.333333333333332,42.95348837209301
jacob,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14332247557003258,0.05537459283387622,0.06840390879478828,0.05537459283387622,0.026058631921824105,0.08143322475570032,0.03908794788273615,0.048859934853420196,0.006514657980456026,0.029315960912052116,0.08469055374592833,0.009771986970684038,0.006514657980456026,0.06514657980456026,0.08469055374592833,0.02280130293159609,0.02280130293159609,0.02280130293159609,0.02280130293159609,0.019543973941368076,0.006514657980456026,0.035830618892508145,0.003257328990228013,0.0,0.003257328990228013,0.006514657980456026,0.0,74,4.148648648648648,37.0,36.97068403908794
jarom,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16201117318435754,0.08379888268156424,0.0670391061452514,0.055865921787709494,0.0111731843575419,0.07262569832402235,0.03910614525139665,0.07262569832402235,0.0335195530726257,0.03910614525139665,0.0782122905027933,0.0335195530726257,0.00558659217877095,0.0223463687150838,0.07262569832402235,0.0111731843575419,0.0223463687150838,0.027932960893854747,0.0223463687150838,0.00558659217877095,0.027932960893854747,0.00558659217877095,0.00558659217877095,0.0,0.0,0.00558659217877095,0.0,41,4.365853658536586,41.0,27.98324022346367
