Author,wherefore,ye,it,is,in,god,that,these,should,be,unto,thereby,may,of,your,and,not,shall,which,are,to,the,yea,upon,if,lord,when,among,because,or,them,who,have,been,for,they,from,also,those,cometh,whoso,all,by,our,hath,man,out,no,but,do,now,with,my,therefore,his,did,was,he,many,where,were,thence,there,thus,being,their,forth,had,other,whose,an,would,according,make,whither,verily,say,ever,like,than,whosoever,as,said,notwithstanding,much,into,could,once,again,how,neither,himself,every,such,more,him,we,me,became,yet,whereon,lest,wherein,ought,then,upward,thee,thyself,whereby,thou,whereof,her,each,whence,without,let,one,whom,must,whatsoever,wheresoever,thine,inasmuch,therein,throughout,anything,wherewith,thereon,abundance,henceforth,therewith,hast,till,becometh,shouldst,outward,seemeth,seest,wherewithal,thy,oft,will,soever,didst,some,hence,doeth,moreover,upwards,shalt,thereof,what,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,w_percentage_use,f_percentage_use,o_percentage_use,y_percentage_use,g_percentage_use,n_percentage_use,i_percentage_use,l_percentage_use,s_percentage_use,d_percentage_use,m_percentage_use,a_percentage_use,u_percentage_use,b_percentage_use,p_percentage_use,c_percentage_use,v_percentage_use,â_percentage_use,k_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,4.0,5.0,10.0,3.0,2.0,2.0,15.0,5.0,2.0,7.0,4.0,1.0,6.0,21.0,3.0,26.0,2.0,6.0,3.0,1.0,14.0,30.0,3.0,5.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,7.0,3.0,1.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,5.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,10.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13214285714285715,0.09693877551020408,0.07806122448979592,0.05510204081632653,0.020918367346938777,0.025,0.08724489795918368,0.02193877551020408,0.012244897959183673,0.058673469387755105,0.04846938775510204,0.03520408163265306,0.058163265306122446,0.047448979591836735,0.030612244897959183,0.0760204081632653,0.03163265306122449,0.01683673469387755,0.01479591836734694,0.02193877551020408,0.01020408163265306,0.0005102040816326531,0.0035714285714285713,0.0010204081632653062,0.0,0.0,0.0,463,4.233261339092873,66.14285714285714,270.98469387755097
mormon,0.0,0.0,21.0,0.0,29.0,13.0,41.0,1.0,10.0,9.0,10.0,0.0,0.0,107.0,0.0,99.0,17.0,0.0,11.0,0.0,67.0,165.0,29.0,5.0,5.0,5.0,3.0,3.0,9.0,6.0,22.0,9.0,6.0,13.0,23.0,58.0,5.0,7.0,1.0,0.0,0.0,10.0,21.0,0.0,0.0,8.0,2.0,1.0,9.0,0.0,14.0,19.0,0.0,5.0,25.0,17.0,25.0,21.0,4.0,0.0,40.0,0.0,3.0,13.0,2.0,71.0,2.0,37.0,6.0,2.0,11.0,14.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,6.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13022491527164423,0.09972270719934272,0.07897709766868645,0.05268563212488446,0.021875320940741502,0.022594228201704838,0.07014480846256547,0.020026702269692925,0.013659237958303379,0.06490705556126117,0.05895039539899353,0.03481565163808154,0.0516586217520797,0.04662627092533635,0.029372496662216287,0.08801478894936839,0.018691588785046728,0.016124062853034814,0.02105371264249769,0.021156413679778167,0.007189072609633357,0.00010270103728047654,0.004518845640340967,0.0005135051864023827,0.0003081031118414296,0.00041080414912190614,0.0011297114100852418,2212,4.401898734177215,46.083333333333336,1239.9754544520904
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,1.0,0.0,15.0,0.0,5.0,0.0,19.0,0.0,0.0,1.0,9.0,0.0,0.0,21.0,0.0,41.0,0.0,1.0,9.0,0.0,23.0,34.0,0.0,3.0,0.0,7.0,2.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,1.0,20.0,8.0,5.0,2.0,0.0,4.0,0.0,1.0,2.0,0.0,4.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10554089709762533,0.09630606860158311,0.06860158311345646,0.04617414248021108,0.024186455584872472,0.021108179419525065,0.06068601583113457,0.014511873350923483,0.01978891820580475,0.07167985927880387,0.06948109058927,0.027264731750219876,0.05364995602462621,0.0584872471416007,0.030782761653474055,0.09410729991204925,0.025945470536499562,0.014511873350923483,0.012752858399296393,0.024626209322779244,0.005277044854881266,0.0,0.0021987686895338612,0.001759014951627089,0.0,0.00043975373790677223,0.0008795074758135445,582,3.9072164948453607,36.375,320.95074758135434
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12790697674418605,0.10930232558139535,0.07209302325581396,0.06976744186046512,0.020930232558139535,0.023255813953488372,0.06744186046511629,0.023255813953488372,0.018604651162790697,0.06046511627906977,0.06279069767441861,0.03255813953488372,0.05116279069767442,0.046511627906976744,0.02558139534883721,0.08604651162790698,0.018604651162790697,0.01627906976744186,0.011627906976744186,0.018604651162790697,0.0069767441860465115,0.0,0.004651162790697674,0.004651162790697674,0.0,0.002325581395348837,0.0,96,4.479166666666667,48.0,57.981395348837204
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
