Author,and,was,of,the,lord,wherefore,forth,in,to,unto,for,he,could,not,be,because,which,him,did,from,god,lest,they,should,them,that,by,all,are,whoso,with,yea,cometh,an,would,make,being,it,now,these,is,ye,no,your,himself,our,had,must,some,but,thereby,those,have,there,as,again,according,been,every,also,among,their,notwithstanding,more,were,many,thus,became,yet,one,or,till,therefore,who,upon,do,much,when,into,throughout,like,out,man,his,thereof,said,me,say,we,my,will,verily,hath,if,shall,may,thou,whereon,once,wherein,ought,ever,then,upward,whither,thee,thyself,whereby,whereof,her,each,whence,without,let,whatsoever,whom,wheresoever,thine,inasmuch,therein,other,anything,thence,wherewith,thereon,neither,abundance,henceforth,whose,therewith,hast,becometh,shouldst,than,such,outward,seemeth,how,seest,thy,wherewithal,oft,whosoever,soever,didst,hence,doeth,where,moreover,shalt,upwards,what,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,s_percentage_use,p_percentage_use,o_percentage_use,f_percentage_use,l_percentage_use,c_percentage_use,m_percentage_use,i_percentage_use,y_percentage_use,u_percentage_use,b_percentage_use,g_percentage_use,v_percentage_use,x_percentage_use,â_percentage_use,k_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,10.0,3.0,13.0,21.0,2.0,4.0,1.0,7.0,5.0,9.0,8.0,6.0,1.0,9.0,4.0,4.0,6.0,3.0,3.0,2.0,4.0,1.0,6.0,1.0,4.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13653136531365315,0.1025830258302583,0.0959409594095941,0.05830258302583026,0.06199261992619926,0.05830258302583026,0.04059040590405904,0.025830258302583026,0.047232472324723246,0.01845018450184502,0.08118081180811808,0.037638376383763834,0.028782287822878228,0.016974169741697416,0.022878228782287822,0.05608856088560885,0.017712177121771217,0.025092250922509225,0.014022140221402213,0.01992619926199262,0.006642066420664207,0.0007380073800738007,0.0007380073800738007,0.0036900369003690036,0.0,0.0,0.0,318,4.261006289308176,45.42857142857143,183.97785977859783
mormon,156.0,30.0,79.0,182.0,5.0,0.0,7.0,36.0,63.0,16.0,9.0,9.0,3.0,9.0,16.0,10.0,18.0,0.0,47.0,9.0,1.0,0.0,36.0,19.0,25.0,53.0,13.0,22.0,0.0,0.0,6.0,7.0,0.0,2.0,1.0,1.0,0.0,37.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,24.0,2.0,4.0,5.0,0.0,8.0,1.0,9.0,5.0,3.0,5.0,3.0,3.0,16.0,12.0,53.0,2.0,3.0,29.0,10.0,11.0,5.0,1.0,5.0,5.0,1.0,6.0,14.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1341218713697328,0.09842644418629211,0.07550955750343226,0.048051536593093254,0.08448621818565846,0.07899461400359066,0.05618333509346288,0.02091033900095047,0.05713380504805154,0.020382300137290105,0.06420952582110043,0.017742105818988278,0.02914774527405217,0.022388847819199493,0.02122716231914669,0.05903474495722885,0.015946773682543037,0.0192206146372373,0.014785088182490231,0.01943183018270145,0.0068645052275847504,0.0014785088182490231,0.00010560777273207308,0.0029570176364980463,0.0005280388636603654,0.0005280388636603654,0.00021121554546414616,2201,4.30213539300318,45.875,1217.9700073925437
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,24.0,0.0,28.0,31.0,1.0,5.0,2.0,10.0,9.0,17.0,16.0,7.0,1.0,4.0,4.0,1.0,12.0,4.0,0.0,4.0,7.0,0.0,5.0,1.0,4.0,11.0,1.0,9.0,8.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,3.0,1.0,4.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,9.0,5.0,2.0,0.0,3.0,5.0,0.0,2.0,1.0,4.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,4.0,1.0,2.0,22.0,3.0,1.0,5.0,2.0,3.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1289308176100629,0.07900943396226415,0.08372641509433962,0.05778301886792453,0.06210691823899371,0.0735062893081761,0.03419811320754717,0.02790880503144654,0.0514937106918239,0.0220125786163522,0.0805817610062893,0.027122641509433963,0.03380503144654088,0.02122641509433962,0.0294811320754717,0.0625,0.02161949685534591,0.019654088050314465,0.009433962264150943,0.01729559748427673,0.010220125786163521,0.0,0.0,0.00550314465408805,0.0,0.003537735849056604,0.0,632,4.025316455696203,39.5,361.96265723270454
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,6.0,0.0,1.0,7.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1272365805168986,0.11530815109343936,0.09741550695825049,0.073558648111332,0.05765407554671968,0.0437375745526839,0.033797216699801194,0.015904572564612324,0.0437375745526839,0.013916500994035786,0.08946322067594434,0.02584493041749503,0.02186878727634195,0.02982107355864811,0.019880715705765408,0.0536779324055666,0.003976143141153081,0.033797216699801194,0.033797216699801194,0.017892644135188866,0.02385685884691849,0.0019880715705765406,0.0,0.0019880715705765406,0.0,0.003976143141153081,0.0,111,4.531531531531532,55.5,62.984095427435406
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
