Author,for,the,which,ye,shall,have,wherefore,will,in,my,that,these,to,of,and,them,unto,they,not,forth,their,lord,me,as,did,may,then,all,no,he,who,because,your,yea,thy,be,but,it,is,should,than,thou,shouldst,many,by,therefore,if,shalt,again,god,thee,more,according,say,from,how,such,among,yet,are,with,upon,hast,there,also,we,our,hath,said,what,do,out,moreover,would,must,once,now,man,whosoever,were,himself,his,much,without,being,or,other,doeth,into,one,every,been,verily,some,let,whatsoever,was,an,when,neither,cometh,thereof,thus,her,make,like,therein,whom,henceforth,thyself,those,became,till,thereby,whoso,whereon,lest,wherein,ought,ever,upward,whither,notwithstanding,whereby,whereof,each,whence,wheresoever,thine,inasmuch,anything,throughout,him,thence,wherewith,thereon,abundance,could,whose,therewith,becometh,outward,seemeth,seest,wherewithal,oft,soever,didst,hence,upwards,where,had,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,f_percentage_use,o_percentage_use,b_percentage_use,l_percentage_use,d_percentage_use,a_percentage_use,n_percentage_use,g_percentage_use,u_percentage_use,w_percentage_use,i_percentage_use,c_percentage_use,y_percentage_use,s_percentage_use,v_percentage_use,m_percentage_use,p_percentage_use,q_percentage_use,x_percentage_use,j_percentage_use,k_percentage_use,â_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,3.0,10.0,3.0,2.0,6.0,1.0,1.0,4.0,5.0,2.0,5.0,3.0,2.0,5.0,4.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15160796324655437,0.11026033690658499,0.0995405819295559,0.04747320061255743,0.026033690658499236,0.05666156202143951,0.009188361408882083,0.04900459418070444,0.02909647779479326,0.05666156202143951,0.06738131699846861,0.016845329249617153,0.021439509954058193,0.026033690658499236,0.06738131699846861,0.016845329249617153,0.021439509954058193,0.042879019908116385,0.006125574272588055,0.030627871362940276,0.004594180704441042,0.0015313935681470138,0.0015313935681470138,0.0030627871362940277,0.0015313935681470138,0.0,0.0,159,4.1069182389937104,22.714285714285715,84.96477794793263
mormon,20.0,54.0,7.0,61.0,19.0,13.0,0.0,19.0,18.0,14.0,65.0,4.0,44.0,39.0,80.0,8.0,33.0,13.0,28.0,3.0,14.0,12.0,6.0,9.0,0.0,13.0,4.0,5.0,6.0,10.0,7.0,18.0,23.0,17.0,7.0,28.0,8.0,49.0,41.0,6.0,5.0,19.0,1.0,4.0,5.0,10.0,19.0,5.0,4.0,12.0,9.0,8.0,3.0,16.0,2.0,3.0,3.0,4.0,2.0,26.0,12.0,4.0,1.0,3.0,5.0,8.0,4.0,7.0,4.0,2.0,10.0,5.0,1.0,5.0,7.0,1.0,22.0,3.0,1.0,2.0,1.0,5.0,3.0,3.0,2.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12182126422862678,0.09614918866553646,0.06648098813271978,0.04964882538144829,0.020343908936788568,0.08089125696294502,0.021070477113102445,0.04795349963671591,0.03887139743279244,0.07398885928796319,0.0590942116735287,0.018527488496003875,0.03426979898280455,0.02494550738677646,0.05751998062484863,0.01755873092758537,0.029304916444659723,0.05340276095906999,0.007992249939452653,0.025187696778881084,0.011261806732865101,0.0002421893921046258,0.0010898522644708162,0.0002421893921046258,0.005328166626301768,0.001332041656575442,0.00036328408815693874,2008,4.112549800796812,41.729166666666664,1141.9648825381444
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,4.0,49.0,2.0,3.0,15.0,3.0,0.0,2.0,8.0,0.0,9.0,2.0,3.0,24.0,25.0,0.0,3.0,3.0,3.0,1.0,1.0,9.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,4.0,3.0,0.0,1.0,0.0,7.0,5.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11951219512195121,0.09121951219512195,0.08780487804878048,0.04731707317073171,0.025853658536585365,0.07317073170731707,0.01024390243902439,0.04975609756097561,0.04439024390243902,0.0824390243902439,0.06926829268292684,0.013658536585365854,0.026341463414634145,0.02,0.03951219512195122,0.014634146341463415,0.016585365853658537,0.055609756097560976,0.006341463414634147,0.016097560975609757,0.01024390243902439,0.0,0.0004878048780487805,0.003902439024390244,0.012195121951219513,0.002926829268292683,0.0024390243902439024,508,4.035433070866142,31.75,255.9419512195122
amaleki,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10185185185185185,0.10185185185185185,0.06481481481481481,0.027777777777777776,0.018518518518518517,0.09259259259259259,0.009259259259259259,0.018518518518518517,0.05555555555555555,0.12037037037037036,0.06481481481481481,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.08333333333333333,0.009259259259259259,0.0,0.046296296296296294,0.0,0.046296296296296294,0.046296296296296294,0.0,0.0,0.0,0.009259259259259259,0.0,0.009259259259259259,26,4.153846153846154,26.0,14.962962962962965
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,8.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13643926788685523,0.08319467554076539,0.05490848585690516,0.048252911813643926,0.021630615640599003,0.064891846921797,0.0016638935108153079,0.024958402662229616,0.05823627287853577,0.07154742096505824,0.1048252911813644,0.028286189683860232,0.018302828618968387,0.021630615640599003,0.05490848585690516,0.02329450915141431,0.018302828618968387,0.0632279534109817,0.0016638935108153079,0.021630615640599003,0.028286189683860232,0.0,0.004991680532445923,0.0016638935108153079,0.004991680532445923,0.0016638935108153079,0.0,125,4.808,41.666666666666664,62.96339434276207
jacob,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16164383561643836,0.09315068493150686,0.07671232876712329,0.03561643835616438,0.0136986301369863,0.06301369863013699,0.019178082191780823,0.06301369863013699,0.019178082191780823,0.0684931506849315,0.057534246575342465,0.010958904109589041,0.010958904109589041,0.01643835616438356,0.07123287671232877,0.0273972602739726,0.010958904109589041,0.07397260273972603,0.0027397260273972603,0.024657534246575342,0.03561643835616438,0.0,0.0,0.0136986301369863,0.005479452054794521,0.0,0.0027397260273972603,73,5.0,36.5,36.97808219178081
jarom,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09444444444444444,0.044444444444444446,0.03333333333333333,0.06388888888888888,0.022222222222222223,0.06666666666666667,0.008333333333333333,0.05,0.07777777777777778,0.10555555555555556,0.11666666666666667,0.019444444444444445,0.016666666666666666,0.019444444444444445,0.07777777777777778,0.022222222222222223,0.011111111111111112,0.03888888888888889,0.011111111111111112,0.019444444444444445,0.03333333333333333,0.002777777777777778,0.005555555555555556,0.005555555555555556,0.008333333333333333,0.002777777777777778,0.0,82,4.390243902439025,82.0,45.97777777777778
