Author,and,said,unto,him,lord,the,will,these,because,of,our,in,for,thou,hast,by,but,not,all,that,they,could,much,which,them,we,like,he,were,as,man,to,also,wherefore,when,lest,shall,had,me,was,thy,be,according,their,it,if,would,have,thus,more,from,his,or,her,now,upon,did,whom,therefore,became,one,who,every,notwithstanding,yet,those,into,than,being,should,there,many,with,forth,out,an,some,god,among,been,are,do,such,no,yea,thereof,till,whither,then,neither,my,must,cometh,is,himself,hath,may,thereby,whoso,whereon,once,ye,wherein,ought,ever,upward,thee,thyself,whereby,whereof,each,whence,without,let,whatsoever,say,wheresoever,thine,inasmuch,therein,other,throughout,your,make,anything,thence,wherewith,thereon,abundance,henceforth,again,whose,therewith,becometh,shouldst,outward,seemeth,how,seest,wherewithal,oft,whosoever,soever,didst,hence,doeth,where,moreover,shalt,upwards,what,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,s_percentage_use,u_percentage_use,o_percentage_use,m_percentage_use,l_percentage_use,g_percentage_use,w_percentage_use,c_percentage_use,k_percentage_use,b_percentage_use,f_percentage_use,y_percentage_use,p_percentage_use,v_percentage_use,j_percentage_use,z_percentage_use,â_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,9.0,4.0,6.0,2.0,4.0,12.0,2.0,2.0,4.0,10.0,6.0,4.0,5.0,11.0,7.0,1.0,2.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11487758945386065,0.10451977401129943,0.08662900188323917,0.06120527306967985,0.07062146892655367,0.05273069679849341,0.046139359698681735,0.05555555555555555,0.04990583804143126,0.038606403013182675,0.08192090395480225,0.027306967984934087,0.02824858757062147,0.018832391713747645,0.03483992467043315,0.0160075329566855,0.010357815442561206,0.01224105461393597,0.02448210922787194,0.00847457627118644,0.006591337099811676,0.00847457627118644,0.0018832391713747645,0.0009416195856873823,0.0009416195856873823,0.0,0.0,254,4.181102362204724,36.142857142857146,146.96233521657254
mormon,133.0,1.0,15.0,5.0,5.0,159.0,0.0,3.0,6.0,75.0,3.0,36.0,17.0,0.0,0.0,8.0,6.0,16.0,13.0,38.0,38.0,7.0,0.0,7.0,12.0,1.0,2.0,15.0,53.0,11.0,6.0,34.0,7.0,0.0,1.0,0.0,0.0,25.0,0.0,26.0,0.0,10.0,4.0,23.0,24.0,2.0,4.0,1.0,7.0,5.0,7.0,10.0,1.0,1.0,5.0,10.0,35.0,2.0,8.0,4.0,6.0,13.0,3.0,2.0,1.0,2.0,4.0,2.0,4.0,5.0,31.0,15.0,10.0,3.0,4.0,2.0,5.0,4.0,6.0,10.0,1.0,3.0,3.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14336478372748437,0.09716946452640608,0.07425560593064576,0.05722337948780787,0.07793162602622228,0.07817669403259404,0.05195441735081485,0.056978311481436096,0.05317975738267369,0.018747702487440263,0.060164195564269086,0.02132091655434383,0.02671241269452273,0.016909692439652003,0.022668790589388556,0.02046317853204264,0.005636564146550668,0.013356206347261364,0.02046317853204264,0.01703222644283789,0.016909692439652003,0.005759098149736552,0.001470408038230609,0.0004901360127435363,0.0007352040191153045,0.0006126700159294204,0.0007352040191153045,1952,4.180840163934426,40.666666666666664,1105.9604215169707
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,40.0,0.0,13.0,3.0,7.0,60.0,2.0,3.0,2.0,34.0,0.0,8.0,13.0,0.0,0.0,4.0,5.0,5.0,4.0,13.0,12.0,0.0,0.0,3.0,10.0,0.0,0.0,6.0,1.0,6.0,2.0,6.0,2.0,2.0,3.0,0.0,25.0,0.0,1.0,0.0,1.0,10.0,2.0,11.0,7.0,0.0,0.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,2.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,1.0,4.0,0.0,0.0,8.0,1.0,4.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,2.0,3.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13057124921531701,0.09416195856873823,0.08380414312617702,0.04896421845574388,0.06905210295040803,0.07062146892655367,0.04268675455116133,0.053358443188951665,0.06434400502197113,0.02573760200878845,0.06559949780288764,0.019146264908976772,0.04331450094161959,0.0194601381042059,0.018518518518518517,0.0194601381042059,0.004080351537978657,0.014124293785310734,0.024795982423101066,0.019146264908976772,0.016635279347143754,0.011927181418706842,0.0012554927809165098,0.0,0.0006277463904582549,0.00031387319522912746,0.0,742,4.293800539083558,46.4375,426.96170747018203
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10909090909090909,0.1393939393939394,0.10606060606060606,0.06060606060606061,0.08181818181818182,0.03939393939393939,0.051515151515151514,0.045454545454545456,0.030303030303030304,0.03333333333333333,0.07878787878787878,0.012121212121212121,0.021212121212121213,0.01818181818181818,0.015151515151515152,0.03333333333333333,0.0030303030303030303,0.03333333333333333,0.030303030303030304,0.006060606060606061,0.015151515151515152,0.006060606060606061,0.006060606060606061,0.0,0.0,0.0,0.0,74,4.45945945945946,37.0,34.975757575757584
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
