Author,for,thus,didst,thou,thyself,unto,thy,they,had,and,did,in,them,also,that,hast,said,man,yea,among,the,of,which,have,more,wherefore,must,or,he,not,an,again,it,to,now,is,shall,by,if,because,our,their,who,lord,would,me,there,all,these,was,from,were,into,been,neither,upon,whoso,let,him,hath,are,many,say,we,out,will,those,himself,his,be,therefore,make,my,as,one,with,whom,notwithstanding,being,no,thereof,whence,what,forth,when,should,do,some,every,could,till,god,doeth,anything,may,but,like,other,her,ye,thereby,whereon,much,lest,once,wherein,ought,ever,then,upward,whither,thee,whereby,whereof,each,without,whatsoever,yet,wheresoever,thine,inasmuch,therein,throughout,your,thence,wherewith,thereon,abundance,henceforth,whose,therewith,becometh,shouldst,according,such,outward,than,cometh,how,seemeth,seest,wherewithal,oft,whosoever,soever,hence,became,where,moreover,shalt,upwards,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,f_percentage_use,o_percentage_use,u_percentage_use,s_percentage_use,d_percentage_use,i_percentage_use,m_percentage_use,a_percentage_use,n_percentage_use,y_percentage_use,l_percentage_use,c_percentage_use,p_percentage_use,k_percentage_use,w_percentage_use,g_percentage_use,b_percentage_use,v_percentage_use,x_percentage_use,j_percentage_use,â_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,6.0,1.0,2.0,12.0,2.0,7.0,5.0,4.0,2.0,8.0,1.0,5.0,3.0,1.0,14.0,8.0,4.0,3.0,2.0,1.0,12.0,6.0,6.0,6.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12338858195211787,0.12062615101289134,0.10865561694290976,0.053406998158379376,0.022099447513812154,0.06077348066298342,0.02394106813996317,0.040515653775322284,0.03314917127071823,0.0570902394106814,0.024861878453038673,0.09116022099447514,0.0570902394106814,0.020257826887661142,0.026703499079189688,0.024861878453038673,0.019337016574585635,0.0055248618784530384,0.020257826887661142,0.01289134438305709,0.004604051565377533,0.014732965009208104,0.001841620626151013,0.0,0.0,0.0,0.0,256,4.2421875,36.285714285714285,156.9677716390424
mormon,8.0,5.0,0.0,0.0,0.0,34.0,0.0,49.0,32.0,153.0,42.0,15.0,32.0,4.0,45.0,0.0,12.0,1.0,3.0,3.0,101.0,46.0,7.0,2.0,1.0,0.0,0.0,0.0,32.0,16.0,3.0,11.0,46.0,43.0,9.0,0.0,1.0,10.0,3.0,3.0,2.0,24.0,14.0,6.0,2.0,0.0,4.0,12.0,16.0,15.0,2.0,26.0,5.0,10.0,3.0,9.0,1.0,2.0,14.0,1.0,4.0,3.0,1.0,1.0,5.0,1.0,3.0,6.0,16.0,2.0,1.0,1.0,1.0,7.0,9.0,12.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,10.0,13.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12977813418871958,0.10064153969526865,0.08273188986901898,0.0408981555733761,0.016840417000801924,0.06468858593958834,0.026597166533012563,0.057203956161454156,0.06575781876503609,0.05533279871692061,0.022988505747126436,0.08005880780539963,0.0764501470195135,0.014701951349906442,0.025260625501202887,0.018444266238973536,0.017508687516706763,0.004945201817695803,0.023656776263031275,0.012697139802191927,0.01029136594493451,0.006014434643143544,0.0,0.0028067361668003207,0.0002673082063619353,0.0005346164127238706,0.00013365410318096765,1840,4.066304347826087,38.375,1058.9572306869825
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,14.0,0.0,0.0,0.0,0.0,16.0,0.0,23.0,0.0,35.0,0.0,6.0,3.0,1.0,28.0,0.0,0.0,2.0,4.0,1.0,36.0,25.0,4.0,4.0,0.0,3.0,0.0,3.0,22.0,17.0,0.0,1.0,4.0,3.0,0.0,4.0,15.0,0.0,2.0,0.0,0.0,1.0,2.0,8.0,1.0,1.0,1.0,13.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,9.0,4.0,0.0,5.0,0.0,3.0,1.0,2.0,0.0,8.0,10.0,0.0,0.0,1.0,2.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,10.0,2.0,2.0,1.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11663286004056796,0.10141987829614604,0.0966869506423259,0.040229885057471264,0.020960108181203516,0.08113590263691683,0.02535496957403651,0.04259634888438134,0.04969574036511156,0.04699121027721433,0.022988505747126436,0.07944557133198107,0.07606490872210954,0.02535496957403651,0.049019607843137254,0.011832319134550372,0.00980392156862745,0.006423258958755916,0.014198782961460446,0.012846517917511832,0.01757944557133198,0.00878972278566599,0.0003380662609871535,0.000676132521974307,0.000676132521974307,0.002028397565922921,0.001352265043948614,721,4.102635228848821,45.0625,422.9611223799866
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,12.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1297071129707113,0.10320781032078104,0.08786610878661087,0.04741980474198047,0.016736401673640166,0.06834030683403068,0.02789400278940028,0.030683403068340307,0.06694560669456066,0.06834030683403068,0.02092050209205021,0.08368200836820083,0.07252440725244072,0.019525801952580194,0.029288702928870293,0.01813110181311018,0.008368200836820083,0.0041841004184100415,0.019525801952580194,0.015341701534170154,0.019525801952580194,0.02789400278940028,0.0,0.002789400278940028,0.0,0.0,0.0,180,3.9833333333333334,90.0,101.98884239888424
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
