Author,the,of,and,he,upon,also,from,whence,should,it,be,again,unto,lord,wherefore,could,not,for,had,been,in,but,that,which,there,as,his,into,out,they,was,shall,their,like,no,more,when,have,all,then,cometh,are,who,therein,is,whose,among,were,these,did,without,him,them,to,neither,by,man,do,an,said,now,with,one,whom,forth,therefore,according,god,or,if,being,other,may,hath,will,me,make,my,would,ye,himself,oft,than,yea,many,every,say,must,our,thus,we,because,thy,let,those,thereof,thereby,whoso,whereon,much,lest,once,wherein,ought,ever,upward,whither,thee,notwithstanding,thyself,whereby,thou,whereof,her,each,whatsoever,yet,wheresoever,thine,inasmuch,your,throughout,anything,thence,wherewith,thereon,abundance,henceforth,therewith,hast,till,becometh,shouldst,such,outward,seemeth,how,seest,wherewithal,whosoever,soever,didst,some,hence,became,where,moreover,shalt,doeth,upwards,what,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,b_percentage_use,o_percentage_use,l_percentage_use,d_percentage_use,s_percentage_use,a_percentage_use,w_percentage_use,y_percentage_use,f_percentage_use,c_percentage_use,i_percentage_use,n_percentage_use,p_percentage_use,k_percentage_use,g_percentage_use,j_percentage_use,u_percentage_use,m_percentage_use,â_percentage_use,v_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,28.0,23.0,16.0,6.0,3.0,1.0,1.0,1.0,8.0,8.0,12.0,2.0,8.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,8.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14899925871015568,0.08524833209785027,0.09488510007412898,0.04892512972572276,0.02223869532987398,0.0770941438102298,0.05263157894736842,0.04447739065974796,0.05189028910303929,0.07116382505559674,0.018532246108228317,0.014825796886582653,0.026686434395848776,0.014825796886582653,0.03780578206078577,0.061527057079318014,0.01630837657524092,0.0029651593773165306,0.009636767976278725,0.010378057820607857,0.03780578206078577,0.01927353595255745,0.0007412898443291327,0.004447739065974796,0.0,0.0,0,335,4.026865671641791,47.857142857142854,189.97331356560414
mormon,81.0,22.0,108.0,44.0,6.0,3.0,5.0,0.0,17.0,26.0,17.0,7.0,38.0,3.0,0.0,1.0,8.0,1.0,26.0,5.0,8.0,3.0,40.0,23.0,3.0,8.0,6.0,1.0,1.0,39.0,3.0,6.0,15.0,0.0,1.0,1.0,12.0,6.0,15.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,2.0,11.0,8.0,20.0,1.0,3.0,39.0,40.0,4.0,4.0,5.0,4.0,2.0,11.0,7.0,5.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13515335355578026,0.10414560161779575,0.08948432760364004,0.038254128749578696,0.01247050893158072,0.05443208628244017,0.028816986855409503,0.061846983485001686,0.04819683181664981,0.08038422649140546,0.019716885743174924,0.013818672059319177,0.012133468149646108,0.02005392652510954,0.0502190765082575,0.07600269632625548,0.016346477923828782,0.0028648466464442197,0.01482979440512302,0.0032018874283788338,0.02561509942703067,0.02679474216380182,0.0006740815638692282,0.007751937984496124,0.0013481631277384564,0.0005055611729019212,0,1463,4.05604921394395,30.416666666666668,831.9450623525444
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
nephi,38.0,22.0,42.0,3.0,0.0,1.0,2.0,0.0,0.0,6.0,14.0,1.0,12.0,6.0,1.0,0.0,4.0,7.0,0.0,0.0,9.0,0.0,9.0,7.0,6.0,1.0,4.0,0.0,2.0,18.0,0.0,27.0,10.0,0.0,2.0,0.0,1.0,5.0,3.0,1.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,1.0,9.0,1.0,2.0,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1311871227364185,0.0841046277665996,0.08571428571428572,0.05593561368209256,0.017303822937625755,0.0647887323943662,0.047082494969818915,0.0454728370221328,0.05432595573440644,0.08169014084507042,0.017303822937625755,0.02454728370221328,0.022132796780684104,0.02374245472837022,0.049899396378269616,0.0647887323943662,0.015694164989939637,0.006841046277665996,0.012072434607645875,0.00040241448692152917,0.02414486921529175,0.016498993963782696,0.0016096579476861167,0.006438631790744467,0.0,0.0,0,626,3.9696485623003195,39.125,362.9537223340041
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
jacob,9.0,4.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15027322404371585,0.12021857923497267,0.08196721311475409,0.07650273224043716,0.01639344262295082,0.06557377049180328,0.02459016393442623,0.02185792349726776,0.05737704918032787,0.06830601092896176,0.01639344262295082,0.01639344262295082,0.03825136612021858,0.02459016393442623,0.04371584699453552,0.0546448087431694,0.02459016393442623,0.00546448087431694,0.00546448087431694,0.00546448087431694,0.02185792349726776,0.030054644808743168,0.0,0.00819672131147541,0.0,0.0,0,88,4.159090909090909,44.0,48.97814207650272
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
