Author,and,my,the,are,shall,thereof,as,by,he,that,not,if,it,be,do,ye,for,is,but,these,which,have,him,will,with,of,because,to,whatsoever,me,cometh,all,who,unto,how,hath,from,when,in,your,then,been,upon,may,yea,neither,forth,said,could,god,out,say,ought,they,them,what,or,those,must,now,would,also,his,was,whosoever,many,did,their,there,were,therefore,again,according,inasmuch,should,our,thou,thy,thee,had,we,lord,more,thyself,no,such,lest,into,thus,one,other,without,every,let,among,hast,like,man,himself,an,much,being,thereby,whoso,whereon,once,wherein,ever,upward,whither,notwithstanding,whereby,whereof,her,each,whence,whom,yet,wheresoever,thine,anything,therein,throughout,make,thence,wherewith,thereon,abundance,henceforth,whose,therewith,till,becometh,shouldst,than,outward,wherefore,seemeth,seest,wherewithal,oft,soever,didst,some,hence,became,where,moreover,shalt,doeth,upwards,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,m_percentage_use,y_percentage_use,c_percentage_use,o_percentage_use,v_percentage_use,s_percentage_use,p_percentage_use,u_percentage_use,w_percentage_use,l_percentage_use,k_percentage_use,i_percentage_use,b_percentage_use,f_percentage_use,j_percentage_use,g_percentage_use,â_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,19.0,9.0,23.0,3.0,10.0,1.0,1.0,1.0,7.0,11.0,8.0,1.0,6.0,3.0,3.0,7.0,6.0,3.0,1.0,2.0,5.0,2.0,1.0,6.0,2.0,16.0,3.0,4.0,1.0,6.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13328729281767956,0.09875690607734806,0.08770718232044199,0.04350828729281768,0.0787292817679558,0.06146408839779006,0.04074585635359116,0.031767955801104975,0.018646408839779006,0.014502762430939226,0.07458563535911603,0.011740331491712707,0.04765193370165746,0.010359116022099447,0.026243093922651933,0.022790055248618785,0.04488950276243094,0.007596685082872928,0.057320441988950276,0.017955801104972375,0.029696132596685083,0.0006906077348066298,0.011740331491712707,0.0013812154696132596,0.0,0.0,0.0,364,3.978021978021978,52.0,197.9737569060773
mormon,97.0,39.0,78.0,3.0,15.0,1.0,15.0,14.0,19.0,45.0,23.0,10.0,13.0,17.0,11.0,37.0,20.0,10.0,14.0,6.0,11.0,22.0,5.0,6.0,13.0,76.0,6.0,33.0,0.0,11.0,0.0,10.0,3.0,18.0,1.0,0.0,7.0,2.0,25.0,14.0,3.0,6.0,7.0,3.0,21.0,2.0,1.0,8.0,7.0,29.0,5.0,4.0,2.0,9.0,11.0,4.0,3.0,2.0,1.0,11.0,11.0,6.0,10.0,15.0,2.0,5.0,13.0,12.0,4.0,6.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,1.0,1.0,7.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11525237243845413,0.08540778434878284,0.06876633200385092,0.04758630174666483,0.08499518635675973,0.06161463347545042,0.05116215101086508,0.030394718745702105,0.029569522761655892,0.01581625636088571,0.07990647778847476,0.008802090496492916,0.0523999449869344,0.014440929720808692,0.02915692476963279,0.019667170953101363,0.04180992985834136,0.005088708568284968,0.05803878421125017,0.02035483427313987,0.022280291569247695,0.0017879246321001237,0.018154311649016642,0.0005501306560308073,0.0006876633200385092,0.0006876633200385092,0.0011002613120616146,1843,3.9451980466630494,38.375,1024.9654793013347
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,40.0,0.0,42.0,2.0,18.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,1.0,8.0,0.0,4.0,5.0,6.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,29.0,1.0,4.0,0.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,15.0,0.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,6.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11818644931227713,0.07131940906775344,0.07641365257259297,0.041772796739684155,0.08201732042791646,0.07794192562404482,0.04533876719307183,0.015792154865002548,0.020376974019358125,0.010697911360163017,0.08201732042791646,0.0056036678553234845,0.056036678553234846,0.021395822720326033,0.024961793173713703,0.0163015792154865,0.06622516556291391,0.006113092205807438,0.041263372389200206,0.011716760061130923,0.028018339276617423,0.003056546102903719,0.011207335710646969,0.0,0.0005094243504839531,0.0,0.0010188487009679063,502,3.910358565737052,31.375,291.93530310748855
amaleki,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0979020979020979,0.0979020979020979,0.06293706293706294,0.055944055944055944,0.08391608391608392,0.09090909090909091,0.04895104895104895,0.027972027972027972,0.013986013986013986,0.006993006993006993,0.07692307692307693,0.013986013986013986,0.055944055944055944,0.02097902097902098,0.013986013986013986,0.02097902097902098,0.006993006993006993,0.0,0.08391608391608392,0.013986013986013986,0.02097902097902098,0.0,0.055944055944055944,0.0,0.0,0.0,0.0,37,3.864864864864865,37.0,21.972027972027963
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,13.0,6.0,8.0,0.0,4.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,4.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11609907120743033,0.08359133126934984,0.0696594427244582,0.05263157894736842,0.09287925696594428,0.07120743034055728,0.05108359133126935,0.03560371517027864,0.02631578947368421,0.02321981424148607,0.07275541795665634,0.009287925696594427,0.05727554179566564,0.02321981424148607,0.021671826625386997,0.021671826625386997,0.04024767801857585,0.0015479876160990713,0.06501547987616099,0.010835913312693499,0.018575851393188854,0.0046439628482972135,0.01238390092879257,0.0,0.0,0.0,0.0,173,3.7341040462427744,57.666666666666664,94.98142414860682
jacob,7.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10967741935483871,0.06129032258064516,0.05161290322580645,0.035483870967741936,0.08709677419354839,0.08709677419354839,0.06129032258064516,0.02258064516129032,0.00967741935483871,0.03870967741935484,0.08064516129032258,0.012903225806451613,0.06774193548387097,0.02258064516129032,0.02258064516129032,0.01935483870967742,0.035483870967741936,0.00967741935483871,0.06774193548387097,0.02258064516129032,0.012903225806451613,0.0064516129032258064,0.02903225806451613,0.0,0.0,0.0,0.0,73,4.2465753424657535,36.5,36.97419354838711
jarom,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11594202898550725,0.10869565217391304,0.07246376811594203,0.07246376811594203,0.08695652173913043,0.050724637681159424,0.050724637681159424,0.021739130434782608,0.014492753623188406,0.007246376811594203,0.06521739130434782,0.007246376811594203,0.06521739130434782,0.036231884057971016,0.036231884057971016,0.021739130434782608,0.014492753623188406,0.007246376811594203,0.057971014492753624,0.014492753623188406,0.021739130434782608,0.007246376811594203,0.021739130434782608,0.0,0.0,0.0,0.0,32,4.3125,32.0,19.97826086956521
