Author,and,was,the,that,there,to,but,they,did,forth,from,of,upon,thereof,all,wherefore,became,by,because,not,for,he,had,himself,his,who,been,lord,which,should,thus,we,them,in,their,it,unto,among,be,would,now,do,ye,many,your,have,is,say,if,are,may,therefore,into,god,will,yea,our,those,were,could,no,out,these,much,as,with,according,also,what,or,make,said,shall,then,more,me,my,other,whom,when,must,like,him,whatsoever,every,thou,hast,whereby,such,man,hath,thy,ought,how,being,than,thee,let,thine,therein,again,one,once,thereby,whoso,whereon,lest,wherein,ever,upward,whither,notwithstanding,thyself,whereof,her,each,whence,without,yet,wheresoever,anything,inasmuch,throughout,thence,wherewith,thereon,neither,abundance,henceforth,whose,therewith,till,becometh,shouldst,cometh,outward,seemeth,seest,wherewithal,oft,whosoever,soever,didst,some,hence,doeth,where,moreover,shalt,upwards,an,verily,e_percentage_use,t_percentage_use,h_percentage_use,r_percentage_use,a_percentage_use,n_percentage_use,d_percentage_use,s_percentage_use,o_percentage_use,w_percentage_use,i_percentage_use,f_percentage_use,p_percentage_use,y_percentage_use,l_percentage_use,b_percentage_use,u_percentage_use,m_percentage_use,c_percentage_use,g_percentage_use,v_percentage_use,z_percentage_use,k_percentage_use,j_percentage_use,x_percentage_use,â_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
moroni,18.0,4.0,37.0,6.0,2.0,14.0,1.0,3.0,6.0,3.0,1.0,20.0,5.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13679590343818582,0.10680321872713973,0.08412582297000731,0.06730065837600585,0.06730065837600585,0.06071689831748354,0.051207022677395755,0.048280907095830286,0.08046817849305048,0.018288222384784197,0.04681784930504755,0.03438185808339429,0.015362106803218726,0.011704462326261888,0.03218727139722019,0.020482809070958303,0.023408924652523776,0.02267739575713241,0.02267739575713241,0.009509875640087784,0.008778346744696415,0.0036576444769568397,0.000731528895391368,0.000731528895391368,0.0,0.0,0.0,318,4.29874213836478,45.42857142857143,174.97439648866137
mormon,86.0,1.0,111.0,50.0,4.0,49.0,10.0,9.0,0.0,3.0,4.0,98.0,10.0,0.0,9.0,0.0,0.0,6.0,17.0,19.0,23.0,7.0,9.0,0.0,9.0,14.0,11.0,14.0,15.0,6.0,1.0,33.0,7.0,26.0,14.0,23.0,25.0,8.0,20.0,4.0,7.0,25.0,48.0,3.0,28.0,38.0,17.0,6.0,10.0,16.0,13.0,3.0,4.0,29.0,19.0,28.0,34.0,9.0,6.0,7.0,4.0,7.0,6.0,4.0,8.0,13.0,3.0,10.0,4.0,3.0,1.0,1.0,20.0,3.0,3.0,4.0,20.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12473407233232561,0.08330534094726234,0.06595006158324936,0.05217780763632292,0.07479565558168179,0.06169521890045908,0.04489978725786586,0.05755234576195275,0.09058336132571941,0.02239390885679095,0.053409472623446426,0.024073452021050275,0.01433210166834621,0.027768446982420782,0.0410928227522114,0.013100436681222707,0.036614040980853205,0.025081177919605867,0.01903482252827231,0.018251035718284625,0.012540588959802933,0.00011196954428395476,0.0047027208599261005,0.0013436345314074571,0.0016795431642593216,0.0003359086328518643,0.0007837868099876833,2170,4.115668202764977,45.208333333333336,1241.9723435225621
abinadom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
nephi,28.0,0.0,38.0,10.0,1.0,10.0,1.0,7.0,0.0,1.0,1.0,26.0,1.0,0.0,2.0,2.0,0.0,1.0,3.0,5.0,7.0,1.0,2.0,0.0,5.0,2.0,2.0,7.0,5.0,0.0,0.0,14.0,4.0,7.0,0.0,6.0,4.0,0.0,6.0,2.0,2.0,0.0,3.0,2.0,0.0,11.0,7.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,7.0,5.0,10.0,0.0,3.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1304724750758561,0.08322496749024708,0.0810576506285219,0.05158214130905939,0.07195491980927611,0.0645860424794105,0.04638058084091894,0.05244906805374946,0.0754226267880364,0.027741655830082357,0.05374945817078457,0.024273948851322065,0.010836584308625921,0.01907238838318162,0.044646727351538795,0.01517121803207629,0.030775899436497615,0.01950585175552666,0.015604681404421327,0.014304291287386216,0.009969657563935847,0.0,0.007802340702210663,0.003034243606415258,0.0008669267446900737,0.00043346337234503684,0.00043346337234503684,589,3.9168081494057727,36.8125,329.95535327264844
amaleki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
amaron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
chemish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
enos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
jacob,4.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10469314079422383,0.09747292418772563,0.07581227436823104,0.061371841155234655,0.10830324909747292,0.07581227436823104,0.032490974729241874,0.02888086642599278,0.05415162454873646,0.01444043321299639,0.05054151624548736,0.02888086642599278,0.0036101083032490976,0.032490974729241874,0.07220216606498195,0.036101083032490974,0.02527075812274368,0.010830324909747292,0.021660649819494584,0.018050541516245487,0.010830324909747292,0.0,0.0,0.007220216606498195,0.0,0.0,0.0,69,4.0144927536231885,34.5,39.97111913357402
jarom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
