Author,abundance_FC,abundance_WC,according_FC,according_WC,again_FC,again_WC,all_FC,all_WC,also_FC,also_WC,among_FC,among_WC,an_FC,an_WC,and_FC,and_WC,anything_FC,anything_WC,are_FC,are_WC,as_FC,as_WC,be_FC,be_WC,became_FC,became_WC,because_FC,because_WC,becometh_FC,becometh_WC,been_FC,been_WC,being_FC,being_WC,but_FC,but_WC,by_FC,by_WC,cometh_FC,cometh_WC,could_FC,could_WC,did_FC,did_WC,didst_FC,didst_WC,do_FC,do_WC,doeth_FC,doeth_WC,each_FC,each_WC,ever_FC,ever_WC,every_FC,every_WC,for_FC,for_WC,forth_FC,forth_WC,from_FC,from_WC,god_FC,god_WC,had_FC,had_WC,hast_FC,hast_WC,hath_FC,hath_WC,have_FC,have_WC,he_FC,he_WC,hence_FC,hence_WC,henceforth_FC,henceforth_WC,her_FC,her_WC,him_FC,him_WC,himself_FC,himself_WC,his_FC,his_WC,how_FC,how_WC,if_FC,if_WC,in_FC,in_WC,inasmuch_FC,inasmuch_WC,into_FC,into_WC,is_FC,is_WC,it_FC,it_WC,lest_FC,lest_WC,let_FC,let_WC,like_FC,like_WC,lord_FC,lord_WC,make_FC,make_WC,man_FC,man_WC,many_FC,many_WC,may_FC,may_WC,me_FC,me_WC,more_FC,more_WC,moreover_FC,moreover_WC,much_FC,much_WC,must_FC,must_WC,my_FC,my_WC,neither_FC,neither_WC,no_FC,no_WC,not_FC,not_WC,notwithstanding_FC,notwithstanding_WC,now_FC,now_WC,of_FC,of_WC,oft_FC,oft_WC,once_FC,once_WC,one_FC,one_WC,or_FC,or_WC,other_FC,other_WC,ought_FC,ought_WC,our_FC,our_WC,out_FC,out_WC,outward_FC,outward_WC,said_FC,said_WC,say_FC,say_WC,seemeth_FC,seemeth_WC,seest_FC,seest_WC,shall_FC,shall_WC,shalt_FC,shalt_WC,should_FC,should_WC,shouldst_FC,shouldst_WC,soever_FC,soever_WC,some_FC,some_WC,such_FC,such_WC,than_FC,than_WC,that_FC,that_WC,the_FC,the_WC,thee_FC,thee_WC,their_FC,their_WC,them_FC,them_WC,then_FC,then_WC,thence_FC,thence_WC,there_FC,there_WC,thereby_FC,thereby_WC,therefore_FC,therefore_WC,therein_FC,therein_WC,thereof_FC,thereof_WC,thereon_FC,thereon_WC,therewith_FC,therewith_WC,these_FC,these_WC,they_FC,they_WC,thine_FC,thine_WC,those_FC,those_WC,thou_FC,thou_WC,throughout_FC,throughout_WC,thus_FC,thus_WC,thy_FC,thy_WC,thyself_FC,thyself_WC,till_FC,till_WC,to_FC,to_WC,unto_FC,unto_WC,upon_FC,upon_WC,upward_FC,upward_WC,upwards_FC,upwards_WC,verily_FC,verily_WC,was_FC,was_WC,we_FC,we_WC,were_FC,were_WC,what_FC,what_WC,whatsoever_FC,whatsoever_WC,when_FC,when_WC,whence_FC,whence_WC,where_FC,where_WC,whereby_FC,whereby_WC,wherefore_FC,wherefore_WC,wherein_FC,wherein_WC,whereof_FC,whereof_WC,whereon_FC,whereon_WC,wheresoever_FC,wheresoever_WC,wherewith_FC,wherewith_WC,wherewithal_FC,wherewithal_WC,which_FC,which_WC,whither_FC,whither_WC,who_FC,who_WC,whom_FC,whom_WC,whose_FC,whose_WC,whoso_FC,whoso_WC,whosoever_FC,whosoever_WC,will_FC,will_WC,with_FC,with_WC,without_FC,without_WC,would_FC,would_WC,ye_FC,ye_WC,yea_FC,yea_WC,yet_FC,yet_WC,your_FC,your_WC,a_percentage_use,b_percentage_use,c_percentage_use,d_percentage_use,e_percentage_use,f_percentage_use,g_percentage_use,h_percentage_use,i_percentage_use,j_percentage_use,k_percentage_use,l_percentage_use,m_percentage_use,n_percentage_use,o_percentage_use,p_percentage_use,q_percentage_use,r_percentage_use,s_percentage_use,t_percentage_use,u_percentage_use,v_percentage_use,w_percentage_use,x_percentage_use,y_percentage_use,z_percentage_use,â_percentage_use,Function_Word_Use,Total_Word_Count,Total_Function_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse
moroni,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.23169025034987,5.625,0.0,0.0,0.0,0.0,3.4105634167832894,1.875,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,2.273708944522193,1.25,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,2.273708944522193,1.25,0.0,0.0,0.0,0.0,0.0,0.0,5.684272361305482,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4105634167832894,1.875,0.0,0.0,1.1368544722610965,0.625,2.273708944522193,1.25,0.0,0.0,0.0,0.0,0.0,0.0,2.273708944522193,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,1.1368544722610965,0.625,6.821126833566579,3.75,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.052817083916448,9.375,0.0,0.0,2.273708944522193,1.25,5.684272361305482,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,5.684272361305482,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,4.547417889044386,2.5,2.273708944522193,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4105634167832894,1.875,0.0,0.0,1.1368544722610965,0.625,1.1368544722610965,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0759878419452887,0.0060790273556231,0.0303951367781155,0.0592705167173252,0.1155015197568389,0.019756838905775,0.0121580547112462,0.1018237082066869,0.0623100303951367,0.0,0.0030395136778115,0.0288753799392097,0.033434650455927,0.0592705167173252,0.0699088145896656,0.019756838905775,0.0,0.0577507598784194,0.060790273556231,0.0896656534954407,0.0151975683890577,0.0015197568389057,0.0182370820668693,0.0,0.0182370820668693,0.0,0.0030395136778115,0.5497625379939209,160,87.96200607902735,4.1125,23.0
mormon,0.0,0.0,0.12920625294567925,0.07158196134574087,0.0,0.0,0.9044437706197548,0.5010737294201861,0.2584125058913585,0.14316392269148173,0.12920625294567925,0.07158196134574087,0.2584125058913585,0.14316392269148173,9.690468970925943,5.368647100930565,0.0,0.0,0.7752375176740754,0.4294917680744453,0.9044437706197548,0.5010737294201861,3.100950070696302,1.7179670722977811,0.0,0.0,0.3876187588370377,0.21474588403722264,0.0,0.0,0.0,0.0,0.0,0.0,0.3876187588370377,0.21474588403722264,0.3876187588370377,0.21474588403722264,0.2584125058913585,0.14316392269148173,0.3876187588370377,0.21474588403722264,0.0,0.0,0.0,0.0,0.7752375176740754,0.4294917680744453,0.0,0.0,0.0,0.0,0.12920625294567925,0.07158196134574087,0.12920625294567925,0.07158196134574087,1.2920625294567925,0.7158196134574087,0.516825011782717,0.28632784538296346,0.3876187588370377,0.21474588403722264,1.9380937941851886,1.0737294201861132,0.0,0.0,0.0,0.0,0.12920625294567925,0.07158196134574087,1.033650023565434,0.5726556907659269,0.2584125058913585,0.14316392269148173,0.0,0.0,0.0,0.0,0.0,0.0,0.7752375176740754,0.4294917680744453,0.0,0.0,0.6460312647283962,0.35790980672870437,0.0,0.0,0.3876187588370377,0.21474588403722264,2.8425375648049434,1.574803149606299,0.0,0.0,0.6460312647283962,0.35790980672870437,0.516825011782717,0.28632784538296346,1.8088875412395096,1.0021474588403723,0.12920625294567925,0.07158196134574087,0.0,0.0,0.12920625294567925,0.07158196134574087,2.3257125530222265,1.288475304223336,0.3876187588370377,0.21474588403722264,0.2584125058913585,0.14316392269148173,0.0,0.0,0.2584125058913585,0.14316392269148173,0.516825011782717,0.28632784538296346,0.3876187588370377,0.21474588403722264,0.0,0.0,0.0,0.0,0.0,0.0,1.6796812882938303,0.9305654974946312,0.2584125058913585,0.14316392269148173,0.516825011782717,0.28632784538296346,1.9380937941851886,1.0737294201861132,0.0,0.0,0.0,0.0,5.03904386488149,2.791696492483894,0.0,0.0,0.0,0.0,0.0,0.0,0.7752375176740754,0.4294917680744453,0.3876187588370377,0.21474588403722264,0.0,0.0,0.0,0.0,0.516825011782717,0.28632784538296346,0.0,0.0,0.0,0.0,0.12920625294567925,0.07158196134574087,0.0,0.0,0.0,0.0,6.201900141392604,3.4359341445955622,1.4212687824024717,0.7874015748031495,0.12920625294567925,0.07158196134574087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12920625294567925,0.07158196134574087,4.134600094261736,2.2906227630637077,10.594912741545699,5.869720830350752,0.516825011782717,0.28632784538296346,3.7469813354246986,2.0758768790264854,3.100950070696302,1.7179670722977811,0.12920625294567925,0.07158196134574087,0.0,0.0,0.0,0.0,0.0,0.0,0.516825011782717,0.28632784538296346,0.0,0.0,0.2584125058913585,0.14316392269148173,0.0,0.0,0.0,0.0,0.0,0.0,4.005393841316057,2.219040801717967,0.0,0.0,0.0,0.0,1.550475035348151,0.8589835361488906,0.0,0.0,0.2584125058913585,0.14316392269148173,2.3257125530222265,1.288475304223336,0.12920625294567925,0.07158196134574087,0.0,0.0,2.4549188059679055,1.3600572655690766,1.8088875412395096,1.0021474588403723,0.3876187588370377,0.21474588403722264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2584125058913585,0.14316392269148173,0.12920625294567925,0.07158196134574087,0.0,0.0,0.0,0.0,0.12920625294567925,0.07158196134574087,0.0,0.0,0.12920625294567925,0.07158196134574087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2920625294567925,0.7158196134574087,0.0,0.0,0.12920625294567925,0.07158196134574087,0.0,0.0,0.2584125058913585,0.14316392269148173,0.0,0.0,0.0,0.0,2.7133313118592643,1.5032211882605582,1.033650023565434,0.5726556907659269,0.0,0.0,0.0,0.0,0.516825011782717,0.28632784538296346,1.4212687824024717,0.7874015748031495,0.12920625294567925,0.07158196134574087,0.12920625294567925,0.07158196134574087,0.0821636425881547,0.015576857240671,0.015405682985279,0.0388565559739815,0.1138308798356727,0.0190003423485107,0.014549811708319,0.0902088325915782,0.0648750427935638,0.0013693940431359,0.0053064019171516,0.0489558370421088,0.030469017459774,0.061793906196508,0.0693255734337555,0.0130092434097911,0.0010270455323519,0.046045874700445,0.0583704210886682,0.0975693255734337,0.0196850393700787,0.0094145840465593,0.0157480314960629,0.0013693940431359,0.0222526532009585,0.0,0.0001711742553919,0.5540131356942554,1397,773.9563505648747,4.181818181818182,29.104166666666668
abinadom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
nephi,0.0,0.0,0.0,0.0,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.481976154618028,4.606525911708253,0.0,0.0,0.7068313462181691,0.3838771593090211,1.0602470193272535,0.5758157389635317,2.473909711763592,1.3435700575815739,0.0,0.0,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,1.4136626924363382,0.7677543186180422,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35341567310908456,0.19193857965451055,2.120494038654507,1.1516314779270633,0.7068313462181691,0.3838771593090211,1.4136626924363382,0.7677543186180422,0.35341567310908456,0.19193857965451055,0.0,0.0,0.7068313462181691,0.3838771593090211,0.35341567310908456,0.19193857965451055,1.7670783655454227,0.9596928982725527,1.7670783655454227,0.9596928982725527,0.0,0.0,0.0,0.0,0.0,0.0,0.7068313462181691,0.3838771593090211,0.0,0.0,0.35341567310908456,0.19193857965451055,0.0,0.0,0.35341567310908456,0.19193857965451055,1.7670783655454227,0.9596928982725527,0.0,0.0,0.35341567310908456,0.19193857965451055,1.4136626924363382,0.7677543186180422,0.7068313462181691,0.3838771593090211,0.0,0.0,0.0,0.0,2.120494038654507,1.1516314779270633,1.0602470193272535,0.5758157389635317,0.35341567310908456,0.19193857965451055,0.7068313462181691,0.3838771593090211,0.0,0.0,1.0602470193272535,0.5758157389635317,2.120494038654507,1.1516314779270633,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,5.301235096636268,2.8790786948176583,0.35341567310908456,0.19193857965451055,0.35341567310908456,0.19193857965451055,1.0602470193272535,0.5758157389635317,0.0,0.0,0.0,0.0,6.714897789072606,3.6468330134357005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35341567310908456,0.19193857965451055,0.0,0.0,0.35341567310908456,0.19193857965451055,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,4.947819423527184,2.6871401151631478,0.35341567310908456,0.19193857965451055,0.7068313462181691,0.3838771593090211,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.947819423527184,2.6871401151631478,13.429795578145212,7.293666026871401,0.7068313462181691,0.3838771593090211,0.35341567310908456,0.19193857965451055,1.4136626924363382,0.7677543186180422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7068313462181691,0.3838771593090211,0.35341567310908456,0.19193857965451055,0.0,0.0,1.7670783655454227,0.9596928982725527,0.0,0.0,0.0,0.0,1.7670783655454227,0.9596928982725527,0.0,0.0,0.0,0.0,2.473909711763592,1.3435700575815739,3.180741057981761,1.727447216890595,0.7068313462181691,0.3838771593090211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35341567310908456,0.19193857965451055,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.7068313462181691,0.3838771593090211,0.35341567310908456,0.19193857965451055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4136626924363382,0.7677543186180422,0.0,0.0,0.7068313462181691,0.3838771593090211,0.0,0.0,0.0,0.0,1.0602470193272535,0.5758157389635317,0.0,0.0,0.0,0.0,0.0,0.0,2.120494038654507,1.1516314779270633,0.35341567310908456,0.19193857965451055,0.0,0.0,0.7068313462181691,0.3838771593090211,0.0846269404106159,0.0130195292939409,0.0075112669003505,0.0380570856284426,0.1276915373059589,0.0260390585878818,0.0125187781672508,0.0821231847771657,0.043565348022033,0.00100150225338,0.0095142714071106,0.0460691036554832,0.0305458187280921,0.0650976464697045,0.0786179268903355,0.0140210315473209,0.0,0.0510766149223835,0.0470706059088632,0.0931397095643465,0.0260390585878818,0.0115172759138708,0.0170255383074611,0.00100150225338,0.0250375563345017,0.00050075112669,0.00050075112669,0.5430958337698486,521,282.95292939409114,3.833013435700576,32.5625
amaleki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
amaron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
chemish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
enos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
jacob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56105610561056,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,5.28052805280528,3.225806451612903,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56105610561056,6.451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,5.28052805280528,3.225806451612903,0.0,0.0,0.0,0.0,0.0535714285714285,0.0535714285714285,0.0357142857142857,0.0267857142857142,0.125,0.0089285714285714,0.0,0.0803571428571428,0.0803571428571428,0.0178571428571428,0.0089285714285714,0.0357142857142857,0.0089285714285714,0.0625,0.0714285714285714,0.0,0.0,0.0625,0.0446428571428571,0.0803571428571428,0.0267857142857142,0.0089285714285714,0.0267857142857142,0.0,0.0178571428571428,0.0,0.0,0.6108870967741936,31,18.937500000000004,3.612903225806452,15.5
jarom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,0.0,0.0
