Author,and,the,of,which,had,unto,wherefore,said,out,her,for,shall,not,be,with,my,was,in,because,his,god,let,it,thy,all,that,hath,thee,also,will,make,he,is,one,him,as,were,me,to,what,where,thine,became,an,thou,now,therefore,by,but,according,have,shalt,do,wherein,hast,who,neither,didst,yet,them,these,they,may,there,thus,then,into,lord,many,did,whom,upon,ye,again,himself,forth,from,whose,among,our,if,your,should,when,their,those,thereof,yea,every,man,or,are,till,no,without,more,say,been,being,upward,other,could,throughout,moreover,doeth,ever,than,much,cometh,like,each,such,would,we,thyself,ought,must,verily,thereupon,outward,shouldest,whereof,henceforth,underneath,lest,whereby,whereunto,abundance,thereby,whence,therewith,notwithstanding,hereof,thereon,oftentimes,thence,whither,therein,some,hence,once,inasmuch,downward,wherewith,whoso,how,whereto,forthwith,thereunto,becometh,therefrom,oft,a_percentage_use,n_percentage_use,d_percentage_use,s_percentage_use,r_percentage_use,h_percentage_use,w_percentage_use,t_percentage_use,e_percentage_use,o_percentage_use,f_percentage_use,g_percentage_use,y_percentage_use,p_percentage_use,i_percentage_use,c_percentage_use,b_percentage_use,u_percentage_use,m_percentage_use,k_percentage_use,l_percentage_use,v_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,139.0,91.0,63.0,7.0,4.0,25.0,2.0,22.0,7.0,9.0,16.0,6.0,9.0,7.0,13.0,13.0,6.0,25.0,8.0,25.0,14.0,2.0,13.0,13.0,3.0,17.0,4.0,8.0,3.0,8.0,2.0,14.0,7.0,2.0,16.0,4.0,2.0,10.0,18.0,2.0,2.0,5.0,1.0,3.0,15.0,3.0,1.0,5.0,4.0,1.0,3.0,2.0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,6.0,6.0,8.0,2.0,4.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11422034494896163,0.07602956705385427,0.06019007391763464,0.055614220344948964,0.046286518831397394,0.09186906019007392,0.019535374868004225,0.08535726856740584,0.11246040126715945,0.07180570221752904,0.02375923970432946,0.014959521295318549,0.016543470608940514,0.010911650827173531,0.055614220344948964,0.016367476240760296,0.024991200281590988,0.02287926786342837,0.028511087645195353,0.0051038366772263285,0.034494896163322776,0.007039774727208729,0.0012319605772615277,0.00017599436818021823,0.0007039774727208729,0.0,1450,3.9186206896551723,24.93103448275862,779.9966561070047
Joshua,13.0,37.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10483042137718397,0.05755395683453238,0.048304213771839674,0.06166495375128469,0.0698869475847893,0.0698869475847893,0.018499486125385406,0.10688591983556012,0.1366906474820144,0.0842754367934224,0.03186022610483042,0.006166495375128468,0.007194244604316547,0.03186022610483042,0.03186022610483042,0.01644398766700925,0.012332990750256937,0.011305241521068859,0.018499486125385406,0.007194244604316547,0.03905447070914697,0.014388489208633094,0.010277492291880781,0.0,0.0010277492291880781,0.0,246,3.9552845528455283,41.0,128.9979445015417
Samuel,22.0,43.0,22.0,1.0,3.0,1.0,0.0,1.0,1.0,6.0,5.0,2.0,3.0,3.0,2.0,0.0,1.0,6.0,2.0,5.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,2.0,2.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,9.0,0.0,1.0,0.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07332563510392609,0.061200923787528866,0.05196304849884527,0.06408775981524249,0.06004618937644342,0.09295612009237875,0.01905311778290993,0.09584295612009237,0.15704387990762125,0.06755196304849885,0.02424942263279446,0.012702078521939953,0.017321016166281754,0.01212471131639723,0.05600461893764434,0.01789838337182448,0.013279445727482679,0.01558891454965358,0.027136258660508082,0.006928406466512702,0.03926096997690531,0.009815242494226328,0.0005773672055427252,0.0005773672055427252,0.0011547344110854503,0.0,421,4.114014251781473,28.0,215.99769053117777
Unknown,21.0,8.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10964912280701754,0.08771929824561403,0.06871345029239766,0.04239766081871345,0.05847953216374269,0.07456140350877193,0.023391812865497075,0.07894736842105263,0.13450292397660818,0.06432748538011696,0.02046783625730994,0.01608187134502924,0.008771929824561403,0.014619883040935672,0.03654970760233918,0.008771929824561403,0.023391812865497075,0.02631578947368421,0.024853801169590642,0.008771929824561403,0.04093567251461988,0.01023391812865497,0.007309941520467836,0.0029239766081871343,0.0,0.0,161,4.248447204968944,26.5,74.9926900584795
Unknown,14.0,19.0,9.0,2.0,0.0,5.0,0.0,5.0,1.0,1.0,8.0,1.0,4.0,2.0,0.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,0.0,6.0,1.0,1.0,3.0,2.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09149722735674677,0.06931608133086876,0.051756007393715345,0.05730129390018484,0.04713493530499076,0.09519408502772643,0.015711645101663587,0.09519408502772643,0.11090573012939002,0.09149722735674677,0.031423290203327174,0.015711645101663587,0.014787430683918669,0.010166358595194085,0.06931608133086876,0.0073937153419593345,0.019408502772643253,0.021256931608133085,0.02865064695009242,0.011090573012939002,0.03234750462107209,0.005545286506469501,0.005545286506469501,0.0,0.0009242144177449168,0.0,271,3.992619926199262,33.875,155.99907578558228
Unknown,21.0,24.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08171206225680934,0.07587548638132295,0.054474708171206226,0.05544747081712062,0.05544747081712062,0.07684824902723736,0.024319066147859923,0.11575875486381323,0.13910505836575876,0.07879377431906615,0.020428015564202335,0.017509727626459144,0.017509727626459144,0.01264591439688716,0.053501945525291826,0.007782101167315175,0.01848249027237354,0.020428015564202335,0.024319066147859923,0.007782101167315175,0.03501945525291829,0.006809338521400778,0.0,0.0,0.0,0.0,250,4.112,35.714285714285715,136.99999999999994
Ezra,53.0,47.0,47.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,4.0,18.0,3.0,5.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10368217054263566,0.08381782945736434,0.056686046511627904,0.054748062015503876,0.05281007751937984,0.09108527131782945,0.02131782945736434,0.08381782945736434,0.1312984496124031,0.06540697674418605,0.03439922480620155,0.012596899224806201,0.012596899224806201,0.006782945736434108,0.060562015503875966,0.013565891472868217,0.018410852713178296,0.022286821705426358,0.017926356589147287,0.003875968992248062,0.035368217054263566,0.005813953488372093,0.007267441860465116,0.00048449612403100775,0.0029069767441860465,0.0,488,4.229508196721311,24.4,265.9995155038761
Nehemiah,9.0,21.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08620689655172414,0.06704980842911877,0.04597701149425287,0.040229885057471264,0.06704980842911877,0.09770114942528736,0.0019157088122605363,0.09770114942528736,0.15134099616858238,0.09578544061302682,0.03639846743295019,0.009578544061302681,0.0038314176245210726,0.0210727969348659,0.05172413793103448,0.0038314176245210726,0.011494252873563218,0.02490421455938697,0.028735632183908046,0.0019157088122605363,0.028735632183908046,0.005747126436781609,0.007662835249042145,0.007662835249042145,0.005747126436781609,0.0,116,4.5,29.0,62.00000000000001
Mordecai,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.08522727272727272,0.03409090909090909,0.05113636363636364,0.056818181818181816,0.11363636363636363,0.022727272727272728,0.08522727272727272,0.14204545454545456,0.028409090909090908,0.011363636363636364,0.022727272727272728,0.011363636363636364,0.005681818181818182,0.045454545454545456,0.028409090909090908,0.028409090909090908,0.017045454545454544,0.03409090909090909,0.011363636363636364,0.005681818181818182,0.017045454545454544,0.0,0.0,0.011363636363636364,0.0,38,4.631578947368421,38.0,16.99431818181818
Unknown,8.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06646525679758308,0.06646525679758308,0.04380664652567976,0.052870090634441085,0.055891238670694864,0.11782477341389729,0.021148036253776436,0.1163141993957704,0.1283987915407855,0.07854984894259819,0.022658610271903322,0.01812688821752266,0.015105740181268883,0.0256797583081571,0.05740181268882175,0.01812688821752266,0.010574018126888218,0.02416918429003021,0.027190332326283987,0.006042296072507553,0.01661631419939577,0.006042296072507553,0.0,0.0015105740181268882,0.0,0.0015105740181268882,149,4.442953020134228,14.8,81.9984894259819
