Author,that,he,may,me,the,of,which,hath,is,in,his,for,as,much,it,shall,and,among,all,my,lord,thee,therein,thy,himself,unto,but,if,thou,will,there,him,what,therefore,to,had,with,was,were,by,said,make,god,shalt,not,whom,be,must,again,from,whence,thence,then,without,out,let,say,also,hast,thereby,who,her,upon,neither,man,when,they,have,into,or,whose,moreover,we,being,them,these,thus,wherefore,one,now,do,cometh,forth,every,ye,hence,where,your,according,their,ever,because,an,our,did,wherewith,more,than,thereof,thine,those,yet,other,yea,no,like,some,are,how,lest,could,such,verily,till,many,should,would,henceforth,thyself,ought,whereby,thereupon,outward,shouldest,whereof,became,underneath,whereunto,abundance,therewith,notwithstanding,throughout,hereof,doeth,thereon,oftentimes,whither,wherein,been,upward,didst,each,once,inasmuch,downward,whoso,whereto,therefrom,forthwith,thereunto,becometh,oft,t_percentage_use,h_percentage_use,a_percentage_use,e_percentage_use,m_percentage_use,y_percentage_use,g_percentage_use,i_percentage_use,v_percentage_use,c_percentage_use,o_percentage_use,f_percentage_use,p_percentage_use,l_percentage_use,w_percentage_use,s_percentage_use,n_percentage_use,d_percentage_use,r_percentage_use,u_percentage_use,b_percentage_use,k_percentage_use,x_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,25.0,26.0,2.0,22.0,114.0,66.0,10.0,7.0,9.0,23.0,25.0,17.0,3.0,1.0,11.0,6.0,128.0,2.0,9.0,40.0,16.0,18.0,3.0,15.0,1.0,37.0,4.0,4.0,21.0,13.0,3.0,12.0,1.0,1.0,34.0,10.0,5.0,9.0,6.0,6.0,20.0,1.0,6.0,9.0,11.0,4.0,8.0,1.0,4.0,8.0,1.0,1.0,2.0,2.0,5.0,8.0,4.0,5.0,2.0,1.0,2.0,17.0,4.0,1.0,8.0,6.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09066582716826696,0.08893436171887298,0.09837871871556744,0.12466551235636707,0.03557374468754919,0.017472060443884777,0.014009129545096805,0.05446245868093814,0.00834251534708012,0.015425783094600977,0.06815677632614513,0.022509050842121833,0.012749881945537542,0.03793483393672281,0.02565716984101999,0.05210136943176452,0.0716197072249331,0.05729576577994648,0.054934676530772865,0.02093499134267275,0.014481347394931529,0.00897213914685975,0.00015740594994490792,0.00015740594994490792,0.0,0.0,1658,3.831724969843185,28.379310344827587,930.9955926334018
Joshua,3.0,1.0,1.0,0.0,19.0,19.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,4.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09464508094645081,0.0722291407222914,0.0759651307596513,0.14570361145703611,0.029887920298879204,0.026151930261519303,0.012453300124533,0.039850560398505604,0.014943960149439602,0.019925280199252802,0.09090909090909091,0.037359900373599,0.0136986301369863,0.037359900373599,0.0186799501867995,0.05105853051058531,0.06102117061021171,0.038605230386052306,0.06351183063511831,0.028642590286425903,0.0112079701120797,0.007471980074719801,0.0,0.008717310087173101,0.0,0.0,202,3.9752475247524752,33.666666666666664,116.00000000000001
Samuel,4.0,6.0,0.0,2.0,41.0,22.0,3.0,1.0,3.0,9.0,2.0,0.0,1.0,0.0,5.0,1.0,39.0,0.0,3.0,6.0,15.0,6.0,0.0,2.0,0.0,15.0,2.0,2.0,5.0,2.0,1.0,9.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,1.0,10.0,0.0,3.0,2.0,5.0,0.0,3.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09355742296918768,0.08459383753501401,0.08571428571428572,0.11428571428571428,0.02689075630252101,0.018487394957983194,0.016246498599439777,0.07226890756302522,0.00784313725490196,0.011764705882352941,0.0784313725490196,0.024089635854341738,0.01568627450980392,0.0380952380952381,0.013445378151260505,0.050980392156862744,0.07338935574229692,0.06666666666666667,0.047058823529411764,0.0380952380952381,0.01288515406162465,0.0061624649859943975,0.0,0.0005602240896358543,0.0005602240896358543,0.0,468,3.8141025641025643,31.133333333333333,287.9977591036414
Unknown,1.0,0.0,0.0,0.0,15.0,12.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07908611599297012,0.0984182776801406,0.11247803163444639,0.11072056239015818,0.0210896309314587,0.0035149384885764497,0.01757469244288225,0.06502636203866433,0.007029876977152899,0.015817223198594025,0.0773286467486819,0.03866432337434095,0.005272407732864675,0.02460456942003515,0.0210896309314587,0.05975395430579965,0.07381370826010544,0.04745166959578207,0.04569420035149385,0.026362038664323375,0.029876977152899824,0.0017574692442882249,0.0017574692442882249,0.0035149384885764497,0.0035149384885764497,0.0,134,4.246268656716418,22.0,67.99121265377853
Unknown,2.0,7.0,0.0,2.0,32.0,17.0,1.0,1.0,1.0,4.0,8.0,3.0,1.0,0.0,1.0,3.0,26.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08505367464905036,0.09413707679603633,0.0990916597853014,0.10569777043765483,0.022295623451692816,0.007431874483897605,0.013212221304706853,0.05532617671345995,0.004128819157720892,0.00990916597853014,0.09496284062758051,0.02972749793559042,0.01486374896779521,0.033856317093311314,0.016515276630883566,0.04872006606110652,0.08257638315441784,0.06028075970272502,0.046242774566473986,0.03137902559867878,0.02477291494632535,0.007431874483897605,0.0,0.010734929810074319,0.0008257638315441783,0.0,310,3.9064516129032256,38.75,181.9991742361685
Unknown,3.0,3.0,0.0,2.0,15.0,7.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,19.0,0.0,2.0,2.0,1.0,3.0,0.0,6.0,0.0,5.0,0.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10340775558166862,0.0963572267920094,0.0799059929494712,0.12103407755581669,0.0199764982373678,0.01645123384253819,0.009400705052878966,0.04465334900117509,0.01527614571092832,0.010575793184488837,0.09048178613396005,0.01527614571092832,0.01410105757931845,0.038777908343125736,0.01880141010575793,0.0846063454759107,0.07520564042303172,0.055229142185663924,0.04230317273795535,0.03290246768507638,0.011750881316098707,0.0023501762632197414,0.0,0.0,0.0,0.0,229,3.7161572052401746,32.714285714285715,139.99882491186835
Ezra,2.0,2.0,0.0,0.0,23.0,18.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07311320754716981,0.08490566037735849,0.16430817610062892,0.09905660377358491,0.027515723270440252,0.007075471698113208,0.02908805031446541,0.06525157232704402,0.003930817610062893,0.00550314465408805,0.05345911949685535,0.018867924528301886,0.009433962264150943,0.02279874213836478,0.006289308176100629,0.04323899371069182,0.07154088050314465,0.05738993710691824,0.055031446540880505,0.02122641509433962,0.03380503144654088,0.014150943396226415,0.0007861635220125787,0.00550314465408805,0.02437106918238994,0.0,274,4.642335766423358,13.65,116.99764150943399
Nehemiah,0.0,1.0,0.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09935205183585313,0.11663066954643629,0.1101511879049676,0.12526997840172785,0.019438444924406047,0.004319654427645789,0.01079913606911447,0.04319654427645788,0.0064794816414686825,0.01079913606911447,0.07127429805615551,0.03023758099352052,0.02159827213822894,0.028077753779697623,0.004319654427645789,0.05183585313174946,0.0734341252699784,0.04319654427645788,0.056155507559395246,0.04103671706263499,0.01511879049676026,0.0021598272138228943,0.0064794816414686825,0.0064794816414686825,0.0021598272138228943,0.0,105,4.40952380952381,26.25,52.99999999999999
Mordecai,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10091743119266056,0.09174311926605505,0.05504587155963303,0.14678899082568808,0.0,0.01834862385321101,0.01834862385321101,0.05504587155963303,0.009174311926605505,0.01834862385321101,0.10091743119266056,0.027522935779816515,0.027522935779816515,0.027522935779816515,0.03669724770642202,0.045871559633027525,0.06422018348623854,0.009174311926605505,0.07339449541284404,0.01834862385321101,0.027522935779816515,0.01834862385321101,0.0,0.0,0.0,0.009174311926605505,28,3.892857142857143,28.0,13.999999999999995
Unknown,2.0,2.0,0.0,0.0,12.0,9.0,0.0,0.0,1.0,9.0,1.0,2.0,2.0,0.0,5.0,6.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11631205673758865,0.10354609929078014,0.09219858156028368,0.12340425531914893,0.01276595744680851,0.00851063829787234,0.014184397163120567,0.059574468085106386,0.00851063829787234,0.018439716312056736,0.075177304964539,0.032624113475177303,0.005673758865248227,0.04964539007092199,0.015602836879432624,0.06808510638297872,0.05815602836879433,0.03546099290780142,0.0425531914893617,0.028368794326241134,0.019858156028368795,0.0070921985815602835,0.0014184397163120568,0.0014184397163120568,0.0,0.0,180,3.9166666666666665,18.0,118.9985815602837
