Author,and,her,said,whose,thou,the,of,whom,unto,him,upon,my,lord,god,which,had,me,in,to,his,now,if,ye,will,with,not,that,may,or,then,from,we,thee,is,let,be,thy,as,hath,it,when,their,he,himself,forth,them,also,they,did,were,all,shall,man,our,those,for,out,what,therefore,into,became,was,again,these,but,yet,are,an,there,by,according,because,thus,one,than,other,like,do,where,every,have,shalt,could,who,throughout,more,make,thence,whither,thine,many,hast,oft,cometh,say,been,among,verily,no,thereof,would,whereof,without,should,yea,didst,some,ever,how,therein,neither,moreover,thyself,your,wherefore,downward,upward,wherein,much,whosoever,ought,lest,till,must,whereon,being,inasmuch,each,abundance,whereto,seest,therewith,whatsoever,once,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,whereby,thereon,thereupon,doeth,thereunto,wherewith,oftentimes,such,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,soever,forthwith,therefrom,wheresoever,whoso,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,s_percentage_use,k_percentage_use,e_percentage_use,h_percentage_use,r_percentage_use,w_percentage_use,o_percentage_use,u_percentage_use,g_percentage_use,t_percentage_use,f_percentage_use,b_percentage_use,l_percentage_use,m_percentage_use,c_percentage_use,p_percentage_use,y_percentage_use,v_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,157.0,22.0,19.0,1.0,5.0,89.0,41.0,2.0,23.0,7.0,3.0,8.0,11.0,2.0,8.0,6.0,10.0,16.0,23.0,25.0,2.0,3.0,1.0,7.0,6.0,4.0,13.0,2.0,2.0,4.0,6.0,2.0,7.0,5.0,3.0,7.0,7.0,2.0,2.0,4.0,5.0,8.0,20.0,1.0,1.0,5.0,1.0,9.0,3.0,6.0,7.0,6.0,6.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,16.0,1.0,9.0,2.0,1.0,8.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1179515622111296,0.07080791273802921,0.06544647809206877,0.055647994083934185,0.06082455167313736,0.0066555740432612314,0.12719541504899243,0.08633758550563875,0.05490848585690516,0.02181549269735626,0.05675725642447772,0.018857459789240156,0.013865779256794232,0.08337955259752265,0.02015159918654095,0.020521353300055462,0.03512664078387872,0.027546681456831208,0.015714549824366795,0.010722869291920872,0.01349602514327972,0.006100942872989462,0.002958032908116103,0.00036975411351451286,0.00036975411351451286,0.0,1346,4.018573551263001,22.948275862068964,721.9935293030136
Joshua,13.0,0.0,0.0,0.0,0.0,31.0,17.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08183856502242152,0.05829596412556054,0.06390134529147982,0.04035874439461883,0.06390134529147982,0.007847533632286996,0.14237668161434977,0.07623318385650224,0.061659192825112105,0.013452914798206279,0.08744394618834081,0.021300448430493273,0.005605381165919282,0.09641255605381166,0.028026905829596414,0.011210762331838564,0.034753363228699555,0.021300448430493273,0.02466367713004484,0.03139013452914798,0.005605381165919282,0.011210762331838564,0.010089686098654708,0.0,0.0,0.0,211,4.2274881516587675,35.166666666666664,113.99887892376685
Samuel,36.0,0.0,8.0,0.0,2.0,49.0,22.0,0.0,12.0,12.0,3.0,0.0,11.0,3.0,1.0,1.0,0.0,5.0,5.0,6.0,0.0,1.0,2.0,3.0,1.0,3.0,14.0,1.0,0.0,6.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,1.0,7.0,10.0,3.0,0.0,14.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,5.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1006876227897839,0.07072691552062868,0.060903732809430254,0.04960707269155206,0.04862475442043222,0.0063850687622789785,0.12278978388998035,0.09184675834970531,0.03929273084479371,0.018172888015717092,0.07170923379174853,0.027996070726915522,0.01768172888015717,0.10903732809430255,0.02406679764243615,0.01768172888015717,0.043222003929273084,0.01669941060903733,0.022102161100196464,0.010805500982318271,0.01424361493123772,0.0073673870333988214,0.0029469548133595285,0.0004911591355599214,0.0019646365422396855,0.0,522,3.900383141762452,34.666666666666664,319.9970530451867
Unknown,10.0,0.0,2.0,1.0,4.0,8.0,6.0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,0.0,12.0,3.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,5.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970625798212005,0.06641123882503193,0.05874840357598978,0.0561941251596424,0.06385696040868455,0.005108556832694764,0.12260536398467432,0.08556832694763729,0.04725415070242656,0.021711366538952746,0.07918263090676884,0.02937420178799489,0.020434227330779056,0.08939974457215837,0.021711366538952746,0.020434227330779056,0.034482758620689655,0.022988505747126436,0.01532567049808429,0.0038314176245210726,0.01277139208173691,0.0140485312899106,0.002554278416347382,0.001277139208173691,0.0,0.002554278416347382,201,3.8955223880597014,33.166666666666664,107.99489144316729
Unknown,24.0,0.0,4.0,0.0,7.0,15.0,6.0,0.0,6.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,7.0,0.0,0.0,1.0,2.0,0.0,4.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10406342913776016,0.07631318136769079,0.06342913776015857,0.061446977205153616,0.07036669970267592,0.01288404360753221,0.0981169474727453,0.09117938553022795,0.03964321110009911,0.018830525272547076,0.07928642220019821,0.023785926660059464,0.02180376610505451,0.10901883052527254,0.013875123885034688,0.009910802775024777,0.031714568880079286,0.026759167492566897,0.011892963330029732,0.004955401387512388,0.019821605550049554,0.007928642220019821,0.002973240832507433,0.0,0.0,0.0,254,3.97244094488189,31.75,147.00000000000003
Unknown,19.0,5.0,4.0,0.0,2.0,5.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,9.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,4.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10866910866910867,0.07448107448107448,0.06105006105006105,0.054945054945054944,0.06471306471306472,0.004884004884004884,0.12332112332112333,0.0989010989010989,0.042735042735042736,0.02197802197802198,0.06471306471306472,0.02442002442002442,0.007326007326007326,0.09523809523809523,0.014652014652014652,0.02197802197802198,0.0463980463980464,0.019536019536019536,0.019536019536019536,0.01098901098901099,0.01221001221001221,0.003663003663003663,0.0,0.0,0.002442002442002442,0.0,224,3.65625,32.0,129.99877899877904
Ezra,14.0,0.0,0.0,0.0,0.0,42.0,37.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09732360097323602,0.0851581508515815,0.025141930251419302,0.07785888077858881,0.1070559610705596,0.0113544201135442,0.09975669099756691,0.12165450121654502,0.038118410381184104,0.004866180048661801,0.10624493106244931,0.010543390105433901,0.009732360097323601,0.07218167072181671,0.0364963503649635,0.008921330089213302,0.029197080291970802,0.021086780210867802,0.008110300081103,0.004866180048661801,0.0032441200324412004,0.004866180048661801,0.006488240064882401,0.0,0.008921330089213302,0.0,311,3.964630225080386,15.55,153.99918896999182
Nehemiah,9.0,0.0,0.0,0.0,0.0,30.0,18.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08385093167701864,0.04503105590062112,0.03881987577639751,0.04813664596273292,0.037267080745341616,0.007763975155279503,0.13354037267080746,0.10403726708074534,0.06987577639751552,0.004658385093167702,0.08229813664596274,0.034161490683229816,0.012422360248447204,0.11180124223602485,0.046583850931677016,0.020186335403726708,0.03571428571428571,0.017080745341614908,0.017080745341614908,0.026397515527950312,0.004658385093167702,0.007763975155279503,0.0,0.0,0.006211180124223602,0.0015527950310559005,159,4.050314465408805,39.5,85.9968944099379
Mordecai,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06722689075630252,0.08403361344537816,0.03361344537815126,0.06722689075630252,0.05042016806722689,0.01680672268907563,0.13445378151260504,0.08403361344537816,0.06722689075630252,0.01680672268907563,0.04201680672268908,0.03361344537815126,0.025210084033613446,0.08403361344537816,0.01680672268907563,0.03361344537815126,0.008403361344537815,0.05042016806722689,0.025210084033613446,0.0,0.01680672268907563,0.01680672268907563,0.0,0.008403361344537815,0.0,0.0,27,4.407407407407407,26.0,13.98319327731092
Unknown,4.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,1.0,0.0,9.0,0.0,3.0,1.0,0.0,5.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07591623036649214,0.049738219895287955,0.04319371727748691,0.0549738219895288,0.056282722513089,0.0013089005235602095,0.11780104712041885,0.09293193717277487,0.061518324607329845,0.032722513089005235,0.08769633507853403,0.02617801047120419,0.024869109947643978,0.10863874345549739,0.02617801047120419,0.005235602094240838,0.04057591623036649,0.030104712041884817,0.011780104712041885,0.010471204188481676,0.0274869109947644,0.010471204188481676,0.0,0.0013089005235602095,0.0,0.0013089005235602095,196,3.8979591836734695,19.6,112.99869109947643
