Author,and,will,make,thy,to,as,the,of,unto,all,these,in,shall,be,because,that,my,him,his,he,said,is,for,say,lest,should,me,was,upon,it,when,had,been,there,out,with,how,thou,her,what,hast,one,have,shouldest,man,or,then,an,lord,became,which,them,from,much,than,we,thence,again,they,their,by,did,also,not,now,hath,god,thee,wherefore,ye,let,do,no,but,therefore,were,could,some,such,may,according,shalt,into,who,are,if,thine,once,many,yet,whom,every,himself,other,those,moreover,didst,ever,till,throughout,thereof,wherein,neither,your,among,yea,therein,whose,abundance,where,forth,thus,would,without,thyself,more,cometh,being,like,verily,thereupon,outward,whereof,henceforth,underneath,whereby,whereunto,thereby,whence,ought,therewith,notwithstanding,hereof,doeth,thereon,oftentimes,whither,our,upward,hence,each,must,inasmuch,downward,wherewith,whoso,whereto,therefrom,forthwith,thereunto,becometh,oft,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,w_percentage_use,l_percentage_use,m_percentage_use,k_percentage_use,e_percentage_use,t_percentage_use,h_percentage_use,y_percentage_use,s_percentage_use,o_percentage_use,u_percentage_use,p_percentage_use,r_percentage_use,f_percentage_use,v_percentage_use,g_percentage_use,c_percentage_use,b_percentage_use,x_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,138.0,6.0,5.0,18.0,28.0,9.0,67.0,40.0,21.0,4.0,1.0,13.0,5.0,6.0,6.0,21.0,29.0,20.0,30.0,39.0,29.0,10.0,15.0,1.0,2.0,1.0,19.0,5.0,8.0,14.0,4.0,9.0,1.0,7.0,2.0,9.0,2.0,12.0,6.0,1.0,2.0,3.0,8.0,1.0,4.0,2.0,2.0,3.0,8.0,1.0,8.0,11.0,7.0,1.0,1.0,7.0,4.0,1.0,9.0,1.0,1.0,3.0,1.0,8.0,8.0,1.0,2.0,17.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,3.0,8.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10565557374068012,0.06673940716493908,0.06073831605746499,0.060192762320421894,0.019094380796508457,0.03055100927441353,0.03309692671394799,0.0069103473358792505,0.1282051282051282,0.08637934169849064,0.0861974904528096,0.020912893253318784,0.06346608474268049,0.06273867975995635,0.023276959447172212,0.010365521003818877,0.04346244771776687,0.022004000727404983,0.009456264775413711,0.013820694671758501,0.021458446990361885,0.017821422076741224,0.0005455537370430987,0.0003637024913620658,0.0016366612111292963,0.0003637024913620658,1436,3.8293871866295266,24.603448275862068,823.9954537188578
Joshua,7.0,0.0,0.0,0.0,1.0,2.0,21.0,14.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08739495798319327,0.058823529411764705,0.05714285714285714,0.043697478991596636,0.008403361344537815,0.031932773109243695,0.02689075630252101,0.0067226890756302525,0.13109243697478992,0.10756302521008404,0.07226890756302522,0.020168067226890758,0.05546218487394958,0.08739495798319327,0.02689075630252101,0.025210084033613446,0.05714285714285714,0.040336134453781515,0.0033613445378151263,0.010084033613445379,0.018487394957983194,0.008403361344537815,0.0,0.0,0.015126050420168067,0.0,149,3.9932885906040267,24.833333333333332,82.00000000000004
Samuel,33.0,4.0,0.0,1.0,8.0,3.0,50.0,16.0,14.0,7.0,0.0,5.0,6.0,6.0,0.0,11.0,0.0,5.0,4.0,3.0,9.0,2.0,5.0,2.0,1.0,0.0,5.0,4.0,6.0,7.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,7.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,0.0,3.0,2.0,1.0,3.0,9.0,0.0,0.0,6.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07470997679814385,0.07238979118329467,0.054756380510440836,0.05986078886310905,0.025522041763341066,0.04825986078886311,0.02088167053364269,0.0037122969837587007,0.14153132250580047,0.11276102088167053,0.08491879350348028,0.014849187935034803,0.04408352668213457,0.07981438515081206,0.027378190255220418,0.02134570765661253,0.047331786542923436,0.018561484918793503,0.00974477958236659,0.01716937354988399,0.0064965197215777265,0.012529002320185615,0.0,0.0,0.0004640371229698376,0.0,556,3.8758992805755397,37.06666666666667,328.99907192575415
Unknown,10.0,1.0,0.0,0.0,7.0,0.0,11.0,12.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08175182481751825,0.08613138686131387,0.058394160583941604,0.07153284671532846,0.014598540145985401,0.035036496350364967,0.027737226277372264,0.008759124087591242,0.12408759124087591,0.07153284671532846,0.07737226277372262,0.013138686131386862,0.06861313868613139,0.08175182481751825,0.021897810218978103,0.016058394160583942,0.049635036496350364,0.027737226277372264,0.014598540145985401,0.016058394160583942,0.00583941605839416,0.021897810218978103,0.0,0.0,0.00291970802919708,0.0,166,4.126506024096385,27.5,88.99708029197076
Unknown,13.0,0.0,0.0,1.0,6.0,0.0,21.0,10.0,1.0,1.0,0.0,6.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819327731092437,0.07563025210084033,0.06407563025210083,0.06827731092436974,0.01680672268907563,0.045168067226890755,0.018907563025210083,0.012605042016806723,0.1092436974789916,0.08403361344537816,0.08508403361344538,0.01050420168067227,0.05357142857142857,0.08928571428571429,0.026260504201680673,0.014705882352941176,0.0430672268907563,0.0273109243697479,0.009453781512605041,0.022058823529411766,0.017857142857142856,0.017857142857142856,0.0,0.0,0.0021008403361344537,0.0,222,4.288288288288288,27.625,119.99579831932773
Unknown,16.0,0.0,0.0,0.0,7.0,0.0,9.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,4.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11051693404634581,0.08912655971479501,0.08377896613190731,0.058823529411764705,0.016042780748663103,0.030303030303030304,0.030303030303030304,0.0035650623885918,0.10695187165775401,0.09269162210338681,0.1051693404634581,0.0106951871657754,0.049910873440285206,0.0873440285204991,0.0213903743315508,0.0053475935828877,0.0374331550802139,0.017825311942959002,0.0017825311942959,0.0106951871657754,0.0196078431372549,0.008912655971479501,0.0,0.0,0.0,0.0,161,3.484472049689441,23.0,100.9982174688057
Ezra,15.0,0.0,1.0,0.0,4.0,0.0,52.0,47.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08846990572878898,0.07686729514140682,0.02755620014503263,0.06163886874546773,0.007976794778825236,0.02755620014503263,0.02102973168963017,0.005801305293691081,0.1116751269035533,0.08629441624365482,0.10949963741841914,0.005076142131979695,0.08121827411167512,0.10442349528643945,0.021754894851341553,0.007976794778825236,0.047860768672951415,0.043509789702683106,0.007251631617113851,0.009427121102248005,0.01305293691080493,0.022480058013052938,0.0,0.007251631617113851,0.0036258158085569255,0.0,345,3.9971014492753625,17.25,182.99927483683825
Nehemiah,1.0,0.0,0.0,0.0,3.0,0.0,22.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738255033557047,0.04697986577181208,0.02237136465324385,0.06487695749440715,0.0044742729306487695,0.026845637583892617,0.02237136465324385,0.0044742729306487695,0.15212527964205816,0.09619686800894854,0.10514541387024609,0.0044742729306487695,0.03355704697986577,0.09395973154362416,0.029082774049217,0.024608501118568233,0.08277404921700224,0.049217002237136466,0.006711409395973154,0.013422818791946308,0.008948545861297539,0.017897091722595078,0.0022371364653243847,0.008948545861297539,0.0044742729306487695,0.0,108,4.138888888888889,27.0,52.0
Mordecai,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08163265306122448,0.10204081632653061,0.04081632653061224,0.061224489795918366,0.07142857142857142,0.030612244897959183,0.04081632653061224,0.04081632653061224,0.12244897959183673,0.11224489795918367,0.08163265306122448,0.0,0.05102040816326531,0.04081632653061224,0.01020408163265306,0.0,0.030612244897959183,0.01020408163265306,0.0,0.030612244897959183,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.0,26,3.769230769230769,25.0,13.97959183673469
Unknown,6.0,0.0,0.0,0.0,2.0,2.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08040201005025126,0.051926298157453935,0.04522613065326633,0.06197654941373534,0.02680067001675042,0.018425460636515914,0.035175879396984924,0.008375209380234505,0.13400335008375208,0.09212730318257957,0.08877721943048576,0.035175879396984924,0.06700167504187604,0.07202680067001675,0.01507537688442211,0.01507537688442211,0.05695142378559464,0.03685092127303183,0.005025125628140704,0.011725293132328308,0.020100502512562814,0.01675041876046901,0.0016750418760469012,0.0,0.0,0.0016750418760469012,148,4.033783783783784,14.8,87.99832495812394
