Author,was,but,and,said,will,thee,for,thy,it,is,that,her,to,than,should,man,with,me,they,unto,him,the,he,had,my,are,may,in,all,of,his,an,what,thou,hast,did,not,wherefore,then,must,be,our,we,also,which,shalt,yet,other,more,when,lord,hath,upon,now,therefore,again,because,have,no,or,god,who,from,shall,by,cometh,them,out,whom,let,if,thine,how,do,thence,among,such,every,one,would,according,were,some,into,himself,forth,make,as,till,their,thus,your,there,thereof,ye,ever,neither,whose,many,these,moreover,say,without,where,yea,been,lest,upward,could,those,therein,whither,doeth,verily,much,like,thyself,abundance,shouldest,ought,whereon,inasmuch,being,didst,each,downward,whereto,seest,therewith,wherein,whereof,whatsoever,once,thereby,outward,hence,howsoever,throughout,becometh,henceforth,whereby,thereon,thereupon,thereunto,became,wherewith,oft,oftentimes,whosoever,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,soever,forthwith,therefrom,wheresoever,whoso,l_percentage_use,e_percentage_use,a_percentage_use,h_percentage_use,w_percentage_use,s_percentage_use,t_percentage_use,n_percentage_use,d_percentage_use,r_percentage_use,y_percentage_use,b_percentage_use,u_percentage_use,c_percentage_use,i_percentage_use,f_percentage_use,v_percentage_use,o_percentage_use,j_percentage_use,g_percentage_use,m_percentage_use,p_percentage_use,k_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,11.0,3.0,135.0,31.0,10.0,14.0,20.0,10.0,13.0,5.0,22.0,22.0,26.0,2.0,2.0,1.0,13.0,28.0,3.0,20.0,11.0,47.0,20.0,5.0,25.0,1.0,3.0,20.0,6.0,10.0,19.0,1.0,2.0,11.0,3.0,2.0,4.0,1.0,2.0,2.0,6.0,1.0,1.0,9.0,5.0,2.0,2.0,2.0,1.0,8.0,7.0,12.0,2.0,6.0,6.0,6.0,4.0,12.0,1.0,1.0,8.0,1.0,2.0,9.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443073471676949,0.12787436904094224,0.11030099083940924,0.08524957936062816,0.02075154234436343,0.054215741260048605,0.0716021686296504,0.07291082445316882,0.06692839783137035,0.045429052159282106,0.014208263226771359,0.020003739016638624,0.018508132361189006,0.025799214806505887,0.05758085623481025,0.01589082071415218,0.014208263226771359,0.061132922041503085,0.005047672462142457,0.017199476537670594,0.027855673957749114,0.009347541596560104,0.0071041316133856796,0.0011217049915872126,0.0007478033277248083,0.0,1353,3.953436807095344,23.155172413793103,735.9953262292015
Joshua,0.0,1.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,24.0,3.0,2.0,0.0,0.0,0.0,4.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04519774011299435,0.14350282485875707,0.07231638418079096,0.08813559322033898,0.031638418079096044,0.05084745762711865,0.09717514124293786,0.04406779661016949,0.04632768361581921,0.05310734463276836,0.023728813559322035,0.00903954802259887,0.03389830508474576,0.04632768361581921,0.061016949152542375,0.021468926553672316,0.005649717514124294,0.05875706214689266,0.004519774011299435,0.006779661016949152,0.0327683615819209,0.01694915254237288,0.006779661016949152,0.0,0.0,0.0,208,4.2548076923076925,34.666666666666664,125.99999999999997
Samuel,4.0,0.0,41.0,7.0,2.0,0.0,3.0,1.0,0.0,1.0,10.0,0.0,4.0,1.0,2.0,1.0,7.0,2.0,2.0,10.0,8.0,33.0,9.0,2.0,0.0,3.0,0.0,7.0,3.0,29.0,0.0,1.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02628696604600219,0.12595837897042717,0.09364731653888281,0.0859802847754655,0.02683461117196057,0.04600219058050383,0.08926615553121577,0.09419496166484119,0.061883899233296825,0.0416210295728368,0.011500547645125958,0.01588170865279299,0.033406352683461114,0.01642935377875137,0.054764512595837894,0.02683461117196057,0.0065717415115005475,0.06736035049288061,0.0016429353778751369,0.013143483023001095,0.030120481927710843,0.014238773274917854,0.004928806133625411,0.009857612267250822,0.0,0.000547645125958379,448,4.075892857142857,29.866666666666667,254.99890470974807
Unknown,2.0,1.0,13.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,13.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03994845360824742,0.1211340206185567,0.09922680412371133,0.08634020618556701,0.020618556701030927,0.04639175257731959,0.09278350515463918,0.06056701030927835,0.055412371134020616,0.06829896907216494,0.005154639175257732,0.03608247422680412,0.01804123711340206,0.00902061855670103,0.059278350515463915,0.03221649484536082,0.007731958762886598,0.08376288659793814,0.007731958762886598,0.011597938144329897,0.020618556701030927,0.005154639175257732,0.00902061855670103,0.0,0.0,0.001288659793814433,196,3.9591836734693877,32.5,106.99742268041243
Unknown,7.0,1.0,21.0,1.0,1.0,0.0,0.0,2.0,7.0,0.0,3.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,12.0,1.0,1.0,8.0,0.0,0.0,10.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03530751708428246,0.11958997722095673,0.09111617312072894,0.06947608200455581,0.03530751708428246,0.05808656036446469,0.08200455580865604,0.0785876993166287,0.07972665148063782,0.04328018223234624,0.014806378132118452,0.01366742596810934,0.015945330296127564,0.015945330296127564,0.07403189066059225,0.02050113895216401,0.010250569476082005,0.07403189066059225,0.0011389521640091116,0.012528473804100227,0.03644646924829157,0.0056947608200455585,0.009111617312072893,0.0,0.0,0.0,229,3.834061135371179,28.5,119.99658314350798
Unknown,3.0,1.0,28.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,20.0,7.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04004711425206125,0.12956419316843346,0.08833922261484099,0.10365135453474676,0.02120141342756184,0.053003533568904596,0.08362779740871613,0.08833922261484099,0.07656065959952886,0.028268551236749116,0.0176678445229682,0.004711425206124852,0.030624263839811542,0.01884570082449941,0.0636042402826855,0.02591283863368669,0.005889281507656066,0.05889281507656066,0.0,0.009422850412249705,0.023557126030624265,0.020023557126030624,0.0035335689045936395,0.0035335689045936395,0.001177856301531213,0.0,221,3.841628959276018,31.571428571428573,132.99999999999991
Ezra,5.0,1.0,70.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,35.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028978388998035363,0.11542239685658154,0.1100196463654224,0.09430255402750491,0.018172888015717092,0.07023575638506876,0.06581532416502947,0.08153241650294696,0.05550098231827112,0.0550098231827112,0.008840864440078585,0.022593320235756387,0.0275049115913556,0.010805500982318271,0.05844793713163065,0.03241650294695481,0.0054027504911591355,0.06777996070726916,0.008349705304518664,0.010805500982318271,0.029469548133595286,0.0073673870333988214,0.002455795677799607,0.009332023575638507,0.0009823182711198428,0.0,468,4.35042735042735,23.3,235.99754420432222
Nehemiah,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02313624678663239,0.17994858611825193,0.09254498714652956,0.08997429305912596,0.015424164524421594,0.05141388174807198,0.12596401028277635,0.04113110539845758,0.02056555269922879,0.07455012853470437,0.002570694087403599,0.002570694087403599,0.015424164524421594,0.007712082262210797,0.056555269922879174,0.02056555269922879,0.02056555269922879,0.07969151670951156,0.0,0.02056555269922879,0.02313624678663239,0.02570694087403599,0.007712082262210797,0.002570694087403599,0.0,0.0,85,4.576470588235294,21.25,37.00000000000001
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03333333333333333,0.125,0.1,0.1,0.025,0.058333333333333334,0.09166666666666666,0.06666666666666667,0.03333333333333333,0.041666666666666664,0.008333333333333333,0.025,0.041666666666666664,0.041666666666666664,0.03333333333333333,0.016666666666666666,0.008333333333333333,0.06666666666666667,0.0,0.016666666666666666,0.041666666666666664,0.008333333333333333,0.008333333333333333,0.0,0.0,0.008333333333333333,25,4.8,25.0,17.000000000000004
Unknown,0.0,0.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,10.0,2.0,0.0,7.0,4.0,0.0,2.0,0.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04638472032742155,0.12414733969986358,0.08049113233287858,0.07366984993178717,0.027285129604365622,0.07776261937244201,0.07639836289222374,0.07503410641200546,0.036834924965893585,0.04911323328785812,0.023192360163710776,0.0068212824010914054,0.019099590723055934,0.010914051841746248,0.06957708049113233,0.021828103683492497,0.0068212824010914054,0.08731241473396999,0.0,0.013642564802182811,0.04638472032742155,0.015006821282401092,0.008185538881309686,0.0,0.0,0.0,194,3.7783505154639174,19.3,102.99590723055933
