Author,and,did,the,of,all,in,he,his,by,them,not,unto,it,to,whensoever,that,they,among,but,when,were,man,had,much,hath,was,our,which,him,as,lord,said,thy,will,be,with,thee,your,is,me,god,my,been,ye,have,if,thus,shall,then,upon,now,thine,are,for,doeth,where,thou,out,from,there,yet,or,we,also,whatsoever,do,her,what,hast,wherefore,didst,because,let,into,may,their,these,seest,therefore,make,an,one,shalt,other,no,till,neither,more,whom,each,would,every,therein,thereof,became,many,again,ought,whose,could,who,say,than,shouldest,how,lest,like,according,ever,yea,should,himself,without,thyself,henceforth,such,moreover,verily,cometh,forth,throughout,those,being,thence,some,inasmuch,downward,abundance,whereto,therewith,wherein,whereof,once,thereby,outward,hence,howsoever,becometh,whereby,thereon,must,thereupon,thereunto,wherewith,oft,oftentimes,whither,whosoever,underneath,whereunto,whence,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,j_percentage_use,c_percentage_use,o_percentage_use,b_percentage_use,i_percentage_use,s_percentage_use,e_percentage_use,p_percentage_use,r_percentage_use,t_percentage_use,h_percentage_use,l_percentage_use,m_percentage_use,f_percentage_use,k_percentage_use,w_percentage_use,g_percentage_use,u_percentage_use,y_percentage_use,v_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,129.0,4.0,76.0,34.0,17.0,19.0,21.0,16.0,7.0,9.0,23.0,19.0,16.0,24.0,1.0,27.0,7.0,1.0,8.0,2.0,4.0,2.0,9.0,1.0,10.0,10.0,7.0,9.0,10.0,3.0,3.0,19.0,16.0,2.0,7.0,17.0,17.0,5.0,12.0,25.0,16.0,24.0,4.0,1.0,9.0,4.0,5.0,2.0,7.0,7.0,9.0,2.0,6.0,14.0,1.0,2.0,27.0,2.0,6.0,2.0,2.0,6.0,2.0,1.0,1.0,3.0,2.0,6.0,9.0,2.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10383412868191542,0.07059404311337832,0.0574296527892052,0.005265756129669245,0.02237946355109429,0.06598650649991772,0.020733914760572653,0.04722725028797104,0.05545499424057923,0.12292249465196643,0.01053151225933849,0.047556360046075365,0.10959354944874115,0.08194832976797763,0.03291097581043278,0.021721244034885633,0.0218857989139378,0.006582195162086556,0.021721244034885633,0.014809939114694751,0.02698700016455488,0.0177719269376337,0.0064176402830343916,0.0011518841533651473,0.0003291097581043278,0.0001645548790521639,1522,3.992772667542707,25.948275862068964,864.9939114694753
Joshua,12.0,2.0,23.0,13.0,1.0,6.0,1.0,3.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,3.0,6.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10387984981226533,0.07384230287859825,0.06132665832290363,0.006257822277847309,0.02753441802252816,0.08010012515644556,0.0050062578222778474,0.052565707133917394,0.04505632040050062,0.12265331664580725,0.02002503128911139,0.05506883604505632,0.08635794743429287,0.08385481852315395,0.04005006257822278,0.02252816020025031,0.03128911138923655,0.0037546933667083854,0.016270337922403004,0.008760951188986232,0.02127659574468085,0.02127659574468085,0.008760951188986232,0.0,0.0,0.0,203,3.935960591133005,33.833333333333336,109.99749687108886
Samuel,38.0,1.0,26.0,20.0,1.0,5.0,10.0,9.0,0.0,6.0,3.0,6.0,2.0,1.0,0.0,6.0,9.0,0.0,1.0,0.0,6.0,3.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,2.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08569739952718676,0.08392434988179669,0.06028368794326241,0.0017730496453900709,0.012411347517730497,0.07033096926713948,0.013593380614657211,0.054373522458628844,0.0644208037825059,0.1347517730496454,0.0070921985815602835,0.05555555555555555,0.08156028368794327,0.07742316784869976,0.034278959810874705,0.02304964539007092,0.020685579196217493,0.004137115839243499,0.02364066193853428,0.015957446808510637,0.03250591016548463,0.024822695035460994,0.009456264775413711,0.0,0.0017730496453900709,0.0035460992907801418,423,4.0,28.133333333333333,234.9970449172577
Unknown,12.0,1.0,13.0,4.0,7.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10398613518197573,0.07105719237435008,0.0658578856152513,0.0,0.008665511265164644,0.07625649913344887,0.019064124783362217,0.05199306759098787,0.045060658578856154,0.14558058925476602,0.03292894280762565,0.03986135181975736,0.09878682842287695,0.05199306759098787,0.06239168110918544,0.01559792027729636,0.022530329289428077,0.010398613518197574,0.02079722703639515,0.01559792027729636,0.01559792027729636,0.01386481802426343,0.012131715771230503,0.0,0.0,0.0,153,3.7712418300653594,25.5,81.99999999999999
Unknown,18.0,0.0,30.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,2.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,8.0,4.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07230392156862746,0.08946078431372549,0.06985294117647059,0.003676470588235294,0.006127450980392157,0.061274509803921566,0.013480392156862746,0.09436274509803921,0.06495098039215687,0.11274509803921569,0.003676470588235294,0.03431372549019608,0.09436274509803921,0.09313725490196079,0.031862745098039214,0.01838235294117647,0.012254901960784314,0.015931372549019607,0.0196078431372549,0.03308823529411765,0.014705882352941176,0.022058823529411766,0.01715686274509804,0.0,0.0,0.0,225,3.6266666666666665,28.125,137.99877450980392
Unknown,27.0,0.0,19.0,9.0,0.0,6.0,8.0,3.0,0.0,2.0,2.0,3.0,2.0,5.0,0.0,3.0,7.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09860664523043944,0.07609860664523044,0.05787781350482315,0.0,0.012861736334405145,0.07931404072883172,0.00964630225080386,0.04608788853161844,0.05144694533762058,0.13290460878885316,0.023579849946409433,0.04394426580921758,0.11682743837084673,0.08467309753483387,0.031082529474812434,0.021436227224008574,0.028938906752411574,0.004287245444801715,0.015005359056806002,0.020364415862808145,0.02572347266881029,0.012861736334405145,0.004287245444801715,0.0,0.0,0.0010718113612004287,251,3.7171314741035855,35.857142857142854,151.9989281886388
Ezra,68.0,0.0,21.0,15.0,0.0,3.0,2.0,21.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12962962962962962,0.0953360768175583,0.0644718792866941,0.00411522633744856,0.011659807956104253,0.059670781893004114,0.0205761316872428,0.05281207133058985,0.08299039780521263,0.11248285322359397,0.0102880658436214,0.05075445816186557,0.06515775034293553,0.12071330589849108,0.024691358024691357,0.024691358024691357,0.01577503429355281,0.00205761316872428,0.019890260631001373,0.004801097393689987,0.013031550068587106,0.003429355281207133,0.0027434842249657062,0.0,0.0,0.0075445816186556925,340,4.288235294117647,17.0,173.99931412894367
Nehemiah,7.0,0.0,17.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1047008547008547,0.07264957264957266,0.0405982905982906,0.002136752136752137,0.023504273504273504,0.06196581196581197,0.01282051282051282,0.05982905982905983,0.04700854700854701,0.13034188034188035,0.02564102564102564,0.053418803418803416,0.10042735042735043,0.10256410256410256,0.027777777777777776,0.03418803418803419,0.021367521367521368,0.00641025641025641,0.014957264957264958,0.02564102564102564,0.017094017094017096,0.0,0.004273504273504274,0.002136752136752137,0.0,0.002136752136752137,104,4.5,25.75,47.993589743589745
Mordecai,3.0,0.0,8.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08928571428571429,0.10119047619047619,0.02976190476190476,0.0,0.023809523809523808,0.07142857142857142,0.011904761904761904,0.047619047619047616,0.047619047619047616,0.13690476190476192,0.02976190476190476,0.047619047619047616,0.10119047619047619,0.07738095238095238,0.05357142857142857,0.011904761904761904,0.011904761904761904,0.017857142857142856,0.011904761904761904,0.023809523809523808,0.02976190476190476,0.005952380952380952,0.011904761904761904,0.0,0.005952380952380952,0.0,41,4.097560975609756,41.0,26.000000000000004
Unknown,8.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,9.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09219858156028368,0.06808510638297872,0.03404255319148936,0.0,0.009929078014184398,0.07801418439716312,0.005673758865248227,0.062411347517730496,0.06808510638297872,0.09929078014184398,0.009929078014184398,0.04397163120567376,0.11347517730496454,0.07943262411347518,0.05106382978723404,0.0524822695035461,0.01276595744680851,0.00425531914893617,0.024113475177304965,0.01276595744680851,0.032624113475177303,0.029787234042553193,0.01276595744680851,0.0,0.0014184397163120568,0.0,182,3.8736263736263736,18.2,98.99858156028367
