Author,and,in,the,his,them,unto,of,god,him,when,he,said,is,that,to,thus,shall,ye,my,lord,thy,have,with,there,now,may,we,also,cometh,thee,then,was,into,if,one,it,other,which,me,will,not,all,thou,hast,for,from,lest,do,make,as,be,their,every,by,whose,whither,are,these,shalt,say,they,moreover,himself,had,man,out,let,what,no,more,but,wherefore,upon,therefore,because,her,who,those,hath,thyself,our,should,according,some,an,where,were,did,whereon,thine,thereof,once,again,neither,or,your,wherewith,being,notwithstanding,yet,forth,became,each,would,throughout,how,like,didst,ever,yea,among,without,many,whom,therein,till,than,much,wherewithal,soever,been,whosoever,whatsoever,doeth,could,inasmuch,downward,abundance,whereto,seest,therewith,wherein,thence,whereof,thereby,shouldest,outward,hence,howsoever,becometh,whereby,henceforth,thereon,must,thereupon,thereunto,oft,oftentimes,such,underneath,whereunto,whence,whensoever,seemeth,hereof,verily,forthwith,therefrom,wheresoever,whoso,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,e_percentage_use,r_percentage_use,l_percentage_use,y_percentage_use,i_percentage_use,t_percentage_use,h_percentage_use,m_percentage_use,o_percentage_use,g_percentage_use,b_percentage_use,s_percentage_use,u_percentage_use,p_percentage_use,k_percentage_use,c_percentage_use,j_percentage_use,w_percentage_use,f_percentage_use,v_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,155.0,9.0,78.0,30.0,8.0,23.0,40.0,9.0,22.0,6.0,51.0,22.0,12.0,20.0,19.0,2.0,4.0,4.0,19.0,9.0,15.0,8.0,23.0,5.0,5.0,1.0,1.0,3.0,1.0,16.0,5.0,4.0,2.0,3.0,2.0,6.0,1.0,11.0,17.0,10.0,5.0,5.0,11.0,4.0,11.0,3.0,1.0,1.0,1.0,6.0,4.0,3.0,1.0,2.0,2.0,1.0,6.0,2.0,1.0,2.0,6.0,1.0,2.0,4.0,1.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09469103568320278,0.07136640557006092,0.06614447345517842,0.134029590948651,0.04473455178416014,0.03603133159268929,0.01723237597911227,0.05308964316797215,0.08616187989556136,0.09086161879895562,0.029416884247171454,0.06405570060922541,0.012010443864229765,0.014969538729329853,0.05865970409051349,0.02193211488250653,0.011314186248912098,0.006092254134029591,0.024891209747606613,0.00557006092254134,0.02053959965187119,0.021061792863359442,0.01009573542210618,0.0005221932114882506,0.0,0.0,1452,3.956611570247934,24.93103448275862,813.9954743255005
Joshua,15.0,1.0,17.0,2.0,0.0,4.0,8.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09036144578313253,0.07379518072289157,0.05120481927710843,0.10240963855421686,0.04216867469879518,0.03765060240963856,0.022590361445783132,0.05271084337349398,0.09337349397590361,0.08433734939759036,0.022590361445783132,0.08885542168674698,0.006024096385542169,0.009036144578313253,0.07981927710843373,0.03162650602409638,0.016566265060240965,0.0030120481927710845,0.024096385542168676,0.009036144578313253,0.015060240963855422,0.025602409638554216,0.012048192771084338,0.0015060240963855422,0.0,0.0,170,3.9058823529411764,28.166666666666668,94.99548192771084
Samuel,34.0,8.0,31.0,8.0,5.0,8.0,27.0,4.0,4.0,1.0,6.0,5.0,2.0,7.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07886089813800658,0.07064622124863089,0.047097480832420595,0.14348302300109528,0.05640744797371303,0.03723986856516977,0.013691128148959474,0.05805038335158817,0.08378970427163199,0.08981380065717415,0.0312157721796276,0.08214676889375684,0.01642935377875137,0.020262869660460023,0.05421686746987952,0.024096385542168676,0.009309967141292442,0.0038335158817086527,0.018072289156626505,0.004928806133625411,0.017524644030668127,0.024096385542168676,0.008214676889375685,0.0,0.001095290251916758,0.0,443,4.121896162528217,29.266666666666666,238.99452354874043
Unknown,17.0,2.0,13.0,6.0,0.0,1.0,11.0,0.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11439588688946016,0.08611825192802057,0.055269922879177376,0.13239074550128535,0.04755784061696658,0.03598971722365039,0.006426735218508998,0.05269922879177378,0.08097686375321336,0.07583547557840617,0.02699228791773779,0.06940874035989718,0.008997429305912597,0.019280205655526992,0.06940874035989718,0.016709511568123392,0.006426735218508998,0.008997429305912597,0.014138817480719794,0.007712082262210797,0.021850899742930592,0.02699228791773779,0.0038560411311053984,0.0,0.002570694087403599,0.0,197,3.949238578680203,32.333333333333336,100.99100257069408
Unknown,16.0,4.0,19.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12151067323481117,0.08045977011494253,0.054187192118226604,0.1116584564860427,0.059113300492610835,0.021346469622331693,0.0016420361247947454,0.06568144499178982,0.060755336617405585,0.10673234811165845,0.0180623973727422,0.07881773399014778,0.003284072249589491,0.014778325123152709,0.06896551724137931,0.013136288998357963,0.016420361247947456,0.009852216748768473,0.0180623973727422,0.003284072249589491,0.016420361247947456,0.027914614121510674,0.014778325123152709,0.0,0.009852216748768473,0.0,138,4.413043478260869,17.125,70.9967159277504
Unknown,18.0,3.0,14.0,4.0,1.0,3.0,14.0,1.0,3.0,0.0,6.0,5.0,2.0,3.0,2.0,3.0,2.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10978520286396182,0.07040572792362769,0.06324582338902147,0.10859188544152745,0.050119331742243436,0.041766109785202864,0.017899761336515514,0.07040572792362769,0.08949880668257756,0.07398568019093078,0.022673031026252982,0.07398568019093078,0.02028639618138425,0.00954653937947494,0.06443914081145585,0.021479713603818614,0.013126491646778043,0.00477326968973747,0.011933174224343675,0.0,0.02028639618138425,0.026252983293556086,0.010739856801909307,0.0011933174224343676,0.0,0.0,218,3.8440366972477062,31.0,130.99642004773267
Ezra,55.0,1.0,24.0,4.0,4.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15378006872852235,0.08419243986254296,0.06872852233676977,0.11426116838487972,0.044673539518900345,0.02147766323024055,0.006013745704467354,0.044673539518900345,0.06786941580756013,0.11168384879725086,0.027491408934707903,0.05584192439862543,0.012027491408934709,0.027491408934707903,0.05240549828178694,0.019759450171821305,0.009450171821305841,0.001718213058419244,0.009450171821305841,0.006872852233676976,0.01632302405498282,0.029209621993127148,0.00429553264604811,0.000859106529209622,0.006872852233676976,0.0,275,4.2327272727272724,13.7,143.99742268041228
Nehemiah,8.0,2.0,7.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.057692307692307696,0.046153846153846156,0.14807692307692308,0.06538461538461539,0.03653846153846154,0.025,0.06923076923076923,0.08461538461538462,0.08269230769230769,0.01730769230769231,0.06923076923076923,0.007692307692307693,0.028846153846153848,0.04038461538461539,0.021153846153846155,0.01730769230769231,0.007692307692307693,0.013461538461538462,0.0019230769230769232,0.026923076923076925,0.032692307692307694,0.019230769230769232,0.0019230769230769232,0.0,0.0019230769230769232,129,4.0310077519379846,32.25,78.00000000000004
Mordecai,0.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06878306878306878,0.0582010582010582,0.042328042328042326,0.15343915343915343,0.047619047619047616,0.042328042328042326,0.010582010582010581,0.05291005291005291,0.08994708994708994,0.09523809523809523,0.031746031746031744,0.06878306878306878,0.010582010582010581,0.037037037037037035,0.07407407407407407,0.042328042328042326,0.010582010582010581,0.005291005291005291,0.015873015873015872,0.0,0.010582010582010581,0.015873015873015872,0.005291005291005291,0.0,0.0,0.010582010582010581,44,4.295454545454546,44.0,24.99999999999999
Unknown,10.0,0.0,7.0,0.0,1.0,1.0,6.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07952871870397643,0.05891016200294551,0.045655375552282766,0.12371134020618557,0.06480117820324006,0.035346097201767304,0.026509572901325478,0.050073637702503684,0.10603829160530191,0.08689248895434462,0.016200294550810016,0.07069219440353461,0.027982326951399118,0.010309278350515464,0.05743740795287187,0.036818851251840944,0.01914580265095729,0.010309278350515464,0.011782032400589101,0.0029455081001472753,0.025036818851251842,0.023564064801178203,0.005891016200294551,0.0,0.0,0.0014727540500736377,153,4.437908496732026,15.3,85.99705449189989
