Author,and,they,said,one,to,cometh,now,therefore,let,him,into,some,we,will,say,hath,shall,what,of,his,it,he,out,their,not,unto,them,no,but,that,is,in,the,upon,again,when,was,many,there,from,with,if,our,be,for,were,then,by,whither,have,thy,or,my,an,without,all,thus,whose,her,yet,lord,should,lest,which,did,wherefore,also,till,as,because,had,thee,me,thou,thine,where,hast,forth,man,these,are,been,more,than,how,ought,neither,do,god,therein,ye,make,every,thence,other,shalt,those,according,much,whence,who,being,whom,thereof,throughout,your,doeth,yea,would,may,such,himself,whoso,ever,moreover,like,among,whereof,verily,thereupon,outward,shouldest,henceforth,became,underneath,whereby,whereunto,abundance,thereby,therewith,notwithstanding,could,hereof,thereon,oftentimes,thyself,wherein,upward,didst,hence,each,must,once,inasmuch,downward,wherewith,whereto,therefrom,forthwith,thereunto,becometh,oft,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,s_percentage_use,i_percentage_use,o_percentage_use,r_percentage_use,b_percentage_use,l_percentage_use,m_percentage_use,c_percentage_use,w_percentage_use,f_percentage_use,u_percentage_use,p_percentage_use,v_percentage_use,k_percentage_use,g_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,154.0,11.0,27.0,2.0,43.0,1.0,2.0,2.0,7.0,29.0,7.0,2.0,5.0,4.0,1.0,7.0,3.0,5.0,27.0,50.0,24.0,50.0,8.0,5.0,14.0,19.0,2.0,7.0,5.0,34.0,12.0,35.0,61.0,8.0,4.0,6.0,29.0,3.0,6.0,8.0,9.0,1.0,4.0,10.0,10.0,2.0,4.0,11.0,1.0,1.0,9.0,2.0,6.0,6.0,1.0,8.0,1.0,5.0,32.0,1.0,8.0,2.0,3.0,4.0,4.0,1.0,4.0,2.0,3.0,3.0,9.0,7.0,7.0,7.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09987029831387809,0.07230869001297018,0.0632295719844358,0.0938715953307393,0.09792477302204929,0.11592088197146563,0.01297016861219196,0.062094682230869,0.0632295719844358,0.06566147859922179,0.04815175097276265,0.01523994811932555,0.029020752269779508,0.02448119325551232,0.017833981841763942,0.023994811932555125,0.017185473411154346,0.023832684824902722,0.017347600518806745,0.005674448767833982,0.005188067444876783,0.01248378728923476,0.005350194552529183,0.00048638132295719845,0.0,0.0,1622,3.8027127003699137,27.655172413793103,942.9933527885863
Joshua,20.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,8.0,0.0,3.0,30.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08906426155580609,0.060879368658399095,0.0496054114994363,0.11837655016910936,0.08906426155580609,0.1386696730552424,0.02367531003382187,0.06313416009019165,0.036076662908680945,0.06538895152198422,0.048478015783540024,0.012401352874859075,0.048478015783540024,0.016910935738444193,0.02367531003382187,0.02142051860202931,0.011273957158962795,0.033821871476888386,0.019165727170236752,0.007891770011273957,0.005636978579481398,0.011273957158962795,0.0011273957158962795,0.0,0.0011273957158962795,0.0,224,3.9598214285714284,37.166666666666664,131.9966178128522
Samuel,54.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,17.0,8.0,9.0,6.0,3.0,0.0,2.0,6.0,8.0,0.0,1.0,13.0,0.0,5.0,42.0,3.0,0.0,2.0,5.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09735509285312324,0.07315700619020822,0.06133933595948227,0.11367473269555431,0.09060213843556555,0.13224535734383794,0.012943162633652222,0.03489026449071469,0.050647158131682614,0.07371975239167136,0.032639279684862126,0.014631401238041642,0.04445694991558807,0.03657850309510411,0.020821609454136185,0.028700056274620148,0.016319639842431063,0.023072594259988744,0.018007878446820485,0.0028137310073157004,0.005627462014631401,0.011254924029262802,0.0,0.0022509848058525606,0.0005627462014631402,0.0,455,3.9054945054945054,30.266666666666666,260.99831176139566
Unknown,19.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,5.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09463276836158192,0.08050847457627118,0.08192090395480225,0.1016949152542373,0.08050847457627118,0.1172316384180791,0.012711864406779662,0.0480225988700565,0.07203389830508475,0.062146892655367235,0.03954802259887006,0.014124293785310734,0.038135593220338986,0.0211864406779661,0.015536723163841809,0.015536723163841809,0.014124293785310734,0.02401129943502825,0.005649717514124294,0.0211864406779661,0.007062146892655367,0.015536723163841809,0.00847457627118644,0.0014124293785310734,0.002824858757062147,0.0,172,4.116279069767442,28.333333333333332,84.99576271186442
Unknown,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09832134292565947,0.08633093525179857,0.05755395683453238,0.07314148681055156,0.07194244604316546,0.11151079136690648,0.01079136690647482,0.07673860911270983,0.04196642685851319,0.09232613908872901,0.05275779376498801,0.008393285371702638,0.04316546762589928,0.025179856115107913,0.022781774580335732,0.016786570743405275,0.03237410071942446,0.017985611510791366,0.011990407673860911,0.011990407673860911,0.007194244604316547,0.019184652278177457,0.0,0.001199040767386091,0.002398081534772182,0.0,192,4.34375,23.75,103.99400479616308
Unknown,25.0,2.0,7.0,0.0,6.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,10.0,4.0,1.0,10.0,0.0,1.0,2.0,2.0,5.0,1.0,3.0,1.0,3.0,4.0,10.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09942084942084942,0.08976833976833977,0.05115830115830116,0.09845559845559845,0.08204633204633205,0.12934362934362933,0.011583011583011582,0.05501930501930502,0.06177606177606178,0.06563706563706563,0.045366795366795366,0.013513513513513514,0.026061776061776062,0.0472972972972973,0.012548262548262547,0.02702702702702703,0.019305019305019305,0.015444015444015444,0.007722007722007722,0.01447876447876448,0.0028957528957528956,0.019305019305019305,0.0,0.0028957528957528956,0.0009652509652509653,0.0,257,4.031128404669261,36.714285714285715,144.99903474903468
Ezra,38.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3.0,1.0,0.0,1.0,10.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,14.0,67.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,17.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07297019527235354,0.0632065775950668,0.040082219938335044,0.09969167523124357,0.09301130524152107,0.16392600205549845,0.008735868448098663,0.05858170606372045,0.05498458376156218,0.07399794450154162,0.0698869475847893,0.013874614594039054,0.024152106885919837,0.019527235354573486,0.01695786228160329,0.023638232271325797,0.03545734840698869,0.014388489208633094,0.011819116135662899,0.011819116135662899,0.007194244604316547,0.01593011305241521,0.0010277492291880781,0.0020554984583761563,0.0,0.0005138746145940391,452,4.3053097345132745,22.5,267.997430626927
Nehemiah,18.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,2.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.06787330316742081,0.058823529411764705,0.10407239819004525,0.09803921568627451,0.12368024132730016,0.016591251885369532,0.05429864253393665,0.03770739064856712,0.08446455505279035,0.06787330316742081,0.0196078431372549,0.03469079939668175,0.015082956259426848,0.007541478129713424,0.030165912518853696,0.021116138763197588,0.0392156862745098,0.010558069381598794,0.006033182503770739,0.007541478129713424,0.013574660633484163,0.0015082956259426848,0.0,0.0,0.0,170,3.9,42.5,107.99849170437406
Mordecai,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08108108108108109,0.04054054054054054,0.033783783783783786,0.07432432432432433,0.11486486486486487,0.11486486486486487,0.0,0.06756756756756757,0.06756756756756757,0.05405405405405406,0.05405405405405406,0.02702702702702703,0.08783783783783784,0.02027027027027027,0.013513513513513514,0.02027027027027027,0.006756756756756757,0.033783783783783786,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.033783783783783786,0.0,0.0,0.0,0.0,35,4.228571428571429,34.0,22.986486486486474
Unknown,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,2.0,0.0,6.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06635071090047394,0.053712480252764615,0.04897314375987362,0.09320695102685624,0.0947867298578199,0.11532385466034756,0.017377567140600316,0.052132701421800945,0.07109004739336493,0.07898894154818326,0.04265402843601896,0.017377567140600316,0.03949447077409163,0.03949447077409163,0.018957345971563982,0.044233807266982623,0.01263823064770932,0.044233807266982623,0.017377567140600316,0.004739336492890996,0.009478672985781991,0.014218009478672985,0.001579778830963665,0.0,0.0,0.0,156,4.0576923076923075,15.6,91.99842022116901
