Author,and,it,to,that,into,the,do,his,there,was,of,him,by,with,me,he,in,her,out,when,had,forth,unto,them,hath,an,my,lord,according,these,which,thou,hast,as,did,thy,where,were,but,all,whatsoever,they,not,because,their,each,man,one,upon,wherefore,ye,said,we,have,is,no,god,thereof,are,yet,shall,thine,thee,shalt,be,make,for,also,should,from,among,again,other,could,then,our,himself,say,such,without,therein,throughout,thus,moreover,will,more,those,ever,how,every,now,neither,whom,therefore,like,let,thence,may,whose,therewith,lest,would,what,till,if,who,than,yea,been,or,much,thyself,wherein,many,being,your,shouldest,cometh,doeth,some,must,whosoever,becometh,didst,inasmuch,downward,abundance,whereto,seest,whereof,once,thereby,outward,hence,howsoever,whereby,henceforth,thereon,thereupon,thereunto,became,wherewith,oft,oftentimes,whither,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,t_percentage_use,c_percentage_use,m_percentage_use,e_percentage_use,o_percentage_use,p_percentage_use,s_percentage_use,b_percentage_use,u_percentage_use,h_percentage_use,j_percentage_use,w_percentage_use,r_percentage_use,f_percentage_use,g_percentage_use,y_percentage_use,l_percentage_use,k_percentage_use,v_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,131.0,23.0,32.0,21.0,8.0,102.0,3.0,29.0,12.0,24.0,49.0,18.0,4.0,13.0,19.0,29.0,33.0,5.0,10.0,7.0,6.0,3.0,24.0,19.0,1.0,3.0,10.0,6.0,4.0,2.0,5.0,4.0,1.0,6.0,8.0,4.0,2.0,7.0,6.0,6.0,1.0,12.0,5.0,1.0,1.0,4.0,5.0,4.0,5.0,1.0,1.0,8.0,4.0,4.0,5.0,1.0,2.0,3.0,2.0,3.0,6.0,1.0,7.0,1.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09633579907104765,0.0736280750043007,0.061242043695166004,0.05728539480474798,0.09289523481851024,0.016170651986925855,0.0276965422329262,0.13125752623430242,0.06433855152244969,0.024428006193015654,0.05281266127644934,0.013934285222776536,0.02511611904352314,0.09031481162910718,0.0030965078272836744,0.018579046963702047,0.053844830552210565,0.02339583691725443,0.013246172372269053,0.011353862033373473,0.025288147256150008,0.009289523481851024,0.008945467056597283,0.0,0.0,0.0,1482,3.9224021592442644,25.344827586206897,811.9944950971961
Joshua,22.0,1.0,1.0,6.0,1.0,27.0,0.0,3.0,0.0,4.0,15.0,0.0,0.0,2.0,0.0,2.0,5.0,5.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09071274298056156,0.06587473002159827,0.0550755939524838,0.052915766738660906,0.10367170626349892,0.019438444924406047,0.012958963282937365,0.11555075593952484,0.06695464362850972,0.00755939524838013,0.06479481641468683,0.016198704103671708,0.03455723542116631,0.10367170626349892,0.008639308855291577,0.011879049676025918,0.05939524838012959,0.026997840172786176,0.014038876889848811,0.01511879049676026,0.03995680345572354,0.0032397408207343412,0.005399568034557235,0.0021598272138228943,0.0,0.0,227,4.079295154185022,37.666666666666664,127.99676025917924
Samuel,42.0,0.0,3.0,4.0,2.0,43.0,0.0,2.0,1.0,4.0,30.0,2.0,0.0,0.0,2.0,5.0,9.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09687308399754752,0.07602697731453097,0.0809319435928878,0.07234825260576333,0.07480073574494175,0.01655426118945432,0.025137952176578784,0.12385039852851011,0.07480073574494175,0.008583690987124463,0.061312078479460456,0.00797057020232986,0.014714898835070508,0.07725321888412018,0.00674432863274065,0.011036174126302882,0.060085836909871244,0.026364193746167996,0.01655426118945432,0.014714898835070508,0.036174126302881665,0.0030656039239730227,0.010423053341508276,0.001226241569589209,0.0006131207847946045,0.0,389,4.19280205655527,25.933333333333334,218.9981606376456
Unknown,21.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1273100616016427,0.08624229979466119,0.08418891170431211,0.057494866529774126,0.059548254620123205,0.012320328542094456,0.03490759753593429,0.12114989733059549,0.061601642710472276,0.014373716632443531,0.06776180698151951,0.02053388090349076,0.02053388090349076,0.06570841889117043,0.006160164271047228,0.008213552361396304,0.053388090349075976,0.012320328542094456,0.012320328542094456,0.006160164271047228,0.03285420944558522,0.01026694045174538,0.01642710472279261,0.0,0.002053388090349076,0.0,110,4.427272727272728,18.166666666666668,58.99383983572895
Unknown,8.0,1.0,6.0,8.0,0.0,15.0,0.0,5.0,3.0,1.0,12.0,2.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,3.0,0.0,8.0,1.0,2.0,3.0,6.0,6.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,5.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07699619771863118,0.06749049429657794,0.049429657794676805,0.05798479087452472,0.09600760456273764,0.013307984790874524,0.03231939163498099,0.10741444866920152,0.0979087452471483,0.011406844106463879,0.05988593155893536,0.010456273764258554,0.027566539923954372,0.08840304182509506,0.0009505703422053232,0.02091254752851711,0.058935361216730035,0.021863117870722433,0.014258555133079848,0.02091254752851711,0.039923954372623575,0.0076045627376425855,0.017110266159695818,0.0,0.0,0.0,267,3.940074906367041,33.375,156.99904942965782
Unknown,17.0,3.0,1.0,0.0,1.0,9.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09968354430379747,0.0759493670886076,0.061708860759493674,0.04430379746835443,0.08860759493670886,0.020569620253164556,0.020569620253164556,0.1550632911392405,0.06487341772151899,0.015822784810126583,0.056962025316455694,0.00949367088607595,0.0189873417721519,0.07278481012658228,0.0031645569620253164,0.04588607594936709,0.0490506329113924,0.01740506329113924,0.00949367088607595,0.015822784810126583,0.03955696202531646,0.004746835443037975,0.006329113924050633,0.0,0.0015822784810126582,0.0,174,3.632183908045977,24.857142857142858,103.99841772151898
Ezra,64.0,3.0,8.0,7.0,1.0,32.0,0.0,17.0,0.0,4.0,15.0,2.0,0.0,1.0,2.0,5.0,7.0,0.0,0.0,5.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,0.0,8.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12240768841679311,0.08042488619119878,0.06322711178553364,0.06575619625695499,0.07991906929691452,0.010622154779969651,0.023773394031360646,0.10925644916540213,0.06170966110268083,0.010622154779969651,0.07486090035407182,0.020738492665655032,0.023773394031360646,0.08244815376833586,0.004552352048558422,0.018715225088517955,0.04754678806272129,0.018715225088517955,0.013151239251390997,0.0070814365199797676,0.04400606980273141,0.006069802731411229,0.0030349013657056147,0.00556398583712696,0.0005058168942842691,0.0005058168942842691,460,4.297826086956522,23.0,231.99898836621142
Nehemiah,8.0,0.0,2.0,1.0,0.0,15.0,0.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07537688442211055,0.05527638190954774,0.06281407035175879,0.04271356783919598,0.09547738693467336,0.002512562814070352,0.017587939698492462,0.1407035175879397,0.07788944723618091,0.02512562814070352,0.06281407035175879,0.01507537688442211,0.035175879396984924,0.07788944723618091,0.0,0.020100502512562814,0.08542713567839195,0.03015075376884422,0.017587939698492462,0.01256281407035176,0.04020100502512563,0.005025125628140704,0.002512562814070352,0.0,0.0,0.0,103,3.8640776699029127,25.75,65.0
Mordecai,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08860759493670886,0.11392405063291139,0.10126582278481013,0.0759493670886076,0.0759493670886076,0.05063291139240506,0.02531645569620253,0.11392405063291139,0.05063291139240506,0.02531645569620253,0.0379746835443038,0.0,0.012658227848101266,0.06329113924050633,0.0,0.012658227848101266,0.0379746835443038,0.012658227848101266,0.05063291139240506,0.012658227848101266,0.012658227848101266,0.02531645569620253,0.0,0.0,0.0,0.0,19,4.157894736842105,19.0,13.000000000000005
Unknown,4.0,2.0,2.0,2.0,1.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06716417910447761,0.049253731343283584,0.034328358208955224,0.07611940298507462,0.0955223880597015,0.019402985074626865,0.03134328358208955,0.13432835820895522,0.07313432835820896,0.019402985074626865,0.06716417910447761,0.0,0.01791044776119403,0.07313432835820896,0.004477611940298508,0.03134328358208955,0.04029850746268657,0.04626865671641791,0.01791044776119403,0.03283582089552239,0.049253731343283584,0.007462686567164179,0.008955223880597015,0.0,0.0,0.0,179,3.7430167597765363,17.9,91.99701492537314
