Author,and,he,himself,from,them,to,again,with,him,their,then,every,man,into,his,for,the,thus,did,unto,they,thence,as,one,of,in,it,was,said,my,is,were,what,that,god,hath,all,who,lord,we,are,no,be,our,not,shall,ye,your,me,but,will,when,have,these,if,thee,by,which,had,out,thou,wherefore,yet,according,could,would,say,may,also,shalt,let,ever,now,must,do,an,other,make,because,upon,should,there,whom,thy,where,much,whereby,how,or,among,therefore,neither,more,thine,hast,those,like,shouldest,than,thyself,whose,thereof,forth,many,some,her,seest,such,been,therein,yea,cometh,whereof,thereon,whither,whatsoever,notwithstanding,lest,being,didst,each,inasmuch,downward,abundance,whereto,therewith,wherein,once,thereby,outward,hence,howsoever,throughout,becometh,henceforth,till,thereupon,doeth,thereunto,became,moreover,wherewith,without,oft,oftentimes,whosoever,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,e_percentage_use,t_percentage_use,u_percentage_use,r_percentage_use,i_percentage_use,m_percentage_use,s_percentage_use,l_percentage_use,f_percentage_use,b_percentage_use,o_percentage_use,w_percentage_use,p_percentage_use,g_percentage_use,c_percentage_use,k_percentage_use,y_percentage_use,j_percentage_use,v_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,135.0,27.0,3.0,3.0,22.0,29.0,8.0,20.0,24.0,17.0,5.0,4.0,17.0,7.0,25.0,18.0,77.0,1.0,6.0,29.0,28.0,1.0,9.0,5.0,37.0,29.0,11.0,10.0,21.0,16.0,18.0,7.0,1.0,18.0,6.0,2.0,2.0,2.0,6.0,24.0,7.0,2.0,11.0,16.0,16.0,8.0,17.0,20.0,9.0,3.0,8.0,7.0,6.0,6.0,7.0,7.0,4.0,6.0,7.0,6.0,5.0,3.0,5.0,5.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08374384236453201,0.0778642936596218,0.055140632448752586,0.07913554743365644,0.12505959002065786,0.08819323057365326,0.0305100905768314,0.05307484506594629,0.05657079294454155,0.0320991577943747,0.05720641983155887,0.025107262037184174,0.021134593993325918,0.018274273001747974,0.07834101382488479,0.023677101541395202,0.010328936914031464,0.014460511679644048,0.014619418401398378,0.00762752264420785,0.029079930081042427,0.003813761322103925,0.00826314953122517,0.0004767201652629906,0.0001589067217543302,0.0,1627,3.8678549477566073,27.75862068965517,967.9939615445734
Joshua,10.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08598351001177856,0.07302709069493522,0.04240282685512368,0.07302709069493522,0.1354534746760895,0.09540636042402827,0.03769140164899882,0.061248527679623084,0.05418138987043581,0.023557126030624265,0.0624263839811543,0.03651354534746761,0.02944640753828033,0.012956419316843345,0.06949352179034157,0.014134275618374558,0.008244994110718492,0.012956419316843345,0.02944640753828033,0.004711425206124852,0.023557126030624265,0.001177856301531213,0.01060070671378092,0.001177856301531213,0.0,0.0,193,4.398963730569948,32.166666666666664,109.99882214369838
Samuel,27.0,3.0,0.0,6.0,4.0,5.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,5.0,1.0,40.0,1.0,2.0,13.0,5.0,0.0,0.0,0.0,32.0,5.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,1.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,3.0,6.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08316008316008316,0.07744282744282745,0.05041580041580042,0.08056133056133057,0.12214137214137215,0.09407484407484408,0.02338877338877339,0.04833679833679834,0.04937629937629938,0.030665280665280667,0.07068607068607069,0.036382536382536385,0.02390852390852391,0.015592515592515593,0.08991683991683992,0.014553014553014554,0.02027027027027027,0.02182952182952183,0.011954261954261955,0.009875259875259876,0.011954261954261955,0.005717255717255718,0.005717255717255718,0.0,0.0,0.0015592515592515593,451,4.266075388026607,30.066666666666666,242.99948024948026
Unknown,11.0,1.0,0.0,3.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,13.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08743169398907104,0.060109289617486336,0.05737704918032787,0.09289617486338798,0.12295081967213115,0.11065573770491803,0.030054644808743168,0.04644808743169399,0.050546448087431695,0.0273224043715847,0.050546448087431695,0.03551912568306011,0.0273224043715847,0.025956284153005466,0.08196721311475409,0.01639344262295082,0.01366120218579235,0.020491803278688523,0.015027322404371584,0.00273224043715847,0.00819672131147541,0.001366120218579235,0.00819672131147541,0.0,0.001366120218579235,0.004098360655737705,183,4.0,30.5,107.99863387978144
Unknown,19.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,4.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594059405940594,0.0594059405940594,0.05148514851485148,0.09900990099009901,0.13762376237623763,0.10594059405940594,0.03762376237623762,0.0594059405940594,0.04356435643564356,0.01881188118811881,0.053465346534653464,0.0297029702970297,0.030693069306930693,0.02574257425742574,0.09108910891089109,0.020792079207920793,0.00891089108910891,0.015841584158415842,0.023762376237623763,0.0039603960396039604,0.009900990099009901,0.0,0.0029702970297029703,0.0,0.0009900990099009901,0.0009900990099009901,231,4.372294372294372,28.375,111.99108910891088
Unknown,24.0,6.0,0.0,0.0,4.0,5.0,0.0,5.0,2.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,16.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,8.0,1.0,1.0,2.0,5.0,1.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09814612868047982,0.06870229007633588,0.05888767720828789,0.09378407851690294,0.13195201744820065,0.09814612868047982,0.013086150490730643,0.04580152671755725,0.05888767720828789,0.03271537622682661,0.07197382769901854,0.030534351145038167,0.016357688113413305,0.014176663031624863,0.07088331515812432,0.025081788440567066,0.014176663031624863,0.007633587786259542,0.015267175572519083,0.0010905125408942203,0.030534351145038167,0.0,0.0021810250817884407,0.0,0.0,0.0,234,3.9188034188034186,33.42857142857143,144.99999999999997
Ezra,10.0,10.0,0.0,0.0,1.0,4.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,2.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1150317572335921,0.06422018348623854,0.02611150317572336,0.11573747353563868,0.14043754410726889,0.1058574453069866,0.011291460832745237,0.04728299223712068,0.06986591390261115,0.02399435426958363,0.04163726182074806,0.025405786873676783,0.027522935779816515,0.02611150317572336,0.07551164431898377,0.016937191249117856,0.013408609738884969,0.013408609738884969,0.007057163020465773,0.006351446718419196,0.004940014114326041,0.006351446718419196,0.004940014114326041,0.0,0.0,0.006351446718419196,330,4.293939393939394,16.35,152.99576570218773
Nehemiah,9.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08768267223382047,0.07306889352818371,0.06263048016701461,0.06471816283924843,0.12943632567849686,0.07306889352818371,0.03966597077244259,0.09812108559498957,0.04384133611691023,0.016701461377870562,0.06263048016701461,0.022964509394572025,0.014613778705636743,0.020876826722338204,0.081419624217119,0.025052192066805846,0.0041753653444676405,0.022964509394572025,0.010438413361169102,0.0020876826722338203,0.020876826722338204,0.0,0.016701461377870562,0.0,0.0,0.0,115,4.165217391304348,28.5,72.99373695198334
Mordecai,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13675213675213677,0.05982905982905983,0.06837606837606838,0.1111111111111111,0.1623931623931624,0.07692307692307693,0.017094017094017096,0.05982905982905983,0.03418803418803419,0.017094017094017096,0.08547008547008547,0.0,0.017094017094017096,0.008547008547008548,0.017094017094017096,0.05128205128205128,0.017094017094017096,0.02564102564102564,0.008547008547008548,0.008547008547008548,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,26,4.5,26.0,13.991452991452988
Unknown,11.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09421487603305785,0.07107438016528926,0.05454545454545454,0.09256198347107437,0.12727272727272726,0.1206611570247934,0.03471074380165289,0.03966942148760331,0.0628099173553719,0.03636363636363636,0.07603305785123966,0.01652892561983471,0.01818181818181818,0.008264462809917356,0.05619834710743802,0.013223140495867768,0.0049586776859504135,0.008264462809917356,0.01487603305785124,0.009917355371900827,0.023140495867768594,0.0,0.008264462809917356,0.0,0.003305785123966942,0.0,151,4.006622516556291,15.0,89.99504132231402
