Author,and,he,said,now,also,let,it,be,according,unto,your,with,whom,is,shall,my,ye,then,they,every,man,his,to,the,was,in,their,for,yet,there,him,them,what,that,have,not,such,as,we,say,lord,or,how,god,hath,out,of,thy,are,should,do,but,whose,thee,thine,thou,an,one,me,may,upon,if,would,no,more,when,our,again,will,from,therefore,became,ever,lest,could,himself,all,by,were,into,did,these,been,which,neither,throughout,thus,shalt,hast,moreover,thereof,each,had,make,because,her,wherefore,without,whatsoever,cometh,forth,till,who,among,those,whence,like,ought,thyself,where,than,wherein,yea,didst,once,many,shouldest,much,other,becometh,whither,verily,hereof,inasmuch,downward,abundance,whereto,seest,therewith,thence,whereof,thereby,being,outward,hence,howsoever,henceforth,whereby,thereon,must,thereupon,doeth,thereunto,wherewith,oft,oftentimes,whosoever,underneath,whereunto,whensoever,wherewithal,seemeth,therein,notwithstanding,whereon,soever,forthwith,some,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,i_percentage_use,o_percentage_use,w_percentage_use,l_percentage_use,t_percentage_use,b_percentage_use,c_percentage_use,r_percentage_use,g_percentage_use,u_percentage_use,y_percentage_use,m_percentage_use,f_percentage_use,v_percentage_use,p_percentage_use,k_percentage_use,j_percentage_use,q_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,125.0,30.0,21.0,6.0,5.0,5.0,8.0,11.0,2.0,30.0,13.0,18.0,3.0,15.0,18.0,29.0,18.0,6.0,8.0,4.0,10.0,31.0,27.0,61.0,4.0,14.0,6.0,20.0,6.0,7.0,19.0,9.0,3.0,20.0,4.0,19.0,1.0,3.0,14.0,3.0,11.0,2.0,2.0,10.0,4.0,6.0,40.0,20.0,4.0,2.0,3.0,3.0,1.0,7.0,2.0,10.0,1.0,2.0,16.0,2.0,5.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,8.0,4.0,3.0,1.0,1.0,2.0,2.0,2.0,14.0,4.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09299121749612536,0.07249870845531256,0.05355605303943516,0.0821422421215774,0.1203719648699845,0.05579473049767522,0.05131737558119511,0.07714826933011883,0.019631479249182023,0.03685207508179783,0.08885827449629757,0.014809712416049595,0.014637506457723437,0.05562252453934906,0.0160151541243327,0.026347511623902187,0.029963836748751506,0.02514206991561908,0.02531427587394524,0.011537799207852592,0.014809712416049595,0.0036163251248493198,0.005682796624763217,0.00017220595832615808,0.00034441191665231615,0.0,1531,3.7929457870672763,26.17241379310345,896.9951782331669
Joshua,17.0,9.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,1.0,2.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,23.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10082063305978899,0.06330597889800703,0.044548651817116064,0.10902696365767878,0.10433763188745604,0.05158264947245018,0.05275498241500586,0.07502930832356389,0.012895662368112544,0.0492379835873388,0.09261430246189918,0.02813599062133646,0.022274325908558032,0.0492379835873388,0.017584994138335287,0.026963657678780773,0.01875732708089097,0.026963657678780773,0.02579132473622509,0.0023446658851113715,0.0023446658851113715,0.010550996483001172,0.005861664712778429,0.0,0.0,0.005861664712778429,213,4.004694835680751,35.5,141.9988276670574
Samuel,35.0,10.0,5.0,0.0,0.0,2.0,5.0,5.0,2.0,11.0,0.0,5.0,0.0,0.0,2.0,6.0,1.0,2.0,0.0,0.0,1.0,6.0,12.0,33.0,2.0,6.0,0.0,5.0,0.0,0.0,3.0,5.0,0.0,9.0,2.0,4.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,26.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,6.0,0.0,1.0,8.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07957302280446385,0.07617661329451722,0.05579815623483746,0.09704027171276079,0.12469674915089762,0.046094129063561376,0.05822416302765648,0.08102862688015526,0.022804463852498787,0.031052886948083454,0.09704027171276079,0.010189228529839884,0.018922852983988356,0.05240174672489083,0.015041242115477924,0.026200873362445413,0.013100436681222707,0.035904900533721494,0.025230470645317808,0.011159631246967491,0.013100436681222707,0.0024260067928190197,0.0038816108685104317,0.0,0.0,0.001455604075691412,509,4.049115913555992,33.8,288.99854439592434
Unknown,17.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,16.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11428571428571428,0.06984126984126984,0.08095238095238096,0.08095238095238096,0.10317460317460317,0.04285714285714286,0.04285714285714286,0.09523809523809523,0.014285714285714285,0.03650793650793651,0.07142857142857142,0.01746031746031746,0.01904761904761905,0.05555555555555555,0.015873015873015872,0.01904761904761905,0.012698412698412698,0.020634920634920634,0.03333333333333333,0.006349206349206349,0.014285714285714285,0.012698412698412698,0.0,0.0,0.0015873015873015873,0.014285714285714285,163,3.8650306748466257,27.0,92.99523809523815
Unknown,15.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,24.0,9.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720250521920668,0.06471816283924843,0.059498956158663886,0.08455114822546973,0.11586638830897704,0.05741127348643006,0.07620041753653445,0.0709812108559499,0.033402922755741124,0.03966597077244259,0.09603340292275574,0.026096033402922755,0.019832985386221295,0.05010438413361169,0.012526096033402923,0.03444676409185804,0.011482254697286013,0.031315240083507306,0.021920668058455117,0.005219206680584551,0.006263048016701462,0.005219206680584551,0.0010438413361169101,0.0,0.003131524008350731,0.0,232,4.129310344827586,29.0,120.99895615866386
Unknown,18.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,9.0,3.0,1.0,2.0,3.0,0.0,2.0,1.0,7.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10303030303030303,0.06545454545454546,0.05333333333333334,0.07878787878787878,0.12363636363636364,0.06666666666666667,0.06060606060606061,0.06666666666666667,0.025454545454545455,0.03393939393939394,0.09454545454545454,0.013333333333333334,0.01090909090909091,0.05454545454545454,0.01575757575757576,0.01818181818181818,0.01696969696969697,0.030303030303030304,0.027878787878787878,0.007272727272727273,0.01818181818181818,0.008484848484848486,0.0,0.0,0.0,0.0,212,3.891509433962264,30.0,118.99393939393939
Ezra,37.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,51.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11444921316165951,0.06723891273247497,0.045064377682403435,0.11158798283261803,0.13876967095851217,0.05007153075822604,0.07081545064377683,0.059370529327610874,0.012160228898426323,0.029327610872675252,0.10228898426323318,0.019313304721030045,0.009298998569384835,0.04005722460658083,0.011444921316165951,0.01430615164520744,0.006437768240343348,0.02575107296137339,0.023605150214592276,0.006437768240343348,0.006437768240343348,0.005007153075822604,0.016452074391988557,0.0,0.000715307582260372,0.011444921316165951,310,4.509677419354839,15.45,150.99785407725324
Nehemiah,10.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,0.0,1.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07142857142857142,0.07142857142857142,0.04633204633204633,0.07142857142857142,0.14864864864864866,0.05791505791505792,0.052123552123552123,0.07335907335907337,0.017374517374517374,0.03861003861003861,0.09266409266409266,0.019305019305019305,0.015444015444015444,0.06177606177606178,0.013513513513513514,0.04247104247104247,0.03474903474903475,0.023166023166023165,0.021235521235521235,0.009652509652509652,0.005791505791505791,0.005791505791505791,0.0019305019305019305,0.0,0.003861003861003861,0.0,132,3.9242424242424243,33.0,76.0
Mordecai,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.09090909090909091,0.022727272727272728,0.07954545454545454,0.11363636363636363,0.06818181818181818,0.10227272727272728,0.045454545454545456,0.0,0.011363636363636364,0.125,0.011363636363636364,0.0,0.06818181818181818,0.056818181818181816,0.03409090909090909,0.011363636363636364,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,20,4.4,19.0,11.97727272727273
Unknown,11.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,11.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08962868117797695,0.08066581306017925,0.04353393085787452,0.07426376440460948,0.13316261203585147,0.058898847631242,0.06658130601792574,0.07426376440460948,0.023047375160051217,0.029449423815621,0.09603072983354674,0.011523687580025609,0.015364916773367477,0.04481434058898848,0.016645326504481434,0.03329065300896287,0.012804097311139564,0.03201024327784891,0.034571062740076826,0.0076824583866837385,0.006402048655569782,0.008962868117797696,0.0,0.002560819462227913,0.0,0.0012804097311139564,197,3.964467005076142,19.7,108.99743918053773
