Author,and,they,their,which,had,in,the,of,into,all,his,with,him,he,these,are,but,were,be,unto,whom,to,that,out,himself,said,now,let,me,have,thy,because,thou,yet,will,say,my,for,hath,been,it,shall,when,what,is,your,ye,from,our,we,also,may,every,an,then,some,them,moreover,no,therefore,thee,make,if,among,how,not,as,according,there,was,by,should,lord,ought,wherefore,thine,man,became,one,other,thereof,did,hast,therein,must,god,thus,didst,upon,those,could,would,her,do,more,cometh,thereon,who,like,throughout,than,or,verily,hence,many,such,yea,ever,neither,shalt,forth,whither,without,much,again,thence,oft,whatsoever,being,thereupon,seemeth,whoso,lest,each,inasmuch,where,downward,abundance,whereto,seest,therewith,wherein,whereof,once,thereby,shouldest,outward,howsoever,becometh,henceforth,whereby,till,thereunto,doeth,wherewith,oftentimes,whosoever,underneath,whereunto,whence,whensoever,wherewithal,whose,hereof,thyself,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,o_percentage_use,k_percentage_use,i_percentage_use,r_percentage_use,c_percentage_use,l_percentage_use,g_percentage_use,s_percentage_use,w_percentage_use,f_percentage_use,m_percentage_use,p_percentage_use,j_percentage_use,b_percentage_use,u_percentage_use,z_percentage_use,v_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,170.0,15.0,15.0,13.0,4.0,33.0,106.0,79.0,7.0,17.0,30.0,8.0,12.0,8.0,7.0,12.0,2.0,12.0,5.0,33.0,1.0,13.0,15.0,3.0,1.0,14.0,4.0,4.0,4.0,10.0,11.0,2.0,4.0,1.0,5.0,3.0,13.0,29.0,3.0,3.0,4.0,9.0,3.0,2.0,8.0,9.0,4.0,4.0,11.0,11.0,3.0,2.0,2.0,3.0,3.0,1.0,12.0,1.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,9.0,2.0,1.0,2.0,5.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10204729408030472,0.08093953340739565,0.05618155848278051,0.07665449928582764,0.09030312648785907,0.11966354546897318,0.020472940803047134,0.07776543405808602,0.0022218695445167433,0.04777019520710998,0.052690049198539916,0.01809236629106491,0.037454372321853675,0.013648627202031423,0.05919695286462466,0.014442152039358832,0.028090779241390255,0.019203301063323283,0.01999682590065069,0.008411363275670528,0.016187906681479132,0.023647040152356767,0.0019044596095857801,0.008411363275670528,0.0007935248373274084,0.0,1564,4.028772378516624,26.79310344827586,879.9961910807808
Joshua,32.0,5.0,0.0,0.0,2.0,3.0,17.0,11.0,0.0,4.0,7.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09291521486643438,0.08478513356562137,0.08013937282229965,0.09988385598141696,0.09639953542392567,0.11498257839721254,0.013937282229965157,0.06852497096399536,0.005807200929152149,0.05574912891986063,0.03832752613240418,0.005807200929152149,0.041811846689895474,0.017421602787456445,0.07084785133565621,0.015098722415795587,0.018583042973286876,0.019744483159117306,0.0023228803716608595,0.005807200929152149,0.011614401858304297,0.027874564459930314,0.0011614401858304297,0.009291521486643438,0.0011614401858304297,0.0,217,3.967741935483871,36.166666666666664,127.00000000000001
Samuel,38.0,3.0,1.0,1.0,2.0,8.0,25.0,20.0,1.0,1.0,1.0,4.0,7.0,9.0,0.0,2.0,0.0,2.0,0.0,5.0,1.0,4.0,5.0,1.0,0.0,8.0,1.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09358752166377816,0.07221259387637204,0.06701328711727325,0.09300982091276719,0.08376660889659157,0.13518197573656845,0.015020219526285385,0.06296938186019642,0.002310803004043905,0.07163489312536106,0.049104563835932986,0.008665511265164644,0.032351242056614674,0.02079722703639515,0.05141536683997689,0.01559792027729636,0.02368573079145003,0.03004043905257077,0.01733102253032929,0.008665511265164644,0.012709416522241479,0.023108030040439053,0.0028885037550548816,0.005199306759098787,0.0005777007510109763,0.0,401,4.316708229426434,26.733333333333334,211.99884459849798
Unknown,12.0,1.0,0.0,0.0,1.0,1.0,24.0,15.0,3.0,4.0,2.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.05325443786982249,0.09763313609467456,0.10207100591715976,0.08431952662721894,0.11094674556213018,0.005917159763313609,0.09615384615384616,0.010355029585798817,0.06804733727810651,0.03994082840236687,0.013313609467455622,0.03550295857988166,0.020710059171597635,0.047337278106508875,0.016272189349112426,0.028106508875739646,0.01775147928994083,0.008875739644970414,0.0,0.019230769230769232,0.028106508875739646,0.0,0.014792899408284023,0.0029585798816568047,0.0,169,4.0,28.166666666666668,98.99852071005913
Unknown,18.0,0.0,0.0,1.0,0.0,5.0,32.0,13.0,0.0,1.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06643356643356643,0.06293706293706294,0.05128205128205128,0.1048951048951049,0.09207459207459208,0.1317016317016317,0.008158508158508158,0.09207459207459208,0.0034965034965034965,0.06293706293706294,0.05011655011655012,0.026806526806526808,0.04428904428904429,0.009324009324009324,0.05011655011655012,0.0337995337995338,0.03146853146853147,0.008158508158508158,0.01282051282051282,0.0,0.019813519813519812,0.023310023310023312,0.0,0.01282051282051282,0.0,0.0,214,4.009345794392523,26.75,111.99883449883451
Unknown,17.0,0.0,0.0,0.0,1.0,2.0,24.0,10.0,0.0,0.0,4.0,2.0,10.0,7.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,8.0,3.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089128305582762,0.06072477962781587,0.06072477962781587,0.0930460333006856,0.10479921645445642,0.12928501469147893,0.015670910871694418,0.08227228207639568,0.009794319294809012,0.058765915768854066,0.040156709108716944,0.0068560235063663075,0.039177277179236046,0.010773751224289911,0.07247796278158668,0.025465230166503428,0.02056807051909892,0.03721841332027424,0.0068560235063663075,0.0,0.011753183153770812,0.01762977473065622,0.0,0.002938295788442703,0.0009794319294809011,0.0,283,3.607773851590106,40.285714285714285,159.99706170421155
Ezra,41.0,5.0,3.0,2.0,3.0,3.0,49.0,48.0,0.0,4.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,11.0,5.0,5.0,0.0,25.0,6.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,8.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09580573951434879,0.07152317880794702,0.0640176600441501,0.10022075055187638,0.08874172185430464,0.1337748344370861,0.012803532008830023,0.07373068432671082,0.005739514348785872,0.04988962472406181,0.04856512141280353,0.01545253863134658,0.02913907284768212,0.012362030905077263,0.047240618101545256,0.019867549668874173,0.030463576158940398,0.029580573951434878,0.012362030905077263,0.005298013245033113,0.012362030905077263,0.025165562913907286,0.002207505518763797,0.011037527593818985,0.0013245033112582781,0.0,550,4.118181818181818,27.45,310.99867549668875
Nehemiah,13.0,2.0,5.0,0.0,0.0,1.0,16.0,8.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07923497267759563,0.06284153005464481,0.05191256830601093,0.11065573770491803,0.08333333333333333,0.1325136612021858,0.02185792349726776,0.08743169398907104,0.006830601092896175,0.06284153005464481,0.06693989071038252,0.01092896174863388,0.030054644808743168,0.012295081967213115,0.05327868852459016,0.01366120218579235,0.017759562841530054,0.028688524590163935,0.01912568306010929,0.001366120218579235,0.006830601092896175,0.017759562841530054,0.0,0.015027322404371584,0.004098360655737705,0.001366120218579235,178,4.112359550561798,44.5,107.99863387978141
Mordecai,2.0,1.0,1.0,0.0,0.0,1.0,9.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06172839506172839,0.07818930041152264,0.01646090534979424,0.10699588477366255,0.09053497942386832,0.12757201646090535,0.01646090534979424,0.07818930041152264,0.01646090534979424,0.07407407407407407,0.04526748971193416,0.024691358024691357,0.03292181069958848,0.0411522633744856,0.037037037037037035,0.00823045267489712,0.037037037037037035,0.024691358024691357,0.024691358024691357,0.0,0.00823045267489712,0.02880658436213992,0.0,0.012345679012345678,0.0,0.0,55,4.418181818181818,54.0,31.991769547325106
Unknown,7.0,1.0,1.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07936507936507936,0.0707070707070707,0.049062049062049064,0.1111111111111111,0.10245310245310245,0.12842712842712842,0.010101010101010102,0.07215007215007214,0.012987012987012988,0.05483405483405483,0.03751803751803752,0.024531024531024532,0.03463203463203463,0.01443001443001443,0.06204906204906205,0.023088023088023088,0.023088023088023088,0.021645021645021644,0.011544011544011544,0.001443001443001443,0.008658008658008658,0.03751803751803752,0.0,0.004329004329004329,0.001443001443001443,0.001443001443001443,168,4.125,16.8,101.99855699855704
