Author,but,will,with,my,and,thou,shalt,me,out,of,in,their,he,said,do,as,hast,unto,him,himself,upon,the,it,to,these,that,one,thy,is,his,cometh,thee,god,make,for,an,now,which,were,into,are,they,shall,be,them,thine,when,from,by,yet,there,was,her,who,whom,hath,could,not,had,also,did,all,let,than,again,your,moreover,have,may,ye,because,then,man,became,lord,whose,thence,every,according,therein,wherefore,neither,didst,thereof,we,therefore,no,like,whence,what,other,how,or,among,each,forth,without,if,would,say,such,our,where,been,yea,those,once,many,more,ever,should,verily,thus,whoso,some,wherein,being,lest,inasmuch,downward,abundance,whereto,seest,therewith,whereof,whatsoever,thereby,shouldest,outward,hence,howsoever,throughout,becometh,whereby,henceforth,thereon,till,must,doeth,thereupon,thereunto,wherewith,oft,oftentimes,whither,whosoever,underneath,whereunto,much,wherewithal,whensoever,seemeth,hereof,thyself,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,upward,ought,b_percentage_use,u_percentage_use,t_percentage_use,i_percentage_use,w_percentage_use,l_percentage_use,e_percentage_use,h_percentage_use,m_percentage_use,y_percentage_use,f_percentage_use,a_percentage_use,r_percentage_use,s_percentage_use,n_percentage_use,d_percentage_use,o_percentage_use,c_percentage_use,g_percentage_use,p_percentage_use,j_percentage_use,k_percentage_use,z_percentage_use,v_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,6.0,7.0,11.0,19.0,107.0,11.0,2.0,14.0,5.0,54.0,29.0,11.0,31.0,16.0,1.0,10.0,1.0,32.0,14.0,3.0,8.0,81.0,11.0,12.0,3.0,16.0,5.0,16.0,13.0,40.0,1.0,14.0,9.0,3.0,11.0,5.0,2.0,8.0,3.0,4.0,6.0,7.0,33.0,18.0,19.0,2.0,4.0,10.0,6.0,1.0,5.0,10.0,1.0,5.0,3.0,2.0,1.0,7.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023761713520749666,0.02426372155287818,0.08517402945113789,0.06224899598393574,0.019076305220883535,0.04467871485943775,0.12633868808567603,0.09370816599732262,0.027275769745649263,0.01673360107095047,0.02359437751004016,0.09069611780455154,0.04702141900937082,0.0640896921017403,0.06693440428380187,0.050870147255689425,0.06375502008032129,0.014892904953145917,0.016566265060240965,0.016231593038821955,0.004518072289156626,0.003179384203480589,0.000502008032128514,0.007195448460508702,0.000502008032128514,0.0,1492,4.005361930294906,25.482758620689655,822.9938085676034
Joshua,1.0,2.0,2.0,0.0,17.0,3.0,1.0,1.0,2.0,8.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,6.0,1.0,0.0,0.0,17.0,2.0,4.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01056338028169014,0.02699530516431925,0.10093896713615023,0.06103286384976526,0.014084507042253521,0.046948356807511735,0.11971830985915492,0.08215962441314555,0.018779342723004695,0.03169014084507042,0.02464788732394366,0.10211267605633803,0.04342723004694836,0.051643192488262914,0.06338028169014084,0.045774647887323945,0.07629107981220658,0.01995305164319249,0.017605633802816902,0.01995305164319249,0.004694835680751174,0.005868544600938967,0.0,0.009389671361502348,0.0,0.0,225,3.7866666666666666,37.5,123.99765258215963
Samuel,4.0,0.0,1.0,1.0,35.0,6.0,3.0,5.0,1.0,21.0,2.0,0.0,5.0,10.0,2.0,1.0,0.0,17.0,4.0,0.0,0.0,40.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,6.0,1.0,4.0,7.0,0.0,4.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,9.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,2.0,6.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015783540022547914,0.02254791431792559,0.09019165727170236,0.05073280721533258,0.021984216459977453,0.03889515219842165,0.11668545659526494,0.08511837655016911,0.02987598647125141,0.009582863585118376,0.019165727170236752,0.11273957158962795,0.048478015783540024,0.04171364148816235,0.09751972942502818,0.06257046223224352,0.08173618940248027,0.018602029312288614,0.014092446448703494,0.005636978579481398,0.0,0.0062006764374295375,0.002254791431792559,0.0062006764374295375,0.0,0.0,467,3.798715203426124,31.133333333333333,287.99830890642613
Unknown,0.0,1.0,0.0,0.0,17.0,0.0,0.0,2.0,1.0,17.0,6.0,0.0,2.0,2.0,0.0,6.0,0.0,1.0,1.0,2.0,0.0,25.0,3.0,8.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0.02,0.068,0.058,0.014,0.051,0.137,0.07,0.021,0.01,0.043,0.088,0.052,0.054,0.061,0.071,0.088,0.018,0.018,0.019,0.0,0.006,0.0,0.017,0.0,0.0,246,4.065040650406504,40.833333333333336,133.99699999999999
Unknown,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025609756097560974,0.042682926829268296,0.11097560975609756,0.05853658536585366,0.03536585365853658,0.03170731707317073,0.14268292682926828,0.11097560975609756,0.015853658536585366,0.0024390243902439024,0.025609756097560974,0.05731707317073171,0.05365853658536585,0.0475609756097561,0.05731707317073171,0.04024390243902439,0.07682926829268293,0.032926829268292684,0.015853658536585366,0.004878048780487805,0.0,0.0,0.0012195121951219512,0.00975609756097561,0.0,0.0,198,4.141414141414141,24.75,112.00000000000001
Unknown,2.0,1.0,1.0,0.0,31.0,1.0,2.0,0.0,0.0,14.0,5.0,4.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,28.0,4.0,7.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,8.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005199306759098787,0.01559792027729636,0.11178509532062392,0.06932409012131716,0.025996533795493933,0.036395147313691506,0.14731369150779897,0.08145580589254767,0.016464471403812825,0.01559792027729636,0.026863084922010397,0.08405545927209705,0.04852686308492201,0.05805892547660312,0.08405545927209705,0.05632582322357019,0.0658578856152513,0.01386481802426343,0.014731369150779897,0.009532062391681109,0.0,0.006065857885615251,0.0,0.006065857885615251,0.0,0.0,306,3.7712418300653594,43.714285714285715,183.9991334488735
Ezra,0.0,0.0,16.0,0.0,55.0,0.0,0.0,1.0,1.0,35.0,9.0,3.0,3.0,2.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,34.0,4.0,16.0,1.0,10.0,1.0,0.0,3.0,2.0,0.0,0.0,9.0,2.0,7.0,1.0,0.0,3.0,4.0,0.0,2.0,7.0,1.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,13.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016364440513047324,0.028748341441839895,0.09420610349402919,0.057054400707651484,0.022114108801415303,0.038920831490490936,0.11278195488721804,0.0725342768686422,0.01680672268907563,0.011941618752764263,0.026536930561698365,0.10570544007076514,0.06015037593984962,0.048651039363113664,0.07474568774878372,0.06766917293233082,0.06722689075630252,0.0145953118089341,0.01901813356921716,0.013268465280849183,0.0030959752321981426,0.008845643520566122,0.005749668288367979,0.008845643520566122,0.0030959752321981426,0.0004422821760283061,549,4.118397085610201,27.45,311.99911543564787
Nehemiah,2.0,0.0,0.0,2.0,7.0,0.0,0.0,3.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256,0.0272,0.0832,0.0384,0.0272,0.0352,0.1616,0.0624,0.0176,0.0176,0.032,0.0832,0.0752,0.0528,0.0608,0.0432,0.0832,0.0144,0.0128,0.0192,0.0016,0.0064,0.0,0.0144,0.0032,0.0016,153,4.084967320261438,38.25,86.99999999999999
Mordecai,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565217391304,0.010869565217391304,0.09782608695652174,0.08695652173913043,0.010869565217391304,0.03260869565217391,0.16304347826086957,0.10869565217391304,0.010869565217391304,0.0,0.010869565217391304,0.08695652173913043,0.0,0.05434782608695652,0.09782608695652174,0.08695652173913043,0.021739130434782608,0.010869565217391304,0.03260869565217391,0.021739130434782608,0.0,0.021739130434782608,0.0,0.010869565217391304,0.0,0.010869565217391304,23,4.0,23.0,13.999999999999996
Unknown,1.0,0.0,0.0,0.0,12.0,10.0,10.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023222060957910014,0.036284470246734396,0.11175616835994194,0.05224963715529753,0.018867924528301886,0.05079825834542816,0.11465892597968069,0.0899854862119013,0.01451378809869376,0.023222060957910014,0.023222060957910014,0.11030478955007257,0.03773584905660377,0.06966618287373004,0.06531204644412192,0.03918722786647315,0.05660377358490566,0.015965166908563134,0.011611030478955007,0.01451378809869376,0.001451378809869376,0.008708272859216255,0.0,0.002902757619738752,0.0,0.001451378809869376,171,4.029239766081871,17.0,108.99419448476054
