Author,and,all,the,of,were,he,an,with,god,was,not,for,him,his,shall,our,because,which,lord,hath,it,to,when,unto,them,that,they,said,my,man,also,is,yet,be,there,in,those,became,every,had,will,whom,have,from,me,but,these,are,upon,make,thee,shalt,thou,without,thereof,do,wherein,into,thy,their,thus,did,according,by,as,your,ye,then,we,whosoever,neither,out,among,would,upward,no,wherefore,let,who,being,whence,how,forth,thine,one,now,abundance,shouldest,himself,hast,therefore,yea,if,thence,been,again,like,lest,thyself,her,cometh,whose,many,say,more,what,or,much,downward,till,some,may,than,where,ever,should,henceforth,doeth,verily,outward,once,seest,didst,each,inasmuch,whereto,therewith,whereof,whatsoever,other,thereby,hence,howsoever,throughout,becometh,whereby,thereon,must,thereupon,thereunto,moreover,wherewith,oft,oftentimes,whither,such,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,therein,notwithstanding,whereon,soever,could,forthwith,therefrom,wheresoever,whoso,ought,a_percentage_use,n_percentage_use,d_percentage_use,l_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,s_percentage_use,o_percentage_use,f_percentage_use,w_percentage_use,r_percentage_use,i_percentage_use,u_percentage_use,v_percentage_use,c_percentage_use,b_percentage_use,g_percentage_use,m_percentage_use,x_percentage_use,j_percentage_use,k_percentage_use,p_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,143.0,19.0,96,63,14.0,18.0,5.0,14.0,12.0,11.0,4.0,10.0,5.0,16.0,8.0,2.0,2.0,4.0,7.0,1.0,15.0,13.0,3.0,8.0,10.0,18.0,6.0,4.0,2.0,6.0,4.0,7.0,2.0,4.0,2.0,16.0,1.0,1.0,14.0,3.0,5.0,1.0,4.0,3.0,3.0,2.0,1.0,3.0,10.0,5.0,10.0,11.0,13.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10424028268551237,0.07813113466823714,0.06654888103651355,0.03729878288182175,0.09363957597173145,0.08657243816254417,0.13329407145661562,0.020416175893207697,0.05123674911660778,0.062230074597565764,0.0298390263054574,0.019434628975265017,0.04927365528072242,0.0502552021986651,0.019042010208087948,0.01315272870043188,0.015312131919905771,0.011974872398900667,0.016882606988614057,0.01963093835885355,0.0015704750687082843,0.0017667844522968198,0.0072634471927758145,0.0072634471927758145,0.0,0.0,1276,3.9921630094043885,21.96551724137931,691.9962701217117
Joshua,9.0,4.0,13,4,0.0,4.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,6.0,3.0,1.0,1.0,0.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07300115874855156,0.07068366164542295,0.05098493626882966,0.05098493626882966,0.08574739281575898,0.08574739281575898,0.11819235225955968,0.031286210892236384,0.06836616454229433,0.08690614136732329,0.005793742757821553,0.02549246813441483,0.054461181923522596,0.04519119351100811,0.03592120509849363,0.01738122827346466,0.013904982618771726,0.011587485515643106,0.02433371958285052,0.026651216685979143,0.0,0.004634994206257242,0.0034762456546929316,0.005793742757821553,0.0,0.0,206,4.189320388349515,34.166666666666664,116.9965237543453
Samuel,21.0,4.0,49,32,0.0,2.0,2.0,2.0,0.0,1.0,4.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,6.0,0.0,1.0,7.0,2.0,7.0,4.0,5.0,7.0,3.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,7.0,0.0,2.0,1.0,2.0,2.0,0.0,3.0,4.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886150234741784,0.0733568075117371,0.051056338028169015,0.04225352112676056,0.10093896713615023,0.0897887323943662,0.12030516431924883,0.017018779342723004,0.04812206572769953,0.08274647887323944,0.027582159624413145,0.014671361502347418,0.05046948356807512,0.06103286384976526,0.028169014084507043,0.01056338028169014,0.01643192488262911,0.022887323943661973,0.009976525821596244,0.02112676056338028,0.0,0.0035211267605633804,0.004107981220657277,0.012910798122065728,0.0011737089201877935,0.0,410,4.15609756097561,27.333333333333332,238.99882629107987
Unknown,10.0,0.0,9,5,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10940499040307101,0.08637236084452975,0.08445297504798464,0.030710172744721688,0.1036468330134357,0.09021113243761997,0.09788867562380038,0.013435700575815739,0.044145873320537425,0.08253358925143954,0.019193857965451054,0.013435700575815739,0.03262955854126679,0.0690978886756238,0.02495201535508637,0.015355086372360844,0.009596928982725527,0.011516314779270634,0.011516314779270634,0.026871401151631478,0.0,0.005758157389635317,0.003838771593090211,0.003838771593090211,0.0,0.0,132,3.946969696969697,21.666666666666668,73.9904030710173
Unknown,17.0,2.0,18,4,0.0,6.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09080325960419092,0.08847497089639116,0.05238649592549476,0.05820721769499418,0.09662398137369034,0.10128055878928988,0.10360884749708964,0.02211874272409779,0.059371362048894066,0.08149010477299184,0.017462165308498253,0.01629802095459837,0.03608847497089639,0.05355064027939464,0.018626309662398137,0.0011641443538998836,0.011641443538998836,0.012805587892898719,0.01979045401629802,0.025611175785797437,0.0011641443538998836,0.0034924330616996507,0.013969732246798603,0.013969732246798603,0.0,0.0,214,4.014018691588785,26.75,132.00000000000003
Unknown,12.0,0.0,20,15,1.0,6.0,0.0,3.0,2.0,0.0,5.0,1.0,6.0,2.0,0.0,0.0,2.0,3.0,7.0,1.0,3.0,8.0,1.0,6.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08483033932135728,0.06387225548902195,0.05189620758483034,0.03992015968063872,0.09880239520958084,0.10079840319361277,0.11776447105788423,0.014970059880239521,0.05389221556886228,0.09081836327345309,0.023952095808383235,0.02694610778443114,0.04491017964071856,0.0658682634730539,0.0249500998003992,0.003992015968063872,0.015968063872255488,0.012974051896207584,0.012974051896207584,0.016966067864271458,0.0,0.008982035928143712,0.00998003992015968,0.008982035928143712,0.001996007984031936,0.001996007984031936,262,3.8244274809160306,37.42857142857143,162.99900199600796
Ezra,35.0,2.0,32,33,3.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13204853675945752,0.09064953604568166,0.08279800142755175,0.02569593147751606,0.05139186295503212,0.092790863668808,0.12348322626695217,0.0035688793718772305,0.06209850107066381,0.05353319057815846,0.027837259100642397,0.01998572448251249,0.042112776588151324,0.057815845824411134,0.022840827980014276,0.005710206995003569,0.008565310492505354,0.02069950035688794,0.01284796573875803,0.026409707351891507,0.0,0.007137758743754461,0.01284796573875803,0.004282655246252677,0.010706638115631691,0.0,347,4.037463976945245,17.3,167.99785867237688
Nehemiah,11.0,0.0,12,6,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0779816513761468,0.08103975535168195,0.03211009174311927,0.012232415902140673,0.12538226299694188,0.08103975535168195,0.1452599388379205,0.03211009174311927,0.04434250764525994,0.06422018348623854,0.01834862385321101,0.021406727828746176,0.06116207951070336,0.05198776758409786,0.019877675840978593,0.012232415902140673,0.01529051987767584,0.01529051987767584,0.016819571865443424,0.03363914373088685,0.0030581039755351682,0.0,0.00764525993883792,0.022935779816513763,0.0,0.0,172,3.802325581395349,42.75,101.99541284403671
Mordecai,3.0,1.0,4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07971014492753623,0.08695652173913043,0.043478260869565216,0.021739130434782608,0.057971014492753624,0.07246376811594203,0.14492753623188406,0.007246376811594203,0.07971014492753623,0.057971014492753624,0.036231884057971016,0.007246376811594203,0.07246376811594203,0.09420289855072464,0.007246376811594203,0.014492753623188406,0.021739130434782608,0.021739130434782608,0.014492753623188406,0.021739130434782608,0.0,0.0,0.0,0.036231884057971016,0.0,0.0,34,4.0588235294117645,34.0,19.999999999999993
Unknown,23.0,2.0,18,5,0.0,6.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,7.0,1.0,0.0,0.0,0.0,11.0,2.0,1.0,6.0,1.0,4.0,1.0,3.0,0.0,6.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958904109589041,0.0812133072407045,0.060665362035225046,0.0410958904109589,0.09686888454011741,0.08512720156555773,0.1095890410958904,0.008806262230919765,0.06555772994129158,0.08317025440313111,0.0273972602739726,0.018590998043052837,0.04892367906066536,0.05577299412915851,0.018590998043052837,0.00684931506849315,0.015655577299412915,0.012720156555772993,0.015655577299412915,0.02837573385518591,0.0,0.0029354207436399216,0.007827788649706457,0.008806262230919765,0.0,0.0,260,3.9307692307692306,25.9,157.99608610567532
