Author,and,out,from,the,lord,did,according,to,of,he,his,there,not,one,also,neither,would,let,then,said,unto,in,him,thus,god,my,that,they,may,me,for,if,thou,them,is,upon,thy,which,shall,be,all,do,but,was,it,forth,with,man,throughout,became,could,because,as,had,say,will,thine,like,now,thee,shalt,have,yet,thyself,such,hath,been,thereof,therefore,hast,every,among,into,where,were,no,are,more,ye,how,when,by,these,what,himself,their,again,your,who,we,our,must,an,or,once,thereon,should,her,therewith,wherewith,wherein,other,many,make,whom,ever,cometh,those,wheresoever,shouldest,much,moreover,wherefore,being,abundance,yea,thereby,whosoever,whose,without,than,till,ought,each,whereunto,whence,some,lest,didst,inasmuch,downward,whereto,seest,thence,whatsoever,whereof,outward,hence,howsoever,becometh,whereby,henceforth,thereupon,doeth,thereunto,oft,oftentimes,whither,underneath,whensoever,wherewithal,seemeth,hereof,therein,notwithstanding,verily,whereon,soever,forthwith,therefrom,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,m_percentage_use,o_percentage_use,s_percentage_use,e_percentage_use,w_percentage_use,t_percentage_use,u_percentage_use,f_percentage_use,r_percentage_use,p_percentage_use,h_percentage_use,i_percentage_use,l_percentage_use,c_percentage_use,g_percentage_use,v_percentage_use,b_percentage_use,y_percentage_use,x_percentage_use,k_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,138.0,9.0,11.0,168.0,41.0,5.0,1.0,12.0,63.0,16.0,14.0,14.0,20.0,5.0,1.0,5.0,3.0,15.0,2.0,14.0,26.0,27.0,6.0,3.0,8.0,14.0,39.0,18.0,10.0,6.0,20.0,2.0,11.0,12.0,10.0,26.0,13.0,9.0,20.0,13.0,23.0,1.0,5.0,14.0,10.0,5.0,11.0,6.0,4.0,2.0,1.0,1.0,10.0,3.0,1.0,10.0,3.0,2.0,5.0,5.0,1.0,7.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,7.0,2.0,3.0,1.0,9.0,4.0,3.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0899925871015567,0.07042253521126761,0.05515196441808747,0.021052631578947368,0.08020756115641216,0.054114158636026685,0.12483320978502595,0.017642698295033357,0.10467012601927353,0.02609340252038547,0.02312824314306894,0.05515196441808747,0.01704966641957005,0.09147516679021497,0.04610822831727205,0.048183839881393624,0.012305411415863603,0.016456634544106747,0.00815418828762046,0.01067457375833951,0.02045959970348406,0.0005930318754633062,0.0034099332839140103,0.0,0.0,0.0,1727,3.9056166763173135,29.655172413793103,1064.9973313565602
Joshua,13.0,0.0,0.0,30.0,5.0,0.0,1.0,1.0,20.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08826583592938733,0.07061266874350987,0.04361370716510903,0.023883696780893044,0.0893042575285566,0.06542056074766354,0.12876427829698858,0.02284527518172378,0.0976116303219107,0.014537902388369679,0.037383177570093455,0.06438213914849429,0.008307372793354102,0.07580477673935618,0.04776739356178609,0.04776739356178609,0.021806853582554516,0.016614745586708203,0.008307372793354102,0.013499480789200415,0.004153686396677051,0.0,0.004153686396677051,0.003115264797507788,0.0010384215991692627,0.0,232,4.150862068965517,38.666666666666664,132.9989615784009
Samuel,45.0,5.0,5.0,25.0,1.0,1.0,0.0,8.0,13.0,13.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,11.0,4.0,16.0,0.0,5.0,3.0,7.0,7.0,1.0,9.0,9.0,3.0,5.0,3.0,1.0,5.0,1.0,1.0,2.0,8.0,3.0,0.0,1.0,3.0,3.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08442776735459662,0.06848030018761726,0.055816135084427766,0.03424015009380863,0.07035647279549719,0.06613508442776736,0.13180112570356473,0.023921200750469045,0.09146341463414634,0.023921200750469045,0.021575984990619138,0.04924953095684803,0.016416510318949345,0.09803001876172608,0.0647279549718574,0.03095684803001876,0.012195121951219513,0.012664165103189493,0.005628517823639775,0.014071294559099437,0.012195121951219513,0.00046904315196998124,0.0075046904315197,0.00046904315196998124,0.0014071294559099437,0.0,547,3.8976234003656307,36.4,334.998123827392
Unknown,14.0,0.0,2.0,6.0,5.0,0.0,0.0,9.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,2.0,0.0,11.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07240948813982521,0.06367041198501873,0.05742821473158552,0.017478152309612985,0.10486891385767791,0.05742821473158552,0.12609238451935081,0.011235955056179775,0.10486891385767791,0.02247191011235955,0.02746566791510612,0.06741573033707865,0.018726591760299626,0.07865168539325842,0.04868913857677903,0.03495630461922597,0.008739076154806492,0.02122347066167291,0.0149812734082397,0.01373283395755306,0.02247191011235955,0.0,0.004993757802746567,0.0,0.0,0.0,198,4.045454545454546,33.0,127.99999999999997
Unknown,25.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08527827648114901,0.07450628366247755,0.05565529622980251,0.012567324955116697,0.07719928186714542,0.06193895870736086,0.13734290843806105,0.03590664272890485,0.10412926391382406,0.03141831238779174,0.02244165170556553,0.07091561938958707,0.010771992818671455,0.06912028725314183,0.04757630161579892,0.02064631956912029,0.01526032315978456,0.012567324955116697,0.00718132854578097,0.03141831238779174,0.0026929982046678637,0.0026929982046678637,0.009874326750448833,0.0,0.0,0.0008976660682226212,263,4.23574144486692,32.875,130.00000000000003
Unknown,13.0,0.0,2.0,20.0,2.0,3.0,0.0,4.0,13.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08781869688385269,0.060906515580736544,0.0708215297450425,0.026912181303116147,0.0764872521246459,0.053824362606232294,0.12322946175637393,0.018413597733711047,0.09348441926345609,0.0169971671388102,0.026912181303116147,0.05099150141643059,0.007082152974504249,0.09348441926345609,0.06657223796033994,0.032577903682719546,0.012747875354107648,0.0169971671388102,0.014164305949008499,0.009915014164305949,0.0169971671388102,0.0,0.0084985835694051,0.009915014164305949,0.00141643059490085,0.0,183,3.8579234972677594,26.0,102.99716713881025
Ezra,34.0,1.0,6.0,46.0,12.0,0.0,1.0,20.0,22.0,4.0,7.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,5.0,10.0,0.0,3.0,5.0,5.0,11.0,1.0,1.0,2.0,9.0,0.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,4.0,6.0,2.0,2.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,5.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08451957295373666,0.06850533807829182,0.05338078291814947,0.02402135231316726,0.07962633451957295,0.054270462633451956,0.13701067615658363,0.016903914590747332,0.09919928825622776,0.027135231316725978,0.023576512455516015,0.059163701067615655,0.015124555160142349,0.0809608540925267,0.04893238434163701,0.04181494661921708,0.015569395017793594,0.014679715302491103,0.015569395017793594,0.013790035587188613,0.013790035587188613,0.00044483985765124553,0.0066725978647686835,0.0026690391459074734,0.00044483985765124553,0.00044483985765124553,554,4.0577617328519855,27.65,327.9982206405695
Nehemiah,6.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08764940239043825,0.06772908366533864,0.04183266932270916,0.029880478087649404,0.08565737051792828,0.06573705179282868,0.1394422310756972,0.027888446215139442,0.10358565737051793,0.03187250996015936,0.02390438247011952,0.05776892430278884,0.00796812749003984,0.09362549800796813,0.0398406374501992,0.02390438247011952,0.01593625498007968,0.0099601593625498,0.00398406374501992,0.01593625498007968,0.01593625498007968,0.0,0.00398406374501992,0.00597609561752988,0.0,0.0,123,4.08130081300813,30.75,73.0
Mordecai,6.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061224489795918366,0.08163265306122448,0.061224489795918366,0.02857142857142857,0.061224489795918366,0.061224489795918366,0.1673469387755102,0.0163265306122449,0.0653061224489796,0.024489795918367346,0.02857142857142857,0.04897959183673469,0.02040816326530612,0.09795918367346938,0.06938775510204082,0.0163265306122449,0.0163265306122449,0.024489795918367346,0.012244897959183673,0.0163265306122449,0.004081632653061225,0.0,0.00816326530612245,0.0,0.0,0.0,60,4.083333333333333,59.0,36.991836734693905
Unknown,10.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,10.0,3.0,1.0,6.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07288135593220339,0.0711864406779661,0.04915254237288136,0.04406779661016949,0.0711864406779661,0.05593220338983051,0.1152542372881356,0.03389830508474576,0.09322033898305085,0.030508474576271188,0.025423728813559324,0.05084745762711865,0.010169491525423728,0.06779661016949153,0.07796610169491526,0.04576271186440678,0.00847457627118644,0.013559322033898305,0.005084745762711864,0.010169491525423728,0.0288135593220339,0.0,0.011864406779661017,0.001694915254237288,0.0,0.003389830508474576,150,3.933333333333333,15.0,84.99830508474572
