Author,and,their,that,they,them,the,said,let,from,of,for,lord,unto,out,thine,may,again,upon,forth,his,to,when,it,in,all,into,there,not,much,as,one,but,were,thus,which,did,then,will,he,hath,is,my,god,him,an,man,also,are,have,thy,thou,hast,thee,with,shall,be,didst,who,like,among,by,till,shalt,ever,her,ye,no,could,therefore,was,what,we,had,if,do,these,where,would,every,or,your,say,according,some,more,notwithstanding,neither,therein,our,now,because,wherefore,thence,such,me,lest,being,throughout,became,those,make,whose,yet,each,been,other,should,wherewith,yea,thyself,thereof,himself,many,than,doeth,whom,without,whither,whereunto,wherein,soever,whosoever,verily,cometh,how,whatsoever,ought,inasmuch,downward,abundance,whereto,seest,therewith,whereof,once,thereby,shouldest,outward,hence,howsoever,becometh,whereby,henceforth,thereon,must,thereupon,thereunto,moreover,oft,oftentimes,underneath,whence,whensoever,wherewithal,seemeth,hereof,whereon,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,o_percentage_use,k_percentage_use,f_percentage_use,h_percentage_use,e_percentage_use,i_percentage_use,r_percentage_use,c_percentage_use,w_percentage_use,l_percentage_use,s_percentage_use,y_percentage_use,v_percentage_use,m_percentage_use,g_percentage_use,p_percentage_use,u_percentage_use,b_percentage_use,x_percentage_use,z_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,105.0,7.0,27.0,25.0,29.0,176.0,13.0,2.0,5.0,62.0,20.0,41.0,20.0,8.0,4.0,2.0,2.0,13.0,4.0,17.0,25.0,10.0,19.0,33.0,8.0,9.0,6.0,6.0,4.0,14.0,3.0,4.0,6.0,1.0,18.0,5.0,5.0,12.0,16.0,11.0,15.0,8.0,5.0,4.0,5.0,8.0,1.0,5.0,5.0,12.0,11.0,6.0,6.0,10.0,22.0,8.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,2.0,12.0,4.0,1.0,1.0,5.0,4.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,6.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08690614136732329,0.06836616454229433,0.0518539976825029,0.10501158748551565,0.07010428736964079,0.005069524913093859,0.018105446118192352,0.093279258400927,0.12557937427578217,0.05837195828505214,0.058516801853997685,0.015498261877172653,0.022450753186558516,0.04359791425260719,0.05822711471610661,0.019119351100811123,0.0068076477404403245,0.02795480880648899,0.018974507531865584,0.013760139049826188,0.021147161066048668,0.008835457705677868,0.0007242178447276941,0.00014484356894553882,0.00014484356894553882,0.00014484356894553882,1698,4.0659599528857475,29.24137931034483,1015.9986964078796
Joshua,18.0,4.0,3.0,5.0,8.0,15.0,0.0,1.0,0.0,10.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08615819209039548,0.07344632768361582,0.05649717514124294,0.10451977401129943,0.07062146892655367,0.00423728813559322,0.01694915254237288,0.08333333333333333,0.1497175141242938,0.04943502824858757,0.059322033898305086,0.026836158192090395,0.01977401129943503,0.031073446327683617,0.03954802259887006,0.01694915254237288,0.00423728813559322,0.031073446327683617,0.0211864406779661,0.00847457627118644,0.02401129943502825,0.014124293785310734,0.0,0.0,0.007062146892655367,0.0,166,4.265060240963855,27.666666666666668,97.99858757062145
Samuel,52.0,4.0,10.0,10.0,2.0,45.0,6.0,1.0,1.0,18.0,2.0,0.0,14.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,7.0,2.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,4.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,3.0,5.0,3.0,0.0,4.0,6.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09528851244044469,0.08152461619904712,0.06087877183695077,0.11434621492853361,0.06405505558496559,0.004235044997353097,0.01694017998941239,0.09740603493912123,0.13922710428798307,0.0555849655902594,0.04340921122286924,0.018528321863419798,0.024351508734780307,0.018528321863419798,0.035997882477501325,0.019587083112758072,0.007411328745367919,0.028057173107464268,0.013763896241397565,0.019587083112758072,0.02752779248279513,0.006352567496029645,0.0010587612493382743,0.0,0.0026469031233456856,0.0,478,3.9518828451882846,31.666666666666668,275.9962943356273
Unknown,17.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,1.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10598290598290598,0.07521367521367521,0.0735042735042735,0.06324786324786325,0.08034188034188035,0.005128205128205128,0.03076923076923077,0.0735042735042735,0.11965811965811966,0.05982905982905983,0.0547008547008547,0.011965811965811967,0.011965811965811967,0.03418803418803419,0.05811965811965812,0.006837606837606838,0.018803418803418803,0.02564102564102564,0.017094017094017096,0.015384615384615385,0.022222222222222223,0.015384615384615385,0.0017094017094017094,0.006837606837606838,0.006837606837606838,0.0,137,4.2700729927007295,22.666666666666668,71.99487179487181
Unknown,24.0,0.0,4.0,2.0,0.0,60.0,0.0,0.0,0.0,26.0,3.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06862745098039216,0.0659536541889483,0.0570409982174688,0.10249554367201426,0.09090909090909091,0.008021390374331552,0.035650623885918005,0.09269162210338681,0.13903743315508021,0.04188948306595366,0.045454545454545456,0.015151515151515152,0.011586452762923352,0.053475935828877004,0.0659536541889483,0.004456327985739751,0.012477718360071301,0.0196078431372549,0.0196078431372549,0.013368983957219251,0.0196078431372549,0.013368983957219251,0.0,0.00089126559714795,0.00089126559714795,0.0,278,4.0359712230215825,34.75,156.99821746880562
Unknown,17.0,0.0,0.0,2.0,1.0,18.0,5.0,1.0,0.0,15.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,1.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08764044943820225,0.07528089887640449,0.0449438202247191,0.08426966292134831,0.08202247191011236,0.01348314606741573,0.025842696629213482,0.08876404494382023,0.12808988764044943,0.0651685393258427,0.04044943820224719,0.010112359550561797,0.015730337078651686,0.04044943820224719,0.060674157303370786,0.01348314606741573,0.0056179775280898875,0.024719101123595506,0.016853932584269662,0.011235955056179775,0.028089887640449437,0.01348314606741573,0.0,0.006741573033707865,0.015730337078651686,0.0,231,3.8528138528138527,33.0,137.99887640449433
Ezra,67.0,2.0,14.0,11.0,6.0,68.0,1.0,2.0,2.0,42.0,4.0,1.0,2.0,8.0,0.0,0.0,2.0,2.0,2.0,6.0,11.0,7.0,9.0,10.0,5.0,1.0,4.0,0.0,1.0,0.0,0.0,3.0,11.0,0.0,3.0,0.0,3.0,1.0,8.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1011965811965812,0.06495726495726496,0.054017094017094015,0.10358974358974359,0.06871794871794872,0.002735042735042735,0.027692307692307693,0.08547008547008547,0.12957264957264958,0.05811965811965812,0.05299145299145299,0.018461538461538463,0.024957264957264958,0.029743589743589743,0.05606837606837607,0.014700854700854702,0.009230769230769232,0.024957264957264958,0.014358974358974359,0.014017094017094018,0.017435897435897435,0.017777777777777778,0.0017094017094017094,0.0013675213675213675,0.0037606837606837607,0.0,706,4.143059490084986,35.2,377.99760683760684
Nehemiah,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08558558558558559,0.08558558558558559,0.0945945945945946,0.08558558558558559,0.06756756756756757,0.0,0.04954954954954955,0.11711711711711711,0.11261261261261261,0.04954954954954955,0.05405405405405406,0.02252252252252252,0.018018018018018018,0.02702702702702703,0.02702702702702703,0.013513513513513514,0.0045045045045045045,0.009009009009009009,0.009009009009009009,0.009009009009009009,0.036036036036036036,0.009009009009009009,0.0045045045045045045,0.0,0.009009009009009009,0.0,47,4.723404255319149,11.75,18.000000000000004
Mordecai,2.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054474708171206226,0.07392996108949416,0.0311284046692607,0.10116731517509728,0.10116731517509728,0.0038910505836575876,0.03501945525291829,0.08171206225680934,0.10116731517509728,0.07392996108949416,0.0622568093385214,0.023346303501945526,0.04669260700389105,0.011673151750972763,0.0622568093385214,0.01556420233463035,0.007782101167315175,0.038910505836575876,0.019455252918287938,0.011673151750972763,0.023346303501945526,0.0038910505836575876,0.007782101167315175,0.0,0.0,0.0,61,4.213114754098361,60.0,32.99221789883271
Unknown,11.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,6.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755813953488372,0.0755813953488372,0.03488372093023256,0.11627906976744186,0.07848837209302326,0.00436046511627907,0.023255813953488372,0.10174418604651163,0.12354651162790697,0.061046511627906974,0.040697674418604654,0.01744186046511628,0.030523255813953487,0.027616279069767442,0.06540697674418605,0.01744186046511628,0.007267441860465116,0.0188953488372093,0.014534883720930232,0.015988372093023256,0.036337209302325583,0.00872093023255814,0.0,0.0014534883720930232,0.0,0.0014534883720930232,157,4.382165605095541,15.7,88.99854651162788
