Author,and,said,that,to,for,is,unto,the,lord,ye,shall,not,it,in,but,which,there,be,out,some,of,they,how,my,hath,therefore,he,every,man,his,let,no,thereof,was,like,with,an,your,may,wherewith,have,when,forth,from,therein,as,did,now,all,their,according,wherefore,we,them,me,do,thou,hast,our,what,thee,thy,thine,will,upon,shalt,because,among,or,then,god,had,him,were,thereon,one,other,her,been,into,where,each,by,whom,who,than,wherein,thyself,make,must,moreover,such,if,also,thus,say,lest,are,being,those,again,would,yet,whose,could,without,cometh,many,these,more,throughout,should,whatsoever,much,yea,whereof,himself,neither,till,whither,doeth,whereby,became,ever,oft,whosoever,didst,inasmuch,downward,abundance,whereto,seest,therewith,thence,once,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,thereupon,thereunto,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,m_percentage_use,o_percentage_use,s_percentage_use,e_percentage_use,i_percentage_use,t_percentage_use,h_percentage_use,y_percentage_use,f_percentage_use,r_percentage_use,b_percentage_use,u_percentage_use,l_percentage_use,x_percentage_use,g_percentage_use,v_percentage_use,w_percentage_use,c_percentage_use,p_percentage_use,k_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,118.0,20.0,23.0,36.0,23.0,11.0,26.0,138.0,22.0,6.0,12.0,4.0,18.0,30.0,4.0,4.0,7.0,12.0,16.0,1.0,74.0,23.0,2.0,4.0,4.0,1.0,16.0,4.0,2.0,18.0,4.0,2.0,1.0,7.0,2.0,17.0,6.0,2.0,3.0,2.0,4.0,7.0,2.0,9.0,1.0,3.0,8.0,3.0,15.0,3.0,1.0,3.0,1.0,10.0,5.0,5.0,16.0,1.0,2.0,2.0,11.0,3.0,1.0,5.0,2.0,7.0,4.0,1.0,1.0,3.0,13.0,10.0,5.0,5.0,1.0,4.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08691574175394716,0.06581209942160388,0.05783961231827419,0.028294513052993592,0.0841019227763014,0.059715491636704705,0.13256213850242302,0.05096138815069564,0.09895263404720962,0.08300765984055025,0.015788650930123497,0.02579334062841957,0.050648741597623885,0.01062998280443958,0.02501172424574019,0.04173831483507894,0.0003126465530717524,0.013287478505549476,0.006252931061435048,0.020322025949663904,0.012818508675941847,0.017351883695482257,0.005783961231827419,0.003439112083789276,0.0003126465530717524,0.0001563232765358762,1619,3.9512044471896233,27.896551724137932,939.9978114741284
Joshua,11.0,3.0,1.0,3.0,2.0,0.0,6.0,12.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,11.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,7.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.062034739454094295,0.05086848635235732,0.02729528535980149,0.0880893300248139,0.05459057071960298,0.14516129032258066,0.03722084367245657,0.08188585607940446,0.06823821339950373,0.02357320099255583,0.02977667493796526,0.062034739454094295,0.017369727047146403,0.033498759305210915,0.043424317617866005,0.0,0.017369727047146403,0.013647642679900745,0.03722084367245657,0.017369727047146403,0.007444168734491315,0.0012406947890818859,0.0024813895781637717,0.0,0.0,199,4.050251256281407,33.166666666666664,132.9987593052109
Samuel,50.0,4.0,8.0,14.0,1.0,1.0,8.0,41.0,0.0,0.0,0.0,1.0,4.0,10.0,2.0,4.0,7.0,3.0,1.0,0.0,18.0,11.0,0.0,0.0,0.0,1.0,10.0,0.0,5.0,10.0,1.0,3.0,0.0,10.0,0.0,8.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,13.0,3.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1013116236996834,0.0741745816372682,0.05789235639981909,0.02939846223428313,0.06286748077792854,0.045228403437358664,0.1248303934871099,0.05789235639981909,0.10266847580280417,0.09543193125282677,0.021709633649932156,0.021709633649932156,0.0574400723654455,0.014020805065581185,0.022614201718679332,0.024875621890547265,0.0,0.014473089099954772,0.004975124378109453,0.02532790592492085,0.014925373134328358,0.011307100859339666,0.0027137042062415195,0.003165988240615106,0.0004522840343735866,0.0004522840343735866,563,3.927175843694494,37.0,304.9918588873814
Unknown,12.0,7.0,3.0,0.0,1.0,7.0,6.0,16.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10093167701863354,0.07763975155279502,0.05745341614906832,0.026397515527950312,0.06987577639751552,0.07142857142857142,0.11490683229813664,0.07919254658385093,0.08540372670807453,0.10093167701863354,0.013975155279503106,0.029503105590062112,0.027950310559006212,0.013975155279503106,0.026397515527950312,0.021739130434782608,0.0,0.010869565217391304,0.010869565217391304,0.015527950310559006,0.010869565217391304,0.0015527950310559005,0.013975155279503106,0.004658385093167702,0.006211180124223602,0.0,173,3.722543352601156,28.5,104.9922360248447
Unknown,10.0,1.0,6.0,3.0,3.0,0.0,3.0,40.0,6.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,3.0,1.0,4.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06296691568836713,0.05656350053361793,0.04375667022411953,0.01814300960512273,0.08964781216648879,0.054429028815368194,0.14834578441835647,0.0416221985058698,0.1152614727854856,0.09178228388473852,0.010672358591248666,0.02774813233724653,0.05656350053361793,0.013874066168623266,0.02774813233724653,0.042689434364994665,0.0010672358591248667,0.010672358591248666,0.010672358591248666,0.021344717182497332,0.0288153681963714,0.014941302027748132,0.0096051227321238,0.0,0.0,0.0,230,4.073913043478261,28.75,137.99893276414093
Unknown,25.0,7.0,1.0,9.0,2.0,5.0,1.0,13.0,0.0,0.0,0.0,2.0,5.0,4.0,1.0,1.0,3.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11220472440944881,0.07775590551181102,0.054133858267716536,0.038385826771653545,0.06988188976377953,0.054133858267716536,0.12893700787401574,0.06200787401574803,0.09153543307086615,0.08858267716535433,0.011811023622047244,0.011811023622047244,0.03937007874015748,0.006889763779527559,0.022637795275590553,0.011811023622047244,0.0,0.013779527559055118,0.003937007874015748,0.022637795275590553,0.02952755905511811,0.011811023622047244,0.00984251968503937,0.01968503937007874,0.005905511811023622,0.0,262,3.877862595419847,37.42857142857143,146.99901574803144
Ezra,37.0,6.0,11.0,16.0,4.0,3.0,10.0,48.0,17.0,0.0,1.0,5.0,6.0,6.0,7.0,0.0,1.0,6.0,1.0,0.0,25.0,6.0,0.0,5.0,0.0,2.0,6.0,0.0,1.0,5.0,3.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,2.0,7.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,5.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870429252782194,0.0739268680445151,0.07074721780604133,0.02106518282988871,0.07710651828298887,0.05564387917329094,0.1343402225755167,0.05246422893481717,0.09578696343402225,0.07472178060413355,0.017090620031796504,0.02066772655007949,0.05246422893481717,0.017090620031796504,0.0246422893481717,0.03934817170111288,0.0,0.019077901430842606,0.01629570747217806,0.015500794912559618,0.00794912559618442,0.011128775834658187,0.003577106518282989,0.005564387917329093,0.0,0.000794912559618442,624,4.032051282051282,30.9,339.99403815580297
Nehemiah,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047058823529411764,0.09411764705882353,0.09411764705882353,0.0,0.041176470588235294,0.023529411764705882,0.13529411764705881,0.08235294117647059,0.08235294117647059,0.09411764705882353,0.01764705882352941,0.041176470588235294,0.07058823529411765,0.01764705882352941,0.03529411764705882,0.023529411764705882,0.011764705882352941,0.01764705882352941,0.011764705882352941,0.0058823529411764705,0.041176470588235294,0.0,0.0,0.0,0.011764705882352941,0.0,35,4.857142857142857,8.75,12.999999999999996
Mordecai,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03418803418803419,0.06837606837606838,0.02564102564102564,0.02564102564102564,0.09401709401709402,0.05982905982905983,0.17094017094017094,0.05128205128205128,0.10256410256410256,0.1111111111111111,0.008547008547008548,0.017094017094017096,0.042735042735042736,0.0,0.05128205128205128,0.0,0.0,0.03418803418803419,0.02564102564102564,0.03418803418803419,0.008547008547008548,0.0,0.017094017094017096,0.0,0.0,0.0,30,3.9,29.0,18.98290598290598
Unknown,6.0,0.0,5.0,1.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08503937007874016,0.06456692913385827,0.04094488188976378,0.02047244094488189,0.07086614173228346,0.06456692913385827,0.10236220472440945,0.05826771653543307,0.13228346456692913,0.11338582677165354,0.023622047244094488,0.014173228346456693,0.048818897637795275,0.014173228346456693,0.03464566929133858,0.025196850393700787,0.0,0.015748031496062992,0.0031496062992125984,0.03622047244094488,0.01889763779527559,0.0031496062992125984,0.007874015748031496,0.0,0.0,0.0015748031496062992,155,4.096774193548387,15.5,95.0
