Author,and,if,he,do,not,these,unto,her,then,shall,out,without,that,man,be,to,in,but,god,him,into,his,will,thee,whither,upon,with,thou,shalt,from,may,or,one,again,for,the,of,notwithstanding,is,yet,no,according,as,it,let,an,they,were,hath,been,also,there,have,their,therein,make,them,should,therewith,all,which,whom,lord,thereof,was,ought,being,neither,ye,me,my,your,by,thy,wherein,when,thine,we,therefore,are,said,where,till,such,now,how,throughout,had,whose,did,wherefore,our,forth,like,who,hast,much,some,more,than,ever,abundance,moreover,every,upward,among,what,because,yea,thyself,didst,those,many,himself,whereby,say,thus,would,wherewith,could,cometh,thereupon,outward,shouldest,whereof,henceforth,became,underneath,lest,whereunto,thereby,whence,hereof,doeth,thereon,oftentimes,thence,other,hence,each,must,inasmuch,verily,once,downward,whoso,whereto,therefrom,forthwith,thereunto,becometh,oft,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,f_percentage_use,h_percentage_use,e_percentage_use,o_percentage_use,t_percentage_use,s_percentage_use,r_percentage_use,u_percentage_use,l_percentage_use,g_percentage_use,w_percentage_use,m_percentage_use,y_percentage_use,b_percentage_use,p_percentage_use,v_percentage_use,c_percentage_use,k_percentage_use,q_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,61.0,41.0,53.0,2.0,22.0,1.0,19.0,7.0,11.0,69.0,4.0,1.0,25.0,20.0,52.0,28.0,14.0,7.0,2.0,25.0,1.0,49.0,5.0,2.0,1.0,6.0,15.0,16.0,13.0,3.0,1.0,31.0,2.0,1.0,32.0,57.0,31.0,1.0,7.0,1.0,3.0,3.0,3.0,32.0,4.0,11.0,4.0,2.0,6.0,1.0,2.0,3.0,4.0,2.0,1.0,9.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,2.0,2.0,2.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07755624657033108,0.06511798061093836,0.03731479787817816,0.07005670385952076,0.03219315895372234,0.09694530821291385,0.11743186391073715,0.07810499359795134,0.09749405524053412,0.06164258276934333,0.050667642216937994,0.029815255167367844,0.05213096762392537,0.012804097311139564,0.0155478324492409,0.02323029083592464,0.016462410828608012,0.018108651911468814,0.013352844338759832,0.00786537406255716,0.009145783793671118,0.005670385952076093,0.000548747027620267,0.0009145783793671117,0.004207060545088714,0.0,1474,3.708955223880597,25.20689655172414,878.994329614048
Joshua,13.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08897742363877822,0.07304116865869854,0.041168658698539175,0.05312084993359894,0.03187250996015936,0.08233731739707835,0.12616201859229748,0.07304116865869854,0.09561752988047809,0.04780876494023904,0.043824701195219126,0.03054448871181939,0.04648074369189907,0.034528552456839307,0.01195219123505976,0.03851261620185923,0.010624169986719787,0.00796812749003984,0.014608233731739707,0.009296148738379814,0.014608233731739707,0.01195219123505976,0.0013280212483399733,0.009296148738379814,0.0,0.0,183,4.114754098360656,30.5,97.9986719787517
Samuel,34.0,0.0,3.0,2.0,1.0,0.0,4.0,10.0,4.0,1.0,4.0,0.0,10.0,5.0,2.0,11.0,7.0,2.0,1.0,1.0,5.0,7.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,42.0,31.0,0.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,3.0,0.0,9.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08363448631905007,0.0862157976251936,0.055240061951471346,0.05730511099638617,0.023231801755291687,0.08002065049044915,0.12751677852348994,0.08466701084150749,0.08931337119256583,0.05110996386164171,0.041300980898296334,0.030975735673722252,0.04697986577181208,0.018069179143004648,0.0247805885389778,0.019101703665462055,0.013422818791946308,0.015487867836861126,0.013939081053175014,0.007227671657201859,0.02219927723283428,0.004130098089829634,0.0,0.0015487867836861124,0.0,0.0010325245224574084,494,3.9210526315789473,32.86666666666667,285.99845121321624
Unknown,13.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08948004836759371,0.08827085852478839,0.060459492140266025,0.06166868198307134,0.030229746070133012,0.09673518742442563,0.10761789600967352,0.07376058041112454,0.10882708585247884,0.06771463119709795,0.04353083434099154,0.022974607013301087,0.02176541717049577,0.006045949214026602,0.014510278113663845,0.026602176541717048,0.008464328899637243,0.010882708585247884,0.007255139056831923,0.016928657799274487,0.016928657799274487,0.008464328899637243,0.0,0.0012091898428053204,0.0,0.0012091898428053204,199,4.155778894472362,32.666666666666664,102.99153567110035
Unknown,10.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,6.0,1.0,1.0,6.0,3.0,1.0,6.0,2.0,0.0,2.0,1.0,6.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,12.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847145488029466,0.055248618784530384,0.04696132596685083,0.053406998158379376,0.02578268876611418,0.10220994475138122,0.1298342541436464,0.07826887661141804,0.1141804788213628,0.04880294659300184,0.058011049723756904,0.017495395948434623,0.03591160220994475,0.011049723756906077,0.02302025782688766,0.016574585635359115,0.024861878453038673,0.011049723756906077,0.016574585635359115,0.019337016574585635,0.014732965009208104,0.011049723756906077,0.0,0.0,0.0,0.0,267,4.067415730337078,33.25,160.999079189687
Unknown,21.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,7.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08286516853932584,0.07162921348314606,0.07724719101123595,0.05337078651685393,0.02247191011235955,0.09691011235955056,0.14325842696629212,0.07584269662921349,0.07303370786516854,0.05758426966292135,0.054775280898876406,0.021067415730337078,0.02949438202247191,0.009831460674157303,0.0351123595505618,0.016853932584269662,0.012640449438202247,0.011235955056179775,0.009831460674157303,0.0014044943820224719,0.012640449438202247,0.009831460674157303,0.0,0.009831460674157303,0.0,0.007022471910112359,195,3.651282051282051,27.714285714285715,111.99578651685401
Ezra,47.0,1.0,7.0,0.0,3.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,2.0,3.0,11.0,9.0,4.0,0.0,6.0,1.0,3.0,8.0,4.0,7.0,0.0,0.0,7.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,49.0,33.0,0.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,6.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,3.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07862629914143697,0.07410754631721644,0.06326253953908721,0.05693628558517849,0.02711251694532309,0.07862629914143697,0.12697695436059647,0.087663804789878,0.07998192498870312,0.06235878897424311,0.06461816538635337,0.026208766380478987,0.04292815183009489,0.01717126073203796,0.018978761861726163,0.022141888838680523,0.014008133755083597,0.016719385449615907,0.009489380930863081,0.012200632625395391,0.010393131495707185,0.004970628106642567,0.00045187528242205153,0.0018075011296882061,0.00045187528242205153,0.0009037505648441031,538,4.113382899628252,26.9,316.9990962494352
Nehemiah,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060240963855421686,0.0963855421686747,0.08433734939759036,0.060240963855421686,0.03614457831325301,0.12650602409638553,0.1566265060240964,0.03614457831325301,0.09036144578313253,0.006024096385542169,0.07228915662650602,0.030120481927710843,0.030120481927710843,0.012048192771084338,0.018072289156626505,0.006024096385542169,0.018072289156626505,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.024096385542168676,0.006024096385542169,0.0,0.0,0.0,0.012048192771084338,35,4.742857142857143,8.75,14.999999999999995
Mordecai,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07228915662650602,0.07228915662650602,0.03614457831325301,0.060240963855421686,0.028112449799196786,0.10843373493975904,0.13654618473895583,0.08433734939759036,0.10040160642570281,0.024096385542168676,0.05622489959839357,0.03614457831325301,0.024096385542168676,0.0321285140562249,0.024096385542168676,0.020080321285140562,0.0,0.01606425702811245,0.01606425702811245,0.004016064257028112,0.01606425702811245,0.020080321285140562,0.004016064257028112,0.0,0.0,0.0,59,4.220338983050848,58.0,33.99196787148594
Unknown,10.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,1.0,13.0,1.0,0.0,1.0,1.0,5.0,1.0,3.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08528198074277854,0.06740027510316368,0.03163686382393398,0.06740027510316368,0.03163686382393398,0.09766162310866575,0.13204951856946354,0.06052269601100413,0.07565337001375516,0.07290233837689133,0.05089408528198074,0.015130674002751032,0.0577716643741403,0.009628610729023384,0.009628610729023384,0.015130674002751032,0.015130674002751032,0.027510316368638238,0.01925722145804677,0.011004126547455296,0.03851444291609354,0.005502063273727648,0.0,0.001375515818431912,0.0,0.0,162,4.487654320987654,16.2,94.99862448418158
