Author,according,to,all,that,thee,the,of,and,thereof,shall,ye,make,it,they,an,be,thou,shalt,with,without,upon,for,them,in,one,other,into,by,may,not,from,which,forth,their,there,will,are,unto,also,me,his,out,like,he,these,was,moreover,every,have,is,thus,but,said,your,lord,god,hath,when,had,till,were,then,those,yet,again,my,or,thine,as,let,because,now,should,if,our,do,seemeth,him,whatsoever,what,soever,man,thy,whose,cometh,hast,who,we,no,therefore,more,than,among,being,her,say,whom,yea,many,been,could,seest,whereunto,wherefore,wherein,would,whence,himself,did,lest,much,such,whosoever,verily,thyself,how,didst,each,inasmuch,where,downward,abundance,whereto,therewith,thence,whereof,once,thereby,shouldest,outward,hence,howsoever,throughout,becometh,henceforth,whereby,thereon,must,thereupon,doeth,thereunto,ever,became,wherewith,oft,oftentimes,whither,underneath,neither,wherewithal,whensoever,hereof,therein,notwithstanding,whereon,forthwith,some,therefrom,wheresoever,whoso,upward,ought,a_percentage_use,c_percentage_use,o_percentage_use,r_percentage_use,d_percentage_use,i_percentage_use,n_percentage_use,g_percentage_use,t_percentage_use,l_percentage_use,h_percentage_use,s_percentage_use,e_percentage_use,w_percentage_use,f_percentage_use,p_percentage_use,b_percentage_use,u_percentage_use,m_percentage_use,v_percentage_use,y_percentage_use,k_percentage_use,x_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,2.0,10.0,7.0,17.0,7.0,153.0,89.0,113.0,21.0,43.0,2.0,40.0,21.0,8.0,2.0,34.0,43.0,44.0,16.0,1.0,6.0,15.0,10.0,26.0,31.0,7.0,3.0,3.0,5.0,1.0,4.0,6.0,1.0,10.0,4.0,3.0,2.0,5.0,1.0,1.0,7.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08791027544120072,0.026884380669635492,0.0818076859640442,0.051294738578261584,0.04156358238495794,0.044367474847435265,0.06712848424872175,0.012864918357248886,0.11380504700643246,0.045522018802572985,0.08593105723239321,0.05706745835395019,0.12271152894606631,0.015174006267524328,0.029688273132112815,0.009731156193303645,0.024905162460827975,0.029523338281378854,0.01946231238660729,0.007916872835230085,0.008081807685964044,0.014514266864588487,0.0011545439551377205,0.0,0.0,0.0,1463,4.144224196855776,25.224137931034484,842.9990103908957
Joshua,0.0,5.0,1.0,1.0,0.0,10.0,7.0,9.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,6.0,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09016393442622951,0.021311475409836064,0.06557377049180328,0.04590163934426229,0.05737704918032787,0.060655737704918035,0.07213114754098361,0.01639344262295082,0.10163934426229508,0.029508196721311476,0.07213114754098361,0.054098360655737705,0.13934426229508196,0.00819672131147541,0.027868852459016394,0.013114754098360656,0.004918032786885246,0.03114754098360656,0.03442622950819672,0.014754098360655738,0.018032786885245903,0.014754098360655738,0.0,0.006557377049180328,0.0,0.0,149,4.093959731543624,24.833333333333332,78.00000000000004
Samuel,0.0,9.0,6.0,5.0,0.0,58.0,38.0,37.0,0.0,2.0,0.0,1.0,1.0,9.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,4.0,14.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09161041465766634,0.01446480231436837,0.0665380906460945,0.052073288331726135,0.04918032786885246,0.06364513018322084,0.07280617164898746,0.015429122468659595,0.10318225650916105,0.0429122468659595,0.07087753134040502,0.05351976856316297,0.1407907425265188,0.020250723240115717,0.03182256509161042,0.013018322082931534,0.021215043394406944,0.021697203471552556,0.023625843780135006,0.005303760848601736,0.01591128254580521,0.003857280617164899,0.0,0.0048216007714561235,0.00048216007714561236,0.00048216007714561236,508,4.082677165354331,33.86666666666667,266.99951783992276
Unknown,0.0,2.0,0.0,5.0,2.0,17.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08175182481751825,0.017518248175182483,0.07737226277372262,0.061313868613138686,0.051094890510948905,0.043795620437956206,0.06715328467153285,0.016058394160583942,0.10364963503649635,0.032116788321167884,0.0905109489051095,0.04525547445255475,0.15036496350364964,0.01897810218978102,0.030656934306569343,0.01167883211678832,0.021897810218978103,0.016058394160583942,0.032116788321167884,0.00291970802919708,0.01897810218978102,0.0,0.0,0.004379562043795621,0.0,0.00291970802919708,166,4.126506024096385,27.666666666666668,98.99854014598536
Unknown,2.0,6.0,5.0,8.0,3.0,12.0,10.0,12.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,4.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,3.0,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09098862642169729,0.023622047244094488,0.07174103237095363,0.0568678915135608,0.03412073490813648,0.048118985126859144,0.06036745406824147,0.015748031496062992,0.10586176727909011,0.048993875765529306,0.09623797025371829,0.04636920384951881,0.12860892388451445,0.02099737532808399,0.023622047244094488,0.019247594050743656,0.012248468941382326,0.022747156605424323,0.020122484689413824,0.01399825021872266,0.031496062992125984,0.006124234470691163,0.0,0.0,0.0,0.0,274,4.171532846715328,34.125,166.99825021872257
Unknown,0.0,7.0,4.0,5.0,0.0,24.0,12.0,22.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09719222462203024,0.012958963282937365,0.06263498920086392,0.04319654427645788,0.047516198704103674,0.0550755939524838,0.08207343412526998,0.020518358531317494,0.09719222462203024,0.0367170626349892,0.09827213822894168,0.06047516198704104,0.13714902807775378,0.02267818574514039,0.017278617710583154,0.012958963282937365,0.01079913606911447,0.017278617710583154,0.023758099352051837,0.0032397408207343412,0.012958963282937365,0.011879049676025918,0.0,0.0064794816414686825,0.0010799136069114472,0.004319654427645789,238,3.8907563025210083,33.714285714285715,138.9956803455723
Ezra,3.0,28.0,1.0,1.0,0.0,66.0,35.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08117443868739206,0.02072538860103627,0.08635578583765112,0.05641911341393207,0.03857225100748417,0.05699481865284974,0.07138744962579159,0.012089810017271158,0.11629245826137018,0.021301093839953943,0.10132412204951065,0.04605641911341393,0.14853195164075994,0.009211283822682787,0.03914795624640184,0.007484168105929764,0.016119746689694875,0.014392630972941854,0.018998272884283247,0.008635578583765112,0.0051813471502590676,0.0069084628670120895,0.002302820955670697,0.0057570523891767415,0.0,0.0069084628670120895,393,4.419847328244275,19.6,222.99827288428324
Nehemiah,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09574468085106383,0.010638297872340425,0.0425531914893617,0.06382978723404255,0.0851063829787234,0.031914893617021274,0.12234042553191489,0.005319148936170213,0.09042553191489362,0.005319148936170213,0.09574468085106383,0.015957446808510637,0.15425531914893617,0.02127659574468085,0.026595744680851064,0.005319148936170213,0.015957446808510637,0.02127659574468085,0.0425531914893617,0.005319148936170213,0.02127659574468085,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.0,0.0,44,4.2727272727272725,11.0,19.99999999999999
Mordecai,0.0,0.0,2.0,1.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10559006211180125,0.012422360248447204,0.06832298136645963,0.055900621118012424,0.055900621118012424,0.055900621118012424,0.08695652173913043,0.024844720496894408,0.08074534161490683,0.037267080745341616,0.09316770186335403,0.055900621118012424,0.13664596273291926,0.012422360248447204,0.012422360248447204,0.006211180124223602,0.012422360248447204,0.018633540372670808,0.018633540372670808,0.031055900621118012,0.006211180124223602,0.006211180124223602,0.0,0.0,0.006211180124223602,0.0,40,4.025,40.0,21.000000000000014
Unknown,0.0,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,4.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,3.0,2.0,1.0,6.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08414239482200647,0.025889967637540454,0.07766990291262135,0.05339805825242718,0.045307443365695796,0.05339805825242718,0.08090614886731391,0.014563106796116505,0.06634304207119741,0.02750809061488673,0.0744336569579288,0.059870550161812294,0.12297734627831715,0.014563106796116505,0.014563106796116505,0.025889967637540454,0.01779935275080906,0.038834951456310676,0.045307443365695796,0.008090614886731391,0.030744336569579287,0.014563106796116505,0.0,0.0016181229773462784,0.0,0.0,166,3.7228915662650603,16.6,90.99838187702267
