Author,shall,be,throughout,your,the,of,lord,where,will,to,there,unto,thee,and,with,by,my,also,his,me,in,among,their,god,they,that,them,forth,out,may,thou,shalt,make,an,upon,it,thereof,for,is,thereon,every,when,he,ye,no,neither,once,then,man,one,are,from,not,more,than,therein,into,or,ever,him,moreover,much,therewith,all,other,like,said,these,each,some,as,which,according,have,thereupon,do,verily,therefore,doeth,but,were,had,did,her,whom,thence,those,was,now,how,wherefore,we,thy,again,yet,if,should,say,didst,thine,let,our,because,thus,who,hast,whose,himself,yea,hath,till,without,would,being,became,what,been,thyself,cometh,lest,many,becometh,oft,could,such,outward,shouldest,whereof,henceforth,underneath,whereby,whereunto,abundance,thereby,whence,ought,notwithstanding,hereof,oftentimes,whither,wherein,upward,hence,must,inasmuch,downward,wherewith,whoso,whereto,therefrom,forthwith,thereunto,t_percentage_use,h_percentage_use,i_percentage_use,s_percentage_use,a_percentage_use,l_percentage_use,b_percentage_use,e_percentage_use,c_percentage_use,o_percentage_use,n_percentage_use,u_percentage_use,r_percentage_use,f_percentage_use,g_percentage_use,y_percentage_use,d_percentage_use,w_percentage_use,m_percentage_use,p_percentage_use,k_percentage_use,q_percentage_use,v_percentage_use,z_percentage_use,j_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,44.0,27.0,6.0,7.0,128.0,72.0,20.0,3.0,8.0,27.0,4.0,25.0,8.0,97.0,13.0,5.0,2.0,5.0,18.0,4.0,19.0,6.0,9.0,4.0,15.0,26.0,13.0,1.0,1.0,7.0,25.0,21.0,18.0,12.0,8.0,36.0,9.0,15.0,9.0,3.0,5.0,8.0,5.0,7.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,4.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,10.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10790546047269764,0.08166259168704157,0.05395273023634882,0.05558272208638957,0.08606356968215159,0.05069274653626732,0.01581092094539527,0.12371638141809291,0.017277913610431947,0.08247758761206193,0.07400162999185005,0.02754686226568867,0.05395273023634882,0.029665851670741646,0.015647921760391197,0.019070904645476772,0.03276283618581907,0.013854930725346373,0.023634881825590873,0.012224938875305624,0.010431947840260799,0.00016299918500407498,0.009127954360228199,0.00016299918500407498,0.00016299918500407498,0.00016299918500407498,1461,4.19917864476386,25.120689655172413,880.9977180114099
Joshua,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,26.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12439613526570048,0.0893719806763285,0.06038647342995169,0.04468599033816425,0.0929951690821256,0.049516908212560384,0.007246376811594203,0.12439613526570048,0.010869565217391304,0.07608695652173914,0.07729468599033816,0.021739130434782608,0.04589371980676329,0.018115942028985508,0.025362318840579712,0.01570048309178744,0.06884057971014493,0.016908212560386472,0.014492753623188406,0.0036231884057971015,0.008454106280193236,0.0,0.0,0.0,0.0036231884057971015,0.0,206,4.019417475728155,34.333333333333336,137.00000000000009
Samuel,0.0,1.0,0.0,2.0,28.0,22.0,3.0,1.0,2.0,10.0,5.0,5.0,1.0,37.0,7.0,0.0,3.0,3.0,9.0,2.0,14.0,0.0,3.0,0.0,10.0,8.0,7.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09496567505720824,0.09439359267734554,0.057208237986270026,0.04748283752860412,0.08981693363844394,0.02745995423340961,0.012585812356979404,0.12242562929061784,0.016018306636155607,0.07322654462242563,0.08295194508009153,0.029748283752860413,0.04919908466819222,0.021739130434782608,0.011441647597254004,0.02517162471395881,0.057780320366132724,0.03032036613272311,0.032036613272311214,0.007437070938215103,0.002860411899313501,0.0,0.006864988558352402,0.0,0.003432494279176201,0.0,449,3.893095768374165,29.8,268.99656750572086
Unknown,1.0,1.0,0.0,0.0,10.0,4.0,3.0,0.0,2.0,10.0,0.0,4.0,1.0,21.0,2.0,1.0,3.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1100123609394314,0.07663782447466007,0.07663782447466007,0.04573547589616811,0.09394313967861558,0.030902348578491966,0.012360939431396786,0.10259579728059333,0.004944375772558714,0.07911001236093942,0.08529048207663782,0.030902348578491966,0.049443757725587144,0.013597033374536464,0.007416563658838072,0.021013597033374538,0.0815822002472188,0.022249690976514216,0.024721878862793572,0.004944375772558714,0.004944375772558714,0.0,0.013597033374536464,0.0,0.006180469715698393,0.0,219,3.6940639269406392,36.5,124.99876390605685
Unknown,0.0,1.0,0.0,1.0,35.0,12.0,10.0,0.0,0.0,6.0,1.0,4.0,0.0,22.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09453599306157849,0.0745880312228968,0.04856895056374675,0.053772766695576756,0.08499566348655681,0.0398959236773634,0.010407632263660017,0.13876843018213356,0.01647875108412836,0.08673026886383348,0.06764960971379011,0.019080659150043366,0.055507372072853424,0.04596704249783174,0.020815264527320035,0.011274934952298352,0.06504770164787511,0.014744145706851692,0.017346053772766695,0.014744145706851692,0.006071118820468344,0.0,0.006071118820468344,0.0,0.0008673026886383347,0.0008673026886383347,276,4.177536231884058,34.25,149.9947961838682
Unknown,1.0,0.0,0.0,0.0,22.0,16.0,3.0,0.0,0.0,6.0,0.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10403916768665851,0.08567931456548347,0.06242350061199511,0.0587515299877601,0.09057527539779682,0.04773561811505508,0.017135862913096694,0.12362301101591187,0.017135862913096694,0.08567931456548347,0.06854345165238677,0.0208078335373317,0.056303549571603426,0.02937576499388005,0.014687882496940025,0.0073439412484700125,0.046511627906976744,0.019583843329253364,0.019583843329253364,0.0024479804161566705,0.004895960832313341,0.0,0.0036719706242350062,0.0012239902080783353,0.009791921664626682,0.0012239902080783353,206,3.966019417475728,29.428571428571427,122.99877600979194
Ezra,0.0,0.0,1.0,0.0,49.0,20.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,2.0,15.0,0.0,1.0,2.0,4.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10196560196560196,0.1160933660933661,0.05773955773955774,0.07125307125307126,0.07063882063882064,0.02886977886977887,0.014742014742014743,0.15294840294840295,0.014127764127764128,0.07985257985257985,0.06511056511056511,0.012285012285012284,0.06388206388206388,0.02764127764127764,0.011056511056511056,0.0042997542997543,0.03746928746928747,0.020884520884520884,0.023955773955773956,0.0042997542997543,0.0018427518427518428,0.0,0.009213759213759214,0.004914004914004914,0.003071253071253071,0.0012285012285012285,355,4.585915492957747,17.75,185.99938574938577
Nehemiah,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07373271889400922,0.10599078341013825,0.04608294930875576,0.05069124423963134,0.07834101382488479,0.03225806451612903,0.0,0.1336405529953917,0.02304147465437788,0.06451612903225806,0.09216589861751152,0.03225806451612903,0.059907834101382486,0.04608294930875576,0.009216589861751152,0.013824884792626729,0.08294930875576037,0.004608294930875576,0.009216589861751152,0.009216589861751152,0.004608294930875576,0.0,0.02304147465437788,0.0,0.004608294930875576,0.0,47,4.617021276595745,11.75,20.999999999999996
Mordecai,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05970149253731343,0.11194029850746269,0.05223880597014925,0.05223880597014925,0.06716417910447761,0.014925373134328358,0.007462686567164179,0.15671641791044777,0.029850746268656716,0.06716417910447761,0.04477611940298507,0.014925373134328358,0.08955223880597014,0.014925373134328358,0.014925373134328358,0.007462686567164179,0.08208955223880597,0.029850746268656716,0.04477611940298507,0.022388059701492536,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,31,4.32258064516129,31.0,19.0
Unknown,16.0,8.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08955223880597014,0.10597014925373134,0.07313432835820896,0.08059701492537313,0.08656716417910448,0.06417910447761194,0.022388059701492536,0.1208955223880597,0.013432835820895522,0.04776119402985075,0.06417910447761194,0.01791044776119403,0.058208955223880594,0.025373134328358207,0.016417910447761194,0.008955223880597015,0.03880597014925373,0.010447761194029851,0.016417910447761194,0.011940298507462687,0.013432835820895522,0.0,0.010447761194029851,0.0,0.0,0.0,171,3.91812865497076,17.1,104.99701492537312
