Author,wherefore,the,of,shall,to,throughout,their,for,it,is,me,and,ever,in,lord,he,was,unto,when,had,an,with,him,upon,god,that,out,said,make,which,as,man,we,not,what,them,are,your,all,were,they,these,be,thy,thee,thou,have,thereunto,now,therefore,let,my,may,will,his,hast,forth,should,say,did,from,whom,by,thine,do,one,other,there,neither,being,but,whosoever,hath,then,into,among,who,thus,every,according,ye,yet,if,because,hence,lest,no,without,again,also,wherein,those,would,till,much,her,or,whither,where,more,ought,whose,some,outward,such,how,been,than,therein,seemeth,thereof,himself,like,shalt,our,moreover,yea,thyself,many,didst,whence,becometh,whoso,could,doeth,must,became,once,notwithstanding,each,inasmuch,downward,abundance,whereto,seest,therewith,whereof,whatsoever,thence,thereby,shouldest,howsoever,henceforth,whereby,thereon,thereupon,wherewith,oft,oftentimes,cometh,underneath,whereunto,whensoever,wherewithal,hereof,verily,whereon,soever,forthwith,therefrom,wheresoever,upward,w_percentage_use,h_percentage_use,e_percentage_use,r_percentage_use,f_percentage_use,o_percentage_use,t_percentage_use,c_percentage_use,i_percentage_use,l_percentage_use,d_percentage_use,n_percentage_use,s_percentage_use,a_percentage_use,k_percentage_use,p_percentage_use,b_percentage_use,v_percentage_use,u_percentage_use,g_percentage_use,m_percentage_use,x_percentage_use,y_percentage_use,q_percentage_use,j_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,2.0,137.0,67.0,10.0,26.0,2.0,9.0,22.0,27.0,11.0,15.0,132.0,2.0,20.0,23.0,23.0,4.0,43.0,8.0,6.0,4.0,11.0,9.0,9.0,5.0,26.0,19.0,30.0,5.0,18.0,8.0,13.0,3.0,12.0,4.0,23.0,4.0,6.0,8.0,6.0,13.0,3.0,6.0,20.0,24.0,19.0,14.0,1.0,7.0,4.0,5.0,8.0,6.0,19.0,16.0,9.0,1.0,1.0,2.0,4.0,7.0,4.0,5.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02218166502878001,0.08002246244559877,0.12705320791801208,0.04618840376245964,0.02386634844868735,0.0850765127053208,0.10276568861434789,0.017829566194019375,0.056156113996911415,0.03453601010810052,0.04997894145725116,0.07103748420609293,0.05545416257195002,0.08493612242032851,0.005475221114698863,0.021339323318826337,0.012354345079320511,0.008984978239505826,0.02765688614347887,0.018110346764003932,0.029201179278393934,0.0007019514249613927,0.016425663344096588,0.00014039028499227853,0.0005615611399691141,0.00028078056998455706,1825,3.903013698630137,31.43103448275862,1069.99831531658
Joshua,0.0,18.0,15.0,0.0,6.0,0.0,2.0,1.0,1.0,0.0,0.0,17.0,0.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006172839506172839,0.08179012345679013,0.10339506172839506,0.044753086419753084,0.029320987654320986,0.09259259259259259,0.09722222222222222,0.012345679012345678,0.04938271604938271,0.044753086419753084,0.05555555555555555,0.09104938271604938,0.05555555555555555,0.09722222222222222,0.013888888888888888,0.007716049382716049,0.013888888888888888,0.006172839506172839,0.026234567901234566,0.027777777777777776,0.021604938271604937,0.0,0.007716049382716049,0.0,0.009259259259259259,0.0030864197530864196,162,4.0,27.0,94.99845679012346
Samuel,0.0,22.0,12.0,2.0,10.0,0.0,1.0,6.0,2.0,4.0,13.0,30.0,0.0,7.0,6.0,0.0,6.0,10.0,2.0,1.0,0.0,4.0,2.0,0.0,2.0,4.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,2.0,8.0,0.0,3.0,4.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255496137849079,0.08615567439096851,0.12834224598930483,0.05169340463458111,0.023172905525846704,0.0707070707070707,0.10041592394533572,0.012477718360071301,0.0570409982174688,0.04634581105169341,0.050505050505050504,0.061794414735591205,0.0481283422459893,0.08615567439096851,0.0035650623885918,0.0106951871657754,0.0172311348781937,0.0059417706476530005,0.026737967914438502,0.023172905525846704,0.0374331550802139,0.0,0.0213903743315508,0.0,0.0,0.0023767082590612004,430,3.9139534883720932,28.6,249.9970291146762
Unknown,1.0,19.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,4.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03177004538577912,0.09682299546142209,0.1361573373676248,0.03479576399394856,0.0226928895612708,0.06656580937972768,0.11649016641452345,0.018154311649016642,0.05597579425113464,0.03328290468986384,0.046898638426626324,0.07413010590015129,0.0453857791225416,0.08774583963691376,0.006051437216338881,0.012102874432677761,0.01361573373676248,0.009077155824508321,0.02118003025718608,0.019667170953101363,0.02118003025718608,0.0,0.019667170953101363,0.0,0.006051437216338881,0.0015128593040847202,168,3.9345238095238093,27.833333333333332,93.99697428139183
Unknown,0.0,13.0,9.0,8.0,6.0,0.0,2.0,3.0,2.0,1.0,3.0,25.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,4.0,0.0,3.0,0.0,3.0,5.0,2.0,3.0,8.0,0.0,0.0,1.0,0.0,7.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020145044319097503,0.09669621273166801,0.11200644641418211,0.048348106365834004,0.022562449637389202,0.0749395648670427,0.0958904109589041,0.012087026591458501,0.05640612409347301,0.0531829170024174,0.05076551168412571,0.05801772763900081,0.057211925866236905,0.0862207896857373,0.0064464141821112,0.018533440773569703,0.0136986301369863,0.014504431909750202,0.030620467365028204,0.015310233682514102,0.0273972602739726,0.0,0.0257856567284448,0.0,0.0008058017727639,0.0,309,4.016181229773463,38.5,184.9975825946817
Unknown,0.0,23.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,7.0,3.0,3.0,4.0,0.0,1.0,0.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017462165308498253,0.11757857974388825,0.1210710128055879,0.046565774155995346,0.017462165308498253,0.06286379511059371,0.0919674039580908,0.008149010477299184,0.0640279394644936,0.023282887077997673,0.05820721769499418,0.07217694994179279,0.06286379511059371,0.10942956926658906,0.008149010477299184,0.004656577415599534,0.010477299185098952,0.008149010477299184,0.017462165308498253,0.01629802095459837,0.025611175785797437,0.0011641443538998836,0.012805587892898719,0.0,0.008149010477299184,0.004656577415599534,217,3.9585253456221197,30.571428571428573,117.9906868451688
Ezra,0.0,75.0,51.0,0.0,5.0,1.0,2.0,6.0,1.0,0.0,0.0,44.0,0.0,7.0,3.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021295089091699262,0.0903954802259887,0.1290743155149935,0.06736201651455889,0.03867883528900478,0.07735767057800956,0.08909169926119079,0.017818339852238158,0.05780095610604085,0.020425901781833986,0.05258583224684919,0.06953498478922207,0.07083876575402,0.08822251195132551,0.003042155584528466,0.00651890482398957,0.012168622338113864,0.011299435028248588,0.024337244676227728,0.01477618426770969,0.017383746197305518,0.000434593654932638,0.007822685788787484,0.0,0.005649717514124294,0.0047805302042590175,525,4.382857142857143,26.25,271.99869621903514
Nehemiah,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1411042944785276,0.1196319018404908,0.06441717791411043,0.046012269938650305,0.06441717791411043,0.08588957055214724,0.046012269938650305,0.0736196319018405,0.06134969325153374,0.05828220858895705,0.0705521472392638,0.024539877300613498,0.0705521472392638,0.009202453987730062,0.009202453987730062,0.018404907975460124,0.0,0.012269938650306749,0.006134969325153374,0.012269938650306749,0.0,0.003067484662576687,0.0,0.0,0.003067484662576687,69,4.72463768115942,17.25,35.00000000000001
Mordecai,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032679738562091505,0.10457516339869281,0.10457516339869281,0.0457516339869281,0.013071895424836602,0.0784313725490196,0.09803921568627451,0.0196078431372549,0.06535947712418301,0.0196078431372549,0.0392156862745098,0.0718954248366013,0.058823529411764705,0.08496732026143791,0.026143790849673203,0.006535947712418301,0.013071895424836602,0.0,0.0196078431372549,0.0392156862745098,0.013071895424836602,0.0,0.013071895424836602,0.0,0.0,0.0,38,4.026315789473684,36.0,15.967320261437905
Unknown,0.0,7.0,6.0,11.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,7.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021505376344086023,0.0890937019969278,0.1259600614439324,0.053763440860215055,0.02304147465437788,0.06451612903225806,0.07526881720430108,0.02304147465437788,0.07219662058371736,0.059907834101382486,0.041474654377880185,0.07373271889400922,0.07219662058371736,0.08141321044546851,0.007680491551459293,0.01228878648233487,0.029185867895545316,0.007680491551459293,0.013824884792626729,0.015360983102918587,0.021505376344086023,0.0015360983102918587,0.010752688172043012,0.0,0.0015360983102918587,0.0,156,4.173076923076923,15.6,95.99846390168968
