Author,and,he,the,of,was,thereof,one,out,them,other,that,their,with,to,were,it,thereunto,also,an,for,upon,in,which,his,like,throughout,according,all,unto,by,be,into,is,as,lord,him,every,man,from,upward,therewith,they,do,did,those,there,not,should,have,no,but,shall,if,will,thee,let,then,could,said,thou,hast,when,her,who,my,had,these,me,thy,how,whom,such,ye,again,our,may,what,must,lest,thyself,now,therefore,are,thus,god,been,would,moreover,wherefore,thine,because,didst,thence,much,more,wherein,cometh,wheresoever,hath,yet,abundance,ever,say,we,make,neither,than,verily,shalt,therein,doeth,oftentimes,yea,or,your,many,among,whose,whence,without,forth,whatsoever,some,till,ought,where,each,inasmuch,downward,whereto,seest,whereof,once,thereby,shouldest,being,outward,hence,howsoever,becometh,henceforth,whereby,thereon,thereupon,became,wherewith,oft,whither,whosoever,underneath,whereunto,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,forthwith,himself,therefrom,whoso,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,e_percentage_use,m_percentage_use,t_percentage_use,r_percentage_use,c_percentage_use,y_percentage_use,s_percentage_use,o_percentage_use,f_percentage_use,p_percentage_use,u_percentage_use,g_percentage_use,l_percentage_use,w_percentage_use,b_percentage_use,i_percentage_use,v_percentage_use,k_percentage_use,x_percentage_use,q_percentage_use,z_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,147.0,35.0,206.0,134.0,17.0,23.0,9.0,8.0,6.0,3.0,8.0,26.0,12.0,18.0,24.0,26.0,2.0,2.0,7.0,23.0,3.0,14.0,2.0,14.0,2.0,1.0,3.0,13.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08228247162673392,0.07093316519546028,0.05406683480453972,0.0778688524590164,0.135718789407314,0.015290037831021437,0.10009457755359395,0.0617906683480454,0.023486759142496847,0.005832282471626734,0.06147540983606557,0.0780264817150063,0.03988020176544767,0.011191677175283733,0.023486759142496847,0.014344262295081968,0.0362547288776797,0.019703656998738966,0.018757881462799497,0.04886506935687263,0.009457755359394703,0.008984867591424969,0.0006305170239596469,0.00031525851197982345,0.00015762925598991173,0.00015762925598991173,1536,4.130208333333333,26.482758620689655,815.9990542244641
Joshua,11.0,4.0,17.0,8.0,2.0,0.0,0.0,0.0,4.0,1.0,8.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10082872928176796,0.06906077348066299,0.052486187845303865,0.08977900552486189,0.11187845303867404,0.04143646408839779,0.11602209944751381,0.03591160220994475,0.012430939226519336,0.015193370165745856,0.058011049723756904,0.08425414364640885,0.016574585635359115,0.004143646408839779,0.023480662983425413,0.016574585635359115,0.05939226519337017,0.008287292817679558,0.009668508287292817,0.04558011049723757,0.013812154696132596,0.008287292817679558,0.0,0.0,0.0,0.0055248618784530384,175,4.137142857142857,29.166666666666668,94.99861878453038
Samuel,31.0,14.0,36.0,19.0,5.0,0.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,12.0,0.0,16.0,0.0,2.0,0.0,7.0,2.0,7.0,1.0,5.0,0.0,0.0,0.0,5.0,7.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,2.0,1.0,4.0,6.0,8.0,2.0,5.0,1.0,14.0,8.0,1.0,2.0,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08514951849974658,0.08109477952356817,0.0491637100861632,0.08261530663963507,0.12569690826153065,0.03446528129751647,0.10390268626457172,0.04358844399391789,0.012671059300557527,0.01469842878864673,0.05119107957425241,0.07399898631525595,0.025342118601115054,0.00912316269640142,0.024328433857070453,0.012164216928535226,0.04054738976178408,0.021287379624936646,0.01469842878864673,0.07298530157121136,0.0035478966041561076,0.007602635580334516,0.0010136847440446021,0.0,0.002534211860111505,0.0,532,3.7086466165413534,35.0,296.9934110491638
Unknown,15.0,1.0,16.0,11.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713436385255648,0.057074910820451845,0.0535077288941736,0.10107015457788347,0.1272294887039239,0.016646848989298454,0.1117717003567182,0.04042806183115339,0.007134363852556481,0.011890606420927468,0.06302021403091558,0.0713436385255648,0.027348394768133173,0.0047562425683709865,0.03329369797859691,0.014268727705112961,0.039239001189060645,0.023781212841854936,0.013079667063020214,0.08204518430439953,0.0178359096313912,0.005945303210463734,0.0,0.0,0.0,0.0011890606420927466,212,3.9669811320754715,35.0,126.99524375743162
Unknown,21.0,3.0,16.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08564814814814815,0.08680555555555555,0.05092592592592592,0.09375,0.11689814814814815,0.03356481481481482,0.09490740740740741,0.04861111111111111,0.02199074074074074,0.010416666666666666,0.06712962962962964,0.0798611111111111,0.02199074074074074,0.01273148148148148,0.020833333333333332,0.01273148148148148,0.03009259259259259,0.024305555555555556,0.009259259259259259,0.05555555555555555,0.008101851851851851,0.004629629629629629,0.0,0.004629629629629629,0.0,0.0011574074074074073,218,3.963302752293578,27.125,124.9965277777778
Unknown,10.0,2.0,26.0,10.0,4.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08618504435994931,0.06717363751584284,0.03802281368821293,0.10139416983523447,0.14955640050697086,0.017743979721166033,0.10139416983523447,0.045627376425855515,0.021546261089987327,0.021546261089987327,0.059569074778200254,0.060836501901140684,0.016476552598225603,0.01394169835234474,0.017743979721166033,0.016476552598225603,0.032953105196451206,0.016476552598225603,0.016476552598225603,0.062103929024081114,0.008871989860583017,0.0038022813688212928,0.0,0.0025348542458808617,0.0012674271229404308,0.010139416983523447,191,4.130890052356021,26.857142857142858,109.9898605830164
Ezra,56.0,5.0,97.0,87.0,0.0,6.0,1.0,1.0,1.0,0.0,3.0,2.0,6.0,12.0,1.0,2.0,0.0,5.0,1.0,44.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,19.0,2.0,12.0,10.0,0.0,4.0,0.0,11.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0,6.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06652023846877941,0.06495136491998744,0.05177282711013492,0.07279573266394729,0.12550988390335738,0.014433636648886099,0.08534672105428302,0.06369626608095387,0.017885158456228428,0.012864763100094132,0.06432381550047066,0.1010354565422027,0.048635080012550985,0.010982114841543772,0.02008158142453718,0.023533103231879512,0.048635080012550985,0.014747411358644493,0.014433636648886099,0.04926262943206777,0.019767806714778787,0.006903043614684657,0.00031377470975839345,0.0,0.0,0.00031377470975839345,779,4.091142490372272,38.9,472.9987449011611
Nehemiah,2.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05161290322580645,0.08064516129032258,0.06451612903225806,0.11612903225806452,0.13548387096774195,0.016129032258064516,0.08064516129032258,0.06774193548387097,0.041935483870967745,0.0032258064516129032,0.03225806451612903,0.08064516129032258,0.041935483870967745,0.012903225806451613,0.0032258064516129032,0.0032258064516129032,0.06129032258064516,0.0064516129032258064,0.0032258064516129032,0.06774193548387097,0.0064516129032258064,0.0032258064516129032,0.0,0.0,0.0032258064516129032,0.0032258064516129032,64,4.84375,15.5,30.98709677419356
Mordecai,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13533834586466165,0.06015037593984962,0.05263157894736842,0.10526315789473684,0.12781954887218044,0.045112781954887216,0.10526315789473684,0.03759398496240601,0.015037593984962405,0.0,0.06766917293233082,0.03759398496240601,0.015037593984962405,0.015037593984962405,0.015037593984962405,0.03007518796992481,0.015037593984962405,0.015037593984962405,0.007518796992481203,0.06766917293233082,0.015037593984962405,0.007518796992481203,0.0,0.0,0.0,0.0,30,4.433333333333334,30.0,15.992481203007516
Unknown,8.0,1.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07866868381240545,0.06656580937972768,0.046898638426626324,0.08925869894099848,0.1346444780635401,0.037821482602118005,0.10136157337367625,0.06656580937972768,0.012102874432677761,0.03328290468986384,0.057488653555219364,0.0680786686838124,0.024205748865355523,0.012102874432677761,0.02118003025718608,0.01361573373676248,0.0226928895612708,0.030257186081694403,0.01059001512859304,0.049924357034795766,0.006051437216338881,0.01059001512859304,0.0,0.0,0.0015128593040847202,0.0015128593040847202,168,3.9345238095238093,16.8,92.99697428139183
