Author,and,he,the,of,upon,it,as,lord,into,in,without,had,thereon,by,there,to,his,their,when,they,unto,then,was,not,because,from,all,but,if,were,till,that,for,throughout,him,out,say,them,man,an,ye,shall,your,be,let,will,make,is,which,or,with,thereof,thou,thy,shalt,these,no,every,neither,god,thine,did,are,according,one,her,also,therefore,said,thee,than,now,me,been,how,my,have,abundance,hast,himself,what,didst,yet,who,may,wherefore,should,again,moreover,other,like,once,therewith,whose,thyself,whom,such,forth,hath,therein,those,do,we,cometh,ever,more,where,among,many,could,whence,thus,whither,would,shouldest,much,henceforth,yea,lest,being,must,doeth,our,outward,verily,wherein,thereupon,whereof,became,underneath,whereby,whereunto,thereby,ought,notwithstanding,hereof,oftentimes,thence,upward,some,hence,each,inasmuch,downward,wherewith,whoso,whereto,therefrom,forthwith,thereunto,becometh,oft,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,p_percentage_use,r_percentage_use,b_percentage_use,o_percentage_use,t_percentage_use,v_percentage_use,c_percentage_use,l_percentage_use,u_percentage_use,i_percentage_use,g_percentage_use,f_percentage_use,m_percentage_use,k_percentage_use,y_percentage_use,w_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,105.0,34.0,232.0,88.0,27.0,46.0,8.0,35.0,6.0,15.0,4.0,1.0,5.0,18.0,1.0,8.0,24.0,4.0,5.0,5.0,22.0,3.0,5.0,5.0,1.0,3.0,9.0,5.0,11.0,1.0,1.0,11.0,9.0,1.0,4.0,3.0,1.0,4.0,1.0,10.0,4.0,50.0,1.0,20.0,1.0,2.0,1.0,23.0,6.0,4.0,14.0,9.0,9.0,7.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08715101033472158,0.07712478790683326,0.04025913928736696,0.07681628875520592,0.12154866574116921,0.047046120623168285,0.01372821224741632,0.06185407990128027,0.020977942310658644,0.08113527687798859,0.10411846367422489,0.005861483880919328,0.016658954187875982,0.04935986426037328,0.026376677464136973,0.057997840505938605,0.01727595249113065,0.047046120623168285,0.014345210550670985,0.006015733456732994,0.010797470306956656,0.012494215640906987,0.00046274872744099955,0.0,0.0,0.0,1628,3.982186732186732,27.93103448275862,946.9964522597563
Joshua,20.0,0.0,36.0,17.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885478158205431,0.09090909090909091,0.047225501770956316,0.089728453364817,0.12160566706021252,0.0743801652892562,0.0070838252656434475,0.043683589138134596,0.015348288075560802,0.07319952774498228,0.10271546635182999,0.010625737898465172,0.01770956316410862,0.02833530106257379,0.018890200708382526,0.07674144037780402,0.020070838252656435,0.025974025974025976,0.01652892561983471,0.0070838252656434475,0.004722550177095631,0.009445100354191263,0.0059031877213695395,0.0023612750885478157,0.0,0.0,200,4.235,33.333333333333336,112.99881936245568
Samuel,28.0,4.0,20.0,17.0,2.0,1.0,2.0,12.0,0.0,5.0,0.0,5.0,0.0,2.0,2.0,9.0,4.0,0.0,2.0,2.0,6.0,3.0,3.0,6.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,3.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,15.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08786346396965866,0.08091024020227561,0.058786346396965866,0.0922882427307206,0.12010113780025285,0.05120101137800253,0.021491782553729456,0.0606826801517067,0.012642225031605562,0.08723135271807839,0.08849557522123894,0.010113780025284451,0.008849557522123894,0.032237673830594185,0.02970922882427307,0.05436156763590392,0.010113780025284451,0.025284450063211124,0.018331226295828066,0.009481668773704172,0.01580278128950695,0.022756005056890013,0.0,0.0006321112515802782,0.0,0.0,408,3.877450980392157,27.2,223.9993678887484
Unknown,18.0,8.0,10.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,3.0,2.0,3.0,3.0,4.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1018867924528302,0.061635220125786164,0.09182389937106918,0.09937106918238994,0.12075471698113208,0.06415094339622641,0.010062893081761006,0.04150943396226415,0.016352201257861635,0.05157232704402516,0.08427672955974842,0.016352201257861635,0.02012578616352201,0.03647798742138365,0.02012578616352201,0.07924528301886792,0.00880503144654088,0.016352201257861635,0.018867924528301886,0.0012578616352201257,0.006289308176100629,0.031446540880503145,0.0,0.0,0.0012578616352201257,0.0,203,3.916256157635468,33.833333333333336,122.00000000000001
Unknown,17.0,2.0,28.0,27.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07228915662650602,0.08543263964950712,0.05914567360350493,0.07338444687842278,0.13581599123767799,0.06352683461117196,0.012048192771084338,0.050383351588170866,0.01095290251916758,0.09967141292442497,0.08981380065717415,0.014238773274917854,0.013143483023001095,0.03504928806133625,0.013143483023001095,0.04928806133625411,0.025191675794085433,0.03504928806133625,0.01642935377875137,0.013143483023001095,0.012048192771084338,0.01533406352683461,0.0,0.0,0.0,0.0032858707557502738,227,4.022026431718062,28.25,112.99780941949615
Unknown,15.0,2.0,25.0,19.0,0.0,3.0,0.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08198614318706697,0.06466512702078522,0.04849884526558892,0.09353348729792148,0.12124711316397228,0.06351039260969978,0.008083140877598153,0.046189376443418015,0.010392609699769052,0.09468822170900693,0.10392609699769054,0.008083140877598153,0.006928406466512702,0.03695150115473441,0.025404157043879907,0.04387990762124711,0.019630484988452657,0.03464203233256351,0.016166281755196306,0.013856812933025405,0.016166281755196306,0.023094688221709007,0.010392609699769052,0.004618937644341801,0.0,0.0,211,4.104265402843602,30.0,120.99653579676674
Ezra,50.0,5.0,56.0,27.0,1.0,4.0,4.0,6.0,0.0,13.0,0.0,8.0,0.0,1.0,2.0,11.0,7.0,1.0,0.0,3.0,8.0,2.0,7.0,1.0,1.0,3.0,6.0,2.0,0.0,0.0,0.0,10.0,14.0,0.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,4.0,1.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,3.0,3.0,1.0,0.0,3.0,4.0,1.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872613946240748,0.07479548110634983,0.05765485001947799,0.0802493182703545,0.12310089598753408,0.05414881184261784,0.012076353720296066,0.05531749123490456,0.012465913517724971,0.0876509544215037,0.09271523178807947,0.01090767432800935,0.01675107128944293,0.03467082197117258,0.02415270744059213,0.05570705103233346,0.026100506427736658,0.026490066225165563,0.025710946630307752,0.01090767432800935,0.009738994935722634,0.014413712504869497,0.0038955979742890533,0.00038955979742890534,0.0,0.0007791195948578107,615,4.173983739837398,30.7,344.9980522010129
Nehemiah,11.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06467661691542288,0.08706467661691543,0.07213930348258707,0.09203980099502487,0.12437810945273632,0.06218905472636816,0.004975124378109453,0.07213930348258707,0.0024875621890547263,0.06218905472636816,0.11442786069651742,0.017412935323383085,0.004975124378109453,0.014925373134328358,0.03233830845771144,0.05970149253731343,0.01990049751243781,0.017412935323383085,0.029850746268656716,0.0,0.01990049751243781,0.022388059701492536,0.0,0.0,0.0,0.0024875621890547263,83,4.843373493975903,20.75,36.999999999999986
Mordecai,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0594059405940594,0.09900990099009901,0.0297029702970297,0.07920792079207921,0.1188118811881188,0.06930693069306931,0.0,0.04950495049504951,0.0,0.039603960396039604,0.10891089108910891,0.009900990099009901,0.0297029702970297,0.0,0.019801980198019802,0.06930693069306931,0.04950495049504951,0.0,0.039603960396039604,0.0297029702970297,0.009900990099009901,0.0297029702970297,0.0,0.0,0.0,0.0,22,4.590909090909091,19.0,10.940594059405932
Unknown,6.0,16.0,11.0,9.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07440100882723834,0.058007566204287514,0.029003783102143757,0.11097099621689786,0.11727616645649433,0.08701134930643127,0.013871374527112233,0.03656998738965952,0.018915510718789406,0.07440100882723834,0.07692307692307693,0.007566204287515763,0.021437578814627996,0.07692307692307693,0.027742749054224466,0.06809583858764187,0.01008827238335435,0.02648171500630517,0.015132408575031526,0.007566204287515763,0.015132408575031526,0.0201765447667087,0.0012610340479192938,0.0,0.0012610340479192938,0.0,196,4.045918367346939,19.5,128.99621689785624
