Author,and,if,his,for,of,unto,the,lord,be,or,he,shall,it,without,then,upon,thereof,an,by,that,all,is,them,which,with,your,throughout,ye,neither,ought,not,to,do,according,let,him,hath,in,some,from,as,was,forth,where,are,out,they,have,should,when,their,did,make,god,wherein,one,doeth,also,man,whatsoever,these,other,who,but,no,thereon,said,thine,thy,her,more,wherefore,had,because,will,may,there,ever,what,seemeth,thee,thou,my,me,therefore,like,our,now,lest,whereof,abundance,every,whom,many,therefrom,into,didst,therein,moreover,we,much,shalt,were,wherewith,would,cometh,yea,hast,among,say,thus,till,yet,hence,been,again,whither,thyself,being,could,whence,whose,henceforth,himself,seest,how,shouldest,each,inasmuch,downward,whereto,therewith,thence,once,thereby,outward,howsoever,becometh,whereby,must,thereupon,thereunto,became,oft,oftentimes,such,whosoever,underneath,whereunto,those,whensoever,wherewithal,hereof,notwithstanding,verily,whereon,soever,forthwith,than,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,f_percentage_use,h_percentage_use,s_percentage_use,o_percentage_use,e_percentage_use,r_percentage_use,g_percentage_use,c_percentage_use,p_percentage_use,u_percentage_use,t_percentage_use,l_percentage_use,b_percentage_use,k_percentage_use,m_percentage_use,w_percentage_use,y_percentage_use,v_percentage_use,q_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,114.0,18.0,45.0,31.0,102.0,14.0,253.0,26.0,31.0,13.0,64.0,87.0,49.0,7.0,10.0,29.0,9.0,11.0,9.0,22.0,15.0,30.0,10.0,19.0,14.0,2.0,1.0,1.0,2.0,2.0,8.0,13.0,7.0,3.0,1.0,16.0,11.0,10.0,3.0,11.0,7.0,1.0,2.0,4.0,3.0,7.0,4.0,2.0,2.0,5.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082882186130446,0.07824181490074762,0.03531838102603764,0.06548079401907708,0.048981696313482856,0.09138953338489302,0.050270688321732405,0.08107759731889662,0.11162670791441093,0.05297757153905646,0.02217066254189224,0.019979376127868008,0.013147718484145398,0.02242846094354215,0.09396751740139211,0.05555555555555555,0.02217066254189224,0.009925238463521526,0.014565609693219902,0.013018819283320443,0.008378448053622067,0.0041247744263985565,0.0001288992008249549,0.0,0.0,0.0,1945,3.988688946015424,33.44827586206897,1189.9978087135855
Joshua,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0.125,0.018518518518518517,0.06944444444444445,0.05555555555555555,0.08796296296296297,0.009259259259259259,0.125,0.1527777777777778,0.037037037037037035,0.06944444444444445,0.004629629629629629,0.0,0.013888888888888888,0.06018518518518518,0.027777777777777776,0.013888888888888888,0.05555555555555555,0.018518518518518517,0.0,0.0,0.0,0.0,0.009259259259259259,0.004629629629629629,0.0,60,3.6,10.0,36.999999999999986
Samuel,31.0,0.0,5.0,5.0,8.0,5.0,29.0,18.0,2.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,0.0,2.0,10.0,1.0,6.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,3.0,8.0,2.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08514605344934742,0.07582349285270354,0.062150403977625855,0.05966438781852082,0.014916096954630205,0.0944686140459913,0.045369794903666875,0.07706650093225606,0.13113735239279056,0.058421379738968306,0.014916096954630205,0.01740211311373524,0.011187072715972654,0.0254816656308266,0.07706650093225606,0.0435052827843381,0.01678060907395898,0.009322560596643879,0.027967681789931635,0.02175264139216905,0.019266625233064015,0.0074580484773151025,0.0,0.001243008079552517,0.0,0.001243008079552517,411,3.9148418491484187,27.4,236.9987569919204
Unknown,17.0,0.0,2.0,0.0,8.0,0.0,15.0,1.0,1.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1152542372881356,0.07288135593220339,0.061016949152542375,0.05423728813559322,0.030508474576271188,0.07966101694915254,0.03898305084745763,0.0711864406779661,0.12033898305084746,0.0423728813559322,0.0288135593220339,0.022033898305084745,0.015254237288135594,0.011864406779661017,0.11186440677966102,0.025423728813559324,0.022033898305084745,0.011864406779661017,0.013559322033898305,0.015254237288135594,0.013559322033898305,0.00847457627118644,0.0,0.005084745762711864,0.0,0.0,146,4.041095890410959,24.0,74.9915254237288
Unknown,25.0,0.0,3.0,8.0,10.0,0.0,15.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08884073672806067,0.08017334777898158,0.059588299024918745,0.05417118093174431,0.02275189599133261,0.07150595882990249,0.07258938244853738,0.08342361863488625,0.11917659804983749,0.06392199349945829,0.023835319609967497,0.01733477789815818,0.00866738894907909,0.02275189599133261,0.08125677139761647,0.028169014084507043,0.011917659804983749,0.009750812567713976,0.032502708559046585,0.011917659804983749,0.016251354279523293,0.010834236186348862,0.0,0.0021668472372697724,0.0010834236186348862,0.0021668472372697724,215,4.293023255813954,26.75,106.99674972914413
Unknown,18.0,0.0,5.0,2.0,20.0,1.0,24.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10135135135135136,0.07545045045045046,0.06306306306306306,0.06981981981981981,0.030405405405405407,0.0945945945945946,0.06756756756756757,0.07882882882882883,0.125,0.05405405405405406,0.01463963963963964,0.010135135135135136,0.006756756756756757,0.01126126126126126,0.07545045045045046,0.030405405405405407,0.010135135135135136,0.00563063063063063,0.019144144144144143,0.01463963963963964,0.01126126126126126,0.010135135135135136,0.0,0.010135135135135136,0.009009009009009009,0.0,214,4.149532710280374,30.571428571428573,117.99887387387386
Ezra,57.0,0.0,7.0,9.0,29.0,2.0,47.0,9.0,6.0,0.0,4.0,3.0,3.0,0.0,3.0,0.0,0.0,8.0,2.0,9.0,2.0,4.0,4.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,0.0,1.0,10.0,4.0,29.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,7.0,5.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808251606357795,0.0950287453500169,0.06188704768346297,0.06053432532972607,0.023334460601961447,0.07304700710179236,0.05546161650321271,0.07642881298613459,0.1176868447751099,0.056814338856949614,0.016232668244842745,0.015218126479540075,0.0074399729455529254,0.03652350355089618,0.08725059181602976,0.03314169766655394,0.022658099425093,0.00439634764964491,0.026716266486303687,0.02096719648292188,0.011159959418329387,0.012850862360500507,0.0,0.002029083530605343,0.0,0.0010145417653026716,720,4.106944444444444,35.9,386.9986472776463
Nehemiah,11.0,0.0,0.0,0.0,11.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.07017543859649122,0.07236842105263158,0.03289473684210526,0.043859649122807015,0.07456140350877193,0.07894736842105263,0.07894736842105263,0.1162280701754386,0.06359649122807018,0.019736842105263157,0.010964912280701754,0.013157894736842105,0.03508771929824561,0.1074561403508772,0.015350877192982455,0.0021929824561403508,0.0043859649122807015,0.017543859649122806,0.021929824561403508,0.013157894736842105,0.021929824561403508,0.0,0.0,0.0,0.0021929824561403508,101,4.514851485148514,25.25,42.99999999999999
Mordecai,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10666666666666667,0.06,0.06,0.02666666666666667,0.006666666666666667,0.10666666666666667,0.04666666666666667,0.07333333333333333,0.13333333333333333,0.03333333333333333,0.0,0.013333333333333334,0.013333333333333334,0.02,0.13333333333333333,0.02666666666666667,0.0,0.013333333333333334,0.04666666666666667,0.04,0.02,0.0,0.0,0.006666666666666667,0.0,0.0,39,3.8461538461538463,38.0,23.98666666666666
Unknown,9.0,1.0,7.0,1.0,6.0,1.0,10.0,0.0,3.0,0.0,1.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08814589665653495,0.05927051671732523,0.03951367781155015,0.08054711246200608,0.025835866261398176,0.08206686930091185,0.0729483282674772,0.07446808510638298,0.10030395136778116,0.05015197568389058,0.016717325227963525,0.0182370820668693,0.019756838905775075,0.02127659574468085,0.08358662613981763,0.060790273556231005,0.016717325227963525,0.00911854103343465,0.031914893617021274,0.019756838905775075,0.019756838905775075,0.004559270516717325,0.001519756838905775,0.001519756838905775,0.0,0.0,167,3.940119760479042,16.7,100.99848024316111
