Author,god,shall,and,he,in,the,of,be,his,all,were,now,these,are,unto,them,by,their,every,one,to,was,lord,wherefore,it,is,said,as,out,that,forth,whom,from,thou,also,him,for,they,there,let,make,had,whose,may,lest,we,upon,which,have,do,will,not,thence,therefore,because,did,an,hath,your,how,when,ye,what,other,our,neither,more,man,me,my,such,thereof,would,among,into,who,again,but,thine,thee,hast,been,thy,whither,with,say,then,than,no,where,some,or,till,without,moreover,if,according,therein,should,ever,thyself,himself,her,shalt,cometh,yea,therewith,each,wherein,whereby,yet,those,thus,seest,like,many,thereupon,notwithstanding,being,throughout,forthwith,whence,whereof,ought,didst,inasmuch,downward,abundance,whereto,whatsoever,once,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,thereon,must,thereunto,doeth,became,wherewith,oft,oftentimes,whosoever,underneath,whereunto,much,wherewithal,whensoever,seemeth,hereof,verily,whereon,soever,could,therefrom,wheresoever,whoso,upward,g_percentage_use,o_percentage_use,d_percentage_use,s_percentage_use,h_percentage_use,a_percentage_use,l_percentage_use,e_percentage_use,n_percentage_use,r_percentage_use,j_percentage_use,p_percentage_use,t_percentage_use,w_percentage_use,i_percentage_use,f_percentage_use,m_percentage_use,c_percentage_use,b_percentage_use,v_percentage_use,u_percentage_use,y_percentage_use,k_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,1.0,3.0,155.0,11.0,12.0,76.0,39.0,4.0,6.0,7.0,8.0,2.0,8.0,5.0,8.0,5.0,2.0,15.0,1.0,9.0,12.0,9.0,7.0,1.0,3.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,6.0,3.0,1.0,1.0,3.0,12.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021940516821062895,0.056557776694295465,0.07337883959044368,0.05265724037055095,0.0787420770355924,0.12530472940029255,0.03169185763042418,0.12847391516333495,0.08508044856167724,0.05923939541686982,0.0031691857630424185,0.008532423208191127,0.08434909800097513,0.010726474890297415,0.04558751828376402,0.025109702584105314,0.02242808386153096,0.012676743052169674,0.020477815699658702,0.00901999024865919,0.021940516821062895,0.01340809361287177,0.0029254022428083864,0.0021940516821062897,0.0014627011214041932,0.0,974,4.211498973305955,16.75862068965517,489.99707459775726
Joshua,2.0,0.0,11.0,1.0,3.0,18.0,6.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,4.0,2.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014341590612777053,0.08604954367666232,0.05867014341590613,0.04954367666232073,0.08083441981747067,0.08344198174706649,0.020860495436766623,0.1408083441981747,0.07431551499348109,0.061277705345501955,0.002607561929595828,0.010430247718383311,0.09517601043024772,0.02607561929595828,0.04041720990873533,0.02346805736636245,0.020860495436766623,0.009126466753585397,0.009126466753585397,0.007822685788787484,0.04302477183833116,0.03129074315514994,0.00651890482398957,0.0,0.0,0.0,203,3.7783251231527095,33.666666666666664,118.99608865710562
Samuel,1.0,0.0,35.0,5.0,5.0,49.0,32.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,3.0,7.0,0.0,0.0,7.0,1.0,13.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023635340461451885,0.06696679797411367,0.06640405177265053,0.05177265053460889,0.08891389983117615,0.0855374226223973,0.04051772650534609,0.13168261114237478,0.07765897580191333,0.06021384355655599,0.0016882386043894203,0.007878446820483961,0.08947664603263927,0.011254924029262802,0.07090602138435566,0.023072594259988744,0.025886325267304444,0.016882386043894203,0.010692177827799663,0.011254924029262802,0.017445132245357344,0.008441193021947102,0.007315700619020821,0.0022509848058525606,0.0,0.0,404,4.398514851485149,26.866666666666667,215.99774901519416
Unknown,0.0,2.0,9.0,1.0,3.0,12.0,7.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01692047377326565,0.0676818950930626,0.05583756345177665,0.05752961082910321,0.08798646362098139,0.09306260575296109,0.04060913705583756,0.10998307952622674,0.06937394247038917,0.038917089678511,0.00676818950930626,0.018612521150592216,0.09306260575296109,0.028764805414551606,0.0829103214890017,0.021996615905245348,0.025380710659898477,0.008460236886632826,0.01353637901861252,0.015228426395939087,0.023688663282571912,0.015228426395939087,0.0,0.001692047377326565,0.0,0.001692047377326565,148,3.9932432432432434,24.5,78.99492385786803
Unknown,3.0,2.0,25.0,3.0,1.0,25.0,8.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019791666666666666,0.096875,0.06145833333333333,0.042708333333333334,0.078125,0.0875,0.036458333333333336,0.11770833333333333,0.08645833333333333,0.04479166666666667,0.005208333333333333,0.028125,0.090625,0.014583333333333334,0.058333333333333334,0.011458333333333333,0.03229166666666667,0.008333333333333333,0.011458333333333333,0.010416666666666666,0.019791666666666666,0.015625,0.016666666666666666,0.003125,0.0,0.0,243,3.950617283950617,30.25,134.99791666666667
Unknown,1.0,1.0,28.0,9.0,1.0,14.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,11.0,0.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005888125613346418,0.07065750736015702,0.05789990186457311,0.0549558390578999,0.0971540726202159,0.08832188420019627,0.03532875368007851,0.13542688910696762,0.06967615309126594,0.04906771344455348,0.0068694798822374874,0.015701668302257114,0.10304219823356231,0.02453385672227674,0.0549558390578999,0.02649656526005888,0.03434739941118744,0.010794896957801767,0.010794896957801767,0.0068694798822374874,0.012757605495583905,0.019627085377821395,0.007850834151128557,0.0,0.0,0.0,259,3.9343629343629343,37.0,150.99901864573113
Ezra,0.0,0.0,48.0,0.0,0.0,23.0,23.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01760268231349539,0.053646269907795474,0.0586756077116513,0.06538139145012574,0.09555741827326068,0.16680637049455155,0.022632020117351215,0.11316010058675607,0.08549874266554904,0.041911148365465216,0.014249790444258172,0.010058675607711651,0.06119027661357921,0.014249790444258172,0.04107292539815591,0.025984911986588432,0.03520536462699078,0.006705783738474434,0.03352891869237217,0.002514668901927913,0.012573344509639563,0.0008382229673093043,0.00586756077116513,0.013411567476948869,0.0,0.0,274,4.354014598540146,13.65,123.99832355406535
Nehemiah,1.0,2.0,9.0,1.0,0.0,22.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032679738562091505,0.07679738562091504,0.03758169934640523,0.0392156862745098,0.07679738562091504,0.07026143790849673,0.029411764705882353,0.1454248366013072,0.07516339869281045,0.049019607843137254,0.0032679738562091504,0.014705882352941176,0.11437908496732026,0.011437908496732025,0.06209150326797386,0.017973856209150325,0.03758169934640523,0.014705882352941176,0.011437908496732025,0.016339869281045753,0.017973856209150325,0.0196078431372549,0.016339869281045753,0.0,0.0,0.0016339869281045752,164,3.731707317073171,40.5,97.9918300653595
Mordecai,0.0,0.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024844720496894408,0.043478260869565216,0.043478260869565216,0.055900621118012424,0.07453416149068323,0.10559006211180125,0.043478260869565216,0.16770186335403728,0.08074534161490683,0.043478260869565216,0.0,0.037267080745341616,0.09937888198757763,0.018633540372670808,0.031055900621118012,0.018633540372670808,0.012422360248447204,0.018633540372670808,0.006211180124223602,0.006211180124223602,0.024844720496894408,0.012422360248447204,0.012422360248447204,0.0,0.006211180124223602,0.0,40,4.025,39.0,20.987577639751564
Unknown,0.0,0.0,2.0,0.0,0.0,16.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01422475106685633,0.08392603129445235,0.03698435277382646,0.05689900426742532,0.08534850640113797,0.04694167852062589,0.04836415362731152,0.1337126600284495,0.05405405405405406,0.05263157894736842,0.002844950213371266,0.011379800853485065,0.11948790896159317,0.02418207681365576,0.06970128022759602,0.02275960170697013,0.02275960170697013,0.017069701280227598,0.01849217638691323,0.011379800853485065,0.031294452347083924,0.01991465149359886,0.008534850640113799,0.001422475106685633,0.0,0.001422475106685633,184,3.8206521739130435,18.3,101.99573257467992
