Author,then,shall,he,it,to,the,and,his,of,thereof,according,by,unto,lord,is,make,an,for,him,as,that,hath,in,one,these,be,if,without,out,with,thy,which,are,not,yet,wherein,was,or,have,all,man,doeth,therein,because,more,whom,upon,them,other,forth,every,thereon,ever,they,their,my,among,your,when,thou,shalt,where,there,but,no,whereof,into,therewith,himself,much,also,neither,from,were,many,will,did,now,said,thee,let,would,me,wherefore,being,moreover,her,thus,had,whose,do,thyself,cometh,say,may,ye,god,who,like,wherewith,each,such,some,could,those,yea,therefore,we,our,should,than,whoso,thine,again,verily,what,how,throughout,whither,once,thereupon,outward,shouldest,henceforth,became,underneath,till,lest,whereby,whereunto,abundance,thereby,whence,ought,hast,notwithstanding,hereof,oftentimes,thence,been,upward,didst,hence,must,inasmuch,downward,whereto,therefrom,forthwith,thereunto,becometh,oft,t_percentage_use,h_percentage_use,e_percentage_use,n_percentage_use,s_percentage_use,a_percentage_use,l_percentage_use,b_percentage_use,r_percentage_use,i_percentage_use,g_percentage_use,o_percentage_use,p_percentage_use,d_percentage_use,k_percentage_use,f_percentage_use,u_percentage_use,v_percentage_use,m_percentage_use,c_percentage_use,y_percentage_use,w_percentage_use,q_percentage_use,z_percentage_use,x_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,4.0,87.0,36.0,74.0,9.0,192.0,88.0,29.0,71.0,11.0,1.0,8.0,26.0,24.0,36.0,5.0,8.0,26.0,13.0,8.0,32.0,10.0,34.0,5.0,3.0,43.0,7.0,4.0,6.0,17.0,3.0,14.0,1.0,8.0,1.0,2.0,4.0,9.0,5.0,13.0,2.0,1.0,2.0,2.0,1.0,1.0,11.0,6.0,1.0,1.0,5.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10228555304740407,0.08845936794582393,0.12119074492099323,0.07533860045146727,0.060806997742663654,0.08408577878103837,0.054034988713318285,0.017071106094808126,0.05502257336343115,0.07308126410835214,0.01904627539503386,0.06814334085778781,0.015378103837471783,0.02849887133182844,0.007195259593679458,0.046275395033860044,0.019469525959367944,0.007618510158013544,0.01664785553047404,0.015237020316027089,0.011427765237020316,0.011286681715575621,0.0002821670428893905,0.0,0.0,0.0,1736,4.082949308755761,29.862068965517242,1050.9978837471783
Joshua,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06578947368421052,0.10964912280701754,0.14035087719298245,0.12719298245614036,0.013157894736842105,0.06140350877192982,0.008771929824561403,0.0043859649122807015,0.021929824561403508,0.06140350877192982,0.05701754385964912,0.13157894736842105,0.021929824561403508,0.017543859649122806,0.06578947368421052,0.05263157894736842,0.0043859649122807015,0.0,0.021929824561403508,0.008771929824561403,0.0,0.0,0.0,0.0043859649122807015,0.0,0.0,60,3.8,10.0,37.00000000000001
Samuel,2.0,6.0,10.0,4.0,12.0,46.0,21.0,6.0,14.0,0.0,0.0,2.0,4.0,10.0,1.0,1.0,0.0,7.0,4.0,2.0,8.0,3.0,4.0,0.0,0.0,2.0,2.0,0.0,3.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10851808634772463,0.0985997666277713,0.13768961493582263,0.061260210035005834,0.050758459743290546,0.07176196032672112,0.048424737456242706,0.01633605600933489,0.06359393232205368,0.056592765460910154,0.014585764294049008,0.06942823803967328,0.01575262543757293,0.040840140023337225,0.011085180863477246,0.03150525087514586,0.022170361726954493,0.009334889148191364,0.022753792298716453,0.014002333722287048,0.012252042007001166,0.01691948658109685,0.0,0.0,0.0011668611435239206,0.0005834305717619603,426,4.023474178403756,28.2,246.99591598599767
Unknown,0.0,0.0,4.0,4.0,5.0,10.0,20.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09313154831199069,0.07566938300349244,0.10128055878928988,0.08032596041909197,0.059371362048894066,0.11525029103608847,0.02677532013969732,0.015133876600698487,0.05355064027939464,0.0570430733410943,0.010477299185098952,0.07217694994179279,0.009313154831199068,0.0640279394644936,0.006984866123399301,0.020954598370197905,0.023282887077997673,0.011641443538998836,0.04540162980209546,0.009313154831199068,0.017462165308498253,0.01629802095459837,0.0,0.0,0.002328288707799767,0.004656577415599534,229,3.7510917030567685,37.666666666666664,119.9918509895227
Unknown,1.0,2.0,2.0,1.0,2.0,18.0,11.0,10.0,10.0,0.0,0.0,0.0,5.0,6.0,1.0,0.0,1.0,6.0,1.0,2.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08296943231441048,0.08406113537117904,0.10698689956331878,0.07423580786026202,0.06441048034934498,0.07969432314410481,0.0425764192139738,0.009825327510917031,0.05895196506550218,0.07314410480349345,0.013100436681222707,0.08951965065502183,0.006550218340611353,0.05786026200873363,0.001091703056768559,0.03056768558951965,0.021834061135371178,0.010917030567685589,0.026200873362445413,0.025109170305676855,0.012008733624454149,0.025109170305676855,0.0,0.001091703056768559,0.0,0.001091703056768559,212,4.320754716981132,26.5,123.99890829694324
Unknown,0.0,0.0,7.0,0.0,2.0,22.0,15.0,5.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09265536723163842,0.10056497175141244,0.1288135593220339,0.0711864406779661,0.061016949152542375,0.09265536723163842,0.02598870056497175,0.012429378531073447,0.0519774011299435,0.0711864406779661,0.01807909604519774,0.07570621468926554,0.005649717514124294,0.0519774011299435,0.011299435028248588,0.0327683615819209,0.011299435028248588,0.006779661016949152,0.021468926553672316,0.00903954802259887,0.012429378531073447,0.013559322033898305,0.0,0.005649717514124294,0.0011299435028248588,0.013559322033898305,215,4.116279069767442,30.714285714285715,126.99887005649714
Ezra,0.0,0.0,16.0,11.0,10.0,77.0,56.0,0.0,33.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,4.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,6.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10678442392613409,0.09112806101967082,0.12926535527900443,0.06864712966680048,0.053392211963067045,0.07667603372139703,0.030108390204737052,0.020473705339221198,0.05098354074668808,0.060216780409474105,0.019670814933761542,0.07306302689682859,0.012444801284624649,0.05178643115214773,0.004014452027298274,0.029706945002007226,0.028101164191087918,0.009634684865515858,0.018867924528301886,0.02408671216378964,0.006824568446407065,0.030509835407466882,0.0,0.0004014452027298274,0.0016057808109193096,0.0008028904054596548,604,4.124172185430464,30.2,310.9991971095946
Nehemiah,0.0,0.0,1.0,0.0,2.0,29.0,16.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12130177514792899,0.08284023668639054,0.16420118343195267,0.07544378698224852,0.04881656804733728,0.07988165680473373,0.03698224852071006,0.016272189349112426,0.05917159763313609,0.04585798816568047,0.016272189349112426,0.0695266272189349,0.016272189349112426,0.04881656804733728,0.004437869822485207,0.022189349112426034,0.013313609467455622,0.0073964497041420114,0.02514792899408284,0.014792899408284023,0.004437869822485207,0.022189349112426034,0.0,0.0029585798816568047,0.0,0.0,158,4.2784810126582276,39.5,91.99852071005917
Mordecai,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06578947368421052,0.09210526315789473,0.10526315789473684,0.10526315789473684,0.02631578947368421,0.13157894736842105,0.02631578947368421,0.013157894736842105,0.06578947368421052,0.039473684210526314,0.0,0.06578947368421052,0.0,0.06578947368421052,0.0,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.05263157894736842,0.02631578947368421,0.0,0.06578947368421052,0.0,0.0,0.0,0.0,18,4.222222222222222,18.0,10.000000000000004
Unknown,0.0,0.0,0.0,0.0,1.0,7.0,10.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09152542372881356,0.08135593220338982,0.15084745762711865,0.06610169491525424,0.04067796610169491,0.06949152542372881,0.03389830508474576,0.013559322033898305,0.07288135593220339,0.061016949152542375,0.01864406779661017,0.0711864406779661,0.011864406779661017,0.05593220338983051,0.011864406779661017,0.03220338983050847,0.01694915254237288,0.006779661016949152,0.0288135593220339,0.01694915254237288,0.025423728813559324,0.01864406779661017,0.0,0.0,0.0,0.001694915254237288,141,4.184397163120567,14.1,74.99830508474578
