Author,and,they,that,which,the,of,all,lord,said,is,ye,should,do,shall,unto,thy,make,an,for,thyself,them,as,therefore,was,himself,him,he,his,in,it,upon,out,but,with,without,thereof,did,according,to,also,from,into,there,when,their,therein,thereon,not,then,will,be,me,your,had,neither,lest,let,hath,thou,thee,ever,throughout,may,by,were,because,are,thine,wherefore,have,god,such,if,been,these,among,whatsoever,or,yet,no,every,now,whom,my,one,say,those,could,where,again,didst,shalt,other,ought,whither,would,her,being,than,wherewith,what,hast,became,man,forth,who,notwithstanding,our,how,like,moreover,whoso,seemeth,many,yea,thus,more,cometh,thence,we,some,shouldest,abundance,oftentimes,much,whereof,once,each,inasmuch,downward,whereto,seest,therewith,wherein,thereby,outward,hence,howsoever,becometh,henceforth,whereby,till,must,thereupon,doeth,thereunto,oft,whosoever,underneath,whereunto,whence,whensoever,wherewithal,whose,hereof,verily,whereon,soever,forthwith,therefrom,wheresoever,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,y_percentage_use,b_percentage_use,r_percentage_use,o_percentage_use,u_percentage_use,g_percentage_use,w_percentage_use,i_percentage_use,c_percentage_use,m_percentage_use,s_percentage_use,f_percentage_use,l_percentage_use,p_percentage_use,k_percentage_use,v_percentage_use,z_percentage_use,q_percentage_use,j_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,143.0,16.0,18.0,17.0,196.0,51.0,10.0,24.0,7.0,12.0,22.0,3.0,2.0,21.0,29.0,10.0,3.0,7.0,17.0,1.0,16.0,8.0,1.0,7.0,1.0,4.0,25.0,9.0,20.0,19.0,12.0,8.0,6.0,7.0,2.0,2.0,2.0,2.0,9.0,1.0,5.0,2.0,2.0,3.0,8.0,1.0,1.0,16.0,1.0,2.0,10.0,2.0,5.0,2.0,1.0,4.0,1.0,6.0,2.0,3.0,2.0,1.0,2.0,5.0,2.0,4.0,7.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09111580315088517,0.08137079746629852,0.05116127984407991,0.0995614747441936,0.08429429917167451,0.1326944940717882,0.016404092902387528,0.01737859347084619,0.05213578041253857,0.0786097125223323,0.026798765632613287,0.015754425856748418,0.015104758811109306,0.04921227870716258,0.02192626279031996,0.018190677277895077,0.04677602728601592,0.03443235341887283,0.03865518921552704,0.012506090628552867,0.004710086080883547,0.007796004547669319,0.0009745005684586649,0.00016241676140977748,0.0,0.0,1502,4.099201065246338,25.844827586206897,898.9977261653402
Joshua,8.0,0.0,3.0,1.0,27.0,10.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08906882591093117,0.08771929824561403,0.04723346828609987,0.1039136302294197,0.08097165991902834,0.12685560053981107,0.006747638326585695,0.021592442645074223,0.059379217273954114,0.07422402159244265,0.020242914979757085,0.009446693657219974,0.009446693657219974,0.07692307692307693,0.01349527665317139,0.032388663967611336,0.04723346828609987,0.02699055330634278,0.03913630229419703,0.005398110661268556,0.002699055330634278,0.016194331983805668,0.0,0.0,0.001349527665317139,0.0,166,4.463855421686747,27.666666666666668,95.9986504723347
Samuel,37.0,0.0,13.0,4.0,22.0,10.0,1.0,12.0,6.0,2.0,0.0,0.0,2.0,7.0,4.0,2.0,1.0,1.0,10.0,0.0,1.0,1.0,1.0,6.0,0.0,4.0,11.0,6.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,5.0,1.0,6.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10340705319784818,0.06873879258816497,0.06634787806335923,0.0794979079497908,0.07172743574417215,0.12910938433950986,0.011356843992827256,0.00657501494321578,0.04602510460251046,0.06634787806335923,0.02211595935445308,0.009563658099222952,0.024506873879258817,0.07232516437537358,0.021518230723251645,0.029288702928870293,0.05738194859533772,0.017931858936043037,0.06754333532576211,0.012552301255230125,0.004781829049611476,0.008368200836820083,0.0,0.0005977286312014345,0.0005977286312014345,0.0005977286312014345,447,3.742729306487696,29.8,255.9988045427376
Unknown,8.0,0.0,3.0,0.0,6.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,6.0,1.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07280832095096583,0.0787518573551263,0.04606240713224369,0.10104011887072809,0.10549777117384844,0.13818722139673106,0.01188707280832095,0.01337295690936107,0.0638930163447251,0.0861812778603269,0.029717682020802376,0.01634472511144131,0.02526002971768202,0.05646359583952452,0.01188707280832095,0.02526002971768202,0.04903417533432392,0.017830609212481426,0.031203566121842496,0.004457652303120356,0.005943536404160475,0.007429420505200594,0.0,0.0,0.0,0.0014858841010401188,173,3.8901734104046244,28.833333333333332,116.00000000000003
Unknown,21.0,4.0,6.0,2.0,11.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,8.0,5.0,4.0,6.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11937377690802348,0.07534246575342465,0.0675146771037182,0.08610567514677103,0.09686888454011741,0.10763209393346379,0.014677103718199608,0.012720156555772993,0.043052837573385516,0.07632093933463796,0.021526418786692758,0.02054794520547945,0.023483365949119372,0.057729941291585124,0.0136986301369863,0.0273972602739726,0.050880626223091974,0.02054794520547945,0.01761252446183953,0.021526418786692758,0.004892367906066536,0.010763209393346379,0.003913894324853229,0.0009784735812133072,0.0009784735812133072,0.0,247,4.137651821862348,30.625,130.9960861056753
Unknown,16.0,4.0,1.0,1.0,19.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,0.0,2.0,3.0,6.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11552346570397112,0.07340553549939831,0.06498194945848375,0.07460890493381468,0.0950661853188929,0.12154031287605295,0.015643802647412757,0.018050541516245487,0.03369434416365824,0.07942238267148015,0.01684717208182912,0.012033694344163659,0.010830324909747292,0.06016847172081829,0.02286401925391095,0.02286401925391095,0.06498194945848375,0.02888086642599278,0.02045728038507822,0.010830324909747292,0.007220216606498195,0.006016847172081829,0.009626955475330927,0.0,0.012033694344163659,0.0,208,3.9951923076923075,29.714285714285715,114.99759326113119
Ezra,32.0,5.0,13.0,5.0,75.0,37.0,6.0,13.0,4.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,5.0,15.0,0.0,2.0,4.0,1.0,5.0,0.0,1.0,6.0,6.0,12.0,6.0,0.0,5.0,5.0,8.0,1.0,1.0,2.0,0.0,13.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,0.0,5.0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,1.0,2.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07555049354593774,0.061883067577828396,0.04745634016704632,0.10364464692482915,0.08807896735003796,0.13097949886104784,0.01442672741078208,0.017084282460136675,0.05922551252847381,0.07820804859529233,0.02733485193621868,0.014806378132118452,0.018223234624145785,0.05770690964312832,0.019741837509491267,0.022779043280182234,0.05884586180713743,0.02809415337889142,0.04062262718299165,0.015565679574791193,0.006454062262718299,0.011389521640091117,0.0,0.0,0.0007593014426727411,0.00037965072133637056,652,4.039877300613497,32.6,392.99924069855734
Nehemiah,7.0,2.0,1.0,1.0,21.0,3.0,3.0,3.0,2.0,6.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06352087114337568,0.06170598911070781,0.056261343012704176,0.10707803992740472,0.08892921960072596,0.1397459165154265,0.034482758620689655,0.007259528130671506,0.06170598911070781,0.0852994555353902,0.025408348457350273,0.018148820326678767,0.018148820326678767,0.0544464609800363,0.009074410163339383,0.010889292196007259,0.0544464609800363,0.016333938294010888,0.043557168784029036,0.02722323049001815,0.003629764065335753,0.007259528130671506,0.0018148820326678765,0.0,0.0018148820326678765,0.0,140,3.9357142857142855,35.0,83.99818511796731
Mordecai,1.0,1.0,3.0,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09036144578313253,0.0783132530120482,0.024096385542168676,0.1746987951807229,0.12048192771084337,0.0783132530120482,0.024096385542168676,0.006024096385542169,0.04819277108433735,0.08433734939759036,0.018072289156626505,0.006024096385542169,0.012048192771084338,0.04819277108433735,0.006024096385542169,0.05421686746987952,0.04819277108433735,0.04216867469879518,0.018072289156626505,0.006024096385542169,0.006024096385542169,0.0,0.0,0.0,0.0,0.0,44,3.772727272727273,44.0,22.99397590361446
Unknown,9.0,2.0,2.0,1.0,16.0,6.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08100147275405008,0.05891016200294551,0.041237113402061855,0.0898379970544919,0.101620029455081,0.14432989690721648,0.029455081001472753,0.016200294550810016,0.054491899852724596,0.0662739322533137,0.01914580265095729,0.014727540500736377,0.03240058910162003,0.053019145802650956,0.017673048600883652,0.023564064801178203,0.054491899852724596,0.020618556701030927,0.050073637702503684,0.005891016200294551,0.010309278350515464,0.013254786450662739,0.0,0.0,0.0,0.0,167,4.065868263473054,16.7,106.99852724594994
