Author,and,the,her,all,that,upon,shall,be,an,unto,yet,these,may,ye,of,every,which,have,their,to,them,his,but,other,for,whosoever,ought,is,not,are,one,whatsoever,among,those,whoso,he,they,also,when,it,or,wherein,must,into,in,such,cometh,there,if,thereon,thereof,hath,more,make,with,neither,should,thereby,lord,your,god,therefore,out,man,then,according,no,as,who,from,like,than,him,again,much,been,wheresoever,was,therein,did,by,said,ever,my,what,thee,me,do,thou,let,seemeth,himself,now,were,wherefore,our,thence,had,thy,because,whose,thus,will,forth,hast,thine,how,whereof,soever,we,say,where,wherewith,didst,therewith,whom,shalt,thyself,without,being,till,lest,whence,many,would,some,doeth,outward,could,each,inasmuch,downward,abundance,whereto,seest,once,shouldest,hence,howsoever,throughout,becometh,whereby,henceforth,thereupon,thereunto,became,moreover,oft,oftentimes,whither,underneath,whereunto,whensoever,wherewithal,hereof,notwithstanding,verily,whereon,forthwith,therefrom,yea,upward,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,o_percentage_use,r_percentage_use,k_percentage_use,f_percentage_use,i_percentage_use,l_percentage_use,p_percentage_use,w_percentage_use,g_percentage_use,b_percentage_use,c_percentage_use,u_percentage_use,m_percentage_use,y_percentage_use,v_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,j_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,98.0,157.0,11.0,14.0,30.0,14.0,74.0,75.0,7.0,18.0,1.0,5.0,7.0,13.0,54.0,9.0,9.0,6.0,6.0,10.0,10.0,23.0,9.0,2.0,21.0,3.0,1.0,21.0,12.0,8.0,3.0,7.0,4.0,1.0,1.0,15.0,6.0,3.0,8.0,29.0,14.0,2.0,1.0,3.0,29.0,2.0,1.0,4.0,19.0,1.0,4.0,7.0,2.0,5.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,3.0,12.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,19.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08767772511848342,0.07923578199052132,0.029768957345971563,0.0913803317535545,0.09256516587677725,0.13981042654028436,0.057908767772511846,0.06101895734597156,0.04991113744075829,0.00784952606635071,0.025622037914691944,0.05539099526066351,0.057464454976303314,0.019994075829383885,0.014069905213270142,0.014366113744075829,0.022363744075829382,0.023992890995260665,0.029324644549763034,0.013181279620853081,0.01643957345971564,0.009330568720379146,0.0001481042654028436,0.0001481042654028436,0.0001481042654028436,0.0,1666,4.052821128451381,28.724137931034484,974.9991113744073
Joshua,10.0,20.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,14.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08422664624808576,0.08116385911179173,0.04747320061255743,0.09341500765696784,0.0888208269525268,0.13782542113323124,0.05666156202143951,0.06738131699846861,0.05666156202143951,0.0030627871362940277,0.027565084226646247,0.08116385911179173,0.039816232771822356,0.0015313935681470138,0.006125574272588055,0.022970903522205207,0.015313935681470138,0.027565084226646247,0.019908116385911178,0.02909647779479326,0.004594180704441042,0.006125574272588055,0.0,0.0015313935681470138,0.0,0.0,142,4.598591549295775,23.666666666666668,82.00000000000004
Samuel,30.0,58.0,0.0,4.0,8.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,28.0,1.0,1.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,1.0,5.0,4.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,13.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,9.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07804878048780488,0.06558265582655827,0.05040650406504065,0.1040650406504065,0.0959349593495935,0.13658536585365855,0.05853658536585366,0.08021680216802168,0.04715447154471545,0.003794037940379404,0.02872628726287263,0.06558265582655827,0.042818428184281845,0.015718157181571817,0.020596205962059622,0.013008130081300813,0.00975609756097561,0.013550135501355014,0.023306233062330622,0.026558265582655827,0.00975609756097561,0.0065040650406504065,0.0005420054200542005,0.0,0.0005420054200542005,0.0005420054200542005,462,3.9935064935064934,30.733333333333334,281.99783197831994
Unknown,10.0,3.0,11.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10608203677510608,0.06789250353606789,0.05233380480905234,0.07920792079207921,0.09193776520509193,0.11456859971711457,0.06647807637906648,0.07213578500707214,0.08628005657708628,0.005657708628005658,0.01272984441301273,0.04667609618104668,0.0297029702970297,0.01272984441301273,0.016973125884016973,0.018387553041018388,0.0297029702970297,0.01272984441301273,0.021216407355021217,0.02545968882602546,0.009900990099009901,0.009900990099009901,0.0014144271570014145,0.0,0.0,0.0,166,4.259036144578313,27.166666666666668,78.99009900990102
Unknown,18.0,27.0,0.0,2.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,5.0,0.0,5.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09703504043126684,0.06558849955076371,0.050314465408805034,0.09254267744833783,0.08984725965858041,0.12398921832884097,0.055705300988319856,0.07637017070979335,0.03863432165318958,0.008086253369272238,0.025157232704402517,0.06289308176100629,0.03234501347708895,0.011680143755615454,0.022461814914645103,0.017070979335130278,0.012578616352201259,0.015274034141958671,0.020664869721473494,0.036837376460017966,0.011680143755615454,0.013477088948787063,0.0026954177897574125,0.0,0.0,0.008984725965858042,277,4.018050541516246,34.125,151.99191374663073
Unknown,9.0,20.0,0.0,1.0,3.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,0.0,7.0,0.0,7.0,2.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873015873015873,0.0782312925170068,0.049886621315192746,0.09070294784580499,0.09410430839002268,0.12471655328798185,0.06689342403628118,0.07029478458049887,0.04421768707482993,0.01020408163265306,0.026077097505668934,0.06349206349206349,0.03741496598639456,0.009070294784580499,0.023809523809523808,0.018140589569160998,0.011337868480725623,0.023809523809523808,0.015873015873015872,0.01927437641723356,0.01473922902494331,0.005668934240362812,0.0022675736961451248,0.0,0.0,0.009070294784580499,221,3.990950226244344,31.428571428571427,122.99659863945574
Ezra,42.0,37.0,0.0,5.0,7.0,8.0,6.0,9.0,2.0,9.0,2.0,0.0,1.0,0.0,24.0,2.0,11.0,5.0,6.0,12.0,5.0,12.0,1.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,5.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0,13.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,1.0,0.0,6.0,0.0,6.0,3.0,0.0,4.0,6.0,2.0,2.0,2.0,0.0,7.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,2.0,8.0,1.0,1.0,19.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,1.0,0.0,1.0,3.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08163945351549484,0.07297567477507498,0.04131956014661779,0.09663445518160613,0.09763412195934688,0.12829056981006332,0.05631456181272909,0.07030989670109963,0.05631456181272909,0.008330556481172943,0.025658113962012664,0.06164611796067977,0.033988670443185605,0.020659780073308896,0.02165944685104965,0.014661779406864379,0.01166277907364212,0.019326891036321226,0.02432522492502499,0.016994335221592802,0.022325891369543487,0.01599466844385205,0.0,0.0,0.0003332222592469177,0.0006664445184938354,709,4.232722143864598,35.4,423.9996667777407
Nehemiah,15.0,17.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08183306055646482,0.07855973813420622,0.062193126022913256,0.11129296235679215,0.08346972176759411,0.132569558101473,0.05564648117839607,0.06873977086743044,0.05564648117839607,0.006546644844517185,0.019639934533551555,0.04746317512274959,0.04091653027823241,0.016366612111292964,0.019639934533551555,0.008183306055646482,0.01800327332242226,0.027823240589198037,0.019639934533551555,0.02127659574468085,0.01309328968903437,0.006546644844517185,0.0016366612111292963,0.0,0.0,0.0016366612111292963,142,4.302816901408451,35.5,80.99836333878889
Mordecai,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08296943231441048,0.06550218340611354,0.043668122270742356,0.08296943231441048,0.056768558951965066,0.14410480349344978,0.056768558951965066,0.06550218340611354,0.07423580786026202,0.021834061135371178,0.03056768558951965,0.06986899563318777,0.039301310043668124,0.043668122270742356,0.008733624454148471,0.021834061135371178,0.004366812227074236,0.013100436681222707,0.017467248908296942,0.021834061135371178,0.008733624454148471,0.008733624454148471,0.0,0.0,0.0,0.0,52,4.403846153846154,50.0,29.982532751091707
Unknown,7.0,10.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08487654320987655,0.06790123456790123,0.037037037037037035,0.12654320987654322,0.08950617283950617,0.13117283950617284,0.046296296296296294,0.06481481481481481,0.06172839506172839,0.009259259259259259,0.027777777777777776,0.06172839506172839,0.026234567901234566,0.015432098765432098,0.021604938271604937,0.018518518518518517,0.018518518518518517,0.006172839506172839,0.030864197530864196,0.023148148148148147,0.018518518518518517,0.004629629629629629,0.0015432098765432098,0.0,0.0015432098765432098,0.0015432098765432098,152,4.2631578947368425,15.2,93.99691358024693
