Author,and,if,he,be,not,much,then,shall,one,for,to,make,an,him,of,with,or,such,as,is,the,other,them,his,unto,lord,some,it,upon,that,into,in,whom,whose,which,when,ye,your,me,there,were,they,all,are,than,out,again,without,those,hath,thereof,forth,moreover,was,because,but,let,say,man,from,every,himself,what,also,have,her,did,among,by,their,according,god,therefore,neither,said,our,we,do,had,throughout,wherewith,my,been,now,thy,who,yet,thou,will,thee,how,may,thus,no,ever,shalt,wherein,thyself,thereby,thine,yea,like,being,more,became,wherefore,becometh,doeth,therein,should,whereof,whither,many,hast,these,must,lest,oft,once,cometh,would,abundance,thereupon,outward,shouldest,henceforth,underneath,till,whereby,whereunto,whence,where,ought,therewith,notwithstanding,could,hereof,thereon,oftentimes,thence,upward,didst,hence,each,inasmuch,verily,downward,whoso,whereto,therefrom,forthwith,thereunto,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,f_percentage_use,h_percentage_use,e_percentage_use,b_percentage_use,p_percentage_use,o_percentage_use,r_percentage_use,c_percentage_use,t_percentage_use,g_percentage_use,s_percentage_use,m_percentage_use,u_percentage_use,l_percentage_use,k_percentage_use,w_percentage_use,v_percentage_use,y_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,137.0,9.0,42.0,39.0,5.0,1.0,9.0,67.0,7.0,21.0,22.0,5.0,11.0,13.0,63.0,14.0,5.0,3.0,4.0,30.0,179.0,5.0,9.0,36.0,9.0,9.0,2.0,14.0,13.0,34.0,8.0,38.0,2.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,7.0,2.0,2.0,2.0,13.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,7.0,8.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08755688058998902,0.07876981013651342,0.03671740153773733,0.05664522203044092,0.026361211360426802,0.10230660599403735,0.13306135258120194,0.016005021183116273,0.017887964851718185,0.06715832418013494,0.03938490506825671,0.01804487682410168,0.09932527851875098,0.014906637376431822,0.06919817982112035,0.014122077514514357,0.029342538835713163,0.054919190334222504,0.004864271143888279,0.015848109210732778,0.008002510591558137,0.008159422563941629,0.0,0.0,0.0,0.0,1612,3.953473945409429,27.74137931034483,960.9985877922486
Joshua,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,1.0,23.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936599423631124,0.08069164265129683,0.05763688760806916,0.06051873198847262,0.037463976945244955,0.08789625360230548,0.1282420749279539,0.027377521613832854,0.002881844380403458,0.08213256484149856,0.069164265129683,0.021613832853025938,0.08645533141210375,0.01440922190201729,0.043227665706051875,0.027377521613832854,0.012968299711815562,0.03025936599423631,0.002881844380403458,0.010086455331412104,0.007204610951008645,0.005763688760806916,0.005763688760806916,0.004322766570605188,0.0,0.0,156,4.448717948717949,26.0,89.0
Samuel,35.0,1.0,2.0,3.0,5.0,0.0,1.0,6.0,0.0,3.0,13.0,0.0,0.0,3.0,39.0,5.0,0.0,0.0,1.0,2.0,64.0,0.0,4.0,8.0,4.0,6.0,0.0,12.0,6.0,6.0,2.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,14.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08710462287104623,0.06472019464720194,0.06228710462287105,0.047688564476885645,0.029683698296836983,0.08759124087591241,0.12116788321167883,0.010218978102189781,0.013625304136253041,0.09245742092457421,0.054987834549878344,0.01167883211678832,0.10802919708029197,0.020924574209245744,0.05936739659367397,0.014598540145985401,0.020924574209245744,0.033576642335766425,0.01070559610705596,0.01897810218978102,0.004866180048661801,0.021897810218978103,0.0,0.00048661800486618007,0.0,0.0,536,3.833955223880597,35.666666666666664,321.9975669099758
Unknown,11.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,4.0,18.0,0.0,1.0,5.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09607577807848444,0.08119079837618404,0.056833558863328824,0.05953991880920163,0.017591339648173207,0.08254397834912043,0.11231393775372124,0.018944519621109608,0.012178619756427604,0.07171853856562922,0.037889039242219216,0.010825439783491205,0.10419485791610285,0.017591339648173207,0.06495263870094722,0.029769959404600813,0.009472259810554804,0.04194857916102842,0.014884979702300407,0.010825439783491205,0.006765899864682003,0.02435723951285521,0.0027063599458728013,0.0,0.0,0.0,190,3.889473684210526,30.833333333333332,102.98511502029771
Unknown,17.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.0,2.0,0.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,6.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08871989860583017,0.06337135614702155,0.050697084917617236,0.057034220532319393,0.024081115335868188,0.07351077313054499,0.13688212927756654,0.012674271229404309,0.017743979721166033,0.08871989860583017,0.05449936628643853,0.016476552598225603,0.07984790874524715,0.017743979721166033,0.057034220532319393,0.036755386565272496,0.015209125475285171,0.035487959442332066,0.010139416983523447,0.022813688212927757,0.011406844106463879,0.022813688212927757,0.005069708491761723,0.0,0.0,0.0,189,4.174603174603175,23.625,104.99873257287705
Unknown,12.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,14.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11198738170347003,0.05993690851735016,0.0473186119873817,0.0804416403785489,0.03785488958990536,0.10252365930599369,0.10725552050473186,0.011041009463722398,0.007886435331230283,0.06309148264984227,0.04574132492113565,0.014195583596214511,0.08675078864353312,0.014195583596214511,0.0694006309148265,0.022082018927444796,0.017350157728706624,0.028391167192429023,0.012618296529968454,0.017350157728706624,0.0031545741324921135,0.012618296529968454,0.017350157728706624,0.007886435331230283,0.0015772870662460567,0.0,153,4.143790849673203,21.857142857142858,79.99999999999997
Ezra,56.0,6.0,7.0,8.0,1.0,0.0,3.0,8.0,1.0,7.0,15.0,2.0,2.0,1.0,16.0,2.0,2.0,0.0,3.0,2.0,37.0,2.0,8.0,4.0,5.0,7.0,0.0,5.0,1.0,11.0,2.0,10.0,0.0,0.0,8.0,0.0,1.0,0.0,1.0,5.0,0.0,3.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,4.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,12.0,0.0,2.0,4.0,0.0,0.0,1.0,7.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09116925592804578,0.07195421095666395,0.05519215044971382,0.06009811937857727,0.02125919869174162,0.08830744071954211,0.11896974652493868,0.014717906786590351,0.014717906786590351,0.07563368765331153,0.04456255110384301,0.018806214227309895,0.09362224039247752,0.01062959934587081,0.058871627146361405,0.030662305805396566,0.022485690923957483,0.05028618152085037,0.004905968928863451,0.016762060506950123,0.011856091578086671,0.020850367947669663,0.0008176614881439084,0.0004088307440719542,0.0,0.0,599,4.08347245409015,29.85,342.9975470155355
Nehemiah,17.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.07288135593220339,0.07457627118644068,0.06949152542372881,0.022033898305084745,0.08644067796610169,0.12542372881355932,0.025423728813559324,0.020338983050847456,0.06779661016949153,0.05593220338983051,0.011864406779661017,0.07457627118644068,0.011864406779661017,0.06949152542372881,0.00847457627118644,0.023728813559322035,0.03728813559322034,0.005084745762711864,0.006779661016949152,0.011864406779661017,0.00847457627118644,0.005084745762711864,0.0,0.001694915254237288,0.001694915254237288,131,4.5038167938931295,32.75,71.99830508474575
Mordecai,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12222222222222222,0.1,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.0,0.0,0.06666666666666667,0.022222222222222223,0.0,0.1,0.05555555555555555,0.044444444444444446,0.05555555555555555,0.011111111111111112,0.0,0.022222222222222223,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0.0,0.0,23,3.9130434782608696,23.0,12.999999999999996
Unknown,11.0,1.0,3.0,4.0,0.0,0.0,3.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,2.0,2.0,12.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08928571428571429,0.06043956043956044,0.03708791208791209,0.0521978021978022,0.020604395604395604,0.11401098901098901,0.11126373626373626,0.01510989010989011,0.020604395604395604,0.057692307692307696,0.034340659340659344,0.013736263736263736,0.11263736263736264,0.01510989010989011,0.061813186813186816,0.016483516483516484,0.03983516483516483,0.06456043956043957,0.0027472527472527475,0.012362637362637362,0.01098901098901099,0.03296703296703297,0.0,0.0,0.0,0.0027472527472527475,181,4.0220994475138125,18.1,115.99862637362635
