Author,and,whosoever,that,upon,shall,his,himself,in,be,the,if,it,her,or,whereon,when,he,man,with,all,him,have,an,of,many,out,as,every,unto,whatsoever,those,but,then,to,them,one,for,other,make,lord,thus,ye,from,their,they,not,my,is,among,hath,whose,therewith,said,thy,into,which,will,these,are,therefore,let,may,do,did,because,there,no,by,forth,was,without,ever,your,whom,once,say,what,soever,more,throughout,thou,shalt,neither,were,god,we,according,wherefore,had,now,thereof,where,wherein,also,thence,thee,thyself,who,me,our,than,again,would,how,whereunto,abundance,thine,hast,therein,didst,seemeth,should,yea,been,each,cometh,like,whereof,moreover,yet,whereby,being,some,till,must,verily,much,ought,lest,such,doeth,inasmuch,downward,whereto,seest,thereby,shouldest,outward,hence,howsoever,becometh,henceforth,thereon,thereupon,thereunto,became,wherewith,oft,oftentimes,whither,underneath,whence,whensoever,wherewithal,hereof,notwithstanding,could,forthwith,therefrom,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,h_percentage_use,o_percentage_use,s_percentage_use,e_percentage_use,v_percentage_use,r_percentage_use,t_percentage_use,u_percentage_use,c_percentage_use,y_percentage_use,i_percentage_use,g_percentage_use,p_percentage_use,l_percentage_use,b_percentage_use,m_percentage_use,f_percentage_use,k_percentage_use,q_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,134.0,2.0,38.0,20.0,78.0,26.0,9.0,24.0,31.0,213.0,5.0,19.0,19.0,10.0,3.0,6.0,42.0,10.0,12.0,16.0,13.0,5.0,23.0,100.0,1.0,4.0,5.0,1.0,30.0,3.0,1.0,2.0,2.0,15.0,13.0,5.0,50.0,2.0,16.0,22.0,2.0,4.0,8.0,15.0,8.0,7.0,2.0,15.0,9.0,5.0,2.0,1.0,2.0,1.0,8.0,10.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,5.0,4.0,2.0,2.0,1.0,1.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09047741273100617,0.08149383983572896,0.033880903490759756,0.011421971252566734,0.08842402464065709,0.08444558521560575,0.0542864476386037,0.12410164271047228,0.00513347022587269,0.05300308008213552,0.09779260780287474,0.023228952772073923,0.019763860369609858,0.011036960985626284,0.050308008213552365,0.01642710472279261,0.011806981519507187,0.057751540041067764,0.01681211498973306,0.020790554414784394,0.03875770020533881,0.006288501026694046,0.0002566735112936345,0.000513347022587269,0.00012833675564681725,0.0,1920,4.058333333333334,33.05172413793103,1186.9983316221774
Joshua,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09544159544159544,0.0754985754985755,0.037037037037037035,0.011396011396011397,0.08831908831908832,0.0698005698005698,0.06695156695156695,0.12108262108262108,0.007122507122507123,0.05698005698005698,0.08404558404558404,0.009971509971509971,0.02849002849002849,0.005698005698005698,0.09401709401709402,0.017094017094017096,0.004273504273504274,0.03418803418803419,0.018518518518518517,0.02564102564102564,0.039886039886039885,0.004273504273504274,0.0,0.004273504273504274,0.0,0.0,158,4.443037974683544,26.333333333333332,88.99999999999997
Samuel,44.0,0.0,6.0,2.0,5.0,3.0,0.0,3.0,1.0,66.0,2.0,9.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,28.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,1.0,4.0,13.0,5.0,6.0,8.0,0.0,2.0,7.0,0.0,4.0,4.0,6.0,11.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07446808510638298,0.06914893617021277,0.05319148936170213,0.02171985815602837,0.08865248226950355,0.08156028368794327,0.04831560283687943,0.1427304964539007,0.006648936170212766,0.057624113475177305,0.10416666666666667,0.019060283687943262,0.018617021276595744,0.018617021276595744,0.050975177304964536,0.0199468085106383,0.011081560283687944,0.03280141843971631,0.008865248226950355,0.02127659574468085,0.037677304964539006,0.00975177304964539,0.0,0.002216312056737589,0.0,0.0004432624113475177,559,4.035778175313059,37.266666666666666,318.99955673758865
Unknown,15.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11234177215189874,0.09018987341772151,0.06487341772151899,0.023734177215189875,0.055379746835443035,0.08860759493670886,0.058544303797468354,0.10917721518987342,0.011075949367088608,0.04430379746835443,0.07911392405063292,0.023734177215189875,0.014240506329113924,0.011075949367088608,0.04588607594936709,0.023734177215189875,0.015822784810126583,0.030063291139240507,0.01740506329113924,0.030063291139240507,0.02689873417721519,0.011075949367088608,0.0,0.0031645569620253164,0.0,0.0015822784810126582,162,3.9012345679012346,26.666666666666668,77.9920886075949
Unknown,14.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,3.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,4.0,1.0,7.0,6.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07846715328467153,0.05656934306569343,0.03923357664233577,0.030109489051094892,0.09306569343065693,0.07664233576642336,0.055656934306569344,0.1104014598540146,0.010036496350364963,0.0364963503649635,0.09945255474452555,0.03832116788321168,0.01551094890510949,0.041970802919708027,0.060218978102189784,0.020072992700729927,0.024635036496350366,0.03467153284671533,0.009124087591240875,0.03193430656934307,0.014598540145985401,0.01824817518248175,0.0,0.0009124087591240876,0.0,0.0,271,4.044280442804428,33.625,146.9963503649635
Unknown,10.0,0.0,4.0,0.0,0.0,5.0,0.0,5.0,0.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09375,0.06573275862068965,0.04310344827586207,0.020474137931034482,0.09590517241379311,0.09590517241379311,0.057112068965517244,0.11530172413793104,0.007543103448275862,0.06357758620689655,0.0894396551724138,0.010775862068965518,0.015086206896551725,0.010775862068965518,0.0603448275862069,0.016163793103448277,0.009698275862068966,0.03017241379310345,0.015086206896551725,0.01939655172413793,0.04310344827586207,0.00646551724137931,0.0,0.011853448275862068,0.0,0.0021551724137931034,236,3.9322033898305087,33.714285714285715,139.99892241379308
Ezra,49.0,0.0,8.0,0.0,1.0,11.0,0.0,12.0,2.0,70.0,0.0,3.0,6.0,1.0,0.0,3.0,8.0,1.0,4.0,4.0,2.0,0.0,0.0,50.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,3.0,2.0,17.0,5.0,1.0,8.0,0.0,2.0,8.0,0.0,0.0,2.0,7.0,3.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,8.0,1.0,7.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07506225542511562,0.07221629313411597,0.05371753824261829,0.01814300960512273,0.08288865172536464,0.08893632159373888,0.06047669868374244,0.1351832088224831,0.009960868018498754,0.05549626467449306,0.09782995375311278,0.02063322660974742,0.02063322660974742,0.012806830309498399,0.05371753824261829,0.011383849163998577,0.014585556741373178,0.03166133048737104,0.01351832088224831,0.025969405905371754,0.03379580220562078,0.005336179295624333,0.0017787264318747777,0.001422981145499822,0.0003557452863749555,0.0010672358591248667,681,4.127753303964758,34.0,392.9985770188544
Nehemiah,14.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09698996655518395,0.05351170568561873,0.051839464882943144,0.008361204013377926,0.10869565217391304,0.06521739130434782,0.06354515050167224,0.13712374581939799,0.016722408026755852,0.056856187290969896,0.12876254180602006,0.023411371237458192,0.010033444816053512,0.008361204013377926,0.056856187290969896,0.016722408026755852,0.010033444816053512,0.02508361204013378,0.010033444816053512,0.01839464882943144,0.028428093645484948,0.0,0.0,0.0016722408026755853,0.0,0.0033444816053511705,140,4.271428571428571,35.0,87.00000000000003
Mordecai,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06593406593406594,0.054945054945054944,0.04395604395604396,0.01098901098901099,0.0989010989010989,0.0989010989010989,0.06593406593406594,0.16483516483516483,0.02197802197802198,0.01098901098901099,0.14285714285714285,0.01098901098901099,0.0,0.0,0.07692307692307693,0.03296703296703297,0.02197802197802198,0.03296703296703297,0.0,0.03296703296703297,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,25,3.64,25.0,19.999999999999996
Unknown,4.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06260032102728733,0.0593900481540931,0.052969502407704656,0.04012841091492777,0.09951845906902086,0.06741573033707865,0.04012841091492777,0.12199036918138041,0.009630818619582664,0.051364365971107544,0.09630818619582665,0.03210272873194221,0.016051364365971106,0.014446227929373997,0.07704654895666131,0.02247191011235955,0.009630818619582664,0.03210272873194221,0.019261637239165328,0.04333868378812199,0.014446227929373997,0.011235955056179775,0.0,0.0032102728731942215,0.0,0.0,166,3.753012048192771,16.3,88.9967897271268
