Author,and,man,there,be,of,the,or,that,among,which,may,he,shall,out,thereof,it,with,for,is,all,therefore,said,unto,ye,no,every,was,one,your,his,himself,in,then,but,if,them,not,lord,say,god,wherein,do,whither,neither,their,my,to,therein,him,thy,shalt,thou,her,thine,they,are,other,also,as,moreover,thyself,let,therewith,these,upon,have,were,when,from,make,will,ought,because,hath,by,thee,an,into,had,did,me,many,who,whom,again,we,our,what,wherefore,now,according,abundance,such,each,like,once,didst,should,more,than,doeth,some,hast,yet,where,those,thereon,forth,thus,whose,without,wherewith,must,could,how,whence,being,lest,ever,would,thereunto,thereupon,outward,shouldest,whereof,henceforth,cometh,underneath,became,till,whereby,whereunto,thereby,notwithstanding,throughout,hereof,oftentimes,thence,been,much,upward,hence,inasmuch,verily,downward,whoso,whereto,therefrom,forthwith,becometh,yea,oft,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,h_percentage_use,t_percentage_use,s_percentage_use,o_percentage_use,e_percentage_use,v_percentage_use,r_percentage_use,m_percentage_use,b_percentage_use,f_percentage_use,c_percentage_use,i_percentage_use,l_percentage_use,g_percentage_use,j_percentage_use,u_percentage_use,y_percentage_use,p_percentage_use,q_percentage_use,k_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,42.0,3.0,1.0,20.0,62.0,97.0,9.0,16.0,5.0,9.0,1.0,10.0,44.0,5.0,6.0,23.0,12.0,16.0,22.0,10.0,6.0,1.0,13.0,26.0,2.0,4.0,2.0,4.0,11.0,10.0,1.0,13.0,3.0,5.0,5.0,6.0,46.0,21.0,2.0,10.0,1.0,6.0,1.0,15.0,5.0,8.0,19.0,2.0,6.0,41.0,41.0,40.0,17.0,3.0,2.0,2.0,1.0,2.0,8.0,1.0,3.0,2.0,1.0,6.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07617955439056356,0.0737221494102228,0.035386631716906945,0.012778505897771953,0.09010484927916121,0.10386631716906947,0.05897771952817824,0.084043250327654,0.12549148099606816,0.00851900393184797,0.057830930537352554,0.0194954128440367,0.01474442988204456,0.031127129750982963,0.014089121887287025,0.05062254259501966,0.04783748361730013,0.014580602883355177,0.0011467889908256881,0.03063564875491481,0.024246395806028834,0.009174311926605505,0.000491480996068152,0.0081913499344692,0.000163826998689384,0.0,1467,4.160872528970688,25.0,865.9934469200524
Joshua,10.0,1.0,0.0,0.0,14.0,28.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746987951807229,0.08433734939759036,0.05301204819277108,0.010843373493975903,0.09156626506024096,0.09879518072289156,0.05421686746987952,0.06987951807228916,0.14096385542168674,0.008433734939759036,0.05903614457831325,0.020481927710843374,0.018072289156626505,0.030120481927710843,0.02650602409638554,0.06987951807228916,0.03132530120481928,0.010843373493975903,0.007228915662650603,0.020481927710843374,0.004819277108433735,0.006024096385542169,0.0,0.0036144578313253013,0.0,0.0024096385542168677,192,4.322916666666667,32.0,112.99759036144575
Samuel,45.0,0.0,1.0,0.0,27.0,56.0,0.0,5.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,9.0,3.0,5.0,1.0,4.0,0.0,4.0,7.0,2.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,3.0,1.0,1.0,2.0,1.0,19.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08872549019607844,0.06764705882352941,0.059803921568627454,0.014215686274509804,0.07990196078431372,0.09901960784313725,0.053431372549019605,0.06911764705882353,0.1323529411764706,0.003431372549019608,0.058333333333333334,0.024509803921568627,0.011274509803921568,0.02696078431372549,0.010784313725490196,0.058823529411764705,0.047549019607843135,0.014705882352941176,0.003431372549019608,0.029411764705882353,0.015196078431372549,0.018627450980392157,0.0,0.006862745098039216,0.0,0.00392156862745098,486,4.197530864197531,32.4,267.9980392156861
Unknown,19.0,0.0,1.0,0.0,2.0,15.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08936170212765958,0.09078014184397164,0.06382978723404255,0.029787234042553193,0.09645390070921986,0.08794326241134752,0.05106382978723404,0.07375886524822695,0.12482269503546099,0.005673758865248227,0.03971631205673759,0.03404255319148936,0.011347517730496455,0.01276595744680851,0.01276595744680851,0.06808510638297872,0.03687943262411347,0.01702127659574468,0.0014184397163120568,0.01702127659574468,0.01276595744680851,0.00851063829787234,0.0014184397163120568,0.01276595744680851,0.0,0.0,181,3.8950276243093924,30.166666666666668,100.99999999999999
Unknown,6.0,1.0,1.0,0.0,13.0,25.0,0.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08401084010840108,0.06684733514001806,0.04245709123757904,0.024390243902439025,0.08581752484191509,0.09123757904245709,0.056910569105691054,0.0930442637759711,0.13369467028003612,0.008130081300813009,0.05510388437217705,0.028906955736224028,0.017163504968383016,0.02077687443541102,0.014453477868112014,0.06142728093947606,0.03432700993676603,0.02077687443541102,0.009033423667570008,0.024390243902439025,0.007226738934056007,0.00993676603432701,0.0,0.009033423667570008,0.0,0.0,257,4.307392996108949,32.125,136.99909665763323
Unknown,13.0,0.0,0.0,0.0,14.0,19.0,0.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10109289617486339,0.07103825136612021,0.05191256830601093,0.01912568306010929,0.09836065573770492,0.08879781420765027,0.05874316939890711,0.06557377049180328,0.12021857923497267,0.00819672131147541,0.04644808743169399,0.01639344262295082,0.00819672131147541,0.0273224043715847,0.017759562841530054,0.07240437158469945,0.031420765027322405,0.02459016393442623,0.012295081967213115,0.01366120218579235,0.012295081967213115,0.01092896174863388,0.0,0.00819672131147541,0.001366120218579235,0.006830601092896175,185,3.9567567567567568,26.142857142857142,99.99316939890711
Ezra,53.0,1.0,5.0,0.0,42.0,50.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,4.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07863171923589515,0.08485117725455353,0.05553087516659263,0.016437139049311416,0.07107952021323856,0.08351843625055531,0.07774322523322967,0.08973789426921368,0.12927587738782764,0.01288316303864949,0.05597512216792536,0.018658374055975122,0.011106175033318524,0.023545091070635273,0.015548645046645935,0.04575744113727232,0.03820524211461573,0.028431808085295423,0.0013327410039982231,0.021768103065304308,0.010661928031985785,0.01288316303864949,0.000888494002665482,0.011106175033318524,0.002221235006663705,0.0,535,4.207476635514019,26.65,265.9977787649932
Nehemiah,11.0,0.0,0.0,0.0,3.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0843806104129264,0.0718132854578097,0.06463195691202872,0.019748653500897665,0.08258527827648116,0.12208258527827648,0.07360861759425494,0.0718132854578097,0.11490125673249552,0.010771992818671455,0.03949730700179533,0.03052064631956912,0.005385996409335727,0.012567324955116697,0.00718132854578097,0.05385996409335727,0.03411131059245961,0.02333931777378815,0.0017953321364452424,0.03052064631956912,0.02154398563734291,0.019748653500897665,0.0,0.003590664272890485,0.0,0.0,134,4.156716417910448,33.5,71.0
Mordecai,5.0,0.0,1.0,0.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07471264367816093,0.08620689655172414,0.03735632183908046,0.022988505747126436,0.06321839080459771,0.10919540229885058,0.031609195402298854,0.06609195402298851,0.14655172413793102,0.022988505747126436,0.07758620689655173,0.014367816091954023,0.0028735632183908046,0.020114942528735632,0.02586206896551724,0.0603448275862069,0.028735632183908046,0.031609195402298854,0.0,0.017241379310344827,0.014367816091954023,0.017241379310344827,0.0,0.011494252873563218,0.0,0.0,78,4.461538461538462,75.0,45.98275862068965
Unknown,6.0,0.0,0.0,0.0,4.0,11.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07533234859675036,0.056129985228951254,0.04874446085672083,0.019202363367799114,0.09601181683899557,0.0930576070901034,0.059084194977843424,0.07090103397341212,0.14032496307237813,0.011816838995568686,0.051698670605613,0.04579025110782865,0.008862629246676515,0.03692762186115214,0.019202363367799114,0.060561299852289516,0.0206794682422452,0.011816838995568686,0.0,0.013293943870014771,0.026587887740029542,0.011816838995568686,0.0,0.014771048744460856,0.0014771048744460858,0.0,168,4.029761904761905,16.7,90.99409158050223
