Author,and,in,the,shall,ye,of,thereof,that,it,may,unto,lord,your,god,not,with,neither,shalt,thou,thy,make,for,upon,do,to,her,be,lest,my,them,have,by,man,if,thee,him,but,as,one,among,thyself,were,no,or,which,out,therefore,all,again,say,whosoever,he,his,will,from,because,hath,their,when,then,such,every,they,also,an,is,there,whither,therein,these,said,other,me,should,had,himself,being,whose,was,let,whatsoever,whereon,thine,ever,hast,now,yet,whereof,how,more,into,did,those,like,according,wherewith,ought,wherefore,we,must,are,thus,thence,much,became,who,our,what,than,would,forth,didst,without,whom,seemeth,cometh,where,been,many,could,oft,verily,hence,moreover,once,each,inasmuch,downward,abundance,whereto,seest,therewith,wherein,thereby,shouldest,outward,howsoever,becometh,throughout,henceforth,whereby,thereon,till,thereupon,doeth,thereunto,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,hereof,notwithstanding,soever,forthwith,some,therefrom,yea,wheresoever,whoso,upward,a_percentage_use,n_percentage_use,d_percentage_use,i_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,f_percentage_use,y_percentage_use,r_percentage_use,s_percentage_use,l_percentage_use,o_percentage_use,u_percentage_use,m_percentage_use,c_percentage_use,g_percentage_use,w_percentage_use,b_percentage_use,v_percentage_use,k_percentage_use,p_percentage_use,z_percentage_use,j_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,74.0,16.0,75.0,67.0,21.0,41.0,2.0,30.0,6.0,2.0,20.0,19.0,10.0,15.0,19.0,18.0,8.0,7.0,7.0,7.0,4.0,25.0,10.0,8.0,25.0,11.0,35.0,1.0,12.0,18.0,9.0,6.0,19.0,12.0,2.0,15.0,5.0,5.0,2.0,10.0,1.0,1.0,3.0,17.0,7.0,4.0,7.0,6.0,1.0,2.0,2.0,31.0,47.0,7.0,9.0,1.0,13.0,19.0,1.0,1.0,1.0,1.0,19.0,2.0,3.0,12.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08727388130752142,0.06505871152015233,0.039669946048873375,0.05744208187876865,0.08981275785464932,0.09425579181212314,0.11758172008886068,0.031101237702316726,0.025388765471278957,0.055696604252618215,0.058394160583941604,0.05252300856870835,0.07584893684544589,0.028721040939384324,0.026658203744842908,0.01412250079339892,0.014281180577594414,0.01412250079339892,0.01682005712472231,0.00682323072040622,0.006505871152015234,0.014281180577594414,0.0004760393525864805,0.0014281180577594415,0.00015867978419549348,0.00031735956839098697,1585,3.9760252365930597,27.103448275862068,937.9947635671216
Joshua,10.0,6.0,18.0,2.0,0.0,3.0,0.0,6.0,1.0,0.0,1.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08098987626546682,0.06299212598425197,0.05511811023622047,0.052868391451068614,0.09673790776152981,0.07874015748031496,0.13948256467941508,0.021372328458942633,0.02699662542182227,0.05961754780652419,0.06636670416197975,0.043869516310461196,0.07424071991001124,0.014623172103487065,0.02924634420697413,0.010123734533183352,0.012373453318335208,0.03262092238470191,0.013498312710911136,0.012373453318335208,0.00562429696287964,0.007874015748031496,0.0,0.0,0.0,0.0,230,3.865217391304348,38.166666666666664,132.99775028121482
Samuel,27.0,6.0,30.0,1.0,0.0,14.0,1.0,6.0,1.0,0.0,13.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,1.0,8.0,0.0,1.0,0.0,4.0,8.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08638743455497382,0.06544502617801047,0.0549738219895288,0.05366492146596859,0.0968586387434555,0.07853403141361257,0.14136125654450263,0.016361256544502618,0.015706806282722512,0.051047120418848166,0.06609947643979057,0.046465968586387435,0.06871727748691099,0.032722513089005235,0.02356020942408377,0.0137434554973822,0.017015706806282723,0.01832460732984293,0.010471204188481676,0.010471204188481676,0.010471204188481676,0.011780104712041885,0.0006544502617801048,0.007198952879581152,0.0,0.0,372,4.10752688172043,24.8,218.99803664921473
Unknown,10.0,1.0,17.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,4.0,0.0,3.0,6.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07481296758104738,0.08104738154613467,0.05361596009975062,0.059850374064837904,0.1059850374064838,0.09975062344139651,0.1259351620947631,0.017456359102244388,0.022443890274314215,0.043640897755610975,0.057356608478802994,0.028678304239401497,0.08229426433915212,0.022443890274314215,0.02493765586034913,0.008728179551122194,0.028678304239401497,0.01371571072319202,0.011221945137157107,0.004987531172069825,0.01371571072319202,0.01371571072319202,0.0,0.0,0.0012468827930174563,0.0012468827930174563,206,3.8932038834951457,34.0,126.99750623441396
Unknown,15.0,5.0,21.0,4.0,1.0,15.0,0.0,0.0,1.0,0.0,6.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681081081081081,0.07891891891891892,0.04864864864864865,0.05081081081081081,0.09513513513513513,0.08324324324324324,0.12108108108108108,0.02702702702702703,0.00972972972972973,0.055135135135135134,0.04,0.04,0.10702702702702703,0.04108108108108108,0.024864864864864864,0.012972972972972972,0.022702702702702703,0.010810810810810811,0.015135135135135135,0.005405405405405406,0.00972972972972973,0.021621621621621623,0.0,0.00972972972972973,0.0,0.0,232,3.9870689655172415,29.0,130.99891891891895
Unknown,14.0,9.0,21.0,1.0,0.0,19.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10167310167310167,0.07850707850707851,0.04633204633204633,0.07850707850707851,0.07850707850707851,0.09395109395109395,0.10682110682110682,0.03346203346203346,0.007722007722007722,0.05276705276705277,0.07078507078507079,0.028314028314028315,0.07979407979407979,0.015444015444015444,0.03088803088803089,0.01287001287001287,0.019305019305019305,0.01287001287001287,0.01287001287001287,0.002574002574002574,0.006435006435006435,0.009009009009009009,0.007722007722007722,0.010296010296010296,0.001287001287001287,0.0,196,3.9642857142857144,28.0,101.99871299871297
Ezra,31.0,10.0,44.0,1.0,2.0,19.0,0.0,12.0,3.0,1.0,9.0,1.0,3.0,1.0,3.0,9.0,0.0,2.0,5.0,5.0,2.0,6.0,3.0,0.0,18.0,0.0,3.0,0.0,6.0,9.0,3.0,1.0,1.0,1.0,2.0,8.0,6.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,6.0,2.0,1.0,0.0,8.0,7.0,6.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07954079540795408,0.06355063550635506,0.038130381303813035,0.056990569905699055,0.09676096760967609,0.08569085690856909,0.12833128331283314,0.020910209102091022,0.025830258302583026,0.04879048790487905,0.056580565805658053,0.031160311603116032,0.08938089380893809,0.02788027880278803,0.03034030340303403,0.013940139401394014,0.017220172201722016,0.024600246002460024,0.013530135301353014,0.01066010660106601,0.013940139401394014,0.02009020090200902,0.0,0.004510045100451004,0.0,0.0,593,4.112984822934233,29.6,314.9983599835998
Nehemiah,14.0,2.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805921052631579,0.07894736842105263,0.06907894736842106,0.03453947368421053,0.12006578947368421,0.07401315789473684,0.11019736842105263,0.023026315789473683,0.018092105263157895,0.06907894736842106,0.05756578947368421,0.018092105263157895,0.08388157894736842,0.03125,0.03289473684210526,0.01644736842105263,0.018092105263157895,0.013157894736842105,0.018092105263157895,0.006578947368421052,0.011513157894736841,0.014802631578947368,0.0,0.0,0.0,0.0,133,4.571428571428571,33.25,78.00000000000006
Mordecai,5.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611353711790393,0.08296943231441048,0.048034934497816595,0.05240174672489083,0.12663755458515283,0.07423580786026202,0.1222707423580786,0.017467248908296942,0.026200873362445413,0.043668122270742356,0.048034934497816595,0.056768558951965066,0.09170305676855896,0.013100436681222707,0.017467248908296942,0.017467248908296942,0.008733624454148471,0.021834061135371178,0.008733624454148471,0.008733624454148471,0.013100436681222707,0.026200873362445413,0.0,0.004366812227074236,0.0,0.0,59,3.8813559322033897,58.0,30.99126637554585
Unknown,8.0,4.0,25.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061518324607329845,0.05235602094240838,0.03795811518324607,0.051047120418848166,0.1256544502617801,0.10209424083769633,0.14921465968586387,0.034031413612565446,0.031413612565445025,0.061518324607329845,0.04319371727748691,0.031413612565445025,0.07984293193717278,0.01832460732984293,0.015706806282722512,0.01963350785340314,0.020942408376963352,0.024869109947643978,0.007853403141361256,0.006544502617801047,0.013089005235602094,0.010471204188481676,0.0,0.0,0.0,0.0,183,4.174863387978142,18.3,102.99869109947646
