Author,or,man,that,is,hath,in,his,be,no,of,the,shall,to,lord,by,he,not,god,and,unto,because,my,for,do,them,it,all,they,from,those,which,me,say,your,among,upon,him,what,whoso,whose,whereby,may,whom,such,with,when,himself,therewith,therefore,lest,if,there,an,but,also,have,her,as,thereof,then,their,will,ye,without,therein,these,make,thou,neither,forth,one,out,are,must,into,ever,throughout,became,was,had,said,some,we,like,our,every,now,than,upward,were,thee,thy,would,thine,let,ought,according,did,thus,could,again,who,each,yea,yet,wherein,should,didst,more,doeth,hast,many,wherefore,wherewith,where,shalt,moreover,been,till,cometh,thence,being,whereof,other,forthwith,thereunto,thereupon,outward,shouldest,henceforth,underneath,whereunto,abundance,thereby,whence,notwithstanding,hereof,thereon,oftentimes,thyself,whither,much,hence,inasmuch,verily,once,downward,how,whereto,therefrom,becometh,oft,o_percentage_use,r_percentage_use,a_percentage_use,m_percentage_use,n_percentage_use,t_percentage_use,h_percentage_use,i_percentage_use,s_percentage_use,b_percentage_use,k_percentage_use,e_percentage_use,f_percentage_use,d_percentage_use,c_percentage_use,w_percentage_use,l_percentage_use,y_percentage_use,u_percentage_use,v_percentage_use,p_percentage_use,g_percentage_use,j_percentage_use,q_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,33.0,6.0,20.0,16.0,10.0,18.0,18.0,34.0,8.0,72.0,127.0,66.0,12.0,38.0,7.0,21.0,17.0,5.0,50.0,46.0,3.0,6.0,19.0,7.0,12.0,20.0,7.0,16.0,7.0,1.0,11.0,1.0,4.0,13.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,8.0,6.0,1.0,1.0,3.0,1.0,5.0,3.0,13.0,8.0,1.0,3.0,4.0,1.0,6.0,4.0,5.0,6.0,32.0,3.0,4.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08757833842198297,0.06186726659167604,0.0798650168728909,0.01880122127591194,0.06717017515667685,0.09095291659971075,0.0861320906315282,0.05174353205849269,0.05704644062349349,0.020086774867427284,0.00562429696287964,0.12325245058653382,0.043226739514703516,0.031496062992125984,0.017194279286517757,0.01510525470030532,0.053511168246826286,0.02538968343242809,0.025711071830306926,0.010123734533183352,0.009320263538486261,0.015426643098184156,0.0001606941989394183,0.0001606941989394183,0.0001606941989394183,0.0,1552,4.009664948453608,26.655172413793103,908.9971075044189
Joshua,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,0.0,7.0,1.0,1.0,1.0,0.0,1.0,11.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08892128279883382,0.056851311953352766,0.10495626822157435,0.021865889212827987,0.06997084548104957,0.09620991253644315,0.08600583090379009,0.03644314868804665,0.05830903790087463,0.027696793002915453,0.01020408163265306,0.1239067055393586,0.030612244897959183,0.05102040816326531,0.018950437317784258,0.02040816326530612,0.027696793002915453,0.0058309037900874635,0.026239067055393587,0.0029154518950437317,0.011661807580174927,0.008746355685131196,0.007288629737609329,0.0,0.0,0.0058309037900874635,160,4.2875,26.666666666666668,82.99854227405247
Samuel,0.0,4.0,5.0,0.0,0.0,3.0,15.0,7.0,0.0,22.0,24.0,5.0,14.0,3.0,0.0,12.0,2.0,0.0,45.0,3.0,1.0,0.0,2.0,0.0,7.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,11.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08109794135995009,0.05240174672489083,0.10043668122270742,0.023081721771678103,0.07610729881472239,0.07485963817841547,0.07298814722395508,0.05552089831565814,0.07735495945102933,0.011852776044915784,0.014348097317529632,0.11852776044915783,0.023081721771678103,0.047411104179663134,0.012476606363069246,0.018714909544603867,0.040548970679975045,0.023705552089831567,0.02994385527136619,0.014348097317529632,0.011852776044915784,0.014348097317529632,0.0018714909544603868,0.0,0.0,0.0006238303181534623,411,3.900243309002433,27.333333333333332,252.99750467872744
Unknown,1.0,1.0,6.0,4.0,2.0,3.0,2.0,3.0,0.0,13.0,28.0,2.0,8.0,8.0,0.0,2.0,2.0,4.0,10.0,3.0,1.0,8.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08583247156153051,0.04343329886246122,0.08376421923474664,0.033092037228541885,0.07549120992761117,0.10754912099276112,0.09307135470527404,0.06618407445708377,0.04343329886246122,0.011375387797311272,0.017580144777662874,0.10548086866597725,0.02688728024819028,0.05997931747673216,0.010341261633919338,0.02171664943123061,0.03722854188210962,0.016546018614270942,0.014477766287487074,0.005170630816959669,0.010341261633919338,0.02688728024819028,0.0031023784901758012,0.001034126163391934,0.0,0.0,259,3.7335907335907335,43.166666666666664,171.0
Unknown,0.0,3.0,6.0,2.0,1.0,9.0,3.0,4.0,0.0,20.0,43.0,5.0,4.0,5.0,4.0,16.0,2.0,3.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07482993197278912,0.04308390022675737,0.09599395313681028,0.01889644746787604,0.0710506424792139,0.09599395313681028,0.11186696900982615,0.055933484504913075,0.047619047619047616,0.01889644746787604,0.0022675736961451248,0.12169312169312169,0.030234315948601664,0.05971277399848828,0.02040816326530612,0.012093726379440665,0.0400604686318972,0.008314436885865457,0.02343159486016629,0.005291005291005291,0.018140589569160998,0.017384731670445956,0.0045351473922902496,0.0,0.0,0.0,347,3.8126801152737753,43.25,205.99773242630383
Unknown,0.0,1.0,5.0,0.0,0.0,7.0,4.0,1.0,0.0,25.0,26.0,0.0,6.0,1.0,0.0,6.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697928026172301,0.04798255179934569,0.09269356597600872,0.03271537622682661,0.07742639040348964,0.0970556161395856,0.09269356597600872,0.07197382769901854,0.05452562704471101,0.009814612868047983,0.011995637949836423,0.1297709923664122,0.03489640130861505,0.04362050163576881,0.019629225736095966,0.013086150490730643,0.03489640130861505,0.015267175572519083,0.008724100327153763,0.007633587786259542,0.009814612868047983,0.018538713195201745,0.0021810250817884407,0.0,0.0010905125408942203,0.0021810250817884407,230,3.9869565217391303,32.857142857142854,134.00000000000006
Ezra,0.0,2.0,4.0,1.0,0.0,9.0,4.0,0.0,0.0,24.0,31.0,1.0,16.0,6.0,0.0,8.0,1.0,3.0,49.0,4.0,0.0,0.0,8.0,0.0,4.0,0.0,4.0,3.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832870627429206,0.05774569683509161,0.0977234869516935,0.03164908384230983,0.07218212104386452,0.08106607440310938,0.07940033314825097,0.06052193225985564,0.05830094392004442,0.017212659633536923,0.006107717934480844,0.11660188784008883,0.028317601332593003,0.06385341476957246,0.01665741254858412,0.009439200444197668,0.03220433092726263,0.00832870627429206,0.02609661299278179,0.007773459189339256,0.007773459189339256,0.019988895058300944,0.012215435868961688,0.0,0.001110494169905608,0.002220988339811216,420,4.288095238095238,20.95,221.99777901166019
Nehemiah,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,3.0,7.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07750472589792061,0.05103969754253308,0.06805293005671077,0.030245746691871456,0.05671077504725898,0.13799621928166353,0.0945179584120983,0.05860113421550094,0.05103969754253308,0.005671077504725898,0.003780718336483932,0.11531190926275993,0.022684310018903593,0.052930056710775046,0.013232514177693762,0.022684310018903593,0.03780718336483932,0.034026465028355386,0.022684310018903593,0.005671077504725898,0.013232514177693762,0.022684310018903593,0.0,0.0,0.001890359168241966,0.0,123,4.300813008130081,30.75,74.00000000000001
Mordecai,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07627118644067797,0.0423728813559322,0.0847457627118644,0.025423728813559324,0.06779661016949153,0.1016949152542373,0.059322033898305086,0.059322033898305086,0.03389830508474576,0.025423728813559324,0.0,0.11864406779661017,0.01694915254237288,0.0423728813559322,0.025423728813559324,0.01694915254237288,0.0423728813559322,0.0423728813559322,0.025423728813559324,0.025423728813559324,0.0423728813559322,0.025423728813559324,0.0,0.0,0.0,0.0,27,4.37037037037037,27.0,17.000000000000004
Unknown,0.0,1.0,1.0,5.0,0.0,6.0,3.0,4.0,3.0,6.0,25.0,5.0,3.0,0.0,0.0,7.0,4.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06840796019900497,0.05721393034825871,0.06218905472636816,0.0236318407960199,0.055970149253731345,0.10945273631840796,0.11567164179104478,0.06467661691542288,0.06218905472636816,0.012437810945273632,0.008706467661691543,0.15671641791044777,0.021144278606965175,0.041044776119402986,0.007462686567164179,0.03109452736318408,0.028606965174129355,0.021144278606965175,0.014925373134328358,0.008706467661691543,0.006218905472636816,0.021144278606965175,0.0,0.0,0.0,0.0,201,4.0,20.1,117.99875621890548
