Author,and,he,an,now,these,are,the,of,his,in,them,was,but,had,no,they,forth,with,from,to,into,unto,there,were,lord,said,thee,out,thy,that,will,make,thou,shalt,be,him,shall,all,as,when,their,then,who,thence,upon,for,it,therefore,say,is,me,my,may,because,also,her,what,hast,didst,not,have,where,been,which,could,let,we,thyself,if,or,every,like,one,other,thine,seest,ever,man,by,ye,our,hath,lest,your,himself,again,god,till,wherefore,being,yet,verily,moreover,than,thus,did,therein,more,according,some,neither,do,thereof,cometh,whose,whom,how,among,those,doeth,yea,much,without,each,should,therewith,shouldest,became,many,whereby,whatsoever,whence,wherein,inasmuch,downward,abundance,whereto,whereof,once,thereby,outward,hence,howsoever,throughout,becometh,henceforth,thereon,must,thereupon,thereunto,wherewith,oft,oftentimes,whither,such,whosoever,underneath,would,whereunto,whensoever,wherewithal,seemeth,hereof,notwithstanding,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,h_percentage_use,o_percentage_use,r_percentage_use,l_percentage_use,i_percentage_use,v_percentage_use,e_percentage_use,t_percentage_use,w_percentage_use,y_percentage_use,s_percentage_use,b_percentage_use,g_percentage_use,f_percentage_use,u_percentage_use,m_percentage_use,c_percentage_use,k_percentage_use,p_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,154.0,15.0,4.0,5.0,3.0,1.0,113.0,68.0,20.0,29.0,5.0,18.0,3.0,11.0,2.0,19.0,2.0,13.0,9.0,20.0,8.0,22.0,12.0,4.0,13.0,6.0,17.0,4.0,13.0,24.0,12.0,3.0,11.0,1.0,6.0,10.0,6.0,11.0,4.0,4.0,5.0,7.0,1.0,1.0,2.0,8.0,10.0,2.0,2.0,10.0,7.0,4.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11189412169130285,0.07872121003781368,0.05861120660020626,0.08559642488827776,0.06342385699553112,0.052939154348573395,0.041595049845307666,0.054657958061189414,0.006531454107940873,0.1240976280508766,0.0984874527328979,0.023719491234101067,0.014094190443451358,0.04692334135441732,0.01598487452732898,0.014094190443451358,0.023719491234101067,0.016328635269852183,0.028360261258164318,0.012891027844620144,0.008250257820556892,0.010140941904434514,0.0013750429700928155,0.00034376074252320387,0.0018906840838776211,0.0,1468,3.963215258855586,25.137931034482758,813.9946717084908
Joshua,18.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,3.0,3.0,0.0,4.0,2.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07610146862483311,0.06942590120160214,0.06008010680907877,0.09746328437917223,0.05874499332443257,0.05740987983978638,0.0534045393858478,0.044058744993324434,0.009345794392523364,0.1268357810413885,0.1041388518024032,0.03471295060080107,0.03204272363150868,0.05473965287049399,0.01602136181575434,0.006675567423230975,0.014686248331108143,0.044058744993324434,0.02403204272363151,0.006675567423230975,0.0013351134846461949,0.0053404539385847796,0.0,0.0,0.0,0.0,189,3.962962962962963,31.333333333333332,112.99732977303071
Samuel,38.0,16.0,2.0,0.0,0.0,0.0,31.0,14.0,8.0,4.0,4.0,7.0,1.0,3.0,0.0,8.0,2.0,2.0,5.0,3.0,2.0,6.0,1.0,3.0,2.0,5.0,2.0,5.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09762050030506407,0.07077486272117145,0.0677242220866382,0.08785845027455766,0.075045759609518,0.056741915802318486,0.035387431360585725,0.042098840756558877,0.005491153142159854,0.13117754728492984,0.0921293471629042,0.021964612568639415,0.013422818791946308,0.05064063453325198,0.014032946918852958,0.012812690665039659,0.026845637583892617,0.03050640634533252,0.03050640634533252,0.012812690665039659,0.005491153142159854,0.01525320317266626,0.0006101281269066504,0.0012202562538133007,0.0,0.0012202562538133007,414,3.9589371980676327,27.6,231.99938987187312
Unknown,18.0,0.0,0.0,2.0,0.0,0.0,10.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09401709401709402,0.08404558404558404,0.07122507122507123,0.07264957264957266,0.07264957264957266,0.04843304843304843,0.03276353276353276,0.05270655270655271,0.02564102564102564,0.1339031339031339,0.07407407407407407,0.008547008547008548,0.018518518518518517,0.06125356125356125,0.019943019943019943,0.01566951566951567,0.01566951566951567,0.039886039886039885,0.024216524216524215,0.004273504273504274,0.009971509971509971,0.002849002849002849,0.009971509971509971,0.0,0.0014245014245014246,0.0014245014245014246,167,4.203592814371257,27.666666666666668,87.99572649572647
Unknown,22.0,2.0,2.0,0.0,0.0,1.0,25.0,8.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1011011011011011,0.0940940940940941,0.06106106106106106,0.0920920920920921,0.07407407407407407,0.042042042042042045,0.02002002002002002,0.07207207207207207,0.011011011011011011,0.11911911911911911,0.09509509509509509,0.009009009009009009,0.014014014014014014,0.04904904904904905,0.012012012012012012,0.026026026026026026,0.012012012012012012,0.014014014014014014,0.02702702702702703,0.011011011011011011,0.015015015015015015,0.014014014014014014,0.008008008008008008,0.0,0.002002002002002002,0.0,243,4.111111111111111,30.125,136.994994994995
Unknown,19.0,8.0,0.0,0.0,1.0,0.0,16.0,8.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,7.0,4.0,1.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09275730622617535,0.07369758576874205,0.062261753494282084,0.09275730622617535,0.0724269377382465,0.053367217280813214,0.02795425667090216,0.052096569250317665,0.0012706480304955528,0.12452350698856417,0.11054637865311309,0.01905972045743329,0.01905972045743329,0.045743329097839895,0.016518424396442185,0.016518424396442185,0.01905972045743329,0.03303684879288437,0.0241423125794155,0.0241423125794155,0.005082592121982211,0.011435832274459974,0.0012706480304955528,0.0,0.0,0.0,211,3.7298578199052135,30.142857142857142,126.9987293519695
Ezra,38.0,2.0,0.0,1.0,6.0,1.0,48.0,34.0,7.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12066752246469833,0.06546854942233633,0.037227214377406934,0.12259306803594351,0.06225930680359435,0.04685494223363286,0.025673940949935817,0.05840821566110398,0.0025673940949935813,0.13029525032092426,0.08857509627727857,0.00834403080872914,0.0025673940949935813,0.07060333761232349,0.02374839537869063,0.010911424903722721,0.03401797175866496,0.013478818998716302,0.030166880616174584,0.012836970474967908,0.003209242618741977,0.008985879332477536,0.011553273427471117,0.0019255455712451862,0.003209242618741977,0.0,338,4.609467455621302,16.8,166.9961489088575
Nehemiah,8.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09109311740890688,0.06882591093117409,0.0465587044534413,0.07692307692307693,0.06072874493927125,0.05465587044534413,0.032388663967611336,0.05465587044534413,0.012145748987854251,0.16396761133603238,0.10728744939271255,0.03643724696356275,0.018218623481781375,0.04048582995951417,0.016194331983805668,0.018218623481781375,0.020242914979757085,0.016194331983805668,0.03441295546558704,0.012145748987854251,0.004048582995951417,0.006072874493927126,0.006072874493927126,0.0020242914979757085,0.0,0.0,126,3.9206349206349205,31.5,68.99999999999999
Mordecai,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08571428571428572,0.09714285714285714,0.06857142857142857,0.03428571428571429,0.045714285714285714,0.07428571428571429,0.06857142857142857,0.05714285714285714,0.017142857142857144,0.14857142857142858,0.04,0.03428571428571429,0.0,0.045714285714285714,0.03428571428571429,0.02857142857142857,0.03428571428571429,0.022857142857142857,0.017142857142857144,0.011428571428571429,0.005714285714285714,0.02857142857142857,0.0,0.0,0.0,0.0,41,4.2682926829268295,41.0,19.000000000000004
Unknown,9.0,0.0,1.0,0.0,0.0,3.0,11.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736,0.064,0.0416,0.088,0.064,0.0768,0.0224,0.0816,0.0096,0.136,0.0944,0.0256,0.0176,0.0496,0.0112,0.032,0.0272,0.016,0.0288,0.024,0.0032,0.008,0.0016,0.0016,0.0,0.0,158,3.9556962025316458,15.8,93.99839999999998
