Author,shall,that,be,unto,ye,not,neither,which,of,in,it,the,thy,for,is,thereof,out,every,man,his,and,if,thou,ought,or,one,according,to,shalt,he,thee,therefore,but,god,lord,your,wherefore,do,my,them,her,therein,say,what,we,our,then,will,upon,forth,yet,ever,are,with,me,all,hath,some,have,himself,let,him,whom,may,throughout,no,as,they,notwithstanding,their,was,among,yea,by,an,from,moreover,again,there,many,other,these,make,because,should,were,thence,said,thine,into,been,did,when,where,whose,would,had,now,also,thus,hast,being,could,cometh,who,didst,how,like,wherein,must,than,much,shouldest,such,downward,upward,whither,till,more,those,oft,verily,whereby,henceforth,whereunto,lest,oftentimes,thereupon,outward,whereof,underneath,abundance,thereby,whence,therewith,hereof,doeth,thereon,thyself,hence,each,inasmuch,once,wherewith,whoso,whereto,therefrom,forthwith,thereunto,becometh,without,became,a_percentage_use,j_percentage_use,u_percentage_use,b_percentage_use,i_percentage_use,l_percentage_use,e_percentage_use,s_percentage_use,h_percentage_use,t_percentage_use,f_percentage_use,y_percentage_use,r_percentage_use,n_percentage_use,o_percentage_use,w_percentage_use,p_percentage_use,c_percentage_use,g_percentage_use,v_percentage_use,d_percentage_use,m_percentage_use,k_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,70.0,22.0,31.0,26.0,27.0,18.0,4.0,9.0,76.0,27.0,22.0,106.0,17.0,20.0,8.0,3.0,12.0,1.0,5.0,20.0,85.0,17.0,11.0,2.0,9.0,4.0,9.0,21.0,10.0,29.0,12.0,1.0,9.0,10.0,6.0,22.0,1.0,4.0,13.0,8.0,3.0,1.0,1.0,1.0,2.0,1.0,12.0,8.0,2.0,6.0,2.0,3.0,7.0,16.0,2.0,1.0,2.0,1.0,5.0,3.0,1.0,25.0,2.0,13.0,1.0,3.0,7.0,9.0,1.0,7.0,3.0,4.0,1.0,6.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07670964582993309,0.003264240248082259,0.036559490778521296,0.020238289538110004,0.06022523257711768,0.05516566019259017,0.12175616125346826,0.05598172025461074,0.08650236657417985,0.0907458788966868,0.028398890158315652,0.03329525053043904,0.058429900440672436,0.0656112289864534,0.07915782601599478,0.012893748979924922,0.008976660682226212,0.013546597029541375,0.01566835319079484,0.00783417659539742,0.03982373102660356,0.024155377835808716,0.0026113921984658073,0.0009792720744246776,0.0,0.0,1562,3.9225352112676055,26.879310344827587,990.9985310918883
Joshua,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,24.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10212201591511937,0.009283819628647215,0.023872679045092837,0.023872679045092837,0.042440318302387266,0.01856763925729443,0.11936339522546419,0.05172413793103448,0.08222811671087533,0.09814323607427056,0.025198938992042442,0.002652519893899204,0.05570291777188329,0.08885941644562334,0.09018567639257294,0.021220159151193633,0.010610079575596816,0.027851458885941646,0.011936339522546418,0.003978779840848806,0.0610079575596817,0.021220159151193633,0.006631299734748011,0.0,0.0,0.0,179,4.212290502793296,29.833333333333332,92.99867374005309
Samuel,5.0,11.0,2.0,5.0,1.0,4.0,0.0,7.0,26.0,3.0,10.0,40.0,3.0,7.0,6.0,0.0,1.0,0.0,1.0,3.0,48.0,0.0,12.0,0.0,0.0,1.0,0.0,16.0,8.0,2.0,16.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,0.0,2.0,5.0,4.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,8.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,8.0,2.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09441316587267215,0.00129926375054136,0.027717626678215677,0.01429190125595496,0.055435253356431353,0.043308791684711995,0.12646167171935904,0.058033780857514074,0.08748375920311824,0.11130359462970983,0.023819835426591596,0.017756604590731917,0.044608055435253355,0.061931572109138154,0.07925508878302295,0.020355132091814637,0.019055868341273277,0.0173235166738848,0.01169337375487224,0.004763967085318319,0.04634040710264184,0.0259852750108272,0.0043308791684712,0.0,0.0008661758336942399,0.0,599,3.8547579298831387,39.8,340.99783456041587
Unknown,0.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09192200557103064,0.006963788300835654,0.020891364902506964,0.023676880222841225,0.052924791086350974,0.03203342618384401,0.15181058495821728,0.06267409470752089,0.06545961002785515,0.08356545961002786,0.027855153203342618,0.012534818941504178,0.05153203342618384,0.07938718662952646,0.08217270194986072,0.020891364902506964,0.0,0.013927576601671309,0.013927576601671309,0.008356545961002786,0.036211699164345405,0.0403899721448468,0.006963788300835654,0.0,0.0,0.001392757660167131,186,3.860215053763441,30.333333333333332,97.98746518105852
Unknown,0.0,6.0,0.0,7.0,0.0,2.0,1.0,1.0,7.0,3.0,2.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,1.0,9.0,5.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10476190476190476,0.002380952380952381,0.02976190476190476,0.01904761904761905,0.05952380952380952,0.016666666666666666,0.10357142857142858,0.0380952380952381,0.09642857142857143,0.12142857142857143,0.015476190476190477,0.013095238095238096,0.05238095238095238,0.06904761904761905,0.0761904761904762,0.02261904761904762,0.009523809523809525,0.017857142857142856,0.015476190476190477,0.0,0.06428571428571428,0.04047619047619048,0.011904761904761904,0.0,0.0,0.0,232,3.6206896551724137,29.0,149.00000000000003
Unknown,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,22.0,8.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10841983852364476,0.008073817762399077,0.011534025374855825,0.010380622837370242,0.0726643598615917,0.03806228373702422,0.1245674740484429,0.05074971164936563,0.09688581314878893,0.07612456747404844,0.02883506343713956,0.011534025374855825,0.04382929642445214,0.0726643598615917,0.06689734717416378,0.012687427912341407,0.01384083044982699,0.020761245674740483,0.0265282583621684,0.0034602076124567475,0.05536332179930796,0.01730103806228374,0.014994232987312572,0.0011534025374855825,0.00922722029988466,0.0,211,4.109004739336493,30.0,111.99653979238752
Ezra,1.0,5.0,2.0,4.0,7.0,6.0,0.0,3.0,34.0,9.0,1.0,50.0,0.0,6.0,4.0,4.0,1.0,3.0,0.0,8.0,47.0,0.0,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,3.0,8.0,11.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,4.0,13.0,1.0,2.0,1.0,0.0,5.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,5.0,0.0,3.0,6.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09080459770114943,0.010344827586206896,0.029118773946360154,0.022988505747126436,0.05478927203065134,0.030268199233716476,0.12567049808429118,0.05555555555555555,0.07854406130268199,0.08620689655172414,0.024521072796934867,0.01264367816091954,0.05938697318007663,0.0735632183908046,0.08122605363984674,0.017241379310344827,0.010727969348659003,0.013793103448275862,0.01800766283524904,0.013409961685823755,0.055938697318007664,0.028352490421455937,0.004980842911877395,0.0,0.0003831417624521073,0.0,608,4.292763157894737,30.35,327.9984674329503
Nehemiah,1.0,2.0,0.0,4.0,0.0,2.0,0.0,2.0,5.0,3.0,0.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06643757159221077,0.001145475372279496,0.026345933562428408,0.010309278350515464,0.05956471935853379,0.021764032073310423,0.15349369988545247,0.043528064146620846,0.09851088201603665,0.12714776632302405,0.018327605956471937,0.021764032073310423,0.05154639175257732,0.06987399770904926,0.058419243986254296,0.016036655211912942,0.004581901489117984,0.01718213058419244,0.016036655211912942,0.014891179839633447,0.061855670103092786,0.03665521191294387,0.003436426116838488,0.001145475372279496,0.0,0.0,186,4.693548387096774,46.5,119.00000000000004
Mordecai,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896551724137931,0.0,0.020689655172413793,0.006896551724137931,0.07586206896551724,0.034482758620689655,0.10344827586206896,0.04827586206896552,0.06896551724137931,0.11724137931034483,0.006896551724137931,0.013793103448275862,0.04827586206896552,0.06896551724137931,0.06896551724137931,0.034482758620689655,0.013793103448275862,0.06206896551724138,0.0,0.006896551724137931,0.07586206896551724,0.020689655172413793,0.006896551724137931,0.0,0.0,0.0,36,4.027777777777778,36.0,16.99310344827587
Unknown,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,14.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06984126984126984,0.0,0.03333333333333333,0.011111111111111112,0.05873015873015873,0.026984126984126985,0.12222222222222222,0.05714285714285714,0.11746031746031746,0.11587301587301588,0.015873015873015872,0.006349206349206349,0.05238095238095238,0.06984126984126984,0.06984126984126984,0.01904761904761905,0.020634920634920634,0.023809523809523808,0.012698412698412698,0.006349206349206349,0.06190476190476191,0.022222222222222223,0.004761904761904762,0.0,0.0,0.0,144,4.375,14.4,80.99841269841274
