Author,but,if,ye,will,not,unto,me,and,do,all,these,shall,my,or,your,that,also,the,of,in,for,it,be,they,when,yet,then,more,make,as,her,neither,their,upon,according,to,among,which,by,are,into,have,one,again,therein,out,because,did,them,from,were,no,with,without,lord,god,whom,forth,him,say,man,thy,he,than,himself,his,whereof,an,such,thereof,thou,who,some,hath,is,thine,was,said,what,hast,let,thee,shalt,till,had,those,therefore,became,whither,we,where,thus,now,could,there,moreover,every,would,like,yea,our,many,much,abundance,didst,how,should,lest,ever,wherewith,whosoever,thereby,whoso,thence,ought,being,other,cometh,therewith,each,inasmuch,downward,wherefore,whereto,seest,wherein,whatsoever,been,once,shouldest,outward,hence,howsoever,throughout,becometh,whereby,henceforth,thereon,must,thereupon,doeth,thereunto,oft,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,whose,thyself,may,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,upward,b_percentage_use,u_percentage_use,t_percentage_use,i_percentage_use,f_percentage_use,y_percentage_use,e_percentage_use,w_percentage_use,l_percentage_use,n_percentage_use,o_percentage_use,h_percentage_use,a_percentage_use,r_percentage_use,k_percentage_use,m_percentage_use,d_percentage_use,s_percentage_use,c_percentage_use,p_percentage_use,j_percentage_use,g_percentage_use,v_percentage_use,q_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,9.0,27.0,20.0,39.0,17.0,35.0,10.0,100.0,4.0,9.0,3.0,80.0,13.0,5.0,37.0,17.0,10.0,102.0,59.0,18.0,17.0,38.0,45.0,15.0,10.0,3.0,22.0,3.0,4.0,12.0,4.0,2.0,18.0,6.0,6.0,14.0,4.0,7.0,5.0,4.0,4.0,6.0,2.0,1.0,1.0,3.0,4.0,2.0,12.0,7.0,1.0,1.0,6.0,1.0,13.0,2.0,3.0,1.0,8.0,1.0,6.0,17.0,17.0,1.0,1.0,8.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019649334945586457,0.028869407496977025,0.09446795646916566,0.0666565900846433,0.02871825876662636,0.031287787182587665,0.12515114873035066,0.017230955259975818,0.06393591293833131,0.07119105199516323,0.0678657799274486,0.0743651753325272,0.08524788391777509,0.04685610640870617,0.005743651753325272,0.024637243047158405,0.03899637243047158,0.06363361547762998,0.01405683192261185,0.008917775090689238,0.0019649334945586456,0.0095223700120919,0.008615477629987909,0.0010580411124546554,0.00045344619105199517,0.0,1640,4.034146341463415,28.25862068965517,997.9990931076178
Joshua,0.0,0.0,0.0,1.0,0.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,11.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013422818791946308,0.02348993288590604,0.09731543624161074,0.06879194630872483,0.031879194630872486,0.0016778523489932886,0.12583892617449666,0.018456375838926176,0.026845637583892617,0.050335570469798654,0.06543624161073826,0.09563758389261745,0.09395973154362416,0.053691275167785234,0.010067114093959731,0.025167785234899327,0.05201342281879195,0.06208053691275168,0.02348993288590604,0.01174496644295302,0.006711409395973154,0.025167785234899327,0.01174496644295302,0.0,0.0,0.003355704697986577,148,4.027027027027027,24.666666666666668,78.99832214765097
Samuel,3.0,0.0,3.0,1.0,2.0,9.0,2.0,32.0,2.0,5.0,1.0,0.0,0.0,0.0,5.0,9.0,2.0,26.0,22.0,0.0,1.0,4.0,2.0,3.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,16.0,4.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,4.0,9.0,3.0,0.0,1.0,7.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014672686230248307,0.034424379232505645,0.09198645598194131,0.051354401805869074,0.024830699774266364,0.017494356659142212,0.1281038374717833,0.020316027088036117,0.03893905191873589,0.062076749435665914,0.08295711060948081,0.08013544018058691,0.09029345372460497,0.04288939051918736,0.006772009029345372,0.02878103837471783,0.050225733634311515,0.06602708803611738,0.018623024830699775,0.0208803611738149,0.001693002257336343,0.01580135440180587,0.006772009029345372,0.0,0.0,0.000564334085778781,448,3.955357142857143,29.733333333333334,274.99661399548535
Unknown,1.0,0.0,0.0,0.0,0.0,3.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,11.0,6.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,4.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020188425302826378,0.021534320323014805,0.09421265141318977,0.063257065948856,0.021534320323014805,0.014804845222072678,0.10228802153432032,0.014804845222072678,0.02288021534320323,0.06998654104979811,0.08209959623149395,0.08075370121130551,0.1117092866756393,0.040376850605652756,0.012113055181695828,0.047106325706594884,0.06056527590847914,0.059219380888290714,0.021534320323014805,0.008075370121130552,0.005383580080753701,0.018842530282637954,0.005383580080753701,0.0,0.0,0.0,198,3.7525252525252526,33.0,115.99865410497983
Unknown,1.0,0.0,0.0,0.0,2.0,4.0,1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,40.0,7.0,5.0,2.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,10.0,1.0,2.0,2.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018975332068311195,0.015180265654648957,0.10531309297912714,0.046489563567362426,0.015180265654648957,0.018975332068311195,0.11290322580645161,0.023719165085388995,0.025616698292220113,0.07020872865275142,0.07020872865275142,0.09867172675521822,0.10815939278937381,0.04743833017077799,0.009487666034155597,0.021821631878557873,0.07020872865275142,0.055977229601518026,0.03700189753320683,0.017077798861480076,0.0,0.009487666034155597,0.0009487666034155598,0.0,0.0,0.0,284,3.711267605633803,35.5,177.99905123339656
Unknown,1.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,17.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011889035667107,0.013210039630118891,0.08982826948480846,0.07529722589167767,0.03302509907529723,0.01453104359313078,0.1202113606340819,0.017173051519154558,0.02509907529722589,0.08058124174372523,0.06737120211360634,0.0977542932628798,0.09247027741083223,0.05151915455746367,0.011889035667107,0.013210039630118891,0.052840158520475564,0.0607661822985469,0.017173051519154558,0.0066050198150594455,0.009247027741083224,0.02509907529722589,0.005284015852047556,0.0,0.001321003963011889,0.005284015852047556,191,3.9633507853403143,27.285714285714285,108.998678996037
Ezra,2.0,2.0,4.0,2.0,2.0,5.0,1.0,58.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,6.0,2.0,44.0,21.0,13.0,6.0,1.0,2.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,6.0,2.0,2.0,6.0,0.0,4.0,2.0,8.0,0.0,13.0,7.0,0.0,0.0,11.0,0.0,1.0,1.0,10.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014372822299651568,0.03048780487804878,0.09320557491289198,0.057055749128919864,0.02003484320557491,0.017857142857142856,0.12456445993031359,0.021341463414634148,0.028310104529616725,0.06489547038327526,0.0701219512195122,0.08405923344947736,0.1019163763066202,0.05400696864111498,0.004355400696864111,0.023954703832752614,0.06750871080139373,0.05879790940766551,0.01524390243902439,0.011759581881533102,0.006533101045296167,0.017421602787456445,0.007404181184668989,0.0008710801393728223,0.0013066202090592336,0.0013066202090592336,572,4.013986013986014,28.6,329.9986933797907
Nehemiah,1.0,0.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,4.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013029315960912053,0.04234527687296417,0.12214983713355049,0.04723127035830619,0.024429967426710098,0.026058631921824105,0.1254071661237785,0.009771986970684038,0.030944625407166124,0.06351791530944625,0.09283387622149837,0.0732899022801303,0.06188925081433225,0.06840390879478828,0.009771986970684038,0.02280130293159609,0.03745928338762215,0.057003257328990226,0.016286644951140065,0.02280130293159609,0.0016286644951140066,0.02280130293159609,0.008143322475570033,0.0,0.0,0.0,145,4.23448275862069,36.25,83.00000000000003
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011904761904761904,0.0,0.11904761904761904,0.05952380952380952,0.023809523809523808,0.0,0.15476190476190477,0.011904761904761904,0.023809523809523808,0.09523809523809523,0.07142857142857142,0.07142857142857142,0.05952380952380952,0.03571428571428571,0.03571428571428571,0.023809523809523808,0.023809523809523808,0.011904761904761904,0.047619047619047616,0.0,0.0,0.05952380952380952,0.011904761904761904,0.0,0.0,0.0,20,4.2,18.0,6.95238095238095
Unknown,2.0,0.0,0.0,2.0,4.0,0.0,4.0,5.0,0.0,1.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,10.0,5.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01195814648729447,0.026905829596412557,0.09566517189835576,0.07922272047832586,0.016442451420029897,0.026905829596412557,0.11061285500747384,0.02242152466367713,0.043348281016442454,0.05680119581464873,0.07324364723467862,0.09267563527653214,0.07174887892376682,0.04783258594917788,0.008968609865470852,0.03288490284005979,0.043348281016442454,0.06576980568011959,0.01195814648729447,0.01943198804185351,0.004484304932735426,0.02391629297458894,0.008968609865470852,0.0,0.0014947683109118087,0.0,169,3.9585798816568047,16.9,93.9970104633782
