Author,but,thou,shalt,the,of,and,all,thereof,that,to,it,they,shall,unto,when,is,be,cometh,their,every,man,by,his,throughout,there,no,upon,did,according,lord,with,those,were,them,do,him,then,in,an,these,forth,which,one,as,are,not,among,also,whom,he,had,may,out,have,from,therefore,because,for,me,upward,was,said,we,will,ye,seemeth,into,who,hath,let,your,now,my,whose,or,therewith,hast,neither,ought,god,make,lest,thy,whatsoever,could,thee,her,thus,say,thyself,yet,been,other,till,thereon,without,wherewith,thine,many,didst,himself,henceforth,some,abundance,moreover,our,would,where,yea,if,should,whoso,what,whence,such,like,more,hence,thence,ever,again,much,wherefore,how,doeth,verily,each,inasmuch,downward,whereto,seest,wherein,whereof,once,thereby,shouldest,being,outward,howsoever,becometh,whereby,must,thereupon,thereunto,became,oft,oftentimes,whither,whosoever,underneath,whereunto,whensoever,wherewithal,hereof,therein,notwithstanding,whereon,soever,forthwith,than,therefrom,wheresoever,b_percentage_use,u_percentage_use,t_percentage_use,h_percentage_use,o_percentage_use,s_percentage_use,a_percentage_use,l_percentage_use,p_percentage_use,i_percentage_use,n_percentage_use,e_percentage_use,v_percentage_use,r_percentage_use,c_percentage_use,f_percentage_use,m_percentage_use,y_percentage_use,d_percentage_use,g_percentage_use,w_percentage_use,k_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,3.0,4.0,4.0,159.0,120.0,133.0,15.0,5.0,29.0,14.0,4.0,21.0,43.0,11.0,3.0,1.0,25.0,2.0,24.0,6.0,5.0,14.0,19.0,6.0,1.0,2.0,1.0,3.0,6.0,12.0,4.0,17.0,38.0,12.0,3.0,6.0,5.0,16.0,5.0,7.0,2.0,3.0,3.0,3.0,7.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019662008449788757,0.023886902827429314,0.0961975950601235,0.09132271693207669,0.06824829379265518,0.05849853753656158,0.0905102372440689,0.03769905752356191,0.011374715632109197,0.052486187845303865,0.07864803379915503,0.12967175820604485,0.006174845628859279,0.06077348066298342,0.019174520636984077,0.03347416314592135,0.023724406889827753,0.011049723756906077,0.057523561910952224,0.009749756256093598,0.011862203444913877,0.0022749431264218393,0.0008124796880077998,0.0012999675008124798,0.0019499512512187196,0.0,1415,4.349116607773851,24.32758620689655,846.9980500487486
Joshua,0.0,0.0,0.0,2.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02109704641350211,0.004219409282700422,0.046413502109704644,0.09282700421940929,0.029535864978902954,0.04219409282700422,0.19831223628691982,0.06329113924050633,0.0,0.06751054852320675,0.1308016877637131,0.0759493670886076,0.008438818565400843,0.029535864978902954,0.008438818565400843,0.0,0.03375527426160337,0.008438818565400843,0.08860759493670886,0.008438818565400843,0.008438818565400843,0.004219409282700422,0.008438818565400843,0.0,0.02109704641350211,0.0,50,4.74,8.333333333333334,27.000000000000007
Samuel,0.0,2.0,0.0,36.0,19.0,38.0,6.0,0.0,11.0,11.0,4.0,8.0,3.0,10.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,11.0,3.0,0.0,2.0,6.0,1.0,0.0,2.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,5.0,0.0,2.0,3.0,9.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,10.0,2.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010665312341289994,0.029964448958862366,0.09852717115286948,0.08125952260030472,0.08633824276282377,0.05434230573895378,0.09243270695784662,0.04012188928390046,0.013712544438801422,0.05535804977145759,0.0670391061452514,0.122397155916709,0.007618080243778568,0.047739969527679026,0.013204672422549517,0.0228542407313357,0.02488572879634332,0.0223463687150838,0.05992889791772473,0.017775520568816656,0.020822752666328086,0.00558659217877095,0.0015236160487557136,0.0005078720162519045,0.0005078720162519045,0.0,498,3.9538152610441766,33.13333333333333,286.99746063991887
Unknown,0.0,0.0,0.0,16.0,3.0,14.0,3.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009708737864077669,0.018030513176144243,0.08460471567267684,0.06657420249653259,0.0651872399445215,0.0651872399445215,0.09431345353675451,0.05131761442441054,0.019417475728155338,0.059639389736477116,0.06796116504854369,0.130374479889043,0.013869625520110958,0.05547850208044383,0.020804438280166437,0.030513176144244106,0.024965325936199722,0.012482662968099861,0.049930651872399444,0.018030513176144243,0.020804438280166437,0.012482662968099861,0.0013869625520110957,0.0,0.0,0.0,168,4.291666666666667,27.666666666666668,87.99306518723994
Unknown,2.0,5.0,1.0,19.0,13.0,20.0,3.0,0.0,8.0,9.0,5.0,0.0,4.0,2.0,2.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,7.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01862348178137652,0.019433198380566803,0.09797570850202429,0.0931174089068826,0.09149797570850203,0.05506072874493927,0.09473684210526316,0.04129554655870445,0.008906882591093117,0.05668016194331984,0.055870445344129556,0.12388663967611337,0.008097165991902834,0.042105263157894736,0.012145748987854251,0.032388663967611336,0.03319838056680162,0.013765182186234818,0.0437246963562753,0.016194331983805668,0.021052631578947368,0.0072874493927125505,0.009716599190283401,0.0008097165991902834,0.0,0.0,323,3.823529411764706,40.25,190.99757085020246
Unknown,0.0,0.0,0.0,42.0,12.0,25.0,4.0,0.0,3.0,3.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021967526265520534,0.027698185291308502,0.09551098376313276,0.07545367717287488,0.07736389684813753,0.03724928366762178,0.08691499522445081,0.029608404966571154,0.01623686723973257,0.05348615090735435,0.0830945558739255,0.11556829035339064,0.004775549188156638,0.0725883476599809,0.014326647564469915,0.05348615090735435,0.02005730659025788,0.004775549188156638,0.050620821394460364,0.024832855778414518,0.009551098376313277,0.013371537726838587,0.0019102196752626551,0.0009551098376313276,0.0028653295128939827,0.0009551098376313276,251,4.171314741035856,35.57142857142857,139.99522445081186
Ezra,2.0,4.0,1.0,50.0,34.0,65.0,5.0,1.0,2.0,15.0,2.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,1.0,5.0,0.0,7.0,2.0,23.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,0.0,1.0,0.0,12.0,4.0,0.0,2.0,1.0,1.0,3.0,4.0,4.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013610888710968775,0.020816653322658127,0.09127301841473179,0.100080064051241,0.06485188150520416,0.0632506004803843,0.10728582866293035,0.02802241793434748,0.012810248198558846,0.07405924739791833,0.0732586068855084,0.11569255404323459,0.005204163330664532,0.045636509207365894,0.016012810248198558,0.026821457165732587,0.01921537229783827,0.01120896717373899,0.061248999199359486,0.015612489991993595,0.01721377101681345,0.0068054443554843875,0.007606084867894315,0.00040032025620496394,0.0012009607686148918,0.0,599,4.170283806343907,29.95,345.9991993594877
Nehemiah,0.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049261083743842365,0.024630541871921183,0.07389162561576355,0.09852216748768473,0.03940886699507389,0.06896551724137931,0.15763546798029557,0.034482758620689655,0.014778325123152709,0.08374384236453201,0.059113300492610835,0.11822660098522167,0.009852216748768473,0.059113300492610835,0.024630541871921183,0.009852216748768473,0.024630541871921183,0.0,0.034482758620689655,0.0,0.019704433497536946,0.009852216748768473,0.014778325123152709,0.0,0.009852216748768473,0.0,43,4.72093023255814,10.75,21.995073891625623
Mordecai,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012121212121212121,0.012121212121212121,0.09090909090909091,0.07272727272727272,0.05454545454545454,0.05454545454545454,0.09090909090909091,0.030303030303030304,0.0,0.06666666666666667,0.06666666666666667,0.15151515151515152,0.012121212121212121,0.05454545454545454,0.048484848484848485,0.006060606060606061,0.04242424242424243,0.012121212121212121,0.06060606060606061,0.012121212121212121,0.012121212121212121,0.012121212121212121,0.0,0.006060606060606061,0.0,0.006060606060606061,38,4.342105263157895,37.0,19.987878787878792
Unknown,1.0,0.0,0.0,13.0,9.0,10.0,1.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008670520231213872,0.024566473988439308,0.1069364161849711,0.09248554913294797,0.07369942196531792,0.06502890173410404,0.09393063583815028,0.03901734104046243,0.017341040462427744,0.05491329479768786,0.06502890173410404,0.1329479768786127,0.004335260115606936,0.06069364161849711,0.014450867052023121,0.033236994219653176,0.023121387283236993,0.011560693641618497,0.044797687861271675,0.008670520231213872,0.015895953757225433,0.0072254335260115606,0.0,0.0,0.0,0.0,182,3.802197802197802,18.2,104.99855491329481
