Author,and,the,of,by,their,these,are,according,to,was,those,that,were,them,all,from,upward,shall,be,in,thereof,for,which,is,it,wherewith,they,have,but,his,cometh,lord,throughout,said,unto,thou,shalt,me,among,as,him,more,than,he,into,do,when,with,thereon,upon,an,not,lest,therein,ye,thus,may,every,one,also,we,because,now,out,our,will,thee,your,god,therefore,whom,hath,if,then,thy,yet,should,make,moreover,how,wherefore,whither,my,what,or,there,himself,thine,some,who,did,became,had,no,much,man,abundance,let,say,her,forth,where,neither,like,ever,being,hast,would,could,thyself,again,such,thence,wherein,till,doeth,many,whereby,been,without,thereupon,outward,shouldest,whereof,henceforth,underneath,whereunto,thereby,whence,ought,therewith,notwithstanding,hereof,oftentimes,whose,didst,other,hence,each,must,inasmuch,verily,once,downward,whoso,whereto,therefrom,forthwith,thereunto,becometh,yea,oft,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,o_percentage_use,f_percentage_use,m_percentage_use,r_percentage_use,i_percentage_use,b_percentage_use,y_percentage_use,l_percentage_use,u_percentage_use,v_percentage_use,c_percentage_use,g_percentage_use,w_percentage_use,p_percentage_use,k_percentage_use,z_percentage_use,x_percentage_use,j_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,147.0,266.0,150.0,10.0,15.0,6.0,8.0,4.0,22.0,4.0,6.0,20.0,13.0,18.0,27.0,11.0,8.0,38.0,13.0,15.0,14.0,11.0,4.0,9.0,13.0,5.0,22.0,2.0,4.0,12.0,1.0,11.0,2.0,1.0,12.0,5.0,5.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08821413152971651,0.06749172542811915,0.04230824579076126,0.10749748165203626,0.08950928191106634,0.1349834508562383,0.06187940710893654,0.07555043891207368,0.03626421067779537,0.022449273276730464,0.05684271118146496,0.04720103612030508,0.015685710174125775,0.01194416462800403,0.04576198014102749,0.019858972514030796,0.011080731040437473,0.02129802849330839,0.014822276586559217,0.010649014246654195,0.009497769463232119,0.00719527989638797,0.0012951503813498344,0.0002878111958555188,0.0,0.0,1630,4.26319018404908,28.103448275862068,985.9995682832061
Joshua,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19282511210762332,0.11659192825112108,0.10762331838565023,0.04484304932735426,0.08520179372197309,0.08071748878923767,0.026905829596412557,0.03587443946188341,0.004484304932735426,0.04035874439461883,0.026905829596412557,0.06278026905829596,0.004484304932735426,0.0,0.04035874439461883,0.017937219730941704,0.004484304932735426,0.013452914798206279,0.03139013452914798,0.004484304932735426,0.013452914798206279,0.013452914798206279,0.02242152466367713,0.0,0.008968609865470852,0.0,42,5.309523809523809,7.0,19.0
Samuel,31.0,40.0,11.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,7.0,0.0,0.0,6.0,1.0,0.0,4.0,1.0,4.0,0.0,10.0,3.0,2.0,3.0,0.0,2.0,8.0,6.0,4.0,0.0,24.0,0.0,4.0,8.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,3.0,2.0,2.0,7.0,1.0,9.0,4.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08678611422172453,0.07222844344904815,0.06159014557670773,0.08286674132138858,0.07334826427771557,0.12541993281075028,0.04927211646136618,0.08342665173572228,0.022396416573348264,0.015677491601343786,0.059910414333706606,0.05263157894736842,0.012318029115341545,0.027995520716685332,0.05319148936170213,0.03135498320268757,0.016237402015677492,0.012877939529675251,0.020156774916013438,0.01959686450167973,0.008958566629339306,0.008958566629339306,0.0,0.0,0.0011198208286674132,0.0,456,3.9166666666666665,30.266666666666666,279.99832026875714
Unknown,20.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09352517985611511,0.05995203836930456,0.05755395683453238,0.1091127098321343,0.07913669064748201,0.13189448441247004,0.05995203836930456,0.05155875299760192,0.009592326139088728,0.016786570743405275,0.05155875299760192,0.07194244604316546,0.011990407673860911,0.015587529976019185,0.0539568345323741,0.019184652278177457,0.014388489208633094,0.011990407673860911,0.02038369304556355,0.023980815347721823,0.019184652278177457,0.014388489208633094,0.0,0.002398081534772182,0.0,0.0,206,4.048543689320389,34.333333333333336,112.00000000000003
Unknown,15.0,24.0,15.0,1.0,2.0,0.0,1.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,4.0,0.0,4.0,2.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08201892744479496,0.050473186119873815,0.052576235541535225,0.07676130389064142,0.09674027339642481,0.13144058885383805,0.052576235541535225,0.09568874868559411,0.027339642481598318,0.024185068349106203,0.07045215562565721,0.05783385909568875,0.016824395373291272,0.010515247108307046,0.0452155625657203,0.01892744479495268,0.011566771819137749,0.01892744479495268,0.015772870662460567,0.01892744479495268,0.008412197686645636,0.006309148264984227,0.0010515247108307045,0.0,0.007360672975814932,0.0,239,3.9790794979079496,29.75,141.9978969505783
Unknown,11.0,16.0,17.0,1.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1012311901504788,0.07660738714090287,0.04103967168262654,0.07797537619699042,0.09302325581395349,0.11354309165526676,0.07660738714090287,0.06429548563611491,0.03283173734610123,0.016415868673050615,0.05471956224350205,0.07934336525307797,0.013679890560875513,0.02051983584131327,0.016415868673050615,0.019151846785225718,0.006839945280437756,0.015047879616963064,0.027359781121751026,0.015047879616963064,0.013679890560875513,0.015047879616963064,0.005471956224350205,0.0,0.0027359781121751026,0.0,185,3.9513513513513514,26.428571428571427,101.99863201094388
Ezra,48.0,40.0,37.0,1.0,2.0,3.0,1.0,1.0,10.0,3.0,1.0,4.0,2.0,4.0,3.0,0.0,0.0,2.0,2.0,10.0,0.0,6.0,0.0,3.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,6.0,1.0,9.0,6.0,3.0,1.0,2.0,0.0,2.0,17.0,0.0,0.0,7.0,1.0,0.0,0.0,12.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10077519379844961,0.07235142118863049,0.0615848406546081,0.08311800172265288,0.09646856158484066,0.10938845822566753,0.05211024978466839,0.07450473729543497,0.02756244616709733,0.02756244616709733,0.04780361757105943,0.06632213608957795,0.012489233419465978,0.0103359173126615,0.030146425495262703,0.0305770887166236,0.005598621877691645,0.012919896640826873,0.017226528854435832,0.018949181739879414,0.01765719207579673,0.007321274763135229,0.0012919896640826874,0.002583979328165375,0.009474590869939707,0.0017226528854435831,550,4.221818181818182,27.45,303.9978466838932
Nehemiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1511627906976744,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.13953488372093023,0.06976744186046512,0.03488372093023256,0.03488372093023256,0.0,0.09302325581395349,0.03488372093023256,0.09302325581395349,0.046511627906976744,0.0,0.05813953488372093,0.046511627906976744,0.0,0.023255813953488372,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,12,7.166666666666667,3.0,0.9999999999999999
Mordecai,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11888111888111888,0.08391608391608392,0.055944055944055944,0.0979020979020979,0.09090909090909091,0.0979020979020979,0.027972027972027972,0.08391608391608392,0.013986013986013986,0.04895104895104895,0.03496503496503497,0.04895104895104895,0.006993006993006993,0.006993006993006993,0.02097902097902098,0.006993006993006993,0.006993006993006993,0.03496503496503497,0.013986013986013986,0.04195804195804196,0.02097902097902098,0.013986013986013986,0.0,0.0,0.0,0.0,36,3.9722222222222223,35.0,21.97902097902097
Unknown,6.0,18.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,6.0,8.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04654895666131621,0.0738362760834671,0.038523274478330656,0.12199036918138041,0.10754414125200643,0.1348314606741573,0.051364365971107544,0.07704654895666131,0.028892455858747994,0.011235955056179775,0.052969502407704656,0.0754414125200642,0.012841091492776886,0.008025682182985553,0.030497592295345103,0.02247191011235955,0.012841091492776886,0.019261637239165328,0.019261637239165328,0.019261637239165328,0.02086677367576244,0.006420545746388443,0.0,0.0,0.0,0.0,156,3.9935897435897436,15.3,95.99197431781704
David and others,22.0,61.0,19.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,5.0,0.0,1.0,9.0,0.0,0.0,3.0,5.0,3.0,3.0,7.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,14.0,3.0,14.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06898454746136866,0.05022075055187638,0.048013245033112585,0.10154525386313466,0.10485651214128035,0.14955849889624723,0.05849889624724062,0.07505518763796909,0.024282560706401765,0.016556291390728478,0.06015452538631347,0.04966887417218543,0.011037527593818985,0.008830022075055188,0.05684326710816777,0.02704194260485651,0.009933774834437087,0.012141280353200883,0.023730684326710817,0.013245033112582781,0.011037527593818985,0.004966887417218543,0.0005518763796909492,0.0011037527593818985,0.009381898454746136,0.0005518763796909492,428,4.233644859813084,17.833333333333332,235.99779249448127
Solomon and others,6.0,21.0,10.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07986688851913477,0.07321131447587355,0.04159733777038269,0.09484193011647254,0.08485856905158069,0.1264559068219634,0.056572379367720464,0.064891846921797,0.019966722129783693,0.018302828618968387,0.064891846921797,0.06156405990016639,0.013311148086522463,0.021630615640599003,0.03826955074875208,0.018302828618968387,0.013311148086522463,0.016638935108153077,0.021630615640599003,0.028286189683860232,0.009983361064891847,0.008319467554076539,0.0,0.0,0.0,0.0016638935108153079,159,3.779874213836478,17.444444444444443,80.9783693843594
Solomon,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05327868852459016,0.10655737704918032,0.036885245901639344,0.10245901639344263,0.0860655737704918,0.13114754098360656,0.06147540983606557,0.10245901639344263,0.02459016393442623,0.00819672131147541,0.045081967213114756,0.05327868852459016,0.01639344262295082,0.02459016393442623,0.028688524590163935,0.020491803278688523,0.004098360655737705,0.020491803278688523,0.020491803278688523,0.02459016393442623,0.00819672131147541,0.01639344262295082,0.0,0.0,0.0,0.0,65,3.753846153846154,21.666666666666668,36.995901639344254
Isaiah,20.0,38.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0,11.0,5.0,8.0,1.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,8.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,4.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07796101949025487,0.05022488755622189,0.05547226386806597,0.0944527736131934,0.10494752623688156,0.1184407796101949,0.05847076461769116,0.06896551724137931,0.0239880059970015,0.021739130434782608,0.053973013493253376,0.06446776611694154,0.013493253373313344,0.012743628185907047,0.05922038980509745,0.0239880059970015,0.006746626686656672,0.014992503748125937,0.026986506746626688,0.0239880059970015,0.012743628185907047,0.005997001499250375,0.0007496251874062968,0.0007496251874062968,0.0022488755622188904,0.0,325,4.104615384615385,27.083333333333332,191.99775112443783
Jeremiah,27.0,39.0,18.0,1.0,3.0,3.0,4.0,0.0,12.0,0.0,1.0,8.0,0.0,1.0,2.0,2.0,0.0,10.0,6.0,4.0,0.0,0.0,1.0,2.0,4.0,0.0,8.0,3.0,5.0,0.0,0.0,5.0,0.0,9.0,19.0,12.0,7.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,4.0,16.0,0.0,2.0,0.0,0.0,1.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07332071901608325,0.0695364238410596,0.046357615894039736,0.11778618732261116,0.0988647114474929,0.12961210974456008,0.04966887417218543,0.07190160832544938,0.019394512771996216,0.01750236518448439,0.03878902554399243,0.06717123935666983,0.01466414380321665,0.01608325449385052,0.04257332071901608,0.036896877956480605,0.007095553453169348,0.015137180700094607,0.013245033112582781,0.015137180700094607,0.009933774834437087,0.014191106906338695,0.002838221381267739,0.0,0.007095553453169348,0.0,533,3.9662288930581613,35.2,321.9947965941346
Ezekiel,18.0,47.0,24.0,4.0,6.0,0.0,4.0,0.0,3.0,6.0,0.0,5.0,4.0,1.0,14.0,1.0,0.0,3.0,1.0,13.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,0.0,24.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0,4.0,1.0,0.0,1.0,5.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07559145989613388,0.06520484708597807,0.04270051933064051,0.09924985574148874,0.10848240046162723,0.13387189844200809,0.06347374495095211,0.05943450663589152,0.030005770340450086,0.017311021350259664,0.05770340450086555,0.06982111944604731,0.019042123485285632,0.0075014425851125215,0.044431621465666475,0.026543566070398154,0.0103866128101558,0.012117714945181766,0.02192729371032891,0.017311021350259664,0.010963646855164455,0.0051933064050779,0.0,0.001154068090017311,0.0,0.0,429,4.03962703962704,35.75,257.99942296595515
