Author,the,of,and,his,shall,be,all,in,their,ye,unto,them,is,as,for,thou,shalt,by,from,upward,every,one,that,into,to,do,according,thereof,with,those,were,these,they,which,did,lord,throughout,are,whom,thus,him,out,hath,an,without,not,whereof,when,man,or,then,have,he,it,but,if,no,let,whereby,say,her,there,neither,upon,thereon,thee,hast,thy,some,thine,make,among,cometh,himself,your,had,was,also,yet,said,me,what,because,therefore,will,now,god,would,ever,again,other,like,my,we,how,many,who,may,wherewith,thyself,forth,whence,where,our,whoso,more,than,much,been,yea,moreover,wherein,should,doeth,lest,wherefore,being,thereby,thereupon,outward,shouldest,henceforth,became,underneath,till,whereunto,abundance,ought,therewith,notwithstanding,could,hereof,oftentimes,thence,whose,whither,therein,didst,hence,each,must,once,verily,inasmuch,downward,such,whereto,therefrom,forthwith,thereunto,becometh,oft,a_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,p_percentage_use,o_percentage_use,i_percentage_use,n_percentage_use,m_percentage_use,f_percentage_use,r_percentage_use,d_percentage_use,s_percentage_use,l_percentage_use,b_percentage_use,v_percentage_use,c_percentage_use,g_percentage_use,u_percentage_use,y_percentage_use,w_percentage_use,k_percentage_use,x_percentage_use,j_percentage_use,q_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,191.0,105.0,115.0,13.0,50.0,27.0,14.0,18.0,29.0,4.0,25.0,12.0,10.0,3.0,7.0,6.0,2.0,11.0,10.0,5.0,10.0,7.0,32.0,8.0,29.0,5.0,8.0,6.0,10.0,8.0,17.0,4.0,9.0,4.0,4.0,19.0,3.0,1.0,4.0,1.0,7.0,5.0,3.0,10.0,2.0,4.0,1.0,6.0,11.0,6.0,7.0,6.0,13.0,10.0,3.0,9.0,5.0,1.0,1.0,5.0,19.0,1.0,2.0,7.0,1.0,3.0,2.0,8.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08322753561856397,0.10071942446043165,0.08576668077302864,0.13894766539709408,0.012554662152630836,0.07081393708562561,0.05543800253914515,0.0716603188037805,0.02609676964310904,0.0324446325292707,0.06376075610100156,0.04133164056989702,0.05896459303145719,0.03949781351389477,0.016645507123712794,0.008745944420933842,0.018620397799407534,0.013259980251093243,0.022993370009874455,0.013824234729863168,0.01523487092678798,0.00536041754831429,0.0002821272393849626,0.001410636196924813,0.0005642544787699252,0.0001410636196924813,1667,4.25254949010198,28.67241379310345,1013.9983072365637
Joshua,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1574468085106383,0.059574468085106386,0.10638297872340426,0.09361702127659574,0.00425531914893617,0.02127659574468085,0.08936170212765958,0.1148936170212766,0.02127659574468085,0.0,0.03404255319148936,0.07659574468085106,0.04680851063829787,0.0425531914893617,0.02553191489361702,0.01276595744680851,0.01702127659574468,0.02127659574468085,0.0,0.0,0.01702127659574468,0.02127659574468085,0.00425531914893617,0.00425531914893617,0.0,0.00851063829787234,47,5.0,7.833333333333333,22.999999999999996
Samuel,35.0,11.0,38.0,3.0,3.0,2.0,3.0,14.0,0.0,3.0,1.0,0.0,1.0,4.0,4.0,5.0,0.0,0.0,3.0,0.0,1.0,1.0,11.0,0.0,12.0,1.0,1.0,0.0,4.0,0.0,7.0,0.0,2.0,3.0,1.0,6.0,1.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,6.0,1.0,2.0,2.0,0.0,1.0,2.0,8.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09397590361445783,0.09783132530120482,0.08240963855421687,0.1257831325301205,0.02072289156626506,0.06650602409638554,0.0636144578313253,0.0708433734939759,0.03132530120481928,0.021686746987951807,0.04481927710843373,0.05493975903614458,0.061686746987951804,0.04578313253012048,0.012048192771084338,0.006265060240963855,0.01783132530120482,0.01927710843373494,0.025542168674698794,0.010120481927710843,0.019759036144578312,0.0038554216867469878,0.00048192771084337347,0.0019277108433734939,0.0,0.0,477,4.350104821802935,31.8,265.9990361445783
Unknown,18.0,9.0,11.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09833585476550681,0.10136157337367625,0.07564296520423601,0.11195158850226929,0.01059001512859304,0.08472012102874432,0.07564296520423601,0.06959152798789713,0.019667170953101363,0.024205748865355523,0.05446293494704992,0.05143721633888049,0.039334341906202726,0.036308623298033284,0.015128593040847202,0.006051437216338881,0.015128593040847202,0.019667170953101363,0.024205748865355523,0.02118003025718608,0.01664145234493192,0.01664145234493192,0.0,0.0030257186081694403,0.0,0.007564296520423601,176,3.7556818181818183,29.333333333333332,103.9984871406959
Unknown,24.0,15.0,21.0,5.0,0.0,0.0,5.0,7.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09073359073359073,0.08204633204633205,0.0916988416988417,0.1274131274131274,0.007722007722007722,0.08108108108108109,0.06274131274131274,0.06853281853281853,0.027992277992277992,0.0222007722007722,0.05019305019305019,0.059845559845559844,0.05888030888030888,0.033783783783783786,0.012548262548262547,0.007722007722007722,0.017374517374517374,0.021235521235521235,0.017374517374517374,0.01833976833976834,0.017374517374517374,0.010617760617760617,0.0,0.005791505791505791,0.0,0.0,250,4.144,30.875,137.9932432432432
Unknown,24.0,15.0,14.0,0.0,1.0,0.0,2.0,8.0,3.0,1.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08323699421965318,0.09710982658959537,0.10057803468208093,0.1260115606936416,0.010404624277456647,0.06936416184971098,0.06705202312138728,0.06358381502890173,0.018497109826589597,0.028901734104046242,0.06589595375722543,0.06127167630057803,0.046242774566473986,0.035838150289017344,0.008092485549132947,0.006936416184971098,0.021965317919075144,0.027745664739884393,0.013872832369942197,0.020809248554913295,0.016184971098265895,0.008092485549132947,0.0,0.0,0.0,0.0011560693641618498,212,4.080188679245283,30.285714285714285,127.99884393063581
Ezra,51.0,23.0,41.0,5.0,6.0,3.0,5.0,7.0,0.0,4.0,5.0,1.0,0.0,2.0,1.0,8.0,4.0,1.0,1.0,0.0,1.0,3.0,9.0,3.0,18.0,1.0,0.0,0.0,6.0,0.0,1.0,2.0,2.0,1.0,2.0,14.0,0.0,0.0,0.0,1.0,9.0,3.0,3.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,5.0,2.0,8.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,19.0,4.0,1.0,0.0,4.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09484625378951927,0.10090948462537895,0.09268081420528368,0.11346903421394543,0.02208748375920312,0.07665656128194023,0.07492420961455175,0.06972715461238631,0.021654395842355997,0.01992204417496752,0.0454742312689476,0.05153746210480727,0.05413598960588999,0.04417496751840624,0.0086617583369424,0.006063230835859679,0.013858813339107838,0.02208748375920312,0.0194889562581204,0.015158077089649198,0.015591165006496318,0.012559549588566478,0.0,0.00259852750108272,0.0,0.00043308791684711995,580,3.981034482758621,28.95,347.9987007362494
Nehemiah,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15168539325842698,0.06179775280898876,0.1404494382022472,0.12359550561797752,0.011235955056179775,0.0449438202247191,0.09550561797752809,0.06741573033707865,0.02247191011235955,0.016853932584269662,0.033707865168539325,0.033707865168539325,0.06179775280898876,0.028089887640449437,0.03932584269662921,0.0056179775280898875,0.0056179775280898875,0.0056179775280898875,0.011235955056179775,0.0,0.0056179775280898875,0.011235955056179775,0.0,0.011235955056179775,0.0,0.011235955056179775,34,5.235294117647059,8.5,12.999999999999996
Mordecai,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06578947368421052,0.15789473684210525,0.10526315789473684,0.13157894736842105,0.0,0.09210526315789473,0.05263157894736842,0.039473684210526314,0.013157894736842105,0.039473684210526314,0.05263157894736842,0.013157894736842105,0.039473684210526314,0.0,0.013157894736842105,0.0,0.05263157894736842,0.02631578947368421,0.013157894736842105,0.013157894736842105,0.039473684210526314,0.013157894736842105,0.0,0.0,0.0,0.0,19,4.0,18.0,9.973684210526315
Unknown,21.0,11.0,8.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07097791798107256,0.09621451104100946,0.0914826498422713,0.15141955835962145,0.01892744479495268,0.083596214511041,0.055205047318611984,0.056782334384858045,0.015772870662460567,0.03627760252365931,0.052050473186119876,0.04574132492113565,0.04574132492113565,0.04574132492113565,0.011041009463722398,0.00946372239747634,0.02050473186119874,0.017350157728706624,0.02050473186119874,0.00946372239747634,0.028391167192429023,0.006309148264984227,0.0031545741324921135,0.0015772870662460567,0.0031545741324921135,0.0015772870662460567,157,4.038216560509555,15.5,95.99842271293373
