Author,and,the,lord,unto,from,among,of,them,thus,shalt,thou,do,to,upon,let,all,their,make,then,with,his,for,shall,an,that,they,may,one,other,be,in,are,me,such,as,every,have,man,there,no,when,did,according,were,had,is,it,upward,thereof,more,but,out,also,ye,should,who,by,could,not,those,said,him,we,wherefore,will,what,if,or,your,yet,he,because,was,where,many,thereon,thee,which,ever,throughout,god,into,forth,thy,my,hath,how,been,much,now,say,thence,whose,hast,her,being,himself,whom,wherein,therefore,again,thyself,these,like,would,than,yea,whereto,cometh,thine,our,thereby,neither,till,ought,some,whereby,once,becometh,thereupon,outward,shouldest,whereof,henceforth,became,underneath,lest,whereunto,abundance,whence,therewith,notwithstanding,hereof,doeth,oftentimes,whither,therein,didst,hence,each,must,inasmuch,verily,moreover,downward,wherewith,whoso,therefrom,forthwith,thereunto,without,oft,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,o_percentage_use,r_percentage_use,s_percentage_use,p_percentage_use,k_percentage_use,u_percentage_use,m_percentage_use,y_percentage_use,i_percentage_use,g_percentage_use,v_percentage_use,f_percentage_use,c_percentage_use,w_percentage_use,b_percentage_use,x_percentage_use,j_percentage_use,z_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,91.0,216.0,31.0,25.0,11.0,8.0,101.0,21.0,3.0,11.0,12.0,7.0,28.0,10.0,4.0,11.0,16.0,5.0,8.0,9.0,10.0,21.0,36.0,14.0,27.0,30.0,3.0,3.0,1.0,10.0,29.0,5.0,2.0,1.0,7.0,2.0,4.0,6.0,4.0,3.0,10.0,4.0,10.0,6.0,1.0,4.0,18.0,1.0,3.0,1.0,6.0,2.0,2.0,12.0,1.0,1.0,9.0,1.0,7.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,6.0,12.0,1.0,3.0,1.0,13.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08259337561663144,0.0766737138830162,0.04383368569415081,0.10049330514446793,0.07484143763213531,0.13784355179704016,0.0470754052149401,0.08301620859760395,0.05891472868217054,0.05186751233262861,0.012966878083157152,0.006483439041578576,0.02142353770260747,0.024242424242424242,0.02029598308668076,0.04693446088794926,0.015503875968992248,0.009443269908386188,0.032276250880902045,0.023678646934460888,0.011698379140239605,0.014658210007047217,0.00014094432699083862,0.0023960535588442564,0.0,0.0,1677,4.230769230769231,28.913793103448278,1010.9992952783654
Joshua,9.0,7.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10230179028132992,0.058823529411764705,0.056265984654731455,0.09974424552429667,0.09207161125319693,0.10485933503836317,0.04859335038363171,0.03324808184143223,0.04603580562659847,0.058823529411764705,0.0,0.0076726342710997444,0.030690537084398978,0.015345268542199489,0.005115089514066497,0.09718670076726342,0.01278772378516624,0.010230179028132993,0.01278772378516624,0.02557544757033248,0.020460358056265986,0.030690537084398978,0.005115089514066497,0.023017902813299233,0.0025575447570332483,0.0,78,5.012820512820513,13.0,39.00000000000001
Samuel,32.0,49.0,5.0,7.0,1.0,2.0,10.0,8.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,3.0,1.0,0.0,4.0,6.0,10.0,3.0,0.0,3.0,11.0,8.0,1.0,1.0,0.0,3.0,6.0,0.0,2.0,0.0,0.0,3.0,2.0,7.0,3.0,1.0,3.0,1.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0887634684453566,0.07439712673165726,0.057465366854797334,0.10569522832221652,0.09389430477167779,0.1457157516675218,0.044125192406362236,0.06875320677270395,0.03950743971267317,0.05079527963057978,0.027706516162134428,0.001026167265264238,0.022062596203181118,0.023601847101077475,0.022062596203181118,0.05233453052847614,0.014879425346331451,0.008722421754746024,0.017444843509492047,0.007183170856849667,0.017444843509492047,0.011800923550538737,0.0015392508978963571,0.002052334530528476,0.0,0.0,477,4.085953878406708,31.8,261.99897383273463
Unknown,13.0,17.0,4.0,2.0,0.0,0.0,11.0,0.0,1.0,0.0,6.0,1.0,2.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09554140127388536,0.06369426751592357,0.06496815286624204,0.08280254777070063,0.09936305732484077,0.11464968152866242,0.04203821656050955,0.08535031847133757,0.034394904458598725,0.061146496815286625,0.005095541401273885,0.01019108280254777,0.03821656050955414,0.030573248407643312,0.015286624203821656,0.05605095541401274,0.015286624203821656,0.01019108280254777,0.022929936305732482,0.02038216560509554,0.014012738853503185,0.014012738853503185,0.0,0.0,0.0025477707006369425,0.0,207,3.792270531400966,34.5,120.9987261146497
Unknown,25.0,21.0,3.0,2.0,2.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,1.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11683532658693652,0.07451701931922723,0.061637534498620056,0.08831646734130635,0.08923643054277829,0.12695492180312787,0.03679852805887764,0.05979760809567617,0.046918123275068994,0.061637534498620056,0.006439742410303588,0.011959521619135235,0.019319227230910764,0.020239190432382703,0.010119595216191352,0.05519779208831647,0.02207911683532659,0.011039558417663294,0.02391904323827047,0.014719411223551058,0.014719411223551058,0.019319227230910764,0.0,0.0027598896044158236,0.0009199632014719411,0.0009199632014719411,265,4.10188679245283,32.875,140.99632014719413
Unknown,15.0,24.0,3.0,1.0,3.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09101941747572816,0.06674757281553398,0.055825242718446605,0.0970873786407767,0.10436893203883495,0.14199029126213591,0.02669902912621359,0.06310679611650485,0.05461165048543689,0.044902912621359224,0.010922330097087379,0.0024271844660194173,0.012135922330097087,0.04611650485436893,0.01820388349514563,0.050970873786407765,0.015776699029126214,0.00849514563106796,0.03155339805825243,0.02669902912621359,0.019417475728155338,0.009708737864077669,0.0,0.0,0.0012135922330097086,0.0,190,4.336842105263158,27.142857142857142,110.00000000000003
Ezra,39.0,51.0,8.0,3.0,2.0,0.0,42.0,3.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,3.0,4.0,1.0,2.0,10.0,11.0,6.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,3.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09322033898305085,0.05805084745762712,0.05296610169491525,0.08644067796610169,0.1059322033898305,0.12966101694915255,0.027966101694915254,0.07330508474576271,0.053813559322033896,0.061016949152542375,0.012711864406779662,0.00847457627118644,0.01652542372881356,0.019915254237288134,0.01440677966101695,0.06228813559322034,0.019915254237288134,0.010169491525423728,0.03135593220338983,0.009745762711864408,0.022457627118644068,0.011440677966101695,0.0,0.012711864406779662,0.003389830508474576,0.000423728813559322,559,4.221824686940966,27.9,322.99830508474565
Nehemiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2289156626506024,0.060240963855421686,0.03614457831325301,0.012048192771084338,0.1566265060240964,0.0963855421686747,0.04819277108433735,0.024096385542168676,0.012048192771084338,0.060240963855421686,0.024096385542168676,0.012048192771084338,0.03614457831325301,0.04819277108433735,0.0,0.060240963855421686,0.012048192771084338,0.0,0.0,0.0,0.0,0.024096385542168676,0.0,0.012048192771084338,0.03614457831325301,0.0,12,6.916666666666667,3.0,1.0
Mordecai,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13636363636363635,0.045454545454545456,0.11363636363636363,0.09090909090909091,0.09090909090909091,0.11363636363636363,0.022727272727272728,0.09090909090909091,0.06818181818181818,0.045454545454545456,0.0,0.0,0.0,0.045454545454545456,0.0,0.022727272727272728,0.0,0.0,0.022727272727272728,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,10,4.4,10.0,5.0
Unknown,11.0,10.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09171597633136094,0.07692307692307693,0.057692307692307696,0.09467455621301775,0.07396449704142012,0.1227810650887574,0.029585798816568046,0.06360946745562131,0.047337278106508875,0.05325443786982249,0.01775147928994083,0.005917159763313609,0.020710059171597635,0.03994082840236687,0.03994082840236687,0.060650887573964495,0.01775147928994083,0.0073964497041420114,0.020710059171597635,0.016272189349112426,0.03106508875739645,0.0073964497041420114,0.0,0.0,0.0,0.0,181,3.734806629834254,18.1,104.99704142011835
