Author,in,the,of,according,to,their,and,his,was,other,did,they,which,all,throughout,thus,were,when,said,unto,we,are,lord,will,it,thou,with,do,thee,for,hath,he,him,not,but,my,as,how,be,shall,if,yea,that,what,from,them,out,upon,by,let,thine,many,among,because,also,again,who,now,our,is,there,thereof,or,then,every,man,wherefore,hast,thy,have,me,shouldest,say,whence,should,may,whom,thyself,ye,therefore,one,neither,your,forth,shalt,would,god,into,yet,wherein,been,seemeth,must,more,himself,an,these,much,wherewith,had,moreover,like,than,no,without,being,therein,ever,make,till,cometh,once,where,whereof,thereby,those,whosoever,forthwith,whatsoever,some,her,lest,didst,each,inasmuch,downward,abundance,whereto,seest,therewith,thence,outward,hence,howsoever,becometh,whereby,henceforth,thereon,thereupon,doeth,thereunto,became,oft,oftentimes,whither,such,underneath,whereunto,whensoever,wherewithal,whose,hereof,notwithstanding,verily,whereon,soever,could,therefrom,wheresoever,whoso,upward,ought,i_percentage_use,n_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,f_percentage_use,r_percentage_use,s_percentage_use,p_percentage_use,l_percentage_use,a_percentage_use,c_percentage_use,w_percentage_use,d_percentage_use,o_percentage_use,m_percentage_use,j_percentage_use,u_percentage_use,g_percentage_use,v_percentage_use,b_percentage_use,z_percentage_use,k_percentage_use,y_percentage_use,q_percentage_use,x_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,20.0,187.0,98.0,4.0,20.0,8.0,119.0,8.0,28.0,3.0,3.0,14.0,6.0,12.0,2.0,2.0,8.0,8.0,15.0,26.0,8.0,3.0,29.0,10.0,26.0,15.0,8.0,4.0,11.0,10.0,1.0,7.0,6.0,10.0,5.0,5.0,8.0,1.0,8.0,12.0,3.0,1.0,22.0,1.0,4.0,26.0,7.0,11.0,2.0,4.0,1.0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,2.0,6.0,7.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,8.0,8.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048109965635738834,0.06560449859418932,0.10293658231802562,0.0830990315526398,0.13495782567947517,0.027647610121836926,0.05107778819119025,0.05670103092783505,0.018900343642611683,0.040612308653545766,0.08716026241799438,0.01702592939706342,0.022024367385192128,0.054982817869415807,0.0788815995001562,0.026241799437675725,0.001562011871290222,0.027022805373320836,0.012339893783192753,0.007653858169322087,0.012339893783192753,0.0012496094970321774,0.0039050296782255547,0.014682911590128085,0.00046860356138706655,0.0006248047485160887,1611,3.973929236499069,27.70689655172414,954.9978131833801
Joshua,0.0,22.0,10.0,1.0,8.0,3.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04047976011994003,0.06596701649175413,0.12593703148425786,0.10044977511244378,0.12593703148425786,0.0239880059970015,0.06896551724137931,0.043478260869565216,0.014992503748125937,0.020989505247376312,0.08245877061469266,0.020989505247376312,0.01649175412293853,0.046476761619190406,0.10794602698650675,0.014992503748125937,0.01199400299850075,0.0239880059970015,0.013493253373313344,0.0014992503748125937,0.017991004497751123,0.0029985007496251873,0.0014992503748125937,0.0029985007496251873,0.0,0.0,151,4.417218543046357,25.166666666666668,76.99700149925035
Samuel,3.0,38.0,22.0,0.0,3.0,1.0,36.0,4.0,7.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,8.0,5.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,8.0,3.0,4.0,4.0,3.0,2.0,0.0,3.0,4.0,0.0,0.0,5.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058486238532110095,0.08314220183486239,0.09288990825688073,0.08658256880733944,0.11926605504587157,0.02236238532110092,0.03669724770642202,0.06651376146788991,0.01261467889908257,0.04873853211009174,0.10894495412844037,0.007454128440366973,0.020642201834862386,0.05676605504587156,0.07511467889908256,0.021788990825688075,0.006307339449541285,0.026376146788990827,0.016055045871559634,0.006307339449541285,0.00974770642201835,0.0011467889908256881,0.005160550458715597,0.007454128440366973,0.0,0.0005733944954128441,430,4.055813953488372,28.533333333333335,234.99713302752295
Unknown,0.0,12.0,2.0,0.0,4.0,0.0,16.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07480916030534351,0.06412213740458016,0.08396946564885496,0.08549618320610687,0.11145038167938931,0.015267175572519083,0.035114503816793895,0.061068702290076333,0.00916030534351145,0.050381679389312976,0.10229007633587786,0.01984732824427481,0.025954198473282442,0.061068702290076333,0.06259541984732825,0.04580152671755725,0.0030534351145038168,0.016793893129770993,0.013740458015267175,0.012213740458015267,0.015267175572519083,0.0,0.007633587786259542,0.013740458015267175,0.0015267175572519084,0.0,166,3.9457831325301207,27.333333333333332,94.99236641221373
Unknown,12.0,19.0,20.0,0.0,5.0,0.0,21.0,11.0,3.0,0.0,3.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08634538152610442,0.071285140562249,0.08032128514056225,0.09538152610441768,0.11044176706827309,0.03112449799196787,0.040160642570281124,0.06626506024096386,0.008032128514056224,0.0321285140562249,0.11847389558232932,0.012048192771084338,0.019076305220883535,0.060240963855421686,0.05923694779116466,0.018072289156626505,0.008032128514056224,0.012048192771084338,0.02108433734939759,0.006024096385542169,0.023092369477911646,0.002008032128514056,0.008032128514056224,0.009036144578313253,0.0,0.001004016064257028,246,4.048780487804878,30.75,131.9989959839358
Unknown,0.0,15.0,5.0,0.0,4.0,3.0,12.0,0.0,0.0,3.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03783102143757881,0.05926860025220681,0.09709962168978563,0.08827238335435057,0.12988650693568726,0.029003783102143757,0.07692307692307693,0.0403530895334174,0.005044136191677175,0.04287515762925599,0.08448928121059268,0.021437578814627996,0.018915510718789406,0.058007566204287514,0.08827238335435057,0.034047919293820936,0.0012610340479192938,0.02269861286254729,0.012610340479192938,0.01008827238335435,0.01008827238335435,0.0,0.0012610340479192938,0.03026481715006305,0.0,0.0,192,4.130208333333333,27.428571428571427,120.99999999999999
Ezra,16.0,60.0,53.0,0.0,17.0,1.0,37.0,20.0,10.0,0.0,2.0,3.0,3.0,5.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,2.0,8.0,1.0,0.0,5.0,0.0,18.0,8.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06509298998569385,0.06294706723891273,0.08547925608011445,0.09549356223175966,0.11659513590844063,0.030400572246065807,0.047567954220314734,0.06759656652360516,0.009656652360515022,0.030758226037195996,0.09763948497854077,0.016094420600858368,0.023247496423462088,0.046137339055793994,0.07689556509298999,0.023605150214592276,0.011087267525035766,0.02467811158798283,0.016809728183118742,0.004649499284692418,0.016094420600858368,0.004291845493562232,0.008583690987124463,0.015379113018597998,0.0,0.000357653791130186,676,4.136094674556213,33.65,369.9971387696708
Nehemiah,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05063291139240506,0.08860759493670886,0.0,0.20253164556962025,0.06329113924050633,0.0,0.02531645569620253,0.05063291139240506,0.012658227848101266,0.06329113924050633,0.25316455696202533,0.012658227848101266,0.0,0.012658227848101266,0.02531645569620253,0.05063291139240506,0.012658227848101266,0.02531645569620253,0.0,0.0,0.0379746835443038,0.0,0.012658227848101266,0.0,0.0,0.0,13,6.076923076923077,3.25,2.0
Mordecai,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05084745762711865,0.1016949152542373,0.0847457627118644,0.06779661016949153,0.1016949152542373,0.0,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.0,0.15254237288135594,0.05084745762711865,0.0,0.05084745762711865,0.06779661016949153,0.0847457627118644,0.0,0.03389830508474576,0.03389830508474576,0.01694915254237288,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,11,5.363636363636363,11.0,5.999999999999997
Unknown,5.0,12.0,5.0,0.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05100463678516229,0.05564142194744977,0.09891808346213292,0.07727975270479134,0.160741885625966,0.03863987635239567,0.0695517774343122,0.04945904173106646,0.010819165378670788,0.03554868624420402,0.07573415765069552,0.01854714064914992,0.023183925811437404,0.03863987635239567,0.0633693972179289,0.03554868624420402,0.0015455950540958269,0.01854714064914992,0.012364760432766615,0.0077279752704791345,0.015455950540958269,0.0,0.0015455950540958269,0.0401854714064915,0.0,0.0,158,4.094936708860759,15.8,87.0
