Author,to,be,unto,the,of,that,no,which,is,not,lord,he,as,and,his,said,him,by,but,all,ye,have,it,when,was,they,from,among,may,them,in,upon,their,therein,make,an,for,there,out,into,now,were,every,one,according,thou,man,shalt,shall,where,will,with,whom,me,whereby,each,forth,again,did,we,whosoever,cometh,thy,thee,your,also,neither,more,are,do,therefore,ever,thine,whatsoever,or,those,must,henceforth,lest,throughout,thus,say,then,thereof,hath,without,wherein,if,thyself,who,her,hast,had,yet,these,till,god,let,our,wherefore,became,my,some,much,moreover,than,wherewith,whose,how,what,himself,other,should,could,shouldest,because,would,such,many,being,yea,didst,whither,like,been,inasmuch,downward,abundance,whereto,seest,therewith,thence,whereof,once,thereby,outward,hence,howsoever,becometh,thereon,thereupon,doeth,thereunto,oft,oftentimes,underneath,whereunto,whence,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,upward,ought,t_percentage_use,o_percentage_use,b_percentage_use,e_percentage_use,a_percentage_use,m_percentage_use,r_percentage_use,i_percentage_use,l_percentage_use,u_percentage_use,n_percentage_use,h_percentage_use,c_percentage_use,d_percentage_use,f_percentage_use,s_percentage_use,g_percentage_use,w_percentage_use,k_percentage_use,p_percentage_use,y_percentage_use,v_percentage_use,q_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,23.0,21.0,43.0,193.0,120.0,19.0,7.0,13.0,12.0,6.0,30.0,4.0,15.0,105.0,3.0,5.0,3.0,7.0,5.0,17.0,17.0,18.0,22.0,4.0,6.0,24.0,12.0,8.0,2.0,15.0,14.0,6.0,15.0,1.0,2.0,8.0,27.0,2.0,4.0,2.0,1.0,2.0,16.0,6.0,4.0,18.0,4.0,13.0,43.0,1.0,2.0,11.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,17.0,20.0,12.0,4.0,4.0,1.0,4.0,2.0,3.0,5.0,10.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09927942353883107,0.08259941286362424,0.01401120896717374,0.13944488924472911,0.08073125166800106,0.018548171870829997,0.06218307979717107,0.05484387510008006,0.04416866826794769,0.02268481451828129,0.07058980517747532,0.08540165465705898,0.019615692554043235,0.03736322391246331,0.03429410194822525,0.05230851347744862,0.019348812383239926,0.010675206832132373,0.004937283159861222,0.009607686148919135,0.01948225246864158,0.01374432879637043,0.0006672004270082733,0.0002668801708033093,0.00013344008540165466,0.0,1798,4.167964404894327,30.862068965517242,1103.9969308780355
Joshua,3.0,5.0,1.0,20.0,14.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10681818181818181,0.08863636363636364,0.014772727272727272,0.1318181818181818,0.0875,0.011363636363636364,0.05113636363636364,0.048863636363636366,0.03977272727272727,0.028409090909090908,0.07613636363636364,0.09545454545454546,0.01818181818181818,0.042045454545454546,0.026136363636363635,0.04659090909090909,0.020454545454545454,0.015909090909090907,0.0011363636363636363,0.014772727272727272,0.0125,0.010227272727272727,0.0,0.005681818181818182,0.0,0.003409090909090909,210,4.190476190476191,35.0,123.99772727272729
Samuel,12.0,1.0,7.0,19.0,10.0,5.0,0.0,3.0,6.0,2.0,7.0,10.0,0.0,43.0,7.0,9.0,11.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,4.0,0.0,7.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,5.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08262108262108261,0.06951566951566951,0.013675213675213675,0.11851851851851852,0.098005698005698,0.03190883190883191,0.04786324786324787,0.06267806267806268,0.041025641025641026,0.02564102564102564,0.07863247863247863,0.07635327635327635,0.012535612535612535,0.06495726495726496,0.017663817663817662,0.07179487179487179,0.011965811965811967,0.019943019943019943,0.004558404558404558,0.018803418803418803,0.011396011396011397,0.011965811965811967,0.0,0.005128205128205128,0.0,0.0005698005698005698,438,4.006849315068493,29.133333333333333,245.99772079772077
Unknown,5.0,6.0,1.0,19.0,8.0,4.0,0.0,0.0,1.0,4.0,2.0,2.0,2.0,18.0,0.0,2.0,5.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10121012101210121,0.07700770077007701,0.0165016501650165,0.11991199119911991,0.0858085808580858,0.022002200220022004,0.0352035203520352,0.0627062706270627,0.0671067106710671,0.025302530253025302,0.0781078107810781,0.0858085808580858,0.0165016501650165,0.052805280528052806,0.0187018701870187,0.052805280528052806,0.015401540154015401,0.019801980198019802,0.0044004400440044,0.0187018701870187,0.011001100110011002,0.007700770077007701,0.0011001100110011,0.0011001100110011,0.0,0.0022002200220022,225,4.04,37.5,136.99889988998905
Unknown,7.0,0.0,0.0,26.0,22.0,4.0,0.0,3.0,0.0,1.0,3.0,8.0,0.0,10.0,4.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09010989010989011,0.08901098901098901,0.015384615384615385,0.12197802197802197,0.07142857142857142,0.020879120879120878,0.05934065934065934,0.0945054945054945,0.05054945054945055,0.008791208791208791,0.06813186813186813,0.08131868131868132,0.008791208791208791,0.03956043956043956,0.03736263736263736,0.04725274725274725,0.01978021978021978,0.027472527472527472,0.00989010989010989,0.012087912087912088,0.00989010989010989,0.00989010989010989,0.0,0.0032967032967032967,0.001098901098901099,0.002197802197802198,231,3.9393939393939394,28.875,124.99999999999997
Unknown,10.0,1.0,4.0,15.0,8.0,4.0,0.0,2.0,2.0,3.0,4.0,2.0,0.0,13.0,1.0,4.0,1.0,0.0,2.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11702127659574468,0.07543520309477757,0.009671179883945842,0.10831721470019343,0.09284332688588008,0.02127659574468085,0.05029013539651837,0.0609284332688588,0.03481624758220503,0.031914893617021274,0.06866537717601548,0.0851063829787234,0.008704061895551257,0.037717601547388784,0.0183752417794971,0.06576402321083172,0.017408123791102514,0.025145067698259187,0.01160541586073501,0.02321083172147002,0.02321083172147002,0.004835589941972921,0.0,0.004835589941972921,0.0,0.0009671179883945841,269,3.8438661710037176,38.285714285714285,151.99806576402318
Ezra,27.0,2.0,7.0,61.0,49.0,14.0,0.0,5.0,1.0,5.0,3.0,7.0,1.0,44.0,4.0,4.0,12.0,1.0,4.0,3.0,0.0,1.0,3.0,0.0,8.0,10.0,5.0,0.0,0.0,8.0,11.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,0.0,9.0,3.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10748626373626374,0.08379120879120878,0.013736263736263736,0.11847527472527472,0.09478021978021978,0.02918956043956044,0.04189560439560439,0.053228021978021976,0.029876373626373628,0.028502747252747252,0.06318681318681318,0.09684065934065934,0.014423076923076924,0.04979395604395604,0.029876373626373628,0.05357142857142857,0.019230769230769232,0.018200549450549452,0.009958791208791208,0.009615384615384616,0.011675824175824176,0.005494505494505495,0.0,0.009271978021978022,0.0,0.005837912087912088,710,4.101408450704225,35.4,389.9979395604396
Nehemiah,5.0,0.0,0.0,23.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09854604200323101,0.07431340872374798,0.006462035541195477,0.14862681744749595,0.07108239095315025,0.01938610662358643,0.045234248788368334,0.06462035541195477,0.06462035541195477,0.017770597738287562,0.06785137318255251,0.08239095315024232,0.022617124394184167,0.04038772213247173,0.035541195476575124,0.061389337641357025,0.0032310177705977385,0.01615508885298869,0.0,0.01938610662358643,0.006462035541195477,0.008077544426494346,0.0,0.014539579967689823,0.0,0.006462035541195477,145,4.268965517241379,36.0,75.99515347334409
Mordecai,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.0787037037037037,0.009259259259259259,0.14351851851851852,0.0787037037037037,0.027777777777777776,0.06018518518518518,0.037037037037037035,0.041666666666666664,0.027777777777777776,0.046296296296296294,0.10648148148148148,0.023148148148148147,0.037037037037037035,0.023148148148148147,0.05092592592592592,0.013888888888888888,0.018518518518518517,0.009259259259259259,0.009259259259259259,0.013888888888888888,0.004629629629629629,0.0,0.004629629629629629,0.0,0.0,49,4.408163265306122,48.0,25.99074074074075
Unknown,2.0,0.0,0.0,10.0,5.0,2.0,0.0,0.0,1.0,5.0,0.0,4.0,1.0,6.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08733624454148471,0.07423580786026202,0.00727802037845706,0.1324599708879185,0.07569141193595343,0.043668122270742356,0.049490538573508006,0.07569141193595343,0.02911208151382824,0.020378457059679767,0.06259097525473072,0.09170305676855896,0.013100436681222707,0.04512372634643377,0.039301310043668124,0.05240174672489083,0.010189228529839884,0.034934497816593885,0.001455604075691412,0.013100436681222707,0.020378457059679767,0.01601164483260553,0.0,0.0,0.0,0.0,182,3.7747252747252746,18.1,109.99563318777294
