Author,and,the,of,in,they,from,which,is,thence,other,that,cometh,out,for,wherefore,it,said,lord,what,he,did,to,upon,whereof,unto,will,them,then,ye,by,with,their,let,me,thy,we,not,into,or,but,be,would,his,all,him,was,these,thereof,who,had,say,there,hath,thee,thou,have,thus,were,shalt,do,as,didst,because,many,now,shall,are,therefore,may,whom,again,god,your,yet,more,than,whatsoever,if,my,also,an,her,being,when,where,no,hast,thine,ever,according,forth,how,man,make,should,those,whose,hence,thyself,been,among,himself,much,moreover,became,like,every,one,neither,without,whoso,our,yea,therein,whither,henceforth,could,whereunto,whereto,whence,whereby,wherein,lest,each,inasmuch,downward,abundance,seest,therewith,once,thereby,shouldest,outward,howsoever,throughout,becometh,till,thereon,must,thereupon,doeth,thereunto,wherewith,oft,oftentimes,such,whosoever,underneath,whensoever,wherewithal,seemeth,hereof,notwithstanding,verily,whereon,soever,forthwith,some,therefrom,wheresoever,upward,ought,a_percentage_use,n_percentage_use,d_percentage_use,t_percentage_use,h_percentage_use,e_percentage_use,c_percentage_use,i_percentage_use,l_percentage_use,r_percentage_use,o_percentage_use,f_percentage_use,s_percentage_use,w_percentage_use,p_percentage_use,b_percentage_use,y_percentage_use,j_percentage_use,u_percentage_use,m_percentage_use,g_percentage_use,v_percentage_use,z_percentage_use,k_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,113.0,147.0,84.0,26.0,19.0,12.0,9.0,14.0,3.0,1.0,17.0,1.0,13.0,13.0,3.0,4.0,17.0,17.0,4.0,15.0,1.0,29.0,3.0,1.0,40.0,8.0,12.0,2.0,2.0,5.0,12.0,2.0,3.0,16.0,4.0,7.0,8.0,9.0,3.0,4.0,3.0,4.0,24.0,10.0,13.0,12.0,4.0,2.0,1.0,2.0,3.0,6.0,3.0,13.0,13.0,4.0,2.0,4.0,4.0,5.0,3.0,1.0,5.0,1.0,6.0,5.0,4.0,4.0,3.0,2.0,3.0,6.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09239130434782608,0.07113171355498721,0.05195012787723785,0.09606777493606138,0.08072250639386189,0.12148337595907928,0.013746803069053709,0.057864450127877234,0.040121483375959076,0.04875319693094629,0.0850383631713555,0.024456521739130436,0.059782608695652176,0.024136828644501278,0.015664961636828643,0.01838235294117647,0.013427109974424553,0.0012787723785166241,0.022218670076726343,0.02797314578005115,0.01614450127877238,0.0076726342710997444,0.001118925831202046,0.006234015345268542,0.00015984654731457802,0.0,1591,3.932118164676304,27.344827586206897,908.997921994885
Joshua,18.0,32.0,14.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07545164718384698,0.0669500531349628,0.06376195536663125,0.10839532412327312,0.09670563230605739,0.12539851222104145,0.026567481402763018,0.057385759829968117,0.02763018065887354,0.06907545164718384,0.08607863974495218,0.025504782146652496,0.048884165781083955,0.022316684378320937,0.007438894792773645,0.019128586609989374,0.0021253985122210413,0.012752391073326248,0.022316684378320937,0.01381509032943677,0.009564293304994687,0.005313496280552604,0.0021253985122210413,0.003188097768331562,0.0,0.0010626992561105207,216,4.356481481481482,36.0,109.99893730074388
Samuel,42.0,42.0,13.0,6.0,3.0,3.0,1.0,4.0,0.0,0.0,7.0,0.0,1.0,6.0,0.0,2.0,4.0,0.0,2.0,8.0,0.0,9.0,0.0,0.0,3.0,2.0,3.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,6.0,2.0,11.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10093252879868349,0.07240811848601207,0.05704882062534284,0.09489851892484914,0.09709270433351619,0.13274821722435545,0.015359297860669226,0.06747120131651124,0.03455842018650576,0.05375754251234229,0.05156335710367526,0.022490400438837082,0.055951727921009324,0.021393307734503566,0.01755348326933626,0.009325287986834888,0.013165112452002194,0.0010970927043335162,0.015359297860669226,0.030170049369171694,0.01426220515633571,0.007679648930334613,0.0,0.010970927043335162,0.0,0.0,447,4.078299776286354,29.666666666666668,247.99725726823914
Unknown,23.0,11.0,13.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14265129682997119,0.0792507204610951,0.06484149855907781,0.069164265129683,0.07348703170028818,0.10518731988472622,0.01729106628242075,0.06051873198847262,0.03890489913544669,0.04610951008645533,0.069164265129683,0.024495677233429394,0.06195965417867435,0.018731988472622477,0.01729106628242075,0.024495677233429394,0.008645533141210375,0.004322766570605188,0.010086455331412104,0.03602305475504323,0.010086455331412104,0.007204610951008645,0.002881844380403458,0.001440922190201729,0.0,0.0,165,4.206060606060606,27.166666666666668,82.99423631123919
Unknown,15.0,19.0,8.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09049773755656108,0.07692307692307693,0.07239819004524888,0.09653092006033183,0.09049773755656108,0.12669683257918551,0.01809954751131222,0.05429864253393665,0.02865761689291101,0.06485671191553545,0.0784313725490196,0.02564102564102564,0.0392156862745098,0.0196078431372549,0.0030165912518853697,0.03167420814479638,0.010558069381598794,0.004524886877828055,0.015082956259426848,0.016591251885369532,0.015082956259426848,0.007541478129713424,0.0,0.010558069381598794,0.0,0.0,171,3.8771929824561404,21.375,105.99698340874815
Unknown,15.0,28.0,13.0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,4.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08061224489795918,0.05408163265306123,0.05,0.09693877551020408,0.11428571428571428,0.12448979591836734,0.02346938775510204,0.058163265306122446,0.036734693877551024,0.06326530612244897,0.07755102040816327,0.02142857142857143,0.053061224489795916,0.022448979591836733,0.013265306122448979,0.013265306122448979,0.013265306122448979,0.0020408163265306124,0.015306122448979591,0.02346938775510204,0.012244897959183673,0.009183673469387756,0.004081632653061225,0.014285714285714285,0.0,0.0,234,4.188034188034188,33.285714285714285,138.9969387755103
Ezra,44.0,65.0,43.0,19.0,6.0,2.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,5.0,1.0,0.0,1.0,9.0,0.0,21.0,6.0,8.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,18.0,3.0,7.0,11.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09017387788111605,0.06955115244642135,0.05499393449251921,0.08532147189648201,0.09260008087343308,0.12333198544278205,0.014961585119288313,0.06833805095026284,0.034775576223210675,0.05337646583097452,0.06833805095026284,0.028710068742418115,0.057015770319450064,0.021027092600080875,0.010109179134654266,0.01213101496158512,0.014557217953902144,0.005661140315406389,0.023048928427011728,0.02507076425394258,0.020622725434694702,0.007682976142337242,0.005661140315406389,0.007682976142337242,0.0016174686615446825,0.0,609,4.060755336617405,30.3,335.9963606955115
Nehemiah,5.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08629441624365482,0.06345177664974619,0.03807106598984772,0.08375634517766498,0.11928934010152284,0.11928934010152284,0.015228426395939087,0.05583756345177665,0.02030456852791878,0.050761421319796954,0.11421319796954314,0.04568527918781726,0.06852791878172589,0.017766497461928935,0.007614213197969543,0.007614213197969543,0.005076142131979695,0.015228426395939087,0.02284263959390863,0.015228426395939087,0.005076142131979695,0.005076142131979695,0.01015228426395939,0.007614213197969543,0.0,0.0,100,3.94,25.0,52.99999999999997
Mordecai,5.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09178743961352658,0.08695652173913043,0.04830917874396135,0.08695652173913043,0.07246376811594203,0.10628019323671498,0.014492753623188406,0.10144927536231885,0.043478260869565216,0.06280193236714976,0.057971014492753624,0.01932367149758454,0.06763285024154589,0.028985507246376812,0.014492753623188406,0.0,0.01932367149758454,0.004830917874396135,0.00966183574879227,0.014492753623188406,0.033816425120772944,0.0,0.0,0.014492753623188406,0.0,0.0,56,3.6964285714285716,56.0,29.99999999999999
Unknown,4.0,11.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,5.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06925207756232687,0.05955678670360111,0.05263157894736842,0.09695290858725762,0.054016620498614956,0.13573407202216067,0.018005540166204988,0.07340720221606649,0.03462603878116344,0.06371191135734072,0.08310249307479224,0.024930747922437674,0.05817174515235457,0.02631578947368421,0.009695290858725761,0.015235457063711912,0.023545706371191136,0.002770083102493075,0.030470914127423823,0.036011080332409975,0.013850415512465374,0.006925207756232687,0.0,0.006925207756232687,0.0,0.0013850415512465374,181,3.9889502762430937,18.1,91.99722991689751
