Author,and,when,he,his,said,was,the,of,but,shall,be,that,for,ever,is,thy,thou,in,thee,who,god,doeth,from,also,to,with,they,unto,their,did,himself,lord,all,them,may,ye,every,one,were,it,among,man,into,her,those,hath,my,not,wherefore,say,him,have,an,because,now,wherewith,which,upward,throughout,are,by,as,forth,out,whom,cometh,these,what,became,notwithstanding,according,had,no,will,our,thence,upon,there,therefore,thereof,therewith,whose,would,let,more,then,where,than,didst,should,yet,do,me,hast,again,thine,your,make,we,moreover,yea,or,lest,neither,like,many,therein,thyself,thus,could,some,if,till,how,shalt,been,shouldest,must,each,being,whereof,thereupon,outward,henceforth,underneath,whereby,whereunto,abundance,thereby,whence,ought,hereof,thereon,oftentimes,whither,wherein,much,other,hence,inasmuch,verily,once,downward,such,whoso,whereto,therefrom,forthwith,thereunto,becometh,without,oft,a_percentage_use,n_percentage_use,d_percentage_use,w_percentage_use,h_percentage_use,e_percentage_use,l_percentage_use,o_percentage_use,k_percentage_use,m_percentage_use,t_percentage_use,u_percentage_use,p_percentage_use,i_percentage_use,s_percentage_use,r_percentage_use,b_percentage_use,f_percentage_use,v_percentage_use,g_percentage_use,y_percentage_use,c_percentage_use,j_percentage_use,z_percentage_use,x_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,92.0,5.0,12.0,11.0,5.0,12.0,183.0,158.0,2.0,9.0,3.0,18.0,7.0,2.0,2.0,2.0,1.0,16.0,1.0,3.0,2.0,1.0,7.0,2.0,10.0,5.0,6.0,11.0,11.0,1.0,1.0,9.0,4.0,12.0,1.0,1.0,1.0,2.0,16.0,3.0,3.0,2.0,1.0,2.0,6.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09414301113905857,0.06306144448436939,0.04383758533956163,0.01545095220984549,0.08713618397412864,0.13528566295364713,0.04060366510959396,0.07617678763923823,0.004850880344951491,0.031081566654689183,0.08965145526410348,0.02084081925979159,0.01383399209486166,0.061624146604383756,0.0587495508444125,0.04922745238950772,0.009342436219906576,0.04635285662953647,0.004671218109953288,0.013115343154868847,0.01491196550485088,0.014732303269852677,0.0037729069349622707,0.005749191519942508,0.0005389867049946101,0.0,1295,4.2980694980694985,22.310344827586206,720.9987423643548
Joshua,16.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14385964912280702,0.08421052631578947,0.06315789473684211,0.014035087719298246,0.10175438596491228,0.10877192982456141,0.031578947368421054,0.05263157894736842,0.0035087719298245615,0.03508771929824561,0.056140350877192984,0.0,0.021052631578947368,0.08070175438596491,0.014035087719298246,0.05263157894736842,0.031578947368421054,0.017543859649122806,0.014035087719298246,0.017543859649122806,0.0035087719298245615,0.028070175438596492,0.007017543859649123,0.017543859649122806,0.0,0.0,58,4.913793103448276,9.666666666666666,32.0
Samuel,44.0,4.0,6.0,13.0,4.0,3.0,39.0,15.0,2.0,1.0,0.0,5.0,1.0,0.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,5.0,2.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09501466275659824,0.08328445747800586,0.06686217008797654,0.020527859237536656,0.09149560117302052,0.106158357771261,0.03636363636363636,0.07272727272727272,0.007624633431085044,0.01935483870967742,0.09970674486803519,0.0281524926686217,0.016422287390029325,0.07683284457478005,0.06803519061583578,0.03577712609970674,0.008797653958944282,0.0187683284457478,0.013489736070381233,0.011143695014662757,0.007624633431085044,0.008211143695014663,0.0035190615835777126,0.0,0.0,0.0005865102639296188,423,4.030732860520095,28.0,227.99648093841637
Unknown,20.0,0.0,1.0,1.0,3.0,4.0,20.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1160609613130129,0.07854630715123095,0.06799531066822978,0.023446658851113716,0.07971864009378664,0.123094958968347,0.032825322391559206,0.07033997655334115,0.010550996483001172,0.0246189917936694,0.09613130128956623,0.032825322391559206,0.008206330597889801,0.04689331770222743,0.04806565064478312,0.04337631887456037,0.017584994138335287,0.016412661195779603,0.015240328253223915,0.01992966002344666,0.010550996483001172,0.010550996483001172,0.0035169988276670576,0.0,0.0,0.0,213,4.004694835680751,35.333333333333336,105.99648300117234
Unknown,22.0,0.0,6.0,3.0,6.0,2.0,18.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0,1.0,6.0,2.0,0.0,6.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07981755986316989,0.06727480045610035,0.06499429874572406,0.018244013683010263,0.09920182440136831,0.10034207525655645,0.036488027366020526,0.09920182440136831,0.005701254275940707,0.036488027366020526,0.09578107183580388,0.028506271379703536,0.0068415051311288486,0.07183580387685291,0.05473204104903079,0.04104903078677309,0.011402508551881414,0.01596351197263398,0.009122006841505131,0.012542759407069556,0.013683010262257697,0.020524515393386546,0.0068415051311288486,0.0,0.0,0.0,243,3.6090534979423867,30.25,152.99657924743445
Unknown,19.0,0.0,0.0,0.0,1.0,0.0,24.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08894536213468869,0.07115628970775095,0.0724269377382465,0.01905972045743329,0.10419313850063533,0.14866581956797967,0.0241423125794155,0.07623888182973317,0.011435832274459974,0.01397712833545108,0.08386277001270648,0.010165184243964422,0.010165184243964422,0.04955527318932656,0.045743329097839895,0.06353240152477764,0.008894536213468869,0.029224904701397714,0.015247776365946633,0.017789072426937738,0.012706480304955527,0.01397712833545108,0.0,0.0063532401524777635,0.0,0.0,190,4.1421052631578945,27.0,111.99745870393902
Ezra,57.0,0.0,6.0,5.0,2.0,3.0,92.0,52.0,0.0,0.0,1.0,6.0,8.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,2.0,1.0,16.0,4.0,10.0,3.0,3.0,2.0,0.0,19.0,6.0,5.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,4.0,8.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833976833976834,0.0749034749034749,0.05289575289575289,0.011196911196911196,0.09343629343629344,0.12702702702702703,0.03127413127413128,0.08687258687258688,0.006177606177606178,0.018532818532818532,0.10077220077220077,0.021621621621621623,0.008494208494208495,0.052123552123552123,0.06023166023166023,0.05752895752895753,0.009652509652509652,0.03822393822393822,0.011196911196911196,0.013513513513513514,0.016216216216216217,0.01583011583011583,0.003861003861003861,0.003861003861003861,0.0003861003861003861,0.0,641,4.040561622464899,32.05,393.9992277992278
Nehemiah,8.0,0.0,0.0,2.0,0.0,1.0,17.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08983451536643026,0.0851063829787234,0.0425531914893617,0.014184397163120567,0.08274231678486997,0.13238770685579196,0.028368794326241134,0.06855791962174941,0.014184397163120567,0.016548463356973995,0.09456264775413711,0.026004728132387706,0.016548463356973995,0.061465721040189124,0.05673758865248227,0.0591016548463357,0.018912529550827423,0.026004728132387706,0.014184397163120567,0.014184397163120567,0.01182033096926714,0.016548463356973995,0.004728132387706856,0.002364066193853428,0.0,0.0,99,4.2727272727272725,24.75,54.99763593380614
Mordecai,2.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08629441624365482,0.08121827411167512,0.025380710659898477,0.005076142131979695,0.09137055837563451,0.1116751269035533,0.02030456852791878,0.10152284263959391,0.015228426395939087,0.005076142131979695,0.1116751269035533,0.03553299492385787,0.025380710659898477,0.05583756345177665,0.06091370558375635,0.06091370558375635,0.0,0.01015228426395939,0.01015228426395939,0.030456852791878174,0.02030456852791878,0.01015228426395939,0.0,0.0,0.0,0.0,53,3.7169811320754715,51.0,21.974619289340104
Unknown,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07246376811594203,0.07568438003220612,0.043478260869565216,0.043478260869565216,0.057971014492753624,0.12399355877616747,0.04830917874396135,0.07407407407407407,0.00644122383252818,0.033816425120772944,0.09178743961352658,0.020933977455716585,0.01932367149758454,0.07890499194847021,0.06280193236714976,0.0499194847020934,0.01288244766505636,0.017713365539452495,0.00644122383252818,0.008051529790660225,0.030595813204508857,0.01288244766505636,0.001610305958132045,0.001610305958132045,0.0,0.0,157,3.9554140127388533,15.6,84.99516908212559
