Author,these,are,the,of,their,and,according,to,those,that,were,them,they,all,was,who,lord,unto,shall,be,for,an,many,thou,shalt,more,every,one,his,him,notwithstanding,by,thereof,whom,her,in,when,from,upward,not,among,because,there,no,but,man,had,said,then,our,he,should,hath,therefore,if,have,ye,is,it,as,thee,into,which,hast,also,thy,my,me,let,god,may,out,thine,upon,some,with,did,say,without,other,forth,or,himself,what,will,wherefore,thyself,thus,yet,now,we,throughout,how,shouldest,make,moreover,could,till,than,abundance,neither,such,would,ever,like,where,whatsoever,do,yea,again,wherein,being,your,whosoever,therein,ought,whence,been,whereunto,lest,didst,each,inasmuch,downward,whereto,seest,therewith,thence,whereof,once,thereby,outward,hence,howsoever,becometh,henceforth,whereby,thereon,must,thereupon,doeth,thereunto,became,wherewith,oft,oftentimes,whither,cometh,underneath,much,wherewithal,whensoever,seemeth,hereof,whose,verily,whereon,soever,forthwith,therefrom,wheresoever,whoso,t_percentage_use,h_percentage_use,e_percentage_use,s_percentage_use,a_percentage_use,r_percentage_use,o_percentage_use,n_percentage_use,f_percentage_use,p_percentage_use,i_percentage_use,m_percentage_use,l_percentage_use,u_percentage_use,y_percentage_use,b_percentage_use,c_percentage_use,d_percentage_use,g_percentage_use,w_percentage_use,v_percentage_use,j_percentage_use,x_percentage_use,z_percentage_use,k_percentage_use,q_percentage_use,Total_Word_Count,AVG_Letter_Per_Word,AVG_Word_Per_Verse,Total_Function_Word_Count
Moses,16.0,13.0,176.0,141.0,18.0,87.0,8.0,17.0,5.0,14.0,17.0,19.0,12.0,9.0,8.0,3.0,17.0,24.0,18.0,9.0,8.0,2.0,2.0,11.0,10.0,1.0,1.0,2.0,17.0,12.0,1.0,8.0,1.0,3.0,1.0,19.0,3.0,2.0,1.0,5.0,6.0,2.0,3.0,8.0,2.0,5.0,2.0,3.0,5.0,3.0,9.0,1.0,1.0,1.0,4.0,6.0,7.0,4.0,3.0,5.0,2.0,1.0,7.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,5.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906013219409963,0.09285829437369016,0.13751410607770434,0.05980976946638723,0.0889891987747864,0.055618249234241496,0.07238433016282445,0.06690311139771078,0.0444945993873932,0.008060615831049492,0.06109946799935515,0.03530549733999678,0.03611155892310172,0.02176366274383363,0.015960019345477996,0.016121231662098983,0.014186683862647107,0.040464291471868453,0.014509108495889086,0.01031758826374335,0.005964855714976625,0.003385458649040787,0.00048363694986296955,0.0024181847493148475,0.0025793970659358373,0.0,1446,4.289764868603043,24.879310344827587,864.997904239884
Joshua,0.0,0.0,7.0,6.0,5.0,16.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07415730337078652,0.09438202247191012,0.1258426966292135,0.035955056179775284,0.1101123595505618,0.060674157303370786,0.04943820224719101,0.0853932584269663,0.024719101123595506,0.0044943820224719105,0.09213483146067415,0.024719101123595506,0.04269662921348315,0.01348314606741573,0.0022471910112359553,0.020224719101123594,0.033707865168539325,0.058426966292134834,0.008988764044943821,0.008988764044943821,0.0044943820224719105,0.011235955056179775,0.0,0.006741573033707865,0.0044943820224719105,0.0,92,4.836956521739131,15.333333333333334,50.99775280898875
Samuel,0.0,0.0,24.0,13.0,0.0,42.0,0.0,12.0,0.0,6.0,0.0,1.0,4.0,4.0,10.0,1.0,3.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,12.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,5.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,9.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,5.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07964071856287425,0.07425149700598803,0.10778443113772455,0.06766467065868263,0.11077844311377245,0.03772455089820359,0.05568862275449102,0.06646706586826347,0.02215568862275449,0.01437125748502994,0.07544910179640718,0.03173652694610778,0.041916167664670656,0.02874251497005988,0.012574850299401197,0.013772455089820359,0.012574850299401197,0.0748502994011976,0.010179640718562874,0.0281437125748503,0.02215568862275449,0.0029940119760479044,0.0,0.0,0.0023952095808383233,0.0,422,3.957345971563981,27.866666666666667,245.99401197604786
Unknown,0.0,0.0,10.0,3.0,0.0,15.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0871313672922252,0.07238605898123325,0.11662198391420911,0.054959785522788206,0.10723860589812333,0.05093833780160858,0.07238605898123325,0.06702412868632708,0.024128686327077747,0.020107238605898123,0.06300268096514745,0.03753351206434316,0.04825737265415549,0.022788203753351208,0.014745308310991957,0.01876675603217158,0.010723860589812333,0.04825737265415549,0.013404825737265416,0.01742627345844504,0.00804289544235925,0.005361930294906166,0.0,0.0,0.010723860589812333,0.0,187,3.9893048128342246,30.666666666666668,92.99195710455763
Unknown,0.0,0.0,13.0,4.0,0.0,17.0,0.0,5.0,0.0,4.0,0.0,3.0,1.0,3.0,4.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08508014796547472,0.08754623921085081,0.10974106041923551,0.051787916152897656,0.12330456226880394,0.04315659679408138,0.07151664611590629,0.06658446362515413,0.025893958076448828,0.009864364981504316,0.05795314426633785,0.02342786683107275,0.04562268803945746,0.018495684340320593,0.02096177558569667,0.025893958076448828,0.008631319358816275,0.06288532675709001,0.009864364981504316,0.030826140567200986,0.007398273736128237,0.007398273736128237,0.0,0.0012330456226880395,0.0036991368680641184,0.0,206,3.936893203883495,25.75,109.9987669543773
Unknown,0.0,0.0,22.0,16.0,0.0,12.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,1.0,3.0,0.0,4.0,3.0,1.0,6.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10815939278937381,0.10246679316888045,0.1252371916508539,0.061669829222011384,0.08349146110056926,0.04838709677419355,0.08349146110056926,0.05787476280834915,0.023719165085388995,0.011385199240986717,0.0635673624288425,0.018026565464895637,0.031309297912713474,0.027514231499051234,0.012333965844402278,0.008538899430740038,0.018975332068311195,0.051233396584440226,0.024667931688804556,0.014231499051233396,0.011385199240986717,0.0009487666034155598,0.0009487666034155598,0.0028462998102466793,0.006641366223908918,0.0,257,4.101167315175097,36.714285714285715,143.99905123339659
Ezra,1.0,0.0,90.0,20.0,4.0,54.0,1.0,15.0,0.0,7.0,7.0,3.0,17.0,12.0,7.0,0.0,11.0,4.0,0.0,1.0,12.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,12.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09934460158675405,0.07726802345636426,0.13763366678164884,0.05898585719213522,0.07519834425664022,0.06174542945843394,0.07036909279061745,0.07519834425664022,0.028975508796136598,0.020006898930665748,0.054501552259399795,0.018972059330803724,0.03966885132804415,0.02173163159710245,0.009658502932045532,0.013452914798206279,0.017592273197654364,0.05691617799241118,0.02173163159710245,0.015522593997930321,0.008278716798896172,0.002069679199724043,0.0006898930665746809,0.0017247326664367024,0.011728182131769576,0.0,635,4.5653543307086615,31.7,361.9989651604002
Nehemiah,0.0,0.0,19.0,13.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08735632183908046,0.09425287356321839,0.135632183908046,0.07126436781609195,0.08045977011494253,0.04597701149425287,0.08505747126436781,0.08045977011494253,0.0367816091954023,0.016091954022988506,0.059770114942528735,0.02528735632183908,0.02528735632183908,0.01839080459770115,0.004597701149425287,0.013793103448275862,0.01839080459770115,0.027586206896551724,0.01839080459770115,0.013793103448275862,0.011494252873563218,0.004597701149425287,0.0,0.011494252873563218,0.004597701149425287,0.0,105,4.142857142857143,25.75,55.990804597701164
Mordecai,0.0,0.0,7.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13297872340425532,0.10638297872340426,0.14361702127659576,0.0797872340425532,0.06914893617021277,0.047872340425531915,0.05851063829787234,0.0851063829787234,0.010638297872340425,0.015957446808510637,0.05851063829787234,0.0,0.010638297872340425,0.026595744680851064,0.0,0.005319148936170213,0.02127659574468085,0.05319148936170213,0.026595744680851064,0.026595744680851064,0.005319148936170213,0.0,0.0,0.0,0.010638297872340425,0.005319148936170213,48,3.9166666666666665,48.0,24.999999999999993
Unknown,0.0,0.0,6.0,6.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,11.0,6.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081377151799687,0.07668231611893583,0.12206572769953052,0.051643192488262914,0.07668231611893583,0.056338028169014086,0.07981220657276995,0.06729264475743349,0.02190923317683881,0.01564945226917058,0.06572769953051644,0.04538341158059468,0.0406885758998435,0.02190923317683881,0.03599374021909233,0.012519561815336464,0.014084507042253521,0.0406885758998435,0.02190923317683881,0.02034428794992175,0.009389671361502348,0.001564945226917058,0.0,0.0,0.012519561815336464,0.001564945226917058,162,3.9444444444444446,16.1,82.99374021909236
